46:11:001:1	Da'oodlání áłah daazlį́į'go asdzání bitsii' bik'ídooltihii
46:11:012:0	háálá asdzání t'áá diné bits'ą́ą́dóó ályaaígi át'éego diné éí asdzání bits'ą́ą́dóó nihwiileeh . Nidi t'áá ałtsoní éí Diyin God bits'ą́ą́dę́ę́' nidahwiileeh .
46:11:013:0	T'áá nihí baa nitsídaahkees ; da' asdzáníísh bitsii' doo bik'é'ésti'góó Diyin God yich'į' sodilzingo beełt'é ?
46:11:014:0	Jó , diné bitsii' nineezii baa yáhásin ; diné ákódaat'éego nanihinitin ,
46:11:015:0	nidi asdzání bitsii' nineezgo éí bee bił ídlį́įgo baa nitsáhákees , háálá hatsii' bik'é'ésti' doo biniyé áho'diilyaa .
46:11:002:1	Bóhólníihii bidiyingo adą́ nidayiiłchxǫǫh
46:11:016:0	Nidi diné ła'da díí baa saad honishłǫ́ nízingo , nihí nihi'é'él'į' náánáła' ádin , áádóó Diyin God dayoodláanii áłah nídaadleehii ałdó' t'áá ákót'éego deinízin .
46:11:017:0	Nidi náá'ákóne' bee nihich'į' hanáánásdziihígíí éí doo bee nihaa hashniih da , háálá áłah hohłeehgo yá'át'éehgo áłah nohłį́į dooleeł yę́ę t'óó tsé'édinda doo yá'át'ééhgóó áłah nohłį́į łeh .
46:11:018:0	Átséhé góne' , da'oodlání danohłį́įgo áłah náhdleehgo ałts'ą́ąjį' nishoojée'go yishniih , áko éí t'áá bighąądígi wooshdlą́ .
46:11:019:0	Jó , nihitahgóó t'áá aaníí oodlání danilínígíí béédahodoozįįł biniyé ałts'á'áldah hólǫ́ǫ doo .
46:11:020:0	Áłah náhdleehgo daahsánígíí éí doo Bóhólníihii bidiyingo adą́ át'ée da .
46:11:021:0	Háálá da'adą́ągi t'ááłá'í nootínígo t'áá nihí nihich'iyą' átsé daohsį́į́h , áko ła' t'áá dichin danilį́į łeh , ła'ígíí éí bił dahoniidoh .
46:11:003:1	Bóhólníihii bidiyingo adą́ ádadzósingo
46:11:022:0	Ha'át'íí lá , da' danihighan bii' da'doohsį́łígíísh doo nihee dahólǫ́ǫ da ? Éí doodago Diyin God dayoodláanii áłah nídaadleehígíísh doo nihił danilį́į da , áádóó t'áadoo bee dahólónígíísh yádadínóozįįłgo ádaahłééh biniyé ádaaht'į́ ? Ha'át'íishą' nihidideeshniił ? Da' nihaa hashniihísh dooleeł ? Dooda lą́ą , doo nihaa hóshniih át'ée da !
46:11:023:0	Háálá Bóhólníihii yee nashineeztą́'ígíí éí bee nanihinítą́ą́' : jó , Jesus éí nináho'deet'ą́ągo , t'áá éí bitł'éé' Jesus bááh nízhdii'ą́
46:11:024:0	áádóó sozdoolzingo Diyin God bich'į' baa ahééh jiniizį́į'go nidziizti'go ázhdííniid , Díí shits'íís nihá atélnéhígíí át'é . T'áá nídaahdį́į́h bik'eh díí bee shéédaałniih dooleeł .
46:11:025:0	T'áá ákót'éego da'jííyą́ą́'dóó bik'ijį' doodlį́įłii nízhdiiką́ągo ázhdííniid , Díí doodlį́įłii shidił binahjį' bee aha'deet'áanii ániidíii át'é . T'áá nídaahdlį́į́h bik'eh díí bee shéédaałniih dooleeł .
46:11:004:1	Bóhólníihii bidiyingo adą́ doo dazdísingóó dajiyą́ągo
46:11:026:0	Háálá díí bááh nídaahdį́į́h áádóó díí doodlį́įłii nídaahdlį́į́h bik'eh Bóhólníihii daaztsą́ągi baa dahołne'go ádaaht'į́ . Éí náánádzáajį' bida'oł'į́į doo .
46:11:027:0	Éí bąą t'áá háiida Bóhólníihii doo jidísingóó díí bááh jííyą́'ígíí áádóó díí doodlį́įłii joodlą́'ígíí , éí Bóhólníihii bits'íís índa bidił doo hoł nilį́į́góó bee hohodiit'i'go át'é .
46:11:028:0	Áko diné éí ha'ázdidoolziłgo índa díí bááh jidooyį́į́ł áádóó díí doodlį́įłii jidoodlį́į́ł .
46:11:029:0	Háálá éí Bóhólníihii bits'íís t'áadoo hazhó'ó bik'izhdiitįįhí díí bááh jííyą́'ígíí áádóó doodlį́įłii joodlą́'ígíí éí bee ánihoot'aahjį' ádihozhdidoolt'ihgo át'é .
46:11:030:0	Éí biniinaa nihitahgóó lą'í doo dabidziil da áádóó ka nidaakai , índa ła' daneezná .
46:11:031:0	Nidi átsé t'áá nihí hazhó'ó hada'ádiilzíidgo Diyin God doo nihaa nídóot'įįł da .
46:11:032:0	Nihokáá' dine'é doo bił nihá nihodiyoot'áał da biniyé Bóhólníihii nihainít'į́įgo t'áá hashkée nanihinitin .
46:11:033:0	Éí bąą , shik'isóó , Bóhólníihii bidiyingo adą́ biniyé áłah nídaahdleehgo , ałba' nahísóotą́ .
46:11:034:0	Diné ła'da dichin dzizlį́į'go háni'dii hooghandi azhdooyį́į́ł , ákót'éego áłah nídaahdleehgo éí doo ła' nihá nihodoot'áał da . Áádóó náánáła' bíndashídóołkidii éí nihaa náánísdzáago índa nihił ch'ídadeesh'aał .
