46:15:001:1	Da'aztsą́ą́dę́ę́' Christ náábi'diilzáii
46:15:036:0	Diné doo hóyáanii nílíinii ! Ha'át'íhída k'éédílyéehii bílástsii' łeeh ji'áahgo daatsaah , áádóó ak'ǫ́ǫ́' biyi'dę́ę́' hináanii hanisééh .
46:15:037:0	K'éédídléehii doo t'áá áłdįįd nidaneesánígíí k'éididléeh da , nidi tł'oh naadą́ą́' índa t'áá ha'át'íí shį́į́ k'éédílyéhígíí éí bílástsii' t'éiyá k'éididlééh .
46:15:038:0	Nidi bílástsii' hadahiniséehgo Diyin God t'áá bí bił yá'át'éhígi át'éego neinise' , áko k'eelyéí neinise'go t'áá da'níł'ąą ádaat'éego ádeiile' .
46:15:039:0	Jó , ats'íís danilíinii t'áá ał'ąą ádaat'é , diné bits'íís t'áá sahdii át'é , áádóó naaldlooshii , łóó' , áádóó tsídii ałdó' bits'íís t'áá sahdii ánáádaat'é .
46:15:040:0	Yót'ááh hiníláii yee hadadít'éii índa nahasdzáán yee hadadít'éii ałdó' dahólǫ́ , nidi yót'ááh hiníláii dahólónígíí yee ayóó ánóolninii índa nahasdzáán bikáa'gi dahólónígíí yee ayóó ánóolninii éí doo aheełt'ée da .
46:15:041:0	Jį́honaa'éí yee bits'ádi'nílíidii éí t'áá sahdii át'é , tł'éhonaa'éí bee bits'ádi'nídíinii éí t'áá sahdii ánáánát'é , índa sǫ' bee bits'áda'deezdíinii ałdó' t'áá sahdii ánáádaat'é ; jó , sǫ' yee ayóó ádanóolninígíí t'áá da'níł'ąą ádaat'é .
46:15:042:0	Daneeznáanii náádiijeehii ałdó' t'áá ákónáánát'é . Ats'íís k'eelyéigi át'éego łeeh bi'diltéehii éí diłdzi' , t'áá éí náábidi'doodláałii éí doo dółdzid át'ée da .
46:15:043:0	Hojooba' át'éego łeeh bi'diltééh , nidi ayóó át'éego ił nilį́įgo náábidi'doodlááł . Doo bidziilgóó łeeh bi'diltééh , nidi bidziilii nilį́įgo náábidi'doodlááł .
46:15:044:0	Ts'ísee k'ehgo ats'íís nilį́įgo łeeh bi'diltééh , diyin k'ehgo ats'íís nilį́įgo náábi'diidlááh . Ts'ísee k'ehgo ats'íís nilíinii hólǫ́ǫgo , diyin k'ehgo ats'íís nilíinii ałdó' hólǫ́ .
46:15:045:0	Jó , Diyin God bizaad bee ak'e'ashchíinii ání , Átsé hastiin Ádam éí bíla' ashdla'ii nilíinii ályaa ; Ádam akéédę́'ígíí éí níłch'i , iiná eidii'aahii jílį́ .
46:15:046:0	Áko níłch'i k'ehgo nilínígíí éí doo átsé da , ats'íís k'ehgo nilínígíí éí átsé , áádóó índa níłch'i k'ehgo nilínígíí jiníyá .
46:15:047:0	Átsé hastiin éí łeezh bits'ą́ą́dóó áho'diilyaa , náá'ákéé' góne'ígíí éí Bóhólníihii yá'ąąshdę́ę́' jiníyá .
46:15:048:0	Nihokáá' dine'é éí t'áá łeezh bits'ą́ą́dóó ábi'diilyaaígi ádajít'é , áádóó yá'ąąsh bíí' dajílíinii éí t'áá yá'ąąshdę́ę́' jílínígi ádajít'é .
46:15:049:0	Łeezh bits'ą́ą́dóó áho'diilyaaígi ádaniit'éé nít'é'ígi át'éego yá'ąąshdę́ę́' jílínígi ádaniit'ée dooleeł .
46:15:050:0	Áko shik'isóó , kónihidishní : ats'íís índa dił éí Diyin God bee bóhólníihgo bił haz'áanii doo bił ałts'ą́ą́' adzóołk'iiz át'ée da , índa diłdzidii éí hool'áágóó hólóonii doo bił ałts'ą́ą́' adzóołk'iiz át'ée da .
46:15:051:0	Jó'akon , na'nitin doo bééhózin da yę́ę bee nihił hashne' . Doo t'áá áníiltso dadíníi'néeł da , nidi t'áá áníiltso łahgo ádanihidi'doolnííł ,
46:15:052:0	béésh łitsoii dilní akée'di ádííniidgo índa jineesk'ołígi át'éego tsxį́įłgo łahgo ádanihidi'doolnííł . Háálá béésh łitsoii dilní ádidooniił , áádóó daneeznánígíí doo náádadínóo'nééłgóó náádidooljah , áádóó nihí łahgo ádanihidi'doolnííł .
46:15:053:0	Háálá díí ats'íís didoołdziłii éí doo diłdzidii nídoodleeł , áádóó díí dadootsaałii éí ats'íís doo daatsaahii nídoodleeł .
46:15:054:0	Díí didoołdziłii doo diłdzidii násdlį́į'go , áádóó díí dadootsaałii doo daatsaahii násdlį́į'go , áadi índa kót'éego Diyin God bizaad bee ak'e'ashchį́ ha'nínígíí bohodoolnííł : Aniné baa honeeznáago bik'eh hodeesdlį́į́' !
46:15:055:0	Aniné nílíinii , nizǫ́ǫ́zshą' éí háájí ? Jishcháá' nílíinii , bee nihik'eh dídlíiniishą' éí háájí ?
46:15:056:0	Bąąhági át'éii éí aniné bizǫ́ǫ́z át'é , áádóó bąąhági át'éii bibee adziilii éí bee haz'áanii át'é .
46:15:057:0	Nidi haa'íshą' Diyin God bich'į' ahééh daniidzin doo , jó , nihiBóhólníihii Jesus Christ bee nihá ak'eh hodeesdlį́į́' !
46:15:058:0	Éí bąągo , shik'isóó ayóó'ánihósh'níinii , danołdzilgo , doo nihízhdóyííł át'éégóó t'áá áłahjį' t'ááłáhígi át'éego Bóhólníihii bá nidaał'a' , háálá doo t'áadoo biniyéhígóó Bóhólníihii bá nidaał'a' dago nihił béédahózin .
