46:14:001:1	Álílee k'ehgo yáti' bee yáti'ii áádóó Diyin God bá hane'ii
46:14:031:0	Áko t'áá ánółtso t'ááłá'í nootínígo Diyin God bá dahołne' doo , áko t'áá ałtso bił éédahodoozįįł , áádóó t'áá ałtso chánah dadooleeł .
46:14:032:0	Diyin God bá hojilne'ii t'áá hó hadziidziihígíí bee ádaa áhojilyą́ągo hadziidziih doo .
46:14:033:0	Háálá Diyin God éí hahóó'á doo bił yá'át'éeh da , nidi Diyin God bidiyį́į́' t'áá ałtsogóó áłah nídaadleehígi át'éego hasht'ediniit'éego bił yá'át'ééh .
46:14:034:0	Da'oodlání áłah nídaadleehgi sáanii t'áadoo yádajiłti'í dooleeł , háálá yádajiłti'ígíí doo bee há haz'ą́ą da , nidi t'áá bee haz'áanii Mózes baa deet'áanii ánínígi át'éego t'óó ak'eh hojíł'į́į doo .
46:14:035:0	T'áá ha'át'íhída nihił béédahodoozįįł daznízingo háni'dii t'áá dahaghandi hadahastiin éí bíndabízhdíłkid doo . Háálá da'oodlání áłah nádleehgi asdzání yájíłti'go baa yáhásin .
46:14:036:0	Da' Diyin God bizaadísh nihits'ą́ą́dóó háát'i' ? Da' t'áásh nihí t'éí nihaa nít'i' ? Dooda lą́ą !
46:14:037:0	Diné ła'da Diyin God yá halne'ii nishłį́ nízingo , éí doodago Níłch'i Diyinii aidii'aahii shaa deet'ą́ nízingo éí bíni'dii nihich'į' bee ak'e'ashchíhígíí t'áá aaníí Bóhólníihii yee has'áanii át'éego yaa ákonízin doo .
46:14:038:0	Nidi diné ła'da díí bee ak'e'ashchíhígíí doo yaa ákonízin dago , éí bíni'dii doo haa ákohwiindzin da doo .
46:14:039:0	Éí bąą , shik'isóó , Diyin God bá dahołne' doogo t'áá íiyisí bídin danohłį́į le' , áádóó álílee k'ehgo yáti' t'áadoo ahąąh daaht'íní .
46:14:040:0	Bíni'dii t'áá ałtsoní yá'át'éehgo índa hasht'ehodít'éego baa na'aldeeh le' .
