12:9:001:1	Jííhu éí Ízrel dine'é aláahgo yinanit'a'í dooleełgo bi'doolzį́į́'
12:9:011:0	Jííhu hananit'a'í bá nidaal'a'í bich'į' ch'éédzídzáago ła' áháłní , T'áásh ałtso yá'át'ééh ? Ha'át'íísh biniyé díí t'óó diigisii naa níyá ? Áko ábijiní , Díí diné áádóó yáłti'ígíí bee béédahonohsin .
12:9:012:0	Áádóó ádaaní , T'óó ádíní ; t'áá k'ad nihił hólne' . Áko Jííhu ání , Jó , kót'éego shich'į' haadzíi'go ání , Bóhólníihii kóní , Ízrel dine'é aláahgo binanit'a'í dííleeł biniyé ak'ah nik'i yaadziidgo níísį́į́' .
12:9:002:1	Jííhu éí Jóram yiyiisxį́
12:9:013:0	Nít'éé' tsį́įłgo t'ááłá'í jinítínígo akáa'gi daha'é'ígíí bikáá' hááda'aldáhí góde bá nidadziskaadgo yikáá'dóó niníyá áádóó deenásts'aa' bidee' bee í'dílzoołgo bee ádazhdííniidgo ádajiní , Jííhu éí aláahgo naat'áanii nilį́ .
12:9:014:0	Ákót'éego Nímshai binálí Jiiháshafat biye' Jííhu éí Jóram yik'ijį' hodeez'ą́ . ( Íídą́ą́' Jóram éí Ízrel dine'é t'áá ałtso yił Síriya dine'é aláahgo binanit'a'í Házeiyel biniinaa Réímath-gíliyad kin haal'áagi hééshjéé' nít'éé' .
12:9:015:0	Nidi aláahgo naat'áanii Jóram éí Síriya dine'é aláahgo binanit'a'í Házeiyel yik'ijį' naabaahgo Síriya dine'é bisiláo nabi'doolk'ęh nídoodzih biniyé Jézriyel kin haal'áajį' t'ą́ą́' nádzá . ) Áko Jííhu ání , Kót'ée dooleeł danohsingo Jézriyelgi doo ła' hodoolnih da biniyé t'ááká díí kin haal'áádóó ła' ch'óoya' .
12:9:016:0	Nít'éé' Jííhu bitsinaabąąs bijáád naakiígíí ła' bił yilwołgo Jézriyelgóó ííyá , háálá áadi Jóram sitį́ . Íídą́ą́' Júdah dine'é aláahgo binanit'a'í Eihazáíyah áadi Jóram yaa níyá .
12:9:017:0	Nít'éé' Jézriyelgi ha'ídées'į́į'ii na'alzídí bikáá'dóó sizį́įgo Jííhu yił yikahígíí haideel'į́į'go ání , Níléídę́ę́' ła' jookah . Jóram ání , Diné ła' łį́į́' bee bidááhgóó díł'áago áyididooniił , K'éésh biniyé ádaoht'į́ ?
12:9:018:0	Áko diné ła' bidááhgóó łį́į́' bi ł eelwodgo ání , Aláahgo naat'áanii kóní , K'éésh biniyé wohkah ? Jííhu ání , K'éésh ha'át'íí bee ádíílííł ? Shikée'jigo aninááh . Áádóó ha'ídées'į́į'ii yaa ch'ééhoní'ą́ągo ání , Yidááh níyáa nidi doo t'ą́ą́' náádáał da .
12:9:019:0	Áko naaki góne' ła' łį́į́' bee anáájííł'a'go yidááh níyáago ání , Aláahgo naat'áanii kóní , K'éésh biniyé wohkah ? Jííhu ání , K'éésh ha'át'íí bee ádíílííł ? Shikée'jigo aninááh .
12:9:020:0	Ha'ídées'į́į'ii yaa ch'éénááhoní'ą́ągo ání , T'áá yaa níyáa nidi doo t'ą́ą́' nínáánádáał da ; Nímshai biye' Jííhu oołbąsígi át'éego aadę́ę́' oołbąs ; jó , t'áá bizááká oołbąs .
12:9:021:0	Áádóó Jóram ání , Hasht'e'ádadołnééh . Áko bitsinaabąąs bijáád naakiígíí bá hasht'edajiilaa . Nít'éé' Ízrel dine'é aláahgo binanit'a'í Jóram áádóó Júdah dine'é aláahgo binanit'a'í Eihazáíyah t'áá ał'ąą bitsinaabąąs bijáád naakiígíí yee Jííhu yidááh doo'ash biniyé dah dii'áazhgo Jézriyeldóó diné Néíbath yę́ę bidá'ák'eh nít'é'ígi yidááh ní'áázh .
12:9:022:0	Áádóó Jóram éí Jííhu yiyiiłtsą́ągo ání , K'éésh biniyé ánít'į́ , Jííhu ? Haadzíi'go ání , Nimá Jézebel be'ajił áádóó álílee k'ehgo yee hoołáałii t'ah náás deít'éehgo haash yit'éego k'é hólǫ́ǫ doo ?
12:9:023:0	Áko Jóram éí Eihazáíyah ííłní , Eihazáíyah nílíinii , nihizéé' deest'ą́ą́ lá , níigo naa ná'ásbą́ązgo dah díníichą́ą́' .
12:9:024:0	Áádóó Jííhu t'áá ábóodziilígi yee be'ełtį́į́' niiníłts'ǫ́ǫdgo Jóram biníighah góne' yiskah , áko k'aa' hajéí biníkálnóodgo hatsinaabąąs bijáád naakiígíí bii'jį' nazhnííyęęzh .
12:9:025:0	Áko Jííhu éí bisiláo binanit'a'í Bídkar ííłní , Nídoołteehgo Jézriyel kin haal'áádóó diné Néíbath yę́ę bidá'ák'eh nít'é'íjį' ahołhan ; jó , díí béénílniih : bizhé'é Éíhab yę́ę éí ni áádóó shí bikéé' iilbąsgo Bóhólníihii díí atí'doolníiłii hak'ijį' niidiní'ą́ągo ádííniid ,
12:9:003:1	Jííhu éí Eihazáíyah yiyiisxį́
12:9:026:0	T'áá aaníí adą́ą́dą́ą́' Néíbath bidił áádóó biye'ké bidił yiiłtsą́ągo kwe'é haz'ánígi k'éédideeshnííł , ní Bóhólníihii . K'ad Bóhólníihii yee haadzí'ígíí bik'ehgo ni'jį' ahołhan .
12:9:027:0	Áko Júdah dine'é aláahgo binanit'a'í díí dziiłtsą́ągo dá'ák'eh kin bíighah góne' azhnííchą́ą́' . Áádóó Jííhu hakéé' dah adiiłbą́ązgo ání , Hó ałdó' dahooł kah . Áko Ger haz'ą́ą́ góde jookahgo Íbliyam kin shijaa'ígíí bíighahgi tsinaabąąs bijáád naakiígíí yii'jį' dahaskah . Áádóó Megído kin haal'áágóó azhnííchą́ą'go áadi dadziztsą́ .
12:9:028:0	Áádóó há nidaal'a'í éí tsinaabąąs bijáád naakiígíí yee Jerúsalem kin haal'áágóó dah hastį́įgo dahazhé'é yę́ę yóó'ádaalyaaígi éí David yę́ę bikin haal'áhígi tséní'ootséél góne' yóó'ádahojiilaa .
12:9:004:1	Jézebel daaztsą́
12:9:029:0	Éíhab biye' Jóram nant'áago ła'ts'áadah náhááh góne' Eihazáíyah Júdah dine'é aláahgo yinanit'a'í silį́į́' .
12:9:030:0	Nít'éé' Jííhu Jézriyelgi níyáago Jézebel yaa hodiizts'ą́ą́' , áko binii' yizhchíi'go índa bitsii' neizhch'ąą'go tsésǫ'dę́ę́' déez'į́į́' .
12:9:031:0	Jííhu yah a'atiindę́ę́' yah ííyáago Jézebel ání , Zímrai , k'éésh bił yíníyá , binanit'a'í yiyiisxíinii nílíinii ?
12:9:032:0	Áko Jííhu éí tsésǫ' góde déez'į́į'go ání , Háí shich'ijí nilį́ ? Háí ? Yúnak wolyéhígíí naaki , doodaii' táa'go áádę́ę́' dadéez'į́į́' .
12:9:033:0	Áádóó ííłní , Bidah adahołhan . Áko bidah adajiisxango bidił éí tsé ahénátł'inígíí índa łį́į́' bik'éheesdááz , áádóó bik'i łį́į́' hoł naswod .
12:9:034:0	Áko yah ajííyáago ajííyą́ą́' áádóó ajoodlą́ą'go ájíní , Nílááh , díí asdzání t'óó báhádzidgo bá ha'oodzí'ígíí nídadoołteehgo yóó'ádaohłééh , háálá aláahgo naat'áanii bitsi' jílį́į́ nít'éé' .
12:9:035:0	Nidi yóó'adazhdoolííł biniyé ákǫ́ǫ́ ajookaigo hatsiits'iin áádóó hakee' índa hála' t'éiyá bik'íjíkai , áko hats'íís yę́ę łahjį' t'áá át'é ádin .
12:9:036:0	T'ą́ą́' níjíkaigo Jííhu bił dahojoolne' . Áko ání , Díí Bóhólníihii bá naal'a'í Iiláíjah Tíshbehdóó diné nilíinii yee haadzíi'go kóníi ni' , Díí Jézriyel haz'ánígi Jézebel bitsį' łééchąą'í deidoolghał ,
12:9:037:0	áádóó Jézriyelgi Jézebel bits'íís chąą' nahalingo dá'ák'ehgóó nanise' bich'iyą' nídoodleeł , áko , Díí Jézebel yę́ę át'į́ , doo ła' bizhdidooniił da .
