12:17:001:1	Samériya bik'eh hodeesdlį́į́' áádóó Ízrel dine'é yisnááh ádahodiilyaa
12:17:011:0	Bóhólníihii éí Ízrel dine'é bits'ąą ał'ąą dine'é nahjį' kóyiilaaígíí éí ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígi t'áá át'é ádáát'įįdígi át'éego ákwii tsin bijeeh dilidgo łikání halchinii dazhdiłidgo doo yá'ádaashóonii baa nijikaigo bee Bóhólníihii bá dahojííłchįįd .
12:17:012:0	Háálá eda'alyaii bich'į' nidahojiłá ; éí Bóhólníihii hach'į' yee haadzíí' , Díí doo ádadoohłíił da , hałní .
12:17:013:0	Nidi Bóhólníihii éí bá dahalne'ii t'áá ałtso índa náásgóó áhodooníiłii dayoo'íinii binahjį' Ízrel dine'é áádóó Júdah dine'é yik'ijį' haadzíi'go ání , Doo yá'áshóonii baohkahígíí bits'ą́ąjį' ninánóhkáahgo shibik'eh ó'oo'níiłii áádóó bee nihwiish'aahii , éí shibee haz'áanii bik'eh dahonoł'į́į doo biniyé shá nidaal'a'í shá dahalne'ii danilíinii éí danihizhé'é yę́ę bich'į' yíł'aadgo bee bich'į' haasdzíí' .
12:17:014:0	Ákóbi'doo'niid nidi doo ádahodiilts'a' dago dabizhé'é yę́ę bi'ák'eha'į́ bee doo binídahaz'áa da yę́ęgi át'éego doo binídahaz'áa da ; éí biDiyin God Bóhólníihii doo dayoodlą́ą da nít'éé' .
12:17:015:0	Áádóó yee nihwiiz'áanii áádóó dahazhé'é yę́ę yił aha'dadeest'áanii índa yee hahaasdzíi'ii yee ho'níłnii'ígíí doo dazniizį́į' da , áko t'áadoo nánídlíinii yikéé' dahidiikaigo t'áadoo nánídlíinii daazlį́į'go ał'ąą dine'é hanaagóó kéédahat'íinii deíkáhígíí bik'ehgo dajikááh ; éí Bóhólníihii doo ákódadoohníił da , hałní .
12:17:016:0	Áko biDiyin God Bóhólníihii bibik'eh ó'oo'níiłii t'áá át'é yits'ákaigo óola doolyį́į'go bee béégashii yáázh naakigo be'elyaago ádayiilaa , áádóó asdzání be'elyaii ádayiilaa , áádóó yót'ááh hiníláii t'áá át'é yich'į' nidahałá , índa Béíyal yich'į' nidahałá .
12:17:017:0	Áádóó biye'ké índa bitsi'ké didlidgo náádayiisnii'go , bee ééhodoozįįłii índa bee álílee áda'ool'įįłii chodayooł'į́įgo Bóhólníihii binááł doo yá'áshóonii yich'į' nida'ádiisnii'go bąą Bóhólníihii yádahóółchįįd .
12:17:018:0	Éí bąą Bóhólníihii éí Ízrel dine'é yich'į' t'áá íiyisí doo bił hóózhǫǫd da , áko binááł doo nináájíldeeh da doo biniyé áts'ą́ąjį' kóhoolaa ; t'áá hazhó'ó Júdah dine'é t'éiyá daadzíí' .
12:17:019:0	Júdah dine'é ałdó' biDiyin God Bóhólníihii bibik'eh ó'oo'níiłii doo yik'eh hół'į́į da , nidi Ízrel dine'é t'áá bí yee nihwiiz'áanii bik'ehgo dajíkááh .
12:17:020:0	Áko Bóhólníihii éí Ízrel dine'é náás ahoolchíiłii doo yiniizį́į' da áádóó atíyiilaago doo náádahwiidoołtséeł da biniyé aghada'ii'níiłgo áda'oołdįįłii yaa hodiní'ą́ .
12:17:021:0	David yę́ę ba'áłchíní náás ahoolchíiłii bee óhólnííh bits'ą́ą́dóó Ízrel dine'é t'áá na'níle'dii haghaideet'ą́ , áko Nííbat biye' Jerobówam aláahgo binanit'a'í ádayiilaago Ízrel dine'é éí Bóhólníihii yikéé' deíkáahii yits'ą́ąjį' kóyiilaago ayóó át'éego ádił nida'iisíihgo áyiilaa .
12:17:022:0	Áádóó Ízrel dine'é éí Jerobówam ni'iilzííh yaa naayáhígíí t'áá át'é bééjískaigo t'áadoo yóó'adazdeez'ą́ą da ;
12:17:002:1	Samériya kéyahgi ał'ąą dine'é kéédahat'į́įgo ályaa
12:17:023:0	Bóhólníihii bá nidaal'a'í éí bá dahalne'ii t'áá ałtso binahjį' yee haadzí'ígi át' éego Ízrel dine'é doo náájoot'į́į da doogo nahjį' kóyiilaajį' ákódajíít'įįd . Áko Ízrel dine'é díísh jį́įjį' t'áá hó hakéyahdóó Asíriyagóó adaho'diisht'eezh .
12:17:024:0	Áko Asíriya dine'é aláahgo binanit'a'í éí Bábilandę́ę́' áádóó Káthahdę́ę́' áádóó Éívadę́ę́' áádóó Héímathdę́ę́' índa Séfarvéíyimdę́ę́' dine'é niyiizh'eezhgo Samériya kéyahgi kin hadaas'áágóó Ízrel dine'é bitsásk'ehgi niyiiznil , áko éí Samériya kéyah bíí' daazlį́į'go ákwii kin hadaas'áagi kéédahat'į́į́ nít'éé' .
12:17:025:0	Kót'éego ákwii kéédahat'į́ silį́į'go Bóhólníihii doo deidósin dago biniinaa Bóhólníihii éí hatahjį' náshdóítsoh bitsiijį' daditł'ooígíí yi'níłnii'go éí ła' nidahastseed .
12:17:026:0	Nít'éé' Asíriya dine'é aláahgo binanit'a'í yich'į' yee hadaasdzíi'go ádaaní , Samériyagi kin hadaas'áagi ał'ąą dine'é nináhíní'eezhgo ákwii níínínilii éí kéyahgi diyin át'éii doo bił béédahózinígíí biniinaa , jó , bitahjį' náshdóítsoh bitsiijį' daditł'ooígíí yi'níłnii'go nidabistseed , háálá éí kéyahgi diyin át'éii doo yéédahósin da .
12:17:027:0	Áádóó Asíriya dine'é aláahgo binanit'a'í haadzíi'go ání , Nááda'iiłniihii áádę́ę́' nídashoo'eezhígíí ła' bił nídooht'aashgo bíni' ákǫ́ǫ́ doogáałgo áadi kééhat'į́įgo bíni' ákwii kéyahgi diyin át'éii yee neinitin doo .
12:17:028:0	Nít'éé' nááda'iiłniihii ła' Samériya kéyahdę́ę́' yi ł nídaaskaígíí éí Béthelgi kééhat'į́ , áko Diyin God haash yit'éego dólzinígíí yee neinitin nít'éé' .
12:17:029:0	Nidi ał'ąą dine'é t'áá ałtso t'áá hakin hadaas'á kéédahojit'ínígóó t'áá hó hadiyin bida'alyaago ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi Samériya dine'é éí kin ádayiilaii góne' nidayiiznil .
12:17:030:0	Áádóó Bábilandóó dine'é éí eda'alyaii Sákath-bíínath wolyéii ádayiilaa , Káthahdóó dine'é éí eda'alyaii Néíyergal wolyéii ádayiilaa , índa Héímathdóó dine'é éí eda'alyaii Asháíma wolyéii ádayiilaa .
12:17:031:0	Áádóó Éívadóó dine'é éí eda'alyaii Níbhaz índa Tártak wolyéii ádayiilaa , Séfarvéíyimdóó dine'é bidiyin bidi'níinii Adrámalek índa Anámelek wolyéii yich'į' ba'áłchíní deidiłidgo náádayiiłniih nít'éé' .
12:17:032:0	Áko Bóhólníihii deidósin , nidi ałdó' diné bitahdóó ła' nídayiizláa'go ninádahałaah doo biniyé wódah nahaz'ą́ągo ádaalyaaígi nááda'iiłniihii niinínil ; éí ninádahałaah doo biniyé wódah nahaz'ą́ągo ádayiilaadi daakin bii' há nááda'iiłniih nít'éé' .
12:17:033:0	Bóhólníihii deidósin , nidi ał'ąą dine'é bitahdóó nidaho'diisht'eezhígíí ádaat'ínígi át'éego t'áá hó dahodiyin ałdó' dazdósin nít'éé' .
12:17:034:0	Áko díísh jį́įjį' t'áá nahdę́ę́' ádaat'į́į́ nít'éé' yę́ęgi ádaat'į́ . Bóhólníihii doo deidósin da , doo nidi yee nihwiiz'áanii , doodaii' bibik'eh hoogáałii , doodaii' bibee haz'áanii , doodaii' bibik'eh ó'oo'níiłii éí Jéíkab t'áá éí Ízrel yee yiyíízhi'ígíí ba'áłchíní yich'į' Bóhólníihii hahaasdzí'ígíí doo bik'ehgo ádajit'į́į da .
12:17:035:0	Bóhólníihii éí Ízrel dine'é yił ahada'deest'ą́ągo ádííniid , Diyin dabidi'níinii t'áadoo dadíínóhsiní , áádóó t'áadoo bich'į' yaa áńdaoht'įįhí , áádóó t'áadoo bich'į' nidahohłáhí , índa t'áadoo bich'į' nááda'iyołniihí .
12:17:036:0	Nidi Bóhólníihii bibee adziil ayóó át'éii yee índa bigaan yee k'ídeeshchidgo Ííjip kéyahdę́ę́' háánihíí'eezhígíí dadíínóhsin ; éí bich'į' nidahohłá , índa bich'į' nááda'iyołniih .
12:17:037:0	Áko yee nihwiiz'áanii áádóó bik'eh hoogáałii áádóó bee haz'áanii índa bik'eh ó'oo'níiłii nihá yee ak'e'ashchínígíí bik'eh dahonoł'į́įgo hool'áágóó hazhó'ó ádaoł'į́į doo , áko diyin dabidi'níinii doo dadíínóhsin da doo .
12:17:038:0	Nihił ahada'dinisht'áanii doo baa deidiyohnah da ; diyin dabidi'níinii doo dadíínóhsin da doo .
12:17:039:0	Nidi nihí éí Bóhólníihii Diyin God dadíínóhsin , áko nihi'ana'í t'áá ałtso yigháánihidoo'nił .
12:17:040:0	Ákót'ée nidi doo ádahodiilts'a' da , nidi t'áá ałk'idą́ą́' ádáát'įįdii bik'ehgo ádaanííł nít'éé' .
12:17:041:0	Áko díí ał'ąą dine'é éí Bóhólníihii deidósin , áádóó eda'alyaii ałdó' yich'į' nidahałáá nít'éé' ; bada'áłchíní áádóó banááda'áłchíní éí dabizhé'é yę́ę ádáát'įįdígi át'éego díí jį́įjį' ałdó' ákódaat'į́ .
