12:25:001:1	Jerúsalem bik'eh hodeesdlį́į́'
12:25:017:0	Naaki íí'áhígíí ła' dego naadiin tsosts'id ké silá áníłnééz áádóó bílátah dah si'ánígíí béésh łitsoii bee ályaaígíí éí dego dį́į́'dóó ałníí' ké silá ánízah ; béésh łitsoii ałnádaozt'i' áádóó éí bílátah dah si'ánígíí pámgrenit aneest'ą' nahalingo binázt'i'go ályaa ; łahjí ałdó' t'áá ákót'éego béésh łitsoii ałnádaozt'i'ígíí biłgo ályaa .
12:25:018:0	Siláo binanit'a'í éí alą́ąjį' náá'iiłniihii Siiréíyah áádóó bikéé' góne' náá' iiłniihii Zefanáíyah áádóó diné táa'go dáádílkał yaa ádahalyánígíí dah yidii'eezh .
12:25:019:0	Áádóó diné nidaabaahii yinanit'a'í ábi'diilyaa yę́ę índa diné ashdla'go éí aláahgo naat'áanii yíighah naazį́į́ nít'éé' yę́ę kin haal'áagi yik'ídaaskaigo áádóó siláo dah deínéehii binaaltsoos ííł'íní éí kéyahdóó dine'é áłah áyiilaaígíí áádóó kéyahdóó diné hastą́diingo kin haal'áagi yik'ídaaskaígíí dah yidii'eezh .
12:25:020:0	Áko éidí siláo yinanit'a'í Nébuzar'éídan éí Ríblahjį' Bábilan dine'é aláahgo binanit'a'í yich'į' yiní'eezh .
12:25:003:1	Júdah dine'é daadziihígíí Ííjip kéyahgóó adahineezhchą́ą́'
12:25:021:0	Áádóó Bábilan dine'é aláahgo binanit'a'í éí Héímath kéyahgi Ríblah kin haal'áadi nahastseed . Kót'éego Júdah dine'é dahakéyahdóó ch'ídaho'diisht'eezh .
12:25:022:0	Áko Bábilan dine'é aláahgo binanit'a'í Nébukadnézzar éí Júdah kéyahgi dine'é t'áá ákǫ́ǫ́ dahojílǫ́ǫgo áhoolaaígíí Shéífan binálí Gedaláíyah éí Aháíkam biye' honanit'a'í áyiilaa .
12:25:023:0	Nít'éé' siláo yinanit'a'í danilínígíí t'áá ałtso índa dabisiláo yił éí Bábilan dine'é aláahgo binanit'a'í éí Gedaláíyah naat' áanii áyiilaago dayíínii' , áko Nethanáíyah biye' Íshmeiyel áádóó Karíyah biye' Johéínan áádóó Niitófah kin shijaa'dóó Tanhúmeth biye' Siiréíyah índa Méíyakah dine'é ła' biye' Jeiyazanáíyah , éí áádóó bidine'é yił Mízpah kin haal'áadi Gedaláíyah yaa yíkai .
12:25:024:0	Áko hó áádóó diné dah deí'éshígíí t'áá bił Gedaláíyah éí hach'į' ádee hadoodzíi'go áháłní , Kaldíya dine'é bídahólníhígíí t'áadoo bik'ee nihił daayé'í ; kéyahgi kéédahoht'į́įgo Bábilan dine'é aláahgo binanit'a'í bá nidaał'a'go nihá yá'át'éeh doo .
12:25:025:0	Nidi tsosts'id nídízííd binih aláahgo naat'áanii ahoolchííł nilíinii Iilíshama biye' éí Nethanáíyah biye' Íshmeiyel wolyéii diné neeznált'éego yił yíkaigo Gedaláíyah dayiisxį́ índa Jew dine'é áádóó Kaldíya dine'é Mízpahgi hoł dah yikahígíí ałdó' nideistseed .
12:25:004:1	Jehóíyakin béédoochidgo Bábilan kin haal'áagi bił jíílįįd
12:25:026:0	Áádóó diné t'áá ałtso a'ohgo áádóó ayóó ádaat'éii índa siláo dah deínéehii yinanit'a'í danilíinii dah diináago Ííjip kéyahgóó adahazná , háálá Kaldíya dine'é béédadzisdzííd .
12:25:027:0	Nít'éé' Júdah dine'é aláahgo binanit'a'í Jehóíyakin yisná nilį́įgo tádiindóó ba'aan tsosts'id náhááh góne' naakits'áadah nídízííd binih naadiin tsosts'id jį́į́ góne' Íívil-meródak éí Bábilan dine'é aláahgo yinanit'a'í silį́į'go Júdah dine'é aláahgo binanit'a'í Jehóíyakin awáalyaadę́ę́' ch'éiníłt'e' .
12:25:028:0	Áko bá'áhwiinít'į́įgo hach'į' yáłti'go Bábilan kin haal'áagi aláahgo naat'áanii bił dajílínígíí t'ah bitisígo ił jílį́ .
12:25:029:0	Áádóó awáalyaají é'ígíí háázhdii' nilgo ahóyííłką́ąjį' t'áá ákwíí jį́ aláahgo naat'áanii ná'ádį́hígi níjídį́į́h nít'éé' .
12:25:030:0	Áko ahóyííłką́ąjį' ła'a jį́ bijíłkiin dooígíí t'áá ákwíí jį́ aláahgo naat'áanii haa néidi'ááh nít'éé' .
