12:10:001:1	Jííhu éí Éíhab ba'áłchíní ałtso íísdįįd
12:10:011:0	Kót'éego Jííhu éí Jézriyelgi Éíhab ba'áłchíní daadziihígíí índa bidiné ayóó ádaat'éii áádóó bik'is danilíinii índa binááda'iiłniihii ałtso neistseedgo wónáásdóó t'áadoo ła' yidzíi' da .
12:10:012:0	Áádóó dashdiiyáago Samériya kin haal'áágóó joogáałgo táńda'digish biniyé kin si'ánígi jiníyáago ,
12:10:013:0	Jííhu éí Júdah dine'é aláahgo binanit'a'í Eihazáíyah yę́ę bik'isóó ła' bidááshníyáago ájíní , Háísh ádaaht'į́ ? Áko hadaasdzíi'go ádaaní , Eihazáíyah bik'isóó ádeit'į́ ; nihí aláahgo naat'áanii bada'áłchíní índa asdzą́ą́ naat'ááh bada'áłchíní bich'į' deekai .
12:10:014:0	Áádóó ájíní , T'áá dahináago daołtsóód . Áko t'áá dahináago deisiłgo táńda'digish biniyé kin si'ání bíighahgi a'ánígi dízdiindóó ba'aan naaki diné nideistseed ; t'áadoo ła' yidzíi' da .
12:10:015:0	Jííhu dah náázdiidzáago Rííhab biye' Jiihónadab hach'į' yigáałgo bił ałdááh jít'áázh ; éí k'é bizhdííniidgo ábijiní , Nijéísh t'áá ákogi át'é , t'áá shijéí ni nijéígi át'éego ? Jiihónadab haadzíi'go ání , Aoo' , ákót'é . Jííhu ání , Ákót'éé ládą́ą́' shich'į' dah didiilnííh . Áádóó Jííhu bich'į' dashdiilnii'go tsinaabąąs bijáád naakiígíí yiih hóółt'e' .
12:10:016:0	Áádóó Jííhu áháłní , Tį' , shił yí'ash , áko Bóhólníihii bá bíneeshdlínígíí yiidííłtsééł . Áko tsinaabąąs bijáád naakiígíí bee bił dashdiikai .
12:10:002:1	Jííhu éí Béíyal bich'į' nahadláhígíí nahjį' kóyiilaa
12:10:017:0	Nít'éé' Samériya kin haal'áagi jiníyáago Bóhólníihii éí Iiláíjah yee yich'į' haadzí'ígíí bik'ehgo ákwii Éíhab yę́ę ba'áłchíní daadziihígíí ałtso nijistseed .
12:10:018:0	Jííhu éí diné t'áá ałtso áłah áyiilaago ííłní , Éíhab yę́ę t'áá áłts'ísígo Béíyal yich'į' nahałáá nít'éé' , nidi Jííhu éí t'ah aláhígo Béíyal yich'į' nahałáa doo .
12:10:019:0	Éí bąą k'ad , bíni'dii Béíyal bá dahalne'ii áádóó bá nidaal'a'í índa bá nááda'iiłniihii t'áadoo ła' doodaí shá hágo dabidohní , háálá ayóó át'éego didlidgo nááhániihii Béíyal bich'į' náádiyeeshnih ; t'áá háiida dooda nízinígíí éí doo jiináa da doo . Áko Jííhu hanahagiz bee Béíyal yich'į' nidahałáii ádeeshdįįł jinízingo ájít'į́ .
12:10:020:0	Jííhu ání , Béíyal bá ho'dílzingo ahí'iildééh baa dahodoołnih . Ákót'éego baa nidahodzisne' .
12:10:021:0	Áádóó Jííhu éí Ízrel dine'é t'áá át'é bitahgóó i'iis'a' ; Béíyal yich'į' nidahałáii t'áá ałtso nidahaaskai , áko t'áadoo ła' doodaí diné t'áá ałtso neheeskai . Nít'éé' Béíyal bá kin si'ání góne' áłah dzizlį́į'go kin góne' ałtso hazhdéébįįd .
12:10:022:0	Áko éénééz yaa áhályánígíí ábijiní , Aadę́ę́' Béíyal yich'į' nidahałáii bá éénééz ch'íníjááh . Áádóó éénééz ch'ízhníjaa' .
12:10:023:0	Nít'éé' Jííhu dah diiyá , áádóó Rííkab biye' Jiihónadab ałdó' Béíyal bá kin góne' yah ajíí'áazhgo Béíyal yich'į' nidahałáii ííłní , Bóhólníihii yá nidaal'a'í hádadóh'į́į́' , doo daats'í ła' nihitah da , Béíyal yich'į' nidahałáii daats'í t'éiyá ádaat'į́ .
12:10:024:0	Áádóó didlidgo nááhániihii náádahizhdoołnih biniyé yah ajookaigo Jííhu éí tł'óó'dę́ę́' diné tseebídiingo niinínilgo ání , Díí diné nihaa diní'ánígíí ła' t'óó bi'noołnii'go t'áá nihí bá ninádoohtłish .
12:10:025:0	Ákódzaago didlidgo nááhániihii ałtso ájiilaago Jííhu éí aa ádahalyáanii índa siláo bindanit'a'í ííłní , Nílááh , yah oohkáahgo nidaałtseed ; t'ááká ła' ch'óoya' lágo . Áádóó diltłish yee nideistseed , índa aa ádahalyáanii áádóó siláo bindanit'a'í éí nidaaztseedii ch'ídayiistł'íidgo Béíyal bá kin náwóne'í góne' ajookai .
12:10:026:0	Béíyal bá kindę́ę́' eda'alyaii ch'ídajiizhjaa'go dazhdííłid .
12:10:027:0	Áádóó Béíyal be'elyaii naa'adayiisxango Béíyal bikin t'áá yił nidayiisne' , áko díí jį́įjį' kin bii' nii'oh nída'aldahgo ádayiilaa .
12:10:028:0	Kót'éego Jííhu éí Béíyal bich'į' nahadlá Ízrel kéyahdóó nahjį' kóyiilaa .
12:10:029:0	Nidi Jííhu éí Nííbat biye' Jerobówam yee ni'iisí'ígíí bee Ízrel dine'é da'asiihgo áyiilaii t'áá éí Béthel kin haal'áagi áádóó Dan kin haal'áagi béégashii yáázh óola bee ályaago bich'į' nahadláhígíí t'áadoo yóó'azhdíí'ą́ą da .
12:10:030:0	Nít'éé' Bóhólníihii éí Jííhu ííłní , Shinááł t'áá ákogi át'éii bi'iinilaa áádóó shijéí bee íinisinígíí t'áá ałtso bik'ehgo Éíhab ba'áłchíní atíinilaa ; éí bąą na'áłchíní dį́įdi ałk'i ná'ázhchį́į́góó Ízrel dine'é bibikáá'dóó nahat'áii yikáá' ałkéé' dah náhidinoobįįł doo .
12:10:031:0	Nidi Jííhu éí Bóhólníihii Ízrel dine'é biDiyin God bibee haz'áanii doo yik'eh hół'į́į́góó yigááł nít'éé' ; jó , Jerobówam yee ni'iisí'ígíí éí bee Ízrel dine'é da'asiihgo áyiilaii t'áadoo yóó'iidíí'ą́ą da .
12:10:032:0	Íídą́ą́' Bóhólníihii éí Ízrel dine'é bikéyah ha'oh áyoolíiłgo hodideeshzhiizh , áádóó Házeiyel éí Ízrel dine'é bikéyah nidanees'ą́ą́góó kéédahat'ínígíí t'áá ałtso atíyoolííł nít'éé' .
12:10:033:0	Jórdan toohdóó ha'a'aahjigo kéyah Gíliyad hoolyéegi t'áá át'é , Géed dine'é áádóó Rúben dine'é índa Manáseh dine'é dabikéyah tooh Árnan bibąąhgóó Aró'er kin haal'áádóó t'áá Gíliyad kéyah áádóó Béíshan kin haal'áajį' aghaideet'ą́ .
12:10:034:0	Áko Jííhu łahjį' áát'įįdígíí áádóó yaa naayáhígíí t'áá ałtso índa yee ayóó át'éé nít'é'ígíí Ízrel dine'é aláahgo binanit'a'í danilį́į́ nít'éé' yę́ę binaaltsoos Kránikals wolyéii bik'inídaháasdzo .
12:10:035:0	Áko Jííhu éí dahazhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh , áádóó Samériya kin haal'áagi yóó'áho'diilyaa . Nít'éé' haye' Jiihó'ahaz hatsásk'ehgi aláahgo naat'áanii náánásdlį́į́' .
12:10:036:0	Samériyagi Jííhu éí Ízrel dine'é yinant'áago naadiin tseebíí nááhai .
