12:18:001:1	Heziikáíyah nant'áá nít'éé'
12:18:014:0	Júdah dine'é aláahgo binanit'a'í Heziikáíyah éí Léíkish kin haal'áágóó , Asíriya dine'é aláahgo binanit'a'í yich'į' i'ííł'a'go ání , Ádihodiisht'i' ; shits'ánóhnééh ; nich'į' nahashłée doogo shííníkeedígíí bíneesh'ą́ . Áko Asíriya dine'é aláahgo binanit'a'í éí Júdah dine'é aláahgo binanit'a'í Heziikáíyah éí táadi neeznádiin béésh łigaii tálent wolyéii áádóó tádiin óola tálent wolyéii niidooléełgo yíyííkeed .
12:18:015:0	Áko Heziikáíyah éí Bóhólníihii bikin bii' sohodizin góne' béésh łigaii índa aláahgo naat'áanii bighan góne' da'ílíinii t'áá át'é bik'ízhníyáhígíí Asíriya dine'é aláahgo binanit'a'í baazhnínil .
12:18:016:0	Íídą́ą́' Heziikáíyah éí Bóhólníihii bikin bii' sohodizin bidááda'dilkał áádóó bá adaaz'áhígíí bąąhdóó éí Júdah dine'é aláahgo binanit'a'í Heziikáíyah éí kin bíyah danii'áii óola yik'íísti'ígíí yąąh yiyííbį́į'go Asíriya dine'é aláahgo binanit'a'í yeinínil .
12:18:017:0	Áádóó Asíriya dine'é aláahgo binanit'a'í éí Léíkishdóó Tártan áádóó Rábsaris índa Rábshakeh éí ayóó át'é siláo yinéełgo yił Jerúsalemgi aláahgo naat'áanii Heziikáíyah yik'ijį' yiyííł'aad . Áko ákǫ́ǫ́ Jerúsalem góde haaskaigo áá yíkai . Áádóó wódahgo tó bá az'ánídóó tó bá aní'áhígíí bíighahgi iigisgo iilgááh bá haz'ánígíí bich'į'go atiinígi deizį' .
12:18:018:0	Aláahgo naat'áanii hágo deidííniidgo Hilkáíyah biye' Iiláíyakim éí aláahgo naat'áanii bighan bee bóhólníhígíí áádóó Shébna éí naaltsoos ííł'íní índa Éísaf biye' Jó'ah éí naat'áaniishchíín nilíinii díí hach'į' ch'ékai .
12:18:019:0	Rábshakeh áhodííniid , Heziikáíyah bich'į' hadaohdziih , Asíriya dine'é aláahgo binanit'a'í ayóó át'é nanit'a'í nilíinii kóní , Ha'át'íí ba'ahódlíí shį́įshą' baadzíínílí ?
12:18:020:0	Anaa' biniyé shinahat'a' índa adziil shee hólǫ́ , diní , nidi éí saad t'áadoo nánídlíinii ádaat'é . K'ad háishą' baadzíínílíigo shich'į' nanilteeh ?
12:18:021:0	Shoo , k'ad díí lók'aa' yisk'isgo íí'áhígíí baadzíínílí ; t'áá éí Ííjip dine'é át'é , t'áá éí diné ła' yíniizį́į'go bíla' baa adoozhosh , áko t'áá ádzíłtso éí Ííjip dine'é aláahgo binanit'a'í Féro baadeijólíhígíí ákódahodoolííł .
12:18:022:0	Nidi kódashidooniidgo , Bóhólníihii nihiDiyin God baadadzííníidlí ; éí ninádahałaah doo biniyé wódah nahaz'ą́ągo bíhígíí índa bibikáá' nááda'iiniihí yę́ę éí Heziikáíyah nahjį' kóyiilaa ya' ? Júdah dine'é áádóó Jerúsalem dine'é áyidííniid , Jerúsalemgi bibikáá' náá'iiniihí bidááhdóó nidahohłá , nihiłní .
12:18:023:0	Éí bąą k'ad , nánooshkąąh , shinanit'a'í , Asíriya dine'é aláahgo binanit'a'í nilíinii ba'nílé , áko bíninil'ą́ągo łį́į́' dabíyeeh dooígíí shóisíníłt'e' ládą́ą́' naakidi mííl łį́į́' naa deeshnił .
12:18:024:0	Haash yit'éego shinanit'a'í bá nidaal'a'í a'ohgo ádaat'éii siláo yinanit'a'í nilíinii níwehjį' bida'doołnihgo Ííjip dine'é bitsindaabąąs bijáád naakiígíí índa dabisiláo łį́į́' yee nidaabaahii ba'íídííliiłgo baa dzíínílíi doo ?
12:18:025:0	Bóhólníihii t'áágéédísh díí haz'ánígíí ádeeshdįįłgo níyá ? Bóhólníihii áshíłní , Nílááh , díí kéyah bik'ijį' hasínáahgo áhółdįįh .
12:18:026:0	Nít'éé' Hilkáíyah biye' Iiláíyakim áádóó Shébna índa Jó'ah éí Rábshakeh ádeiłní , Baa nídaniikąąh , ná nidaal'a'í bich'į' Síriya dine'é bizaad bee yáníłti' , háálá éí dadiits'a' ; Jew dine'é bizaad éí t'áadoo bee nihich'į' yáníłti'í , áko tsé ahénátł'inígíí bikáá'dę́ę́' diné doo dandidoots'į́įł da .
12:18:027:0	Nidi Rábshakeh ání , Shinanit'a'íísh nihinanit'a'í áádóó nihí nihich'į' hadeesdzihgo biniyé shiníł'a' ? Tsé ditą́ągo ahénátł'in bighą́ą'di diné dah naháaztánígíí da' éísh doo bich'į' shi'deel'a' da ? Áko éí t'áá bí dabichaan áádóó dabilizh nił deidooyį́į́ł ?
12:18:028:0	Nít'éé' Rábshakeh yiizį'go ayóó íits'a'go Jew k'ehjí chánahgo yee haadzíi'go ání , Asíriya dine'é aláahgo binanit'a'í ayóó át'é nanit'a'í nilíinii yee hahaasdzí'ígíí dadoohts'į́į́h .
12:18:029:0	Aláahgo naat'áanii kóní , T'ááká Heziikáíyah nihi'dóleeh lágo , háálá éí yisdánihidoojihígíí doo yíneel'ą́ą da .
12:18:030:0	Heziikáíyah éí Bóhólníihii baadadzíínóhłíigo ánihólééh lágo kóníigo , Bóhólníihii t'áá aaníí yisdánihidoonił ; díí kin haal'áii Asíriya dine'é aláahgo binanit'a'í doo baa didoot'áał da .
12:18:031:0	Heziikáíyah éí t'áadoo deísółts'ą́'í , háálá Asíriya dine'é aláahgo binanit'a'í kóní , Aa doolyéełii bee shił lą́ da'ohłeehgo wóshdę́ę́' shich'į' ch'ínóhkááh , áko t'ááłá'í nootínígo nihich'il na'atł'o'ii áádóó nihifig sikaadii bąąhdóó da'ohsą́ą doo , áádóó t'ááłá'í nootínígo nihito' bá na'az'ą́ą́dóó da'ohdlą́ą doo .
12:18:032:0	Deesháałjį' kéyah t'áá nihí danihikéyah át'éhígi át'éego kéyah bikáá' tł'oh naadą́ą́' áádóó wáin ániidíii bii' dahólǫ́ǫjį' , kéyah bikáá' bááh índa ch'il na'atł'o'ii dahólóníjį' , kéyah bikáá' áliv naazkaadii bik'ah índa tsés'ná bitł'izh dahólǫ́ǫjį' bich'į' ninihideesh'ish , áko dahinohnáago doo dadínóohnée ł da ; Heziikáíyah éí t'áadoo deísółts'ą́'í ; éí doo ákóne' anihi'ééshgóó kóní , Bóhólníihii éí yisdánihidoojih .
12:18:033:0	Ał'ąą dine'é dabidiyinígíísh ła' dahakéyah Asíriya dine'é aláahgo binanit'a'í yighadahodeest'ą́ ?
12:18:034:0	Héímath kin haal'áádóó índa Árpad kin haal'áádóó dadiyinii éí háájí ? Séfarvéíyim kin haal'áádóó , Híína kin haal'áádóó índa Áívah kin haal'áádóó dadiyiniishą' háájí ? Da' éísh Samériya kéyah shighadeideest'ą́ ?
12:18:035:0	Kédaayahdóó dadiyinii bitahdóó háídíígíishą' hakéyah shighaideet'ą́ , áko Bóhólníihii éí Jerúsalem doo shighaididoot'áał da .
12:18:036:0	Nidi dine'é dadéesxéelgo saad t'ááłá'í nidi t'áadoo yee yich'į' hadaasdzíi' da , háálá aláahgo naat'áanii haadzíi'go ání , Doo bich'į' háádadoohdzih da .
12:18:037:0	Nít'éé' Hilkáíyah biye' Iiláíyakim éí aláahgo naat'áanii bighandóó t'áadoo le'é yinanit'a'í nilíinii áádóó Shébna naaltsoos ííł'íní nilíinii índa Éísaf biye' Jó'ah naat'áaniishchíín nilíinii éí ák'inda'iisdláadgo Heziikáíyah yaa yíkaigo Rábshakeh hahaasdzí'ígíí yee yił dahoolne' .
