12:6:001:1	Tsénił bitsiits'iin hanáz'éél
12:6:022:0	Áko hadzoodzíi'go ájíní , Doo nidííłtsił da . Da' nidiltłish áádóó ne'ełtį́į́' bee yisnááh íinilaaígíísh nidííłtsił ? Da'dooyį́į́ł áádóó da'doodlį́į́ł biniyé bidáahgi tó áádóó bááh niníkaah , áko yídahółníihii yich'į' nídookah .
12:6:003:1	Iiláísha áádóó Samériya yináshzhiizhígíí
12:6:023:0	Nít'éé' bá áda'jíísįįd , áádóó da'ííyą́ą́' índa da'oodlą́ą'go yídahółníihii yich'į' nídookah biniyé aníjiis'a' . Kót'éego Síriya dine'é éí Ízrel dine'é bikéyahgi t'áadoo náánákai da .
12:6:024:0	Kódzaadóó bik'ijį' Síriya dine'é aláahgo binanit'a'í Ben-héídad éí siláo dah deínéehii t'áá ałtso áłah áyiilaago Samériya kin haal'áá góde nínáago yizénáshzhiizh .
12:6:025:0	Áko Samériya biníjíshzhiizhgo t'áá íiyisí hodichin hazlį́į'go wónáásdóó télii bitsiits'iin éí tseebídiin béésh łigaii shékel wolyéhígíí bą́ą́h ílį́įgo áádóó hasbídí bichaan bee adlání naakidi haaką́ bíighahgo éí ashdla' shékel wolyéii bą́ą́h ílį́įgo nidajiiłniih .
12:6:026:0	Nít'éé' Ízrel dine'é aláahgo binanit'a'í éí tsé ahénátł'inígíí yikáa'di yigáałgo asdzání léi' hach'į' hadoolghaazhgo ání , Aláahgo naat'áanii nílíinii , shinanit'a'í , shíká anilyeed .
12:6:027:0	Áko ájíní , Bóhólníihii doo níká iilyeedgóogo , haash yit'éego níká adeeshwoł ? Hada'iil'ésídóó daats'í , doodaii' ch'il na'atł'o'ii yiljizhídóó daats'í níká i'doolwoł .
12:6:028:0	Áádóó aláahgo naat'áanii áháłní , Haa lá yinidzaa ? Áko asdzání hadzoodzíi'go ájíní , Díí asdzání áshidííniid , Díí jį́ niyáázh diidį́į́ł biniyé ninádiní'aah , áádóó yiską́ągo shiyáázh diidį́į́ł , níí nít'éé' .
12:6:029:0	Áko shiyáázh shiiłbéezhgo yiidą́ą́' , áádóó biiskání áhodííniid , Niyáázh diidį́į́ ł biniyé ninádiní'aah , nidi biyáázh néidees'į́į́' lá .
12:6:030:0	Nít'éé' aláahgo naat'áanii éí asdzání haadzí'ígíí yidiizts'ą́ą'go ak'ina'ooldláadgo tsé ahénátł'in bikáa'di joogáałgo diné dadéez'į́į́' nít'éé' , jó , tł'oh yishbizh ayaadi bii' dziztį́ .
12:6:031:0	Áko ájíní , Díí jį́ Shéífat biye' Iiláísha t'ahdii bitsiits'iin hólǫ́ǫ́ ládą́ą́' Bóhólníihii t'ah yówehgo t'óó tsé'édinda atíshidoolííł .
12:6:032:0	Nít'éé' Iiláísha haghan góne' hastóí aląąjį' naazíinii bił nidzíiztą́ ; íídą́ą́' aláahgo naat'áanii halne' yił naal'a'í hach'į' ayííł'a' , áko naal'a'í t'ah doo haa yíghááhgóó hastóí ábijiní , Díí na'ałtseedii biyáázh shitsiits'iin nahgóó k'íidoołniił yiniyé shich'į' yiyííł'aad lá ! Shoo , níyáago bidádi'doołkałgo bidáádadínóozį́į doo ; honanit'a'í éí hakéédę́ę́' bikédil diits'a' .
12:6:033:0	Nít'éé' hastóí t'ah bich'į' yájíłti'go aláahgo naat'áanii haa níyáago ání , Díí doo yá'áshóonii éí Bóhólníihii bits'ą́ą́dę́ę́' át'é . Ha'át'íísh biniyé Bóhólníihii t'ahdii náásgóó biba' ánísht'ée doo ?
