14:26:001:1	Azáíyah nant'áá nít'éé'
14:26:012:0	Áádóó da'azhé'é yę́ę ba'áłchíní náás da'ahílchíihii aląąjį' naazíinii, siláo ayóó ádaat'éii t'áá ałtso yéélta'ígíí naakidi mííldóó ba'aan hastą́ądi neeznádiin lá. 
14:26:013:0	Áko bisiláo dah deínéehii éí táadi neeznádiindóó ba'aan tsosts'idi mííldóó ba'aan ashdladi neeznádiingo ánéelą́ą́'; éí anada'ał'į́įgo ayóó ádabóodziilgo aláahgo naat'áanii yíká anájahgo ana'í yich'į' nidaabaah nít'éé'. 
14:26:014:0	Azáíyah éí naagé, tsiidétáán, béésh ch'ah, béésh éé'da, ałtį́į́'da índa tsé bee da'ditł'į́įhda siláo dah deínéehii t'áá ałtso yá hasht'edayiilaa. 
14:26:015:0	Áádóó Jerúsalemgi diné da'iichįįhii éí yada'ii'áago bikáá'dóó ha'alzídí áádóó tsé nástł'in binídaastł'ah dabikáá'dóó bee aditł'į́įhtsoh ádayiilaii dah dadoo'nił biniyé áádóó k'aa' bee da'dilt'oh índa tsé dantsaaígíí bee da'ditł'į́įh dooleeł biniyé ádeidoolíiłgo yee hooł'a', índa nízaadgóó t'áá át'é hwéého'dílzin, háálá hadziil dzizlį́į'jį' t'áá íiyisí háká a'oolwod. 
14:26:016:0	Nidi hadziil dzizlį́į'go éí hodoołchǫǫłgo ádaa hodzisnih; jó, Bóhólníihii haDiyin God bibee haz'áanii bich'į' ni'jiisíí', áádóó Bóhólníihii bikin bii' sohodizin góne' bikáá' náá'iiniihí bikáá'dóó tsin bijeeh dilidgo łikání halchinii nááhizhdoołnih biniyé yah ajííyá. 
14:26:017:0	Áko náá'iiłniihii Azaráíyah áádóó Bóhólníihii binááda'iiłniihii tseebídiingo, éí diné dahayóii danilį́įgo yił hakéé' yah aakai. 
14:26:018:0	Aláahgo naat'áanii Azáíyah bidááh nijíkaigo ádabizhdííniid, Azáíyah yinílyéii, tsin bijeeh dilidgo łikání halchinii Bóhólníihii bich'į' nááhidííłnihgo doo ni ná át'ée da, nidi Éran dabiye'ké nááda'iiłniihii éí tsin bijeeh dilidgo łikání halchinii náádayiiłniih doo biniyé diyingo ats'ádabi'deest'áanii éí t'éiyá bá át'é. Diyingo haz'ánídóó ch'ínínááh, háálá doo ákǫ́ǫ́ íínít'įįd da áádóó Bóhólníihii Diyin God doo bił nílį́į́góó ándoolííł. 
14:26:019:0	Ákohgo Azáíyah éí tsin bijeeh dilidgo łikání halchinii yididoołiłgo dah yoo'áałgo báhóóchįįd. Áko nít'éé' nááda'iiłniihii yich'į' báhóóchįįdgo, shoo, nááda'iiłniihii binááł Bóhólníihii bikin bii' sohodizin góne' tsin bijeeh dilidgo łikání halchinii bikáá' náá'iiniihí bíighahgi łóód ats'íís yiyáanii naałdzidii hátáa'gi bidoolna'. 
14:26:020:0	Aláahgo náá'iiłniihii Azaráíyah áádóó nááda'iiłniihii t'áá ałtso dahonééł'į́į'go, shoo, hátáa'gi łóód ats'íís yiyáanii naałdzidii silį́į́' lá. Áádóó tsxį́įłgo ch'ídahwiisxan; t'áá hó ałdó' tsxį́įłgo ch'ízhníyá, háálá Bóhólníihii atíhoolaa. 
14:26:021:0	Áko aláahgo naat'áanii Azáíyah daaztsą́ bijį́įjį' łóód ats'íís yiyáanii naałdzidii bąąh hólǫ́ǫ́ nít'éé', áádóó łóód ats'íís yiyáanii naałdzidii bee bąąh dahaz'ą́ągo t'áá sahdii kin yii' bighan, háálá Bóhólníihii bikin bii' sohodizin bits'áhodeelt'e'. Áko haye' Jótham éí aláahgo naat'áanii bighandóóígíí bee bóhólníihgo Júdah dine'é yá nihodii'aah nít'éé'. 
14:26:022:0	K'ad Azáíyah łahjį' átséedi áádóó akée'di ádzaaígíí Éímaz biye' Diyin God yá halne'ii Aizéíyah ak'e'ashchį́. 
14:26:023:0	Áádóó Azáíyah dahazhé'é yę́ę bitahjį' ajiiłhaazh dahazhé'é yę́ę yóó'ádaalyaaígi, t'áá éí aláahgo naat'áanii danilínígíí yóó'ádaal'ínígi yóó'áho'diilyaa, háálá ádadííniid, Łóód ats'íís yiyáanii naałdzidii hąąh hólǫ́ǫ́ nít'éé'. Áko haye' Jótham hatsásk'ehgi nant'á silį́į́'.
