14:18:001:1	Maikéíyah éí t'áá bítséedi Éíhab yił ch'íhoní'ą́
14:18:015:0	Áko aláahgo naat'áanii áháłní, Haa lá néelą́ą'di bee nich'į' háádeesdzih? Shą́ą́', t'áadoo ha'át'íhída bee shił hólne'í, nidi t'áá aaníinii bee shił hólne'go, Bóhólníihii bízhi' t'éí bee shił hólne', nidishníi ni'. 
14:18:016:0	Ákohgo ání, Ízrel dine'é ałtso dziłgóó taozhjée'go yiiłtsą́; dibé yaa áhályáanii ádinígíigi áhoodzaa. Bóhólníihii ání, Bíni' diné t'áá ałtso bił dahodéezyéelgo dabighangóó anáhákáah le'. 
14:18:017:0	Áko Ízrel dine'é aláahgo binanit'a'í éí Jiiháshafat ííłní, Da' doósh nił hweeshne' da; eii yá'át'éehii doo yee shich'į' haadziih da, nidi doo yá'áshóonii t'éiyá. 
14:18:018:0	Nít'éé' Maikéíyah ánáádí'ní, Éí bąą Bóhólníihii ánínígíí diits'į́į́h; Bóhólníihii bibikáá'dóó nahat'áii yikáá' dah sidáago yá'ąąshdi dah deínéehii t'áá át'é binish'náájí áádóó binishtł'ají bíighah naazį́įgo yiiłtsą́. 
14:18:019:0	Áádóó Bóhólníihii ání, Háishą' Ízrel dine'é aláahgo binanit'a'í Éíhab yíni' yá'áhodoolíiłgo Réímath-gíliyadgóó doogááł, áko bik'eh hodidoodleeł? Áádóó ła' kót'éego ní, náánáła' kót'éego náádí'ní. 
14:18:020:0	Ákohgo níłch'i léi' ch'íníyáago Bóhólníihii yidááhdóó yiizį'go ání, Shí lá bíni' áhodeeshłíił ni. Áko Bóhólníihii ábíłní, Ha'át'íishą' bee dooleeł? 
14:18:021:0	Áko ání, Ákǫ́ǫ́ deeshááł, áádóó bá dahalne'ii t'áá ałtso dabizéé' góne' níłch'i biyooch'íidii nish łį́į doo. Áko Bóhólníihii ání, Nílááh, bíni' áhónílééh, áádóó ałdó' bik'eh didíídleeł; nílááh, dínáahgo ákónínééh. 
14:18:022:0	Éí bąą k'ad, Bóhólníihii éí níłch'i biyooch'íidii díí ná dahalne'ii t'áá ałtso dabizéé' góne' ayiis'a'; jó, Bóhólníihii éí doo yá'áshóonii yee ná haadzíí'. 
14:18:023:0	Ákohgo Kiinéíyanah biye' Zedekáíyah hwíighahjį' niníyáago Maikéíyah biniitsį' néidííkaadgo ání, Shits'ą́ą́dóó lá háajigo Bóhólníihii biNíłch'i dahodiile'go nich'į' haadzíí'? 
14:18:024:0	Maikéíyah ání, Jó, nídidíít'į́į́ł biniyé ná'áne'í góne' yah ííníyáago éí bijį́ yidííłtsééł. 
14:18:025:0	Ákohgo Ízrel dine'é aláahgo binanit'a'í ání, Maikéíyah daosiłgo kin haal'áádóó naat'áanii Éíman áádóó aláahgo naat'áanii biye' Jó'ash bich'į' bił nídadohkááh. 
14:18:026:0	Ádabidohní, Aláahgo naat'áanii ání, Díí diné awáalyaadi yah adaołt'e'go hodiiyeelgo nánísdzáajį' t'áá ach'į' nahwii'nánígo bááh éí tó bił banída'ołtso'. 
14:18:027:0	Ákohgo Maikéíyah ání, Hodiiyeelgo néínídzáá ládą́ą́', Bóhólníihii doo shee haadzíi' da doo. Áádóó ání, Dine'é nohłíinii, t'áá ánółtso da'íísółts'ą́ą́'. 
14:18:028:0	Kót'éego Ízrel dine'é aláahgo binanit'a'í índa Júdah dine'é aláahgo binanit'a'í Jiiháshafat éí Réímath-gíliyad góde ííná. 
14:18:029:0	Áko Ízrel dine'é aláahgo binanit'a'í éí Jiiháshafat ííłní, Łahgo áneeshningo ádi'deeshníiłgo atah deeshbah, nidi ni éí ni'éénééz biih ninááh. Áádóó Ízrel dine'é aláahgo binanit'a'í łahgo ánoolningo í'diilyaago atah ííbaa'. 
14:18:030:0	Nidi Síriya dine'é aláahgo binanit'a'í éí tsindaabąąs bijáád naakiígíí yindanit'a'í bił naakaígíí yi'níłnii'go ání, A'ohgo danilínígíí, doodaii' ayóó ádaat'éhígíí t'áadoo bił da'ahohgání, nidi Ízrel dine'é aláahgo binanit'a'í t'éiyá. 
14:18:031:0	Áádóó tsindaabąąs bijáád naakiígíí yindanit'a'í éí Jiiháshafat dayiiłtsą́ągo ádaaní, Ízrel dine'é aláahgo binanit'a'í át'į́; éí bąą yił da'ahidoogą́ą́ł yiniyé yináshzhiizh, nidi Jiiháshafat hadoolghaazhgo Bóhólníihii bíká eelwod, áádóó Diyin God dabidiisnáa'go hats'ą́ąjį' dah diikai. 
14:18:032:0	Áko tsindaabąąs bijáád naakiígíí yindanit'a'í éí doo Ízrel dine'é aláahgo binanit'a'í át'į́į dago yaa ákodaniizį́į'go baa da'ígháahii t'óó nináhaazhjéé'. 
14:18:033:0	Áko diné léi' t'óó dzólníí góne' be'ełtį́į́' yił k'ídeeshchidgo Ízrel dine'é aláahgo binanit'a'í bibéésh éé' ahidadii'á bita' góne' yiskah. Éí bąą Éíhab hatsinaabąąs bijáád naakiígíí neilo'ígíí ábijiní, Hashi'doolk'ehéii; naa'í'íléehgo nahjį' shił ha'íłbąąs. 
14:18:034:0	Íídą́ą́' éí bijį́į́ góne' t'óó yówehda ałk'i jiijéé', áko i'íí'ą́ąjį' Ízrel dine'é aláahgo binanit'a'í bitsinaabąąs bijáád naakiígíí biyi'dóó Síriya dine'é yich'į'go de ízdólzin nít'éé', áko jį́honaa'éí ííyáago índa dadziztsą́.
