45:7:001:1	Moses Va-Law Diinoontą' K'it T'oonchy'aa Ts'an Tr'eereejil .
45:7:010:0	Ąįįts'ą' niindhat k'it t'ihchy'aa ts'ą' jii Law deegwehee'yaa gwinyąą ąįį nats'ąą khit gwaandaii shi'yaa shats'ą' gwigweełkįį ąįį ch'ichį' shats'an iłtsąįį .
45:7:011:0	Tr'aanduu vigwitr'it ąįį Moses nats'ahts'ą' dinjii tr'iheelyaa nyąą ąįį gwik'iighai' tsinteesheełkaii ts'ą' sheełkhwąįį k'it t'oonchy'aa .
45:7:012:0	Ąįį googaa Moses va-law ąįį łi'deegwidlii ts'ą' nizįį gwiizhit shroodiinyąą nilii t'inchy'aa .
45:7:003:1	Jidii Nizįį ts'ą' Iizųų Haa Diizhit Nich'itsahthat K'it T'ii'in .
45:7:013:0	Jidii nizįį ąįį sheełkhwąįį lee t'igwii'in ? Łyaa zhyaa nakwaa ! Shatr'agwaanduu ąįį sheełkhwąįį k'it t'igwii'in , Law nizįį t'aahchy'aa haa t'iizhik . Ąįį gwik'iighai' tr'aanduu vigwitr'it doonchy'aa gaahashandaii geenjit . Ąįį Law diitr'agwaanduu łyaa tr'agwaanduu diits'ą' gwagwahch'in geenjit t'inchy'aa .
45:7:014:0	Nats'ąą dinjii tr'iheelyaa gwinyąą t'ee Vit'eegwijyąhchy'aa ts'an t'oonchy'aa : gaa shįį ąįį dzaa nankat gwats'an dinjii ihłii , ts'ą' slave ihłii k'it t'ihchy'aa , tr'agwaanduu gwigwitr'it shats'ą' k'eedeegwaadhat k'it t'oonchy'aa .
45:7:015:0	Deeshi'in ąįį jaghaii t'ishi'in gaashandaii kwaa , deesho'ya' nihthan ąįį gwik'it t'ishi'in kwaa , gaa jidii gitr'ii'ee ąįį gwik'it t'ishi'in .
45:7:016:0	Tr'agwaanduu t'ishi'in dąį' , deeshi'yaa gitr'ih'ee ąįį gwik'it t'ishi'in , geh'an nats'ąą Moses va-law zhit dinjii tr'iheelyaa gwadanakhwatł'oo ąįį gwinzii dihnyąą k'it t'ishi'in .
45:7:017:0	Shįį ąįį t'ishi'in kwaa , gaa tr'aanduu vigwitr'it shizhit t'inchy'aa k'it t'inchy'aa ąįį t'ii'in .
45:7:018:0	Gwinzii ąįį shizhit t'inchy'aa kwaa gaashandaii , dzaa nankat gwats'an dinjii ihłii ts'ą' tr'agwaanduu gwigwitr'it gwanlii ts'ą' nijin gwinzii t'asho'ya' nihthan dąį' gwik'it t'ishi'in kwaa .
45:7:019:0	Gwinzii t'asho'ya' nihthan ąįį gwik'it t'ishi'in kwaa . Ąįį gwiizhit tr'aanduu vigwitr'it t'asho'ya' kwaa nihthan ąįį gwik'it t'ishi'in .
45:7:020:0	Nijin deesho'ya' kwaa nihthan nihk'it t'ishi'in dąį' , ąįį shįį shaghai' t'ishi'in kwaa , gaa ąįį tr'aanduu shizhit t'inchy'aa ąįį t'ii'in .
45:7:021:0	Nijin gwiinzii t'ishi'in dąį' , tr'aanduu vigwitr'it shats'ooghaii dha'aii k'it t'oonchy'aa . Jii tr'agwaanduu gwa-law ąįį gwįįhdaii gwizhit deeshi'in ąįį zhit tr'agwah'in łee gwikyaaljik .
45:7:022:0	Moses va-law t'ee Vit'eegwijyąhchy'aa vats'an t'oonchy'aa ts'ą' shiyinji' shoo nilii .
45:7:023:0	Gaa jii tr'agwaanduu gwa-law shizhit tr'agwah'in gaashandaii , Vit'eegwijyąhchy'aa va-law zhit goiihndaii nihthan ąįį haa nich'itsałthat k'it t'oonchy'aa . Ąįį tr'agwaanduu gwa-law t'ee tr'aanduu vigwitr'it shizhit tr'agwah'in ts'ą' shats'ą' k'eedeegwaadhat k'it t'inchy'aa .
45:7:024:0	Dinjii vaa-shroonchy'aa kwaa ihłii ! Vit'eegwijyąhchy'aa viłeesharahahchyaa kwaa geenjit , shatthąį' tr'agwaanduu t'oo'ya' nindhan ąįį zhit gwats'an tr'ineesharohchyaa nihthan ,
45:7:025:0	Vit'eegwijyąhchy'aa mahsį' , K'eegwaadhat Jesus Christ k'iighai' gwats'an tr'ineeshahchįį geenjit . Jii t'ee jyaa dihchy'aa : shahzhrįh dąį' Vit'eegwijyąhchy'aa va-law ąįį shiyinji' haa gwik'it t'asho'ya' nihthan , gaa shatthąį' ąįį gwitr'it iizųų t'agwah'in .
