45:11:001:1	Vit'eegwijyąhchy'aa , Israel Gwich'in Nąįį Neeshraahchy'aa Oonyąą
45:11:012:0	Jews nąįį Vit'eegwijyąhchy'aa k'it dinjii ginlii kwaa ts'ą' gootr'agwaanduu chan gwanlii ąįį geh'an Jews nilii kwaa nąįį Vit'eegwijyąhchy'aa goots'ą' gwinzii t'ii'in . Gaa Vit'eegwijyąhchy'aa gwandaa diits'ą' gwinzii t'ihee'yaa , nijin Jews nąįį datthak Christ k'injigiighit gaadlit ji' .
45:11:013:0	Jews nilii kwaa nąįį , jii jyaa danakhwaihnyąą t'ihnyąą dahkhyuk nakhwats'ą' tr'ihił'ee ihłii gahkhyuk datthak shigwitr'it ashoo'ahłįį ts'ą' gwint'aii gwitr'it t'agwał'in .
45:11:014:0	Zhit Jews nilii kwaa nąįį jidii gii'įį ts'ą' shalak Jews nąįį dinjigiighit gwik'iighai' goolak nąįį neegeheezhii geh'an jyaa dishizhit t'ishi'in .
45:11:015:0	Nijin Jews nąįį gootr'igwii'ee dąį' , ch'izhii dinjii nąįį Vit'eegwijyąhchy'aa vijyaa gaadlit . Nijin Jews nąįį vijyaa neeriłtsąįį ji' , deegweheenjyaa li' ? Vit'eegwijyąhchy'aa gooneegwiłdaii k'it t'igiheenjyaa .
45:11:016:0	Jii k'it t'oonchy'aa t'oonchy'aa , łųh nahtraa lat , Vit'eegwijyąhchy'aa vantł'eiin'ąįį ji' , zhit łųhchy'aa datthak vats'an heelyaa , ts'ą' ts'iivii tthoochan Vit'eegwijyąhchy'aa vantł'eiintin ji' , ąįį ts'iivii tthoochyah kwaii chan vats'an heelyaa t'inchy'aa .
45:11:017:0	Jews nąįį , Olive ts'iivii gwanzhįh deek'it nahshii ąįį valak łeelnaii ts'ą' Olive ts'iivii tthoochyah gwanzhįh deek'it geh'at nahshii ąįį Olive ts'iivii kat nirinlii k'it t'iginchy'aa . Nakhwan Jews ǫhłįį kwaa nąįį ąįį Olive ts'iivii tthoochyah gwanzhįh deek'it geh'at nahshii k'it t'ohchy'aa , juk it'ee Jews nąįį haa nakhwariinlii ts'ą' Vit'eegwijyąhchy'aa gooveenjit deehee'yaa nyąą ąįį gwik'it t'ihee'yaa ąįįt'ee nakhwan chan goovaa oohohdal t'oonchy'aa .
45:11:018:0	Ąįįts'ą' t'ee jii tthoochyah lęįį nąįį andaa ihsįį nǫh'ya' shrǫ' , nats'ąą zhyaa ideech'oh'in ? Tthoochyah zhrįh ǫhłįį t'oonchy'aa , zhit tthoochan lęįį ndak ohtą' kwaa , ąįį tthoochan nakhwan ndak nakhoontą' t'oonchy'aa .
45:11:019:0	Googaa jyaa dahohjyaa . “ Aahą' , sheenjit dehk'it gweheelyaa geenjit . jii tthoochyah łeelnaii t'oonchy'aa . ”
45:11:020:0	Ąįįt'ee łi'deegwidlii , gwik'injigiighit kwaa geh'an tthoochyah gwats'an łeelnaii t'oonchy'aa . Gwiizhit datthak ts'ą' gwik'injuhkhit geh'an nakhweenjit deek'it gwanlii . Geech'oh'ya' shrǫ' , gaa geenjit noojat haa tseenjyaa gwik'injuhkhit .
45:11:021:0	Tr'ookit tthoochyah k'it t'iginchy'aa geh'an , Vit'eegwijyąhchy'aa Jews nąįį neeshraahchy'aa oonyąą kwaa ji' , nakhwan gwik'injuhkhit kwaa ji' gwiizhit neeshraahchy'aa nakhwahǫǫnjyaa nohthan ?
45:11:022:0	It'ee dzaa Vit'eegwijyąhchy'aa nats'ąą ch'eiinzhrii ts'ą' gwintł'oo googwahshii gooh'in . Khit ts'ą' vik'it dinjii ǫhłįį ji' nakhwats'ą' ch'eeheenzhrįį gaa vik'it dinjii ǫhłįį kwaa ji' gwintł'oo nakhwagwahahshii ts'ą' ąįį tthoochyah łeelnaii k'it t'ahohchy'aa .
45:11:023:0	Ąįįts'ą' Jews nąįį gwik'injigiighit kwaa ts'į' needigeel'ee ji' , Vit'eegwijyąhchy'aa nijin gwats'an tr'agoovinlii k'iteeneegooheelyaa ji' gaa t'oonchy'aa .
45:11:003:1	Vit'eegwijyąhchy'aa Juu Nąįį Datthak Neeshraahchy'aa Oonyąą .
45:11:024:0	Nakhwan Jews nilii kwaa nąįį , gwanzhįh deek'it geh'at Olive ts'iivii nahshii ts'an Vit'eegwijyąhchy'aa łeenakhweełnaii k'it t'ohchy'aa ts'ą' Jews nąįį ts'iivii nizįį ts'an tr'igiinjil kat dineenakhweenlii , jyaa łąą digwii'in kwaa t'oonchy'aa . Gaa Jews nąįį olive ts'iivii nizįį vatthoochyah k'it t'iginchy'aa , geh'an ąįį kat nineegooraheelyaa geenjit gwagwantrii kwaa .
45:11:025:0	Shijyaa nąįį ideech'oh'in haa ideegahohkhyaa kwaa geenjit jii jidii gaakhwandaii kwaa gwinzii gohtth'ak nakhwoihnyąą . Juk Jews lat nąįį Christ k'injoihkhit giindhan kwaa , gaa duuyeh khit jyaa diginchy'aa t'iginchy'aa , Jews nilii kwaa nąįį Christ ts'an giheelyaa gwats'ą' gwizhrįh gooveenjit nagwal'in t'inchy'aa .
45:11:026:0	Ąįį jyąhts'ą' Israel nąįį datthak neegeheezhii . Jii Dęhtły'aa Choh zhit geenjit jyaa digwinyąą , “ Jerusalem ( Zion ) gwats'an dinjii nąįį neehahshii tr'iheehaa , ts'ą' Israel nąįį t'ee juu gwiizųų gwitr'it t'agwah'in datthak goots'an tr'iheelyaa .
45:11:027:0	Ąįįts'ą' gootr'agwaanduu ts'an tr'eegoohihłyaats'ą' deeshi'yaa dihnyąą goots'an hałtsyaa . ”
45:11:028:0	Jews nilii kwaa nąįį nakhweh'an Jews nąįį Vit'eegwijyąhchy'aa itr'igii'ee ts'ą' Gwandak Nizįį chan eet'igiindhan kwaa , gaa yeenii gootsii nąįį eenjit deehee'yaa nyąą gwik'it t'iizhik eh'an Vit'eegwijyąhchy'aa gwitee tr'agoovinlii ts'ą' goojyaa nilii .
45:11:029:0	Vit'eegwijyąhchy'aa juu gwitee tr'iinlii ts'ą' goodivee gwinzii gwahtsii nąįį anaandee kwaa .
45:11:030:0	Ąįįts'ą' Jews nilii kwaa nąįį nakhwat'ee gwehkįį dąį' Vit'eegwijyąhchy'aa vik'eegohthat kwaa gaa juk Jews nąįį Vit'eegwijyąhchy'aa k'eegwagwahthat kwaa geh'an neeshraahchy'aa nakhoonyaa .
45:11:031:0	Ąįį gwik'it Jews nilii kwaa nąįį Vit'eegwijyąhchy'aa neeshraahchy'aa nakhoonyaa geh'an juk , Jews nąįį Vit'eegwijyąhchy'aa k'eegwagwahthat kwaa nąįį , geedan chan Vit'eegwijyąhchy'aa neeshraahchy'aa goovahoonjyaa .
45:11:004:1	Vit'eegwijyąhchy'aa deerahoh'e' .
45:11:032:0	Ąįį geh'an Vit'eegwijyąhchy'aa dinjii nąįį datthak gii-Law k'eegwagwahthat kwaa nąįį zheegwaazhrąįį zhit goovohtą' k'it t'oonchy'aa , ąįį gwik'iighai' neeshraahchy'aa goovahoonjyaa geenjit .
45:11:033:0	Vit'eegwijyąhchy'aa jiintsii veegoo'aii gwinyąą ąįį łyaa gęhdaa kwaa gwiintsii t'agwarahnyąą ! Vigwizhi' ts'ą' deegwahtł'oo gaandaii dinjii ch'ihłak gaa duuyeh yandaa gaandaii ! Dinjii ch'ihłee gaa nats'ąą Vit'eegwijyąhchy'aa ninjich'adhat gaandaii kwaa . Ch'ihłee gaa deehee'yaa yaandaii kwaa .
45:11:034:0	Dęhtły'aa Choh zhit jyaa digwinyąą , “ Juu dee K'eegwaadhat viyinji' haandaii ? Juu jyaa dini'in yahaanjyaa geenjit gwintsii veegoo'aii ?
45:11:035:0	Giineegooheekwat geenjit juu dee yintł'eegwinlii ? ”
45:11:036:0	Dzaa nankat , zheekat datthak gwiłtsąįį ts'ą' vat'aii k'iighai' jidii datthak nihłoontą' ts'ą' adan zhrįh datthak veenjit t'oonchy'aa geenjit Vit'eegwijyąhchy'aa vats'a' khit geenjit viyinjirihoh'ee ! Amen !
