45:16:001:1	Paul , Rome Kwaiik'it Gwizhit Dijyaa Nąįį Eeginkhii
45:16:011:0	Dinjii Herodion , shik'it Jews nilii ts'ą' ąįį dinjii Narcissus vizhehk'aa gwik'injiighit nąįį haa sheenjit nakhwadiveegoozų' goovohnyąą .
45:16:012:0	Ąįį tr'injaa Tryphaena ts'ą' vijuu Tryphnoso haa K'eegwaadhat deegoovahnyąą zhrįh gwik'it t'igii'in nąįį ts'ą' tr'injaa Persis , veet'igwiindhan ts'ą' K'eegwaadhat eenjit gwintsii gwitr'it gwahtsii haa sheenjit nakhwadiveegoozų' goovohnyąą .
45:16:013:0	Dinjii Rufus , K'eegwaadhat eenjit gwintł'oo gwitr'it gwahtsii ts'ą' vahan , khit digii k'it t'ashoonyaa haa sheenjit nakhwadiveegoozų' goovohnyąą .
45:16:014:0	Dinjii nąįį Asyncritus , Phlegon , Hermes Patrobas , Hemas ts'ą' juu gwik'injiighit nąįį datthak sheenjit nakhwadiveegoozų' goovohnyąą .
45:16:015:0	Dinjii Philologus ts'ą' Julia , dinjii Nereus ts'ą' vijuu , Olympas ts'ą' juu goovaa Vit'eegwijyąhchy'aa k'injiighit nąįį haa datthak sheenjit nakhwadiveegoozų' goovohnyąą .
45:16:002:1	Paul Khaiinkǫǫ Goots'ą' Ch'adąąntł'oo Dąį' Jyaa Dakhwa'in Goovahnyąą .
45:16:016:0	Nijin khaihłan nihłaa nineekhwadal dąį' ch'eet'igwiniindhan haa nihłanli' ǫhjii . Dzaa gwa'an tr'igiinkhii zheh Christ k'injiighit nąįį nakhwadiveegoozų' nakhwagahnyąą t'oonchy'aa .
45:16:017:0	Shijyaa nąįį , zhit juu dinjii gwik'injiighit nąįį khaihłak gwah'įį kwaa gwagwahtsii ts'ą' dinjii nąįį gwik'injigeheeghit gwits'į' an-needagaa'ee gwagwahtsii ts'ą' Vit'eegwijyąhchy'aa viginjik eenakhwarahchya' ąįį gwits'į' t'iginchy'aa nąįį goots'į' adak'ǫǫntii ts'ą' goovaa nagoh'aa shrǫ' .
45:16:018:0	Ąįį juu jyaa dinchy'aa nąįį Christ Diik'eegwaadhat haa ginlii kwaa nąįį t'igiinchy'aa , gaa geedan deegiindhan gwizhrįh gwik'it t'igii'in . Ginjik nizįį haa gigiinkhii zhit dinjii tr'agwaanduu gaandaii kwaa nąįį iizųų gahtsii ts'ą' tsinteegoogahkaii .
45:16:019:0	Juu nąįį datthak Gwandak Nizįį zhit gǫhdaii nakhweegwigwiitth'ak ąįį geenjit nakhwashoo ahłįį . Jidii gwinzii gwigwitr'it datthak gaakhwandaii nahoihnyąą , ts'ą' jidii tr'agwaanduu gwigwitr'it ąįį gaakhwandaii nahoihnyąą kwaa .
45:16:020:0	Ąįįts'ą' Vit'eegwijyąhchy'aa tsinehdan diits'an ąhtsii t'ee niighit kwaa , Satan kat nakhweenjit deehaa'al t'oonchy'aa . K'eegwaadhat Jesus vich'eegoonzhrii nakhwaa oolį' .
45:16:021:0	Timothy , shaa Christ eenjit gwitr'it t'agwah'in ts'ą' dinjii Lucius , Jason , ts'ą' Sosipater nąįį haa shik'it Jews ginlii nąįį haa nakhwadiveegoozų' nakhwarahnyąą t'oonchy'aa .
45:16:022:0	Jii dęhtły'aa t'ee shįį Tertius , Paul veenjit danoihtł'oo ts'ą' Christ voozhri' zhit nakhwadiveegoozų' nakhwahnyąą t'oonchy'aa .
45:16:023:0	Ts'ą' dinjii Gaius , vizheh gwihch'įį ts'ą' zhat chan tr'igiinkhii gwarahtsii geenjit khaihłan nineeriidal chan nakhwadiveegoozų' nakhwahnyąą t'inchy'aa . Jii kwaiik'it gwachoo laraa k'ąąhtii dinjii Erastus ts'ą' diichaa gwik'injigwiighit zhit Quartus chan nakhwadiveegoozų' nakhwagahnyąą t'oonchy'aa .
45:16:003:1	Paul , Jii Dęhtły'aa Zhit Khaiinkǫǫ Khagideedi' Ts'ą' Deehił'ee
45:16:024:0	Diik'eegwaadhat Jesus vich'eegoonzhrii nakhwaa oolį' !
45:16:025:0	Vit'eegwijyąhchy'aa , ch'eegwąhndit vantł'eegwaroo'aa , Gwandak Nizįį k'iighai' nakhwagwik'injigwiighit niint'aii ąhtsii , yeenaa dąį' jidii łi'didlii nagwah'įį ąįį shats'ą' gwigweełkįį haa Jesus Christ veech'oałtan .
45:16:026:0	Ąįįts'ą' t'ee jii jidii niighit dąį' nagwąą'įį t'ee Vit'eegwijyąhchy'aa Eenjit Ginkhii nąįį gwadagwagwaantł'oo haa gwizhrįh nigwigwiin'ąįį , ts'ą' Vit'eegwijyąhchy'aa ndaanąą'ąį' kwaa gwik'it gweheelyaa gwizhrįh nyąą vik'iighai' nahkat datthak gaagiindaii goodlit , gwik'injigeheeghit ts'ą' Vit'eegwijyąhchy'aa k'eegogwahaadhat geenjit .
45:16:027:0	Diivit'eegwijyąhchy'aa adan zhrįh vigwizhi' gwanlii , ndaagwąą'ąį' kwaa gwats'ą' datthak Jesus Christ k'iighai' vich'eegwąhndit gooli' !
