26:20:001:1	Diyin God éí Ízrel dine'é áyooł'įįłii
26:20:039:0	Nihí , Ízrel dine'é nohłíinii , doo dashíínółts'ą́ą́'góó k'ad índa hoolzhishgóó t'ááłá'í nootínígo nihi'eda'alyaii bich'į' nidahohłá , nidi aa dahidoh'aahígíí índa nihi'eda'alyaii bee shízhi' diyinii doo náádadoołchxǫǫł da , ní Bóhólníihii Diyin God .
26:20:040:0	Shidził diyingo si'ą́ąjį' éí bighą́ą'gi Ízrel dine'é agháago dahodísingo kéyah t'áá náhwiist'ą́ą́ nít' éé' Ízrel dine'é kéédahat'íinii ákwii shich'į' nidahałáa doo ; ákwii hodínéesįįł ; ákwii shich'į' náádahołniihii , áádóó áłtsé neest'áanii aa dahidoh'aahii índa nihee dahólóonii dadiyinii t'áá ałtso shich'į' náádahołniih doo , bidideeshniił , ní Bóhólníihii Diyin God .
26:20:041:0	Kéyahgóó tanihidi'nooskaad yę́ędę́ę́' áłah ánihiishłaago dadine'é bitahdę́ę́' ch'ínihiyí'eezhgo łikání dahonołchingo nihidínéesįįł áádóó ał'ąą dine'é binááł nihitahgóó t'áá íiyisí dinishyinii ííshjání ádeeshłííł .
26:20:042:0	Danihizhé'é yę́ę kéyah nihaa dideesh'ááł , bidishníigo bee bich'į' ádee hadeesdzíi'ii biih nihíí'eezhgo Bóhólníihii nishłį́įgo nihił béédahodoozįįł .
26:20:043:0	Bee ádanoht'éii índa ádaoht'įįdii bee ádadoołchxǫ' yę́ę , éí t'áá ałtso béédadołnihgo t'áá íiyisí doo yá'áshóonii baa nidasoohkaii t'áá ałtso biniinaa ádił nináda'oht'įįh dooleeł .
26:20:002:1	Shádi'ááhjí kéyah bich'į' náasdi áhodoonííł baa hane'
26:20:044:0	Shízhi' bik'ehgo nihainísht'į́įgo Bóhólníihii nishłį́įgo nihił béédahodoozįįł , Ízrel dine'é nohłíinii , t'áá íiyisí doo yá'áshǫ́ǫ́góó ádanoht'éii índa t'óó baa'ihígi ádaot'įįdii bik'ehgo éí dooda , ní Bóhólníihii Diyin God .
26:20:045:0	Áádóó Bóhólníihii shich'į' haadzíi'go kóshíłní ,
26:20:046:0	Diné nílíinii , shádi'áahjigo dah díníit'aahgo shádi'ááh bik'ijį' yáníłti' , áádóó shádi'ááhjí tsin yíl'áhígíí náásgóó kónóht'ée dooleeł , bidiníigo bee bich'į' handziih ;
26:20:047:0	shádi'ááhjí tsin yíl'áhígíí ábidiní , Bóhólníihii bizaad dadoohts'į́į́h ; Bóhólníihii Diyin God kóní , Nihihodideeshniłgo nihitahgóó tsin dadootł'izhgo naazkaadii t'áá át'é índa tsin daazgango naazkaadii t'áá át'é adidook'ą́ą́ł ; kǫ' shizhóod dooleełígíí doo dínóoltsis da , áádóó náhookǫsdóó shádi'áahjį' diné t'áá ałtso dabinii' dadoodis .
26:20:048:0	Nihokáá' dine'é t'áá ałtso éí shí Bóhólníihii ihodíínilgo bił béédahodoozįįł ; éí doo dínóoltsis da .
26:20:049:0	Nít'éé' ádíshní , Bóhólníihii Diyin God nílíinii ! Hane' bee ak'idi'dootį́įłii yaa nahalne' ya' , dashiłní .
