26:17:001:1	Atsá áádóó ch'il na'atł'o'ii binahjį' hane' bee ak'idi'dootį́įłii
26:17:012:0	Nidaalteehii dine'é kóbidiní , Díí ááhyiłnínígíísh doo nihił béédahózin da ? Díí bee bił hólne' , Shoo , Bábilan dine'é aláahgo binanit'a'í Jerúsalem kin haal'áadi níbaa'go ákwii aláahgo naat'áanii nilíinii índa naat'áanii danilíinii Bábilan kéyahgóó dah yidii'eezh .
26:17:013:0	Áádóó aláahgo naat'áanii bibízhí yits'áiníłtį́įgo , Shich'į' ádee hadídziih , yidííniid índa yił aha'deet'ą́ , áádóó ałdó' diné dabíiyisii éí kéyahdóó dah yidii'eezh ,
26:17:014:0	áko ákwii bee óhólníihgo haz'ánígíí t'áá yaa kóolzingo doo bidziilgo háádoolwoł da , nidi bee aha'deet'ánígíí bik'eh dahojíł'į́įgo doo nidoot'ih da biniyé diné dah yidii'eezh .
26:17:015:0	Nidi Ííjip kéyahdę́ę́' łį́į́' bee nida'abaahii índa siláo t'óó ahayóí yinéełgo haa didoot'ááł biniyé ákóyaa há nidaal'a'í jííł'aadgo éí bee aláahgo naat'áanii bich'į' nidzistee' . Ákódziidzaaígíí daats'í t'áá háká adoolwoł ? Diné ákót'íinii daats'í yisdádoogááł ? Bee aha'deet'áanii doo yik'eh hóół'įįdgóósh t'áá yisdádoogááł ?
26:17:016:0	Bóhólníihii Diyin God ání , Ts'ídá t'áá aaníí hinishná ; ákót'éego aláahgo naat'áanii bich'į' bee ádee hadzoodzíi'ii jíí'įįdii , áádóó hoł aha'deet'áanii doo bik'eh hojííł'įįdii éí aláahgo naat'áanii jílį́įgo áhoolaii kééhat'į́įgi ts'ídá t'áá aaníí Bábilandi dazhdootsaał .
26:17:017:0	Diné t'óó ahayóí nidootsił biniyé deílk'idgo ádaalyaa índa hashtł'ish tsé bił deítł'ingo ádaalyaago anaa' hazlį́į'go Féro índa bisiláo dah deínéehii dahayóii éí ákónéelą́ą' nidi , doo yee háká adoolwoł da ;
26:17:018:0	bee ádee hadzoodzíi'ii jíí'įįd índa bee aha'deet'áanii doo bik'eh hojííł'įįd da ; álák'ezhdoolnii'go bee lą́ adzisłį́į' nidi , díí t'áá ałtso baa nijiyáhígíí biniinaa doo yisdázhdoogáał da .
26:17:019:0	Éí bąą Bóhólníihii Diyin God kóní , Ts'ídá t'áá aaníí hinishná ; ákót'éego shich'į' ádee hadzoodzíi'ii jíí'įįdgo áádóó shił ahazhdeet'áanii doo bik'eh hojííł'įįdgóó bee doo ákǫ́ǫ́ ájíít'įįdígíí ts'ídá t'áá aaníí hak'ijį' nídoodleełgo ádeeshłííł .
26:17:020:0	Shitł'óól naneesdizí hak'ídeeshtihgo dahizhdidoogáałgo Bábilan kéyahdi hodeesłóós ; shich'į' nát'ą́ą́' ninájílwodgo náshíízhníibaa'ígíí biniinaa áadi haa nídéesht'įįł .
26:17:021:0	Hasiláo dah deínéehii t'áá ałtso bitahdóó aláahgo dahayóii t'áá ałtso diltłish bee nidadootsił índa daadziihígíí éí t'áá ałtso da'níłts'ą́ą'gi tabidí'nóolkał , áko shí Bóhólníihii haasdzíi'go nihił béédahodoozįįł .
26:17:022:0	Bóhólníihii Diyin God kóní , T'áá shí gad yaa'áhígíí bílátahdóó ła' k'ídeeshtihgo k'idideeshłééł ; bílátahdi ániid náádeitsooígíí éí ła' k'ídeeshtihgo dził agháá'áhígíí bighą́ą'gi k'idideeshłééł ;
26:17:023:0	bits'áoz'a' índa bineest'ą' dahodooleełgo gad baa dzólníinii dooleełígíí biniyé Ízrel dine'é bidził wót'ááh yí'áhígíí bighą́ą'gi k'idideeshłééł ; éí gad biyaagóó tsídii t'áá ałtso ał'ąą ádaat'éii ła' kéédahat'į́į doo ; bits'áoz'a' bee chaha'ohígíí ákǫ́ǫ́ kéédahat'į́į doo .
26:17:024:0	Shí Bóhólníihii nishłíinii , tsin sikaadii agháá'áníłnézígíí áłts'ísígo áshłééh áádóó tsin sikaadii áłts'ísígíí éí ayóó áníłnéezgo áshłééh ; tsin dootł'izhii éí yishgan áádóó tsin siganii éí náás nooséełgo dootł'izhgo ánáshdléehgo tsin yíl'áhígíí t'áá ałtso bił béédahózin doo . Shí Bóhólníihii nishłíinii haasdzíí' áádóó bi'deeshłiił .
