26:33:001:1	Diné ha'ídées'į́'í binaanish dooleełii
26:33:003:1	Jerúsalem kin haal'áii bik'eh hodeesdlį́į'ii baa hane'
26:33:020:0	Nidi Bóhólníihii yee át'éii éí doo ákǫ́ǫ́ át'ée da , dadohní . Ízrel dine'é nohłíinii , t'ááłá'í nootínígo ádanoht'éii bik'ehgo nihaa nídadéesht'įįł .
26:33:021:0	Yisnááh daniidlį́įgo naakits'áadah náhááh góne' , neeznáá nídízííd binih , ashdla'góó yoołkáałgo Jerúsalemdę́ę́' diné léi' ła' yisdááyáá lágo shaa níyáago Jerúsalem kin haal'áii ts' ídá ałtso bi'disná , shiłníigo shił hoolne' .
26:33:022:0	Hoos'įįdgo diné yisdáákaii dookah lágo éí t'áá bítséedi i'íí'ą́ągo Bóhólníihii shik'i dah déesnii'go yáshti' ánáshiidlaa , áko éí diné abínígo yíkaigo doo yáshti' yę́ę yáshti'go ánáshi'diilyaa .
26:33:023:0	Áádóó Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
26:33:024:0	Diné nílíinii , Ízrel bikéyahdi doo nidaagháhígóó nahaz'ą́ą́góó ákǫ́ǫ́ diné kéédahat'ínígíí ádaaní , Éíbraham éí t'áá łah dilt'éhí nít'éé' , áko kéyah bíí' silį́į́' , nidi nihí éí t'óó ahonii'yóí , áko t'áá aaníí kéyah nihíí' dooleełgo nihaa deet'ą́ .
26:33:025:0	Éí bąą kóbidiní , Bóhólníihii Diyin God kóní , Dił t'áá bił da'ołghał áádóó nihi'eda'alyaii bich'į' adahohaał índa diné nidaołtseedgo dił bits'ádaazlį́įgo ádaohłe' . Ákót'éegoósh kéyah nihíí' dadooleeł ?
26:33:026:0	Diltłish éí baa dadzíínóhłí áádóó doo daaldinii baa nidaahkai índa t'ááłá'í nootínígo bił kééhoht'íinii be'asdzą́ą́ bił da'ahidołyé ; kót'éegoósh kéyah shóideesht'eeł danohsin ?
26:33:027:0	Kóbidiní , Bóhólníihii Diyin God kóní , Ts'ídá t'áá aaníí hinishná ; ákót'éego doo naagháhídi kéédahojit'íinii ts'ídá diltłish bee nidahodi'dootsił , índa halgaigóó kéédahojit'íinii éí naaldlooshii dahodooldił biniyé ts'ídá baa hodideesh' ááł , índa bine' nida'adzi'góó áádóó tsé daa'áángóó kéédahojit'íinii éí ts'ídá naałniih hodadidoolnahgo dazhdínóonééł .
26:33:028:0	Áko éí kéyah honoojíigo áádóó doo naagháhígóó ádeeshłííł áádóó bee hadziilgo bee ádaa hoji'niihii ninít'i' dooleeł índa Ízrel dine'é dabidziilii éí doo bikáá' siláhí da doo , áko doo ła' yąąh híidoogáał da .
26:33:029:0	Doo daaldinii baa nidadziskaígíí biniinaa éí kéyah honoojíigo áádóó doo naagháhígóó áhooshłaago , áko índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
26:33:030:0	Áko diné nílíinii , ni éí nidine'é naa nídaat'į́įgo tsé ahénástł'ingo ní'áhígíí bitsį́į́góó índa t'áá dabighangóó ch'é'étiingi naa yádaałti'go ahił dahalne'go bik'is danilíinii yił ałch'į' yádaałti'go , Haa'íyee' ahíídiikahgo Bóhólníihii nihich'į' haadzí'ígíí dadidiits'į́į́ł , da'ahidi'ní .
26:33:031:0	Ni'iildéhígíigi át'éego naa nídaakah , shidine'é danilį́įgo nidááhdóó nídinibįįh , bee bich'į' yáníłti'ígíí deidiits'a' , nidi ts'ídá doo yida'óle' át'ée da ; Diyin God ayóó'ádayó'níigo yádaałti' nidi t'áá bizábąąhídóó t'éiyá yee ádaaní , nidi dabijéí yee yidádanoolníinii deinízin .
26:33:032:0	Áko shoo , ni éí bizhí ayóó ánóolningo áádóó ayóó'ahijo'nííjí sin yee hataałii índa sin yee dahataałgo bee na'a'néii yá'át'éehgo yee naanéhígíí áníínílnin , háálá bee bich'į' yáníłti'ígíí deidiits'a' , nidi ts'ídá doo yida'óle' ádaat'ée da .
26:33:033:0	Áko baa hoolzhiizhgo , jó , t'áá aaníí baa honíyáa doo , áadi índa , Diyin God yá halne'ii nihitah naagháá nít'éé' lá , danízingo bił béédahodoozįįł .
