26:47:001:1	Kin bii' sohodizindóó tó hasht'éé'ádléehii ch'ínílį́
26:47:012:0	Tooh nílínígíí ałts'ą́ą́hjígo bibąąhgóó tsin ał'ąą ádaat'éii ch'iyáán biniyé nidanise' doo ; bit'ąą' éí doo dadínóołnah da , bineest'ą' ałdó' t'áá dahólóní dahólǫ́ǫ doo ; t'ááłá'í nínádízi' bik'eh nínádanit'į́įh doo , háálá hodiyingo haz'ánídóó bito' háálį́ ; bineest'ą' éí yidą́ą doo , áádóó bit'ąą' éí ná'áłdziih doo .
26:47:013:0	Bóhólníihii Diyin God kóní , Ízrel naakits'áadah dine'é bitahgóó kéyah daabíí' dooleeł biniyé bá nidahodíízohígíí díí éí át'é : Jóseph dine'é éí naakigo bá náhodíízoh .
26:47:014:0	T'áá aheedaníłtsogo bá da'didíízoh : danihizhé'é yę́ę bich'į' bee ádee hadeesdzíí' ; díí kéyahígíí nihíí' dooleełgo nihaa didoot'ááł .
26:47:015:0	Kót'éego náhookǫsjigo kéyah bá hoodzo doo : Ayóó'át'é Tónteel nihiníyį́į́dóó Héthlan haz'ánígóó áádóó Zíídad kin haal'áajį' yah e'etiingóó
26:47:016:0	áádóó Héímath kin haal'áágóó , Biiróthah kin shijaa'góó índa Sibráyim haz'ánígóó , díí Sibráyim hoolyéii Damáskas kin haal'áii áádóó Héímath bita' gónaa haz'ą́ índa Héízar-hátikan , éí kéyah Háoran baa níhánígóó kin sinilgóó ,
26:47:017:0	áádóó tónteel bibąąhdóó Héízar-íínan kin shijaa'góó hoodzo doo ; éí Damáskas hoolyéédóó náhookǫsjigo kéyah si'ánígíí bibąąhdi áadi áhoolyé áádóó t'áá náhookǫs bich'ijígo Héímath kin haal'áajį' hoodzo doo . Áko díí náhookǫsjigo kéyah bá hoodzo doo .
26:47:018:0	Ha'a'aahjígo éí Háoran hoolyéégóó áádóó Damáskas kin haal'áágóó áádóó Gíliyad hoolyéégóó áádóó Ízrel dine'é bikéyahgóó éí tooh Jórdan bibąąhgóó ha'a'aahjí tónteel siyį́įjį' hoodzo doo . Díí éí ha'a'aahjigo kéyah bá hoodzo doo .
26:47:019:0	Shádi'ááhjígo éí Téímar hoolyéédóó Kéídesh hoolyéejį' áádóó Ííjip kéyah si'ánígíí bibąąhgóó tooh nílíníjį' índa níléí Ayóó'át'é Tónteel hoolyéejį' hoodzo doo . Díí éí shádi'ááhjígo hoodzo doo .
26:47:020:0	Héímath hoolyéii éí bik'ą́ąhgo éiyá e'e'aahjigo Ayóó'át'é Tónteel hoolyéhígíí bibąąhgóó bee hoodzo doo . Díí éí e'e'aahjígo hoodzo doo .
26:47:021:0	Áko nihí Ízrel dine'é nohłíinii , ał'ąą ádóone'é nohłínígíí bik'ehgo díí kéyah ałtaa doohdzoh .
26:47:022:0	Kéyahígíí nihíí' dooleeł biniyé ałtaa doohdzoh , índa doo Ízrel dine'é danilíinii nihitahjį' adahaaskaigo ba'áłchíní dahazlį́'ígíí éí ałdó' kéyah ła' bá dadi'doosoh ; éí áłchíní t'áá Ízrel dine'é bá nidahaazhchį́įgo baa nitsídaohkees doo ; éí kéyahígíí t'áá aheedaníłtsogo bíí' dadooleełgo bił ałts'ą́ą́' da'nołk'iiz doo .
26:47:023:0	Áádóó háí dine'é shį́į́ bitahgi dé'éyóní kééhat'į́įgo t'áá éí bitahgi kéyah bíí' dooleełii baa dahididoo'ááł , ní Bóhólníihii Diyin God .
