26:40:001:1	Diyin God yá halne'í éí kin bii' sohodizin bił ádzaa
26:40:011:0	Náá'ákóne' dáń'dítį́hígi yínáá'nééł'ąąd nít'éé' tsosts'idts'áadah ké silá bíighahgo yah ahool'á áádóó kin bii' sohodizin bich'į'go atiinígíí éí naaniigo yínáá'nééł'ąąd nít'éé' naadiin naaki ké silá ákóníłtéél .
26:40:012:0	Áádóó hastą́ągo ałts'ą́ą́hjí dahooghanígíí éí bich'ą́ą́h naakigo t'áá ałts'ą́ą́hjí aní'á ; éí t'áá áłah t'ááłá'í ké siláádóó náá'áłníí' t'įįhdí biláhígo áníłtéél . Áádóó éí dahooghanígíí bii' ádahoníłtsoígíí éí nááseego lók'aa' bee í'neel'ąąhí áníłtsoígi ákódahonízah áádóó naaniigo ałdó' t'áá ákódahonízah .
26:40:013:0	Ákohgo dáń'dítį́hígíí łahjígo hooghan si'ánígíí bikáá'dóó áádóó ha'naa náánáłahjígo hooghan si'ánígíí bikáa'jį' yah a'atiinígíí yínáá'nééł'ąąd nít'éé' ; dáádílkał bita' ánízahígíí éí dízdiindóó ba'aan naaki ké siláádóó náá'áłníí' bíighahgo bita' ánízah .
26:40:014:0	Dáń'dítį́hígíí binaagóó ahééhool'áhígíí bik'i dinaadgo tsin yadaa'áii éí lók'aa' bee í'neel'ąąhí neeznáadi ahą́ą́h dí'áh bíighahgo ákódaníłnééz .
26:40:015:0	Náá'áłdó' dáń'dítį́hígíí tł'óó'dę́ę'go yah i'iildéhígi éí áádóó ahééhool'áhígíí nááseego nihoneel'ą́ąjį' tseebídiindóó ba'aan ashdla' ké siláádóó náá'áłníí' ákónízah .
26:40:016:0	Dáń'dítį́hídę́ę́' honít'i'ígíí éí ałts'ą́ą́hjí dahooghanígíí bitsésǫ' dahólǫ́ , áádóó éí bine'dę́ę́' tsin yadaa'áhígíí éí bíchį́į́shk'ą́ąhgo bitsésǫ' náásee dahaats'óóz ; t'ah t'áá násídi ałdó' yah ajigháahgo wóne'dę́ę́' t'áá ákót'éego tsésǫ' náádahódlǫ́ áádóó tsin yadaa'áhígíí éí bąąhjį' páam sikaadii bida'alyaago nidaask'ęę'go ahéédaas'á .
26:40:017:0	Áko shił dah dii'áazhgo hózhǫ́ tł'óo'di ahééhool'áhí góne' shił yah íí'áázh áádóó shoo , hótł'izgo ahééhool'áago áhoolyaaígíí bikáá'góó tádiingo dahooghango ahééhool'á .
26:40:018:0	Áko ch'íjíghááhdóó dáń'da'ditį́hígíí dego ádaníłtsooígíí bíighahgo ts'ídá ákóhoníłtéelgo ahééhool'á , áko díí wóyahgo hótł'izgo ahééhool'á .
26:40:019:0	Áádóó índa tł'óo'jigo dáń'dítį́hígíí biyi'dę́ę́' éí áádóó náwóne'di ahééhool'áhígíí éí bíighahjį' ánízahígíí yínáá'néé ł'ąądgo t'ááłáhídi neeznádiindóó ba'aan tsosts'idiindóó ba'aan naaki ké siláádóó náá'áłníí' ánízah ; ha'a'aahjigo índa náhookǫsjigo t'áá áłah ákóhonízah .
26:40:020:0	Áádóó tł'óo'di ahééhool'áhígíí náhookǫsdę́ę'go bidáń'dítį́hígíí áádóó éí haa honíłtéelgo yah ahool'áhígíí yí'nééł'ąąd índa nááseego áníłtsooígíí ałdó' yí'nééł'ąąd .
26:40:021:0	Ałts'ą́ą́hjí éí táa'go dahooghan áádóó bíighahgi tsin yadaa'áhígíí ádaníłtsooígíí índa yah i'iildéehgi áhoníłtsooígíí éí áłtsé yah a'atiin ádaníłtso yę́ęgi ádaníłtso ; ákwe'é yah a'atiinígíí nááseego tseebídiindóó ba'aan ashdla' ké siláádóó náá'áłníí' ákónízah índa dízdiindóó ba'aan naaki ké siláádóó náá'áłníí' ákóhoníłtéél .
26:40:022:0	Bitsésǫ' áádóó náasdi yah i'iildéehdi índa tsin yadaa'áhígíí bąąhjį' páam sikaadii bééda'alyaago nidaask'ęę'ígíí éí ha'a'aahjí yah a'atiinígíí áníłtsooígi ákódaníłtso áádóó tsosts'idgo ałk'i hoo'niłí éí dah náhást'ánígíí bich'į' haaz'á .
26:40:023:0	Náwóne'di ahééhool'áhígíí ha'a'aahdę́ę'go yah a'atiin áhoot'éhígíí t'áá ákót'éego náhookǫsdę́ę́' yah a'atiinígíí binaashiijí yah a'atiin hólǫ́ , áádóó bita' ánízahígíí yí'nééł'ąądgo t'ááłáhídi neeznádiindóó ba'aan tsosts'idiin ké silá bita' ánízah .
26:40:024:0	Ákohgo shádi'áahjigo shił náánát'áazhgo , shoo , ákwii yah a'atiin lá , áko éí ałts'ą́ą́hjí tsin níyizgo nihidii'áhígíí t'áá áłah yí'nééł'ąąd áádóó yah i'iildéhígi ákwii naaniigo ałdó' yí'nééł'ąąd ; ła' yah a'atiinígíí t'áá áłah yił aheeníłtso lá .
26:40:025:0	Ła' naakigo yah a'atiinígíí bitsésǫ' t'áá ła' yę́ęgi át'éego díí shádi'ááhdę́ę'go yah a'atiinígíí bitsésǫ' dahólǫ́ índa yah i'iildéhígi tsésǫ' dahólǫ́ ; yah a'atiinígíí nááseego tseebídiindóó ba'aan ashdla' ké siláádóó náá'áłníí' ákónízah áádóó naaniigo éí dízdiindóó ba'aan naaki ké siláádóó náá'áłníí' ákóhoníłtéél .
26:40:026:0	Áádóó dah náhást'ánígíí bich'į' tsosts'idgo ałk'i hoo'niłí haaz'á ; wóne'di éí yah ahóót'i' ch'é'étiindóó tł'óo'di éí tsin ałts'ą́ą́hjí íí'áhígíí éí t'áá áłah bąąhjį' páam sikaadii bééda'alyaago nidaask'ęę' .
26:40:027:0	Áádóó wóne'di ahééhool'áhígíí éí shádi'ááhjígo yah a'atiin ; éí áádóó yónáasdi shádi'áahjigo áadi yah a'atiiníjį' yí'nééł'ąąd nít'éé' t'ááłáhídi neeznádiindóó ba'aan tsosts'idiin ké silá bita' ánízah .
26:40:028:0	Ákohgo shádi'ááhdę́ę'go yah a'atiindę́ę́' shił yah íí'áazhgo wóne'di ahééhool'áhíjį' shił niní'áázh , áádóó shádi'áahjigo yah a'atiinígíí yí'nééł'ąąd , nít'éé' t'áá ła' áníłtsooígi áníłtso lá ;
26:40:029:0	ałts'ą́ą́hjí dahooghanígíí áádóó tsin yadaa'áhígíí áádóó yah i'iildéehgi ákóníłtsooígíí t'áá ła' ádaníłtsooígi ádaníłtso índa bitsésǫ' dahólǫ́ índa yah i'iildéehgi ałdó' tsésǫ' dahólǫ́ ; yah a'atiinígíí nááseego éí tseebídiindóó ba'aan ashdla' ké siláádóó náá'áłníí' ákónízah , áádóó naaniigo éí dízdiindóó ba'aan naaki ké siláádóó náá'áłníí' ákóhoníłtéél .
26:40:030:0	Binaagóó éí yah ada'iildéhígíí dahólǫ́ , áko nááseego dízdiindóó ba'aan naaki ké siláádóó náá'áłníí' ákódahonízah , áádóó naaniigo éí tseebíí ké siláádóó náá'áłníí' ákódahoníłtéelgo yah ada'iiztiin .
26:40:031:0	Áádóó tł'óo'jigo ahééhool'áhígíí bich'į'go ch'é'étiingi tsin yadaa'áhígíí bąąhjį' páam sikaadii bééda'alyaago nidaask'ęę' , áádóó dah náhást'ánígíí bich'į' tseebíigo ałk'i hoo'niłí haaz'á .
26:40:032:0	Áádóó shił dah náádiit'áazhgo ha'a'aahjígo wóne'di ahééhool'áhígíí yíighahjį' shił niní'áazhgo yah a'atiinígíí yínáá'nééł'ąąd , nít'éé' éí áníłtsooígíí éí ła' ádaníłtsooígíí ts'ídá t'áá ákóníłtso lá .
26:40:033:0	Ałts'ą́ą́hjí dahooghanígíí áádóó tsin yadaa'áhígíí índa yah i'iildéehgi áníłtsooígíí t'áá ła' ádaníłtsooígi ádaníłtso , éí t'áá ałtso bitsésǫ' dahólǫ́ índa yah i'iildéehgi tsésǫ' dahólǫ́ ; yah a'atiinígíí nááseego éí tseebídiindóó ba'aan ashdla' ké siláádóó náá'áłníí' ákónízah ; naaniigo éí dízdiindóó ba'aan naaki ké siláádóó náá'áłníí' ákóhoníłtéél .
26:40:034:0	Éí tł'óo'jigo ahééhool'áhígíí bich'į'go ch'é'étiingi ałts'ą́ą́hjí tsin yadaa'áhígíí bąąhjį' páam sikaadii bééda'alyaago nidaask'ęę' áádóó dah náhást'ánígíí bich'į' tseebíigo ałk'i hoo'niłí haaz'á .
26:40:035:0	Ákohgo náhookǫsjígo yah a'atiiníjį' shił náánát'áazhgo éí yínáá'nééł'ąąd , nít'éé' ła' áníłtsooígi át'éego t'áá ákónáádaníłtso ,
26:40:036:0	áádóó ałts'ą́ą́hjí dahooghanígíí áádóó tsin yadaa'áhígíí índa yah a'atiingi ákóníłtsooígíí éí ła' ádaníłtso yę́ęgi át'éego t'áá ákódaníłtso ; bitsésǫ' ałdó' dahólǫ́ , yah a'atiinígíí nááseego éí tseebídiindóó ba'aan ashdla' ké siláádóó náá'áłníí' ákónízah ; naaniigo éí dízdiindóó ba'aan naaki ké siláádóó náá'áłníí' ákóhoníłtéél .
26:40:037:0	Tł'óo'jigo ahééhool'áhígíí bich'į'go ch'é'étiingi ałts'ą́ą́hjí tsin yadaa'áhígíí bąąhjį' páam sikaadii bééda'alyaago naask'ęę' , áádóó dah náhást'ánígíí bich'į' tseebíigo ałk'i hoo'niłí haaz'á .
26:40:038:0	Yah a'atiinígi tsin yadaa'áhígíí bíighahgóó hooghan si'ą́ ; éí bich'é'étiin hólǫ́ ; ákwii didlidgo náádahaniihii tánínádaagis .
26:40:039:0	Yah a'atiin bíighahgóó ałdó' yah i' iildéhígi éí ałts'ą́ą́hjí bikáá' adání naaki sinil ; éí bikáa'gi didlidgo náádahaniihii áádóó ádił ni'iidzííhjí náádahaniihii índa ádił oodzíi'gi bee k'ééhodooldǫǫłgo náádahaniihii ákwii nidaatseed .
26:40:040:0	Náhookǫsdę́ę́' yah a'atiinígíí éí yah i'iildéhígi tł'óó'dę́ę'go ałts'ą́ą́hjí bikáá' adání naaki sinil áádóó wóne'dę́ę'go ałdó' bikáá' adání naaki sinil .
26:40:041:0	Áko wóne'dę́ę'go bikáá' adání dį́į́' sinil ; tł'óó'dę́ę'go ałdó' dį́į́' sinil , áko bikáá' adání bikáa'gi náádahidoonihii nidaatseed dooleeł biniyé tseebíí sinil .
26:40:042:0	Áko tsé dį́į́' hasht'e'nibída'astséelgo didlidgo náádahidoonihii bá sinil ; nááseego naakidi ké siláádóó náá'áłníí' ákódaníłtso ; naaniigo ałdó' t'áá ákódaníłtéél , dego éí t'ááłá'í ké siláádóó náá'áłníí' t'įįhdí biláhígo ákódanízah ; éí bikáa'gi didlidgo náádahaniih dooleełii bee naatseedígíí ákwii ninádaa'nił doo .
26:40:043:0	Áádóó yah a'atiingi haz'ání góne' béésh nídaazhahígíí dį́į́' bik'ehgo ádaníłtsogo bąąh hadaaz'á ; tsé bikáa'gi atsį' náádahidoonihígíí ninádaa'nił doo .
26:40:044:0	Áko tł'óó'dę́ę́' wóne'di dáń'dítį́híjį' náwóne'di ahééhool'áhí góne' naakigo hooghan éí sin yee dahataałígíí bá haz'ą́ ; náhookǫsjí yah a'atiinígíí éí bich'ijígo ła' hooghan , éí shádi'áahjigo ch'é'étiin ; ła' ha'a'aahjí yah a'atiin bíighahgi náhookǫsjigo ch'é'étiin .
26:40:045:0	Áko áshíłní , Díí hooghan shádi'áahjigo ch'é'étiinígíí éí nááda'iiłniihii kin bii' sohodizin bee bídahólníih dooleełii bá si'ą́ .
26:40:046:0	Áádóó hooghan náhookǫsjigo ch'é'étiinígíí éí nááda'iiłniihii ákwii bikáá' náá'iiniihí bee bídahólníih dooleełii bá si'ą́ ; éí Zéídak ba'áłchíní náás ahoolchíiłii t'éiyá nááda'iiłniihii nídaadleehgo Líívai dine'é bits'ą́ą́dóó oochíiłii t'áá bí t'éiyá Bóhólníihii yit'áahjį' nídadikahgo ákwii ninádaal'aah dooleeł .
26:40:047:0	Náwóne'di ahééhool'áhígíí éí yí'nééł'ąądgo nááseego t'ááłáhídi neeznádiindóó ba'aan tsosts'idiin ké siláádóó náá'áłníí' ákónízah ; naaniigo ałdó' t'ááłáhídi neeznádiindóó ba'aan tsosts'idiin ké siláádóó náá'áłníí' ákóníłtéél , áko dį́į́'dę́ę́' t'áá aheedaníłtso áádóó bikáá' náá'iiniihí éí kin bii' sohodizin bidáahgi si'ą́ .
26:40:048:0	Ákohgo kin bii' sohodizin si'ánígíí bich'é'étiinjį' shił niní'áázh , áádóó ch'é'étiingi ałts'ą́ą́hjí tsin íí'áhígíí yí'nééł'ąąd , nít'éé' éí t'áá áłah tseebíidi ké siláádóó náá'áłníí' íídéetą́ą́' , áádóó dáń'dítį́hígíí t'áá ałch'ijí naaniigo ashdla' ké silá áníłtéél .
26:40:049:0	Áádóó bich'éédą́ą'gi chaha'ohígíí tádiindóó ba'aan dį́į́' ké silá ánízah áádóó naaniigo tseebííts'áadah ké siláádóó náá'áłníí' ákóhoníłtéél índa ałk'i dah nídahast'ą́ągo bikáá' hááda'aldahí áajį' haaz'á áádóó dáń'dítį́hígíí bíighahgóó éí ałts'ą́ą́hjí áyah nii'áii naakigo íí'á .
