26:34:001:1	Ízrel dine'é yaa ádahalyáanii bich'į' náasdi áhodoonííł baa hane'
26:34:011:0	Háálá Bóhólníihii Diyin God kóní , T'áá shí shidibé hadinéeshtaałgo bitah dídéesh'įįł , jó'akon .
26:34:012:0	T'áá dibé yaa áhályáanii bidibé taoskaigo háidéez'į́'ígi át'éego ákót'éego shidibé hádídéesh'įįł , áko k'os diilkǫ'go chahóółhéél yę́ędą́ą́' éí bijį́ t'áá ałtsogóó taoskai yę́ędę́ę́' yisdánáhideeshnił .
26:34:013:0	Índa dadine'é bitahdę́ę́' áádóó kédaayahdę́ę́' áłah áńdeeshdlíiłgo t'áá bí bikéyah biih nídeeshnił áádóó Ízrel dine'é bidził naaznilgóó tó hadaazlínígóó índa diné kéédahat'į́į́góó t'áá át'é banída'astso' doo .
26:34:014:0	Ch'il yíl'áagi da'ałchozh doo ; dziłghą́ą' di ch'il yíl'áago éí daabígo ákwii da'ałchozh doo ; ákwii ch'il yíl'áagi náhinoojah doo ; Ízrel dine'é bidził daní'áii bighą́ą́'góó ch'il deíl'áágóó da'ałchozh doo .
26:34:015:0	T'áá shí shidibé baa áháshyą́ą doo ; t'áá shí nábinishjah doo , ní Bóhólníihii Diyin God .
26:34:016:0	Yóó'ádahaaskaii hadínéeshtaał ; t'ą́ą́' anáhaazhjée'ii nináhideesh'ish , nida'niłhodii dadiniihgóó bá bik'ída'dideesdis , doo bitah dahwiináanii bitah dahółdzilgo áńdadeeshdlííł , nidi daneesk'ahii áádóó dabidziilii áhodeeshdįįł ; hainísht'ínígíí bee ha'deestsoł .
26:34:017:0	Bóhólníihii Diyin God kóní , Nihí shilį́į́' nohłį́įgo dah wohkahii éí alį́į́' ał'ąą át'éii bił ałts'ánihideeshniłgo nihainísht'į́į doo : deenásts'aa' áádóó tł'ízíchǫǫh éí ał'ąą át'éego beinísht'į́į doo .
26:34:018:0	Yá'áhoot'éehgi da'ołchozhgo t'įįhdígo át'é danohsingóósh łahjį' t'óó bik'i naahkaigo áádóó łahjį' éí daołchozhgo ch'il yíl'áagi naohkai áádóó tó niłtólígíí daohdlą́ągo índa łahjį' éí t'óó bii' naahkaigo tááchxąą'go ádaohłaa ?
26:34:019:0	Ch'il t'óó bik'i nisoohkaii shidibé deiłchozh , áádóó tó tááchxąą'go ádaohłaii shidibé deidlą́ .
26:34:020:0	Éí bąą Bóhólníihii Diyin God kóhodííniid , Shoo , t'áá shí alį́į́' neesk'ahii áádóó alį́į́' bits'iinígíí baa nídéesht'įįł .
26:34:021:0	Háálá nooshk'iizh áádóó niwos bee doo bitah dahółdzilii t'áá ałtso nahjį' abíhíníyilii biniinaa áádóó doo bitah dahółdzilii t'áá ałtso nidee' bee nahjį' abídziyínígo'go naa taozhjée'ii biniinaa
26:34:022:0	shidibé naakaígíí yisdádeeshnił ; bił di'doodiłgo dooghałígíí doo náádandlį́į da doo , áko alį́į́' t'áá ał'ąą ádaat'éii beinísht'į́į doo .
26:34:023:0	Áádóó shá naal'a'í David éí t'ááłá'í dibé yaa áhályáanii nilį́įgo baa áhályą́ągo ádeeshłííł ; éí ba'ałtso'go baa áhályą́ą doo .
26:34:024:0	Shí Bóhólníihii nishłíinii éí biDiyin God nishłį́į doo ; shá naal'a'í David éí hatahgi naat'áanii nilį́į doo ; shí Bóhólníihii nishłį́įgo kót' éego haasdzíí' .
26:34:025:0	Áádóó bee ach'į' hózhǫ́ǫ́jí bee aha'deet'áanii éí hoł hasht'edeeshłííł áádóó honoojíígóó t'áadoo beinít'íní kéédahat'į́į doo índa tsiyi'góó hasht'edadít'éego da'ałhosh dooleełígíí biniyé naaldlooshii dahashkéii t'áá ałtso nahgóó hadínéeshkał .
26:34:026:0	Áádóó shidah yisk'id binaagóó t'áá bił hak'izhdeeshdliił ; baa náhwiilzhíishgo hwee nináháłtį́įhgo íínísin doo ; éí bee hak'ihojidlíigo nahałtinígíí át'ée doo .
26:34:027:0	Tsin deíl'áhígíí éí bineest'ą' bąąh nídahoodleeł doo , nahasdzáán éí bits'ą́ą́dóó nínáda'nt'į́įh doo áádóó bikéyahgi háádę́ę'da doo baa hwiinít'į́į́góó nida'nt'ą' doo ; hazéédadéetání há nidaháti'go índa ana'í dahasnáago binaa'nil dajílíinii bighááhonish'nilgo , áko índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
26:34:028:0	Ał'ąą dine'é doo hoł nináádahadeeł da doo ; naaldlooshii dahashkéii doo náádahaldeeł da doo ; t'áadoo hainít'ínígóó ts'ídá yá'át'éehgo kééhojit'į́į doo áádóó háádę́ę'da doo ła' hayahodidoołyis da .
26:34:029:0	Éí kéyahdi doo dichin náádahodoogą́ął daígíí biniyé kéyah bikáá'góó nida'nt'ą'go bee hwééhodílzingo ádeeshłííł áádóó ał'ąą dine'é hándahałt'i'ii doo bik'ee ti'náádahojoo'níih da dooleeł .
26:34:030:0	Áko shí Bóhólníihii Diyin God nishłíinii hoł honishłǫ́ǫgo áádóó hó Ízrel dine'é dajílíinii shidine'é dajílį́įgo hoł béédahózin doo , ní Bóhólníihii Diyin God .
26:34:031:0	Shich'il yíl'áagi dibé naakaígíí shidibé danohłínígíí éí diné danohłį́ , áko nihiDiyin God nishłį́ , ní Bóhólníihii Diyin God .
