26:36:001:1	Ízrel dine'é bił áhoot'é yę́ęgi ánábidi'doolnííł
26:36:012:0	T'áá aaníí , shidine'é Ízrel éí dine'é lą́ą nihikáá' naaldeeh doo ; danihótą' doo áádóó bíí' danohłį́į doo ; áłchíní éí doo bąąh náádaoh'į́į da doo .
26:36:013:0	Bóhólníihii Diyin God kóní , Diné daołdeeł áádóó nihidine'é t'áá kééhat'į́į́ nít'éé' áłchíní bąąh daoh'į́ , diné danihiłnínígíí biniinaa ;
26:36:014:0	diné doo náádaołdeeł da doo , áádóó nihidine'é t'áá kééhat'į́į́ nít'éé' áłchíní doo bąąh náádaoh'į́į da dooleeł , ní Bóhólníihii Diyin God .
26:36:015:0	Ał'ąą dine'é doo da'nohłį́į́góó ádanihííł'įįdii yee nihá nidahałt'i'ii doo náádadidoots'į́į́łgóó ádeeshłííł , dadine'é doo nihá nináádahałt'i' da dooleeł áádóó nidine'é ádił nida'iilzíihgo doo ánáádadoohdlíił da , ní Bóhólníihii Diyin God .
26:36:016:0	Bóhólníihii shich'į' hanáánáádzíi'go kóní ,
26:36:017:0	Diné nílíinii , Ízrel dine'é t'áá bí bikéyahdi kééhat'į́ yę́ędą́ą́' yee ádaat'éii áádóó yaa nidaakaígíí éí yee bikéyah dayííłchxǫ' ; asdzání ąądii nídaadleehígíí nahalingo shinááł yee ádaat'éhígíí t'óó badaa'ih nít'éé' .
26:36:018:0	Áko éí kéyah biyi' diné nidadziłtseedgo bidił daneezna'ígíí áádóó hwe'eda'alyaii bee kéyah dajííłchxǫ'ígíí biniinaa t'óó báhádzidgo sháháchį'ígíí bee atíhooshłaa ;
26:36:019:0	ał'ąą dine'é bitahgóó ahonííłkaad áádóó kédaayahgóó tadahodi'nooskaad ; bee ádajít'éii índa ádajíít'įįdígíí bik'ehgo haa nídasist'įįd .
26:36:020:0	T'áá adadziiskaigóó ał'ąą dine'é baa dadziiskaidi shízhi' doo ílį́į́góó ádajiilaago diné ádaaní , Díí dine'é Bóhólníihii bidine'é ádaat'į́ , ákondi Bóhólníihii bikéyahdóó nahjį' hadadziizná , dahałní .
26:36:021:0	Ízrel dine'é da'níłts'ą́ą́'góó ał'ąą dine'é bitahgóó tadzooskaígíí baa dadziiskaidi shízhi' doo ílį́į́góó ádajiilaaígíí éí shízhi' diyinii t'áá íiyisí bik'édí nishłį́į́ nít'éé' .
26:36:022:0	Éí bąą Ízrel dine'é ábidiní , Bóhólníihii Diyin God kóní , Ízrel dine'é nohłíinii , nihí éí doo nihiniinaa da , nidi ał'ąą dine'é baa dahisoonáago shízhi' diyinii doo ílį́į́góó ádaołaaígíí biniinaa k'adę́ę kóshnééh .
26:36:023:0	Áádóó ał'ąą dine'é bitahgóó shízhi' doo ílį́į́góó ályaa yę́ę éí ał'ąą dine'é bitahgóó shízhi' doo ílį́į́góó ádaohłaa yę́ę éí shízhi' ayóó át'éii diyingo yit'į́įgo áńdeeshdlííł , áko dinishyinígíí nihitahgóó ał'ąą dine'é dabinááł t'áá sahdii át'éego ánáshdlaago Bóhólníihii nishłį́įgo ał'ąą dine'é bił béédahodoozįįł , ní Bóhólníihii Diyin God .
26:36:024:0	Kédaayah naaznilígíí t'áá ałtso bii'dę́ę́' áádóó ał'ąą dine'é bitahdóó nínánihidiyeeshdlahgo t'áá nihí nihikéyah biih nánihideeshnił .
26:36:025:0	Ákohgo tó niłtólígo nihik'ídadeeshtahgo , t'óó baa'ihii nihąąh dahólóonii t'áá ałtso índa eda'alyaii bich'į' nidahohłáii t'áá ałtso nihąąh táádadeesgis .
26:36:026:0	Ajéí ániidíii índa áhwiindzin ániidíii nihiih náhideesh'nił ; nihijéí daatséhígíí nihii'dóó hahideeshniłgo , ajéí yilzhólíii nihiih náhideesh'nił .
26:36:027:0	Áádóó shiNíłch'i Diyinii nihii' dahólǫ́ǫgo , adanihideeshłíiłgo shibik'eh ó'oo'níiłii bik'ehgo deínóhkáahgo áádóó shibik'ehgo hoogáałii bik'eh dahonoł'į́įgo ádanihideeshłííł .
26:36:028:0	Danihizhé'é kéyah baa diní'áanii bii' kéédahoht'į́į doo , áádóó shidine'é danohłį́įgo nihiDiyin God nishłį́į doo .
26:36:029:0	Ninihiiłchxǫǫhii t'áá ałtso bits'ánihideeshnił ; doo nááhodidoochįįłígíí biniyé tł'oh naadą́ą́' ał'ąą ádaat'éii nidant' ą' dooleełgo bá hadeesdzih .
26:36:030:0	Doo nááhodidoochįįłgóó ał'ąą dine'é bitahgóó doo nihaa yánááhodoosįįłígíí biniyé nihitsin bineest'ą' deíl'áágóó , áádóó nihidáda'ak'ehgóó ts'ídá t'áá íiyisí hózhǫ́ łą́ągo nida'nt'ą'go ádeeshłííł .
26:36:031:0	T'áá íiyisí doo yá'áshǫ́ǫ́góó ádanoht'éé nít'éé' yę́ę , áádóó ádaot'įįd nít'éé' yę́ę béédadoołnih , áko ádił nida'ayoosíí' nít'éé' yę́ę índa doo ákwii ádaot'įįd nít'éé' yę́ę biniinaa ádił nináda'oht'įįh doo .
26:36:032:0	Ízrel dine'é nohłíinii , díí t'áá ałtso baa naasháhígíí éí doo nihí nihá baa naasháa da ; bee ádanoht'éii t'óó bee ádaa yádanohdzin le' áádóó bee nihił dahalą́ą le' , shí Bóhólníihii kót'éego haasdzíí' .
26:36:033:0	Bóhólníihii Diyin God kóní , Doo ákwii ádaot'įįdii t'áá ałtso nihąąh deíłdee'go nihikin hadaas'áágóó kénáádahoht'į́į dooleeł , áádóó kin dááchxǫ'ígóó ninádadoo'nił .
26:36:034:0	Nihidáda'ak'eh yę́ęgóó yíighah ch'ídahaaskaígíí t'áá ałtso nihidáda'ak'ehgóó nídahodíítł'ohgo áádóó doo siláhígóó dayiiłtsánígi k'éédadidoolyééł .
26:36:035:0	Áko , Díí kéyah honoojíigo haz'ą́ą́ nít'éé' yę́ę Íídendi dá'ák'eh nahalin silį́į́' , daaníigo yaa yádaałti' doo , áádóó kin hadaas'áágóó daakin naa'adayiiskaadgo ałtso yąąh da'ííbį́į'go kints'iil t'éí dah naazhjaa'go ádayiilaa yę́ęgóó bidahoníłdzilgo nináádaas'nil áádóó ákǫ́ǫ́ diné kénáádahat'į́ .
26:36:036:0	Áko índa ał'ąą dine'é t'áá bą́ą́h níhą́dígóó kéédahat'į́įgo daadziihii éí shí Bóhólníihii kin hadaas'áago dááchxǫ' yę́ę ninádasénilgo áádóó doo siláhígóó ádahoolyaa yę́ęgóó k'ééda'díshdla'go bił béédahózin doo , shí Bóhólníihii díí kódeeshnííł , dííniid , áko ákódeeshnííł .
26:36:037:0	Bóhólníihii Diyin God kóní , Ízrel dine'é kódashiłníigo díí shí deídóokił : dibé nahalingo diné nihá nízhdínóołt'į́į́ł .
26:36:038:0	Hodílzingo áłah nída'adleeh góne' łah Jerúsalem kin haal'áagi dibé náádahidoonihii ałts'áá'nilgo yíl'áhígi át'éego kin hadaas'áágóó kints'iil ádaalyaa yę́ę ákǫ́ǫ́ diné náádeíl'áa dooleeł , áko índa Bóhólníihii nishłį́įgo hoł béédahodoozįįł .
