40:27:001:1	Judas’s Remorse
40:27:039:0	And those passing by were hurling abuse at Him , wagging their heads
40:27:040:0	and saying , “ You who are going to destroy the temple and rebuild it in three days , save Yourself ! If You are the Son of God , come down from the cross . ”
40:27:041:0	In the same way the chief priests also , along with the scribes and elders , were mocking Him and saying ,
40:27:042:0	“ He saved others ; He cannot save Himself . He is the King of Israel ; let Him now come down from the cross , and we will believe in Him .
40:27:043:0	He trusts in God ; let God rescue Him now , if He delights in Him ; for He said , ‘I am the Son of God . ’ ”
40:27:044:0	The robbers who had been crucified with Him were also insulting Him with the same words .
40:27:045:0	Now from the sixth hour darkness fell upon all the land until the ninth hour .
40:27:046:0	About the ninth hour Jesus cried out with a loud voice , saying , “ E , E , ? ” that is , “ M G , M G , Y M ? ”
40:27:047:0	And some of those who were standing there , when they heard it , began saying , “ This man is calling for Elijah . ”
40:27:048:0	Immediately one of them ran , and taking a sponge , he filled it with sour wine and put it on a reed , and gave Him a drink .
40:27:049:0	But the rest of them said , “ Let us see whether Elijah will come to save Him . ”
40:27:050:0	And Jesus cried out again with a loud voice , and yielded up His spirit .
40:27:051:0	And behold , the veil of the temple was torn in two from top to bottom ; and the earth shook and the rocks were split .
40:27:052:0	The tombs were opened , and many bodies of the saints who had fallen asleep were raised ;
40:27:053:0	and coming out of the tombs after His resurrection they entered the holy city and appeared to many .
40:27:054:0	Now the centurion , and those who were with him keeping guard over Jesus , when they saw the earthquake and the things that were happening , became very frightened and said , “ Truly this was the Son of God ! ”
40:27:055:0	Many women were there looking on from a distance , who had followed Jesus from Galilee while ministering to Him .
40:27:005:1	Jesus Is Buried
40:27:056:0	Among them was Mary Magdalene , and Mary the mother of James and Joseph , and the mother of the sons of Zebedee .
40:27:057:0	When it was evening , there came a rich man from Arimathea , named Joseph , who himself had also become a disciple of Jesus .
40:27:058:0	This man went to Pilate and asked for the body of Jesus . Then Pilate ordered it to be given to him .
40:27:059:0	And Joseph took the body and wrapped it in a clean linen cloth ,
40:27:060:0	and laid it in his own new tomb , which he had hewn out in the rock ; and he rolled a large stone against the entrance of the tomb and went away .
40:27:061:0	And Mary Magdalene was there , and the other Mary , sitting opposite the grave .
40:27:062:0	Now on the next day , the day after the preparation , the chief priests and the Pharisees gathered together with Pilate ,
40:27:063:0	and said , “ Sir , we remember that when He was still alive that deceiver said , ‘After three days I am to rise again . ’
40:27:064:0	Therefore , give orders for the grave to be made secure until the third day , otherwise His disciples may come and steal Him away and say to the people , ‘He has risen from the dead , ’ and the last deception will be worse than the first . ”
40:27:065:0	Pilate said to them , “ You have a guard ; go , make it as secure as you know how . ”
40:27:066:0	And they went and made the grave secure , and along with the guard they set a seal on the stone .
