43:5:001:1	Tó siyį́įgi náá'diilzá
43:5:020:0	Háálá aTaa' éí aYe' ayóó'áyó'ní , áko t'áá ałtso áyoolíłígíí aYe' yił ííshją́ą́ áyoolííł , áádóó díí naanishígíí biláahgo ádaat'éii yił ííshją́ą́ íidoolííł , áko bik'ee t'óó nihił adahayói dooleeł .
43:5:021:0	Jó , aTaa' éí daneeznánígíí néidiyiiłjeehgo iiná yeidii'aah , ts'ídá t'áá éí bił ahináłt'éego aYe' t'áá hóznízinígíí iiná baa hizhdi'aah .
43:5:022:0	ATaa' éí diné doo ła' yeinít'į́įgo yá nihwii'aah da , nidi aYe' t'éí ánihwiit'aah t'áá ałtso bee bóhólníih doo biniyé yeidiní'ą́ ,
43:5:023:0	áko diné t'áá ałtso t'áá aTaa' hoł danilínígi át'éego aYe' hoł danilį́į doo . T'áá háiida aYe' doo hoł nilínígíí éí aTaa' nilíinii biníł'a'ígíí ałdó' doo hoł nilį́į da .
43:5:024:0	T'áá aaníí , t'áá aaníígóó ánihidishní , T'áá háiida shizaad yidiits'a' áádóó shiníł'a'ii yoodlánígíí , éí iiná doo ninít'i'ii bee hólǫ́ , áádóó doo baa náhódóot'įįł da , nidi aniné bits'ą́ą́dóó iináajį' ííyá .
43:5:025:0	T'áá aaníí , t'áá aaníígóó ánihidishní , Bich'į' hoolzhish , k'ad nidi baa hoolzhiizh , daneeznánígíí Diyin God biYe' biinéé' deididoots'į́į́ł , áko t'áá ałtso deidiizts'ą́'ígíí dahináa dooleeł .
43:5:026:0	Háálá aTaa' t'áá bí iiná bii' hólónígi át'éego aYe' ałdó' iiná bii' hólǫ́ǫgo áyósin ,
43:5:027:0	áádóó ánihwiit'aah bee bóhólníihgo yeidiní'ą́ , háálá Diné Silį́į'ii jílį́ .
43:5:028:0	Díidí t'áadoo bik'ee t'óó nihił adahayóí , háálá bich'į' hoolzhish jishcháá' góne' naazhjé'ígíí t'áá ałtso hwiinéé' deididoots'į́į́ł ,
43:5:003:1	Oo'íinii k'ehgo Jesus yá dahalne'ii
43:5:029:0	áko jishcháá'dę́ę́' háádahidookah , yá'át'éehgo ádaanííł nít'é'ígíí iiná biyi'jį' náádidoojah , áádóó doo yá'áshǫ́ǫ́góó ádaanííł nít'é'ígíí éí ti'hoo'nííh biyi'jį' bá nidahodiyoot'ááł biniyé náádidoojah .
43:5:030:0	Doo t'áá shí shóhólníihgo ha'át'íhída ádeeshłíił da , nidi diists'a'ii t'éí bik'ehgo ánihwiish'aah , áko ts'ídá t'áá ákogi át'éego ánihwiish'aah , háálá t'áá shí nisinígi át'éego doo ááshníił da , nidi aTaa' shiníł'a'ii íinízinii t'éiyá bik'ehgo ááshnííł .
43:5:031:0	T'áá shí ádaa hashne'go éí shahane'ígíí doo t'áá aaníi da doo ,
43:5:032:0	nidi shá halne'ii ła' nááhódlǫ́ , áko yee shaa halne'ii éí ts'ídá t'áá aaníí át'éego shił bééhózin .
43:5:033:0	John bich'į' nida'sooł'a' , áko t'áá aaníinii yaa hoolne' .
43:5:034:0	Bee shaa hane'ii nídiiláhígíí éí doo diné bits'ą́ą́dę́ę' da , nidi nihí yisdáhidoohkah biniyé díidí bee hahásdzíí' .
43:5:035:0	John éí bee hool'iní diltłi'go bits'ádi'nídínígíí nahojílin nít'éé' , áko hwee adinídínígíí t'óó kónígháníjį' nihił yá'ádaat'éehgo baa nihił dahóózhǫǫd .
43:5:036:0	Nidi John yee shaa nahalne'ígíí biláahdi ayóó át'éego bee shaa nááháne'ii hólǫ́ , háálá naanish ła' dadeeshłíiłgo biniyé aTaa' sheidiní'ánígíí , ts'ídá t'áá díí naanish baa naasháhígíí , t'áá éí aTaa' shiníł'a'go shaa dahalne' .
43:5:037:0	ATaa' shiníł'a'ígíí t'áá bí ałdó' shaa hoolne' . Éí biinéé' nidi ts'ídá t'ah doo dadoohts'į́įh da , ázhnoolninígíí nidi ts'ídá doo daołtséeh da ,
43:5:038:0	áádóó bizaad doo nihiyi'di dahólǫ́ǫ da , háálá yiníł'a'ígíí doo deinohdlą́ą da .
43:5:039:0	Jó , nihí Diyin God bizaad bee ak'eda'ashchínígíí nidaałkaah , háálá éí biyi' iiná doo ninít'i'ii nihee hólǫ́ danohsin , áko t'áá éí ałdó' shaa dahalne'ii ádaat'é ,
43:5:040:0	nidi iiná nihee dahodooleeł biniyé doo shaa danohkááh át'ée da .
43:5:041:0	Diné bits'ą́ą́dę́ę́' ahił ídlį́ yee shaa haniihii doo nídiishłée da .
43:5:042:0	Nidi Diyin God doo ayóó'ádeínóh'níi dago shił bééhózin .
43:5:043:0	ShiTaa' shee ádíhólníihgo bízhi' bee níyá , ákondi doo dashinohsin da ; ła'da t'áá bí ádee ádíhólníihgo t'áá bí bízhi' yee níyáago , áłt'ąą éí dadínóohsįįł .
43:5:044:0	Nihí ahił ídlį́ ahádanohdzin , nidi Diyin God t'ááłá'í nilíinii bits'ą́ą́dę́ę́' ił ílíinii doo hádaaht'į́į́góó , haash yit'éego da'iidoohdląął ?
43:5:045:0	ATaa' binááł nihik'i hodideesh'áłígíí éí t'áadoo bee ách'į' nitsídaahkeesí ; Mózes yee' nihik'i hodii'aah , azhą́ t'áá éí binahjį' nihił chodahoo'į́į nidi .
43:5:046:0	Mózes deisoohdląądgo , shí ałdó' dashoohdlą́ą doo nít'éé' , háálá éí shaa halne'go ak'e'ashchį́ .
43:5:047:0	Nidi yee ak'e'ashchínígíí doo deinohdlą́ą́góó , ákoshą' hait'éego shizaad deidoohdląął ?
