43:20:001:1	Jesus daaztsą́ą́dę́ę́' náádiidzá
43:20:021:0	Nít'éé' Jesus ánááhodoo'niid , Nihił dahózhǫ́ǫ le' . T'áá shiTaa' shiníł'a'ígi át'éego , shí ałdó' danihideesh'aał .
43:20:022:0	Áko díí yee haadzíi'go hayołgo áhodííniid , Níłch'i Diyinii nihee dahóle' .
43:20:004:1	Jesus áádóó Thomas
43:20:023:0	T'áá háiida bibąąhági át'éii bá yóó'anídahidoh'aahígíí , éí bá yóó'anídahideest'ą́ , índa t'áá háiida bibąąhági át'éii doo bá yóó'anídahidoh'aahígíí , éí doo bá yóó'anídahideest'ą́ą da .
43:20:024:0	Nidi Thomas , naakits'áadahígíí ła' , Naakií hodi'nínígíí , Jesus níyáago doo ajítah da .
43:20:025:0	Áko ła' ídahooł'aahígíí ádahodííniid , Nihí Bóhólníihii daníil'į́į́' . Nidi ájíní , Hálátł'ááh góne' bił o'oolkaal nít'é'ígíí doo nééł'į́į́'góó , áádóó hoł o'oolkaal nít'é'í góne' shíla' doo íítsigóó índa hooshk'iizh góne' doo adeeshnii'góó , shí doo iideeshdląął da .
43:20:026:0	Áádóó tseebííską́ągo hódahooł'aahii kin góne' ninááháaztą́ , áko Thomas ałdó' ákwe'é ajítah . T'áá ákót'éego ádá nááda'deeskaal , nidi Jesus haa honíle'go haníi'gi yiizį'go áhodííniid , Nihił dahózhǫ́ǫ le' .
43:20:027:0	Thomas áyidííniid , Kwe'é shíla' bidinílchíidgo níníł'į́ , áádóó k'ídílchíidgo shooshk'iizh góne' adílnííh , áko t'áadoo doo iinídlání , nidi iinídlą́ .
43:20:028:0	Thomas éí Jesus áyidííniid , ShiBóhólníihii áádóó shiDiyin God !
43:20:005:1	Díidí biniyé naaltsoos bee ak'e'ashchį́
43:20:029:0	Nít'éé' Jesus ánáábidoo'niid , Thomas , shiiniłtsánígíí bąą shiisínídląąd . Doo dashiiłtséeh da nidi dashoodlą́ągo shaa dadzólíii éí bik'idahojidlí .
43:20:030:0	Áádóó náánáła' Diyin God bibee adziilii bee béédahózinii t'óó ahayóí Jesus hódahooł'aahii binááł t'áá aaníí baa nijiyáhígíí éí díí naaltsoos doo bik'inídaháasdzo da ,
43:20:031:0	nidi Jesus éí Christ , Diyin God biYe' nilį́įgo deidoohdląąłígíí biniyé díidíígíí bik'inídaháasdzo , áko éí deinohdlą́ągo baa dadzíínóhłíigo bízhi' biniit'aa iiná nihee dahólǫ́ǫ dooleeł .
