43:16:001:0	Doo dadidoohgoh da biniyé díí t'áá ałtso bee nihił dahweeshne' .
43:16:021:0	Asdzání éí awéé' bídii'nahgo bił honeezgai łeh , háálá azhdoołchííł bílátah dahashzhiizh , nidi t'áá ajiłchíhí hoł honeezgai yę́ę doo bééjílniih da łeh , háálá nahasdzáán bikáa'gi awéé' jishchínígíí bąą hoł hózhǫ́ .
43:16:022:0	T'áá ákót'éego nihí k'ad yínííł danohłį́ , nidi náánihiiłtsą́ągo nihijéí bił nídahodoojǫǫł , áko nihił dahózhónígíí éí diné doo ła'da nihighaididoot'áał da .
43:16:023:0	Áko éí beiníłką́ądi doo nidashídídóołkił da . T'áá aaníí , t'áá aaníígóó ánihidishní , T'áá ha'át'íhída aTaa' shízhi' bee bídayínóhkeedgo , nihaididoo'ááł .
43:16:003:1	Nihokáá' bił nidahazt'i'ii bik'eh déshdlį́į́'
43:16:024:0	Hoolzhishdę́ę́' kojį' t'ah doo shízhi' bee da'díínóhkeed da ; da'díínóhkeedgo nihaa doolyééł , áko nihíni' bíighahgo nihił dahózhǫ́ǫ doo .
43:16:025:0	Díí t'áá ałtso hane' bee ak'idi'dootį́įłii binahjį' nihich'į' hahásdzíí' , nidi bich'į' hoolzhish , hane' bee ak'idi'dootį́įłii binahjį' doo nihich'į' hanáádeesdzih da , nidi t'áá bééhózínígo aTaa' bee nihił hodeeshnih .
43:16:026:0	Áko éí beiníłką́ądi shízhi' bee da'díínóhkeed doo , áko aTaa' nihá néideeshkąął doo nihidishníi da ,
43:16:027:0	háálá ayóó'ádashíínóh'nínígíí índa Diyin God bits'ą́ą́dę́ę́' níyáago deinohdlánígíí bąą , aTaa' t'áá Bí ayóó'ánihó'ní .
43:16:028:0	ATaa' bits'ą́ą́dę́ę́' dah diiyá , áko nahasdzáán bikáa'jį' níyá , k'ad nahasdzáán bits'ą́ąjį' nihéénísdzáago aTaa' bich'į' nídésdzá .
43:16:029:0	Hódahooł'aahii ádahodííniid , K'ad éí t'áá bééhózínígo yáníłti' , hane' bee ak'idi'dootį́įłii doo bee yáníłti' da !
43:16:030:0	K'ad t'áá ałtsoní nił bééhózingo baa ákodaniidzin , índa diné ła'da nanídééłkid nidi doo bee nich'į' anáhóót'i' da ; díí bee Diyin God bits'ą́ą́dę́ę́' yíníyáago deiniidlą́ .
43:16:031:0	Jesus ánáábidoo'niid , Da' k'adísh da'iinohdlą́ ?
43:16:032:0	Jó'akon , díí bich'į' hoolzhish , t'áá aaníí k'ad baa hoolzhiizh , t'ááłá'í nootínígo danihighangóó taidoohkah , áko shí t'éiyá t'áá sáhí deeshłeeł , ákondi doo t'áá sáhí da , háálá aTaa' shił hólǫ́ .
43:16:033:0	Shí shee nihił dahózhǫ́ǫ doo biniyé díí t'áá ałtso bee nihich'į' haasdzíí' . Nahasdzáán bikáa'gi nihich'į' nidahwii'náa doo , nidi chánah danohłį́ , shí nihokáá' bił nidahazt'i'ii bik'eh déshdlį́į́' .
