43:18:001:1	Jesus ninádeet'ą́ áádóó bi'diiltsood
43:18:029:0	Áádóó Páílat hach'į' ch'íníyáago áhodííniid , Díí dinéshą' ha'át'íí bee bik'ídahoh'ááh ?
43:18:030:0	Áko hadaasdzíi'go ádahodííniid , Jó , diné doo bąąhági át'íinii jílį́į́góó , doo naa dahodiniit'ą́ą da doo nít'éé' .
43:18:031:0	Áko Páílat ánáábidoo'niid , Nihílááh , t'áá nihí nihibee haz'áanii bik'ehgo haa nídaaht'į́ . Áádóó Jew dine'é ánáádahodoo'niid , Diné dadiyiilyéełgo éí doo bee nihá haz'ą́ą da .
43:18:032:0	Éí Jesus ts'ídá kót'éego dazdootsaałgo bee hadzoodzí'ígíí bohodoolnííł biniyé ádzaa .
43:18:033:0	Áko Páílat éí naat'ááh kin góne' yah anáádzoodzáago Jesus hágo bizhdííniidgo bich'į' hadzoodzíí' , Da' niísh Jew dine'é Aláahgo biNanit'a'í nílį́ ?
43:18:034:0	Jesus haadzíi'go ání , Da' díísh t'áá níniik'ehígi bee háínídzíí' , ła'da daats'í ákódashiłníigo yee nił dahoolne' ?
43:18:035:0	Páílat ánááhodoo'niid , Da' shíísh Jew dine'é nishłį́ ? Jó , t'áá ni nidine'é áádóó aláahgo nááda'iiłniihii shaa dandeez'ą́ ; ha'át'íishą' baa nisíníyá ?
43:18:036:0	Jesus hanáádzoodzíí' , Bee shóhólníihii éí doo díí nahasdzáán bits'ą́ą́dóo da ; bee shóhólníhígíí nahasdzáán bits'ą́ą́dóogo shá nidaal'a'í shich'ą́ą́h nidaakaigo Jew dine'é doo bílák'ee shi'doot'ą́ą da doo nít'éé' , nidi bee shóhólníihii doo díí nahasdzáán bits'ą́ą́dóo da , bizhdííniid .
43:18:037:0	Páílat ánáádoo'niid , Da' ákoósh aláahgo naat'áanii nílį́ ? Jesus ánááhodoo'niid , Jó , aláahgo naat'áanii nishłínígíí bee háínídzíí' . Jó , t'áá aaníinii baa hashne' doo biniyé shi'dizhchį́ , índa díí biniyé nahasdzáán bikáa'gi níyá . T'áá ádzíłtso t'áá aanííjí dajílíinii éí dashizdiits'a' .
43:18:007:1	Jesus hodi'yoolyéełjį' há nihoot'ą́
43:18:038:0	Nít'éé' Páílat áhodííniid , T'áá aaníiniishą' éí ha'át'íí óolyé ? Áádóó kódííniidgo , Jew dine'é yich'į' ch'ínáánádzáago áyidííniid , Yee ádąąh dah hast'áanii doo ła' bá shił bééhoozin da .
43:18:039:0	Jó nidi , atis'adeesdzá bee bééhániih baa náhwiilzhíizhgo t'áá nihi'é'él'į' bik'ehgo diné ła' nihá bééhidishchííd , áko daats'í Jew dine'é Aláahgo biNanit'a'í nilíinii nihich'į' béézhdidoochił dashíínóhní ?
43:18:040:0	Ákohgo hanáádadeeshghaazh , Eii dinéhígíí dooda , Barábas daniidzin ! dadííniid . Barábas wolyéii éí agha'ii'níiłii nilį́ .
