43:19:001:0	Áko Páílat bizaad k'ehgo Jesus dah náádeidiidlóozgo nídeineestsxas .
43:19:019:0	Áko Páílat kót'éego yee ak'e'ashchį́įgo tsin ałnáoszid yąąh dah yiztą́ ; Jesus Názarethdóó , Jew dine'é Aláahgo biNanit'a'í , níigo bikáá' .
43:19:020:0	Áko éí bee ak'e'ashchínígíí Jew dine'é lą'í dayííłta' , háálá Jesus tsin ałnáoszid bikáa'jį' hoł o'oolkaalídóó kin haal'áajį' t'áá áyídí , áko éí Hííbrew áádóó Látin índa Gríik dine'é bizaad yee ak'eda'ashchį́ .
43:19:021:0	Áko nít'éé' Jew dine'é aláahgo nááda'iiłniihii Páílat ádeidííniid , Jew dine'é Aláahgo biNanit'a'í t'áadoo bee ak'ená'ílchíhí , nidi , Díí diné t'áá bí ání , Jew dine'é Aláahgo biNanit'a'í nishłį́ , níigo bee ak'e'íłchí .
43:19:022:0	Nidi Páílat ánáádoo'niid , Bee ak'e'shéłchínígíí bíni' t'áá éí bee ak'e'ashchį́ .
43:19:023:0	Áko siláo danilínígíí tsin ałnáoszid yikáa'jį' Jesus yił ada'askaalgo bee hazhdít'éé nít'é'ígíí siláo dį́lt'éego ałtaadeisnii' ; ayaadi ha'éé' ałdó' . Nidi ayaadi ha'éé' éí doo ahídadiilkad da , éí t'áá bílátahdę́ę́' yaago t'áá ła' bizhi'ee yistł'ǫ́ ,
43:19:024:0	áko áda'ahidoo'niid , Haa'íshą' , díí doo nidahidiidǫ́ǫs da , nidi háí bíí' dooleeł biniyé yáá'iilt'e' baa nidiikah . Diyin God bizaad bee ak'e'ashchį́įgo kónínígíí bohodoolnííł biniyé ákódzaa : Shi'éé' ałtaadeis'nii' , índa shi'é'ígíí yiniyé yáá'iilt'e' yaa naaskai . Áko siláo ákódáát'įįd .
43:19:025:0	Ákwii tsin ałnáoszid yiyaagi Jesus bimá sizį́ , áádóó t'áá éí bideezhí ałdó' , Mary éí Klíyofas wolyéii be'asdzą́ą́ , índa Mary Mágdaliin ałdó' .
43:19:026:0	Áko Jesus hamá jiiłtsą́ągo , áádóó hóhooł'aahii ayóó'ájó'nínígíí hamá yíighahgi sizį́įgo , hamá ábizhdííniid , Asdzání , jó , eii niyáázh !
43:19:002:1	Jesus dadziztsą́
43:19:027:0	Áádóó hóhooł'aahii ánáábizhdoo'niid , Jó , eii nimá ! Éí áádóó íhooł'aahii jílíinii t'áá hó haghangóó bił níjít'áázh .
43:19:028:0	Kódzaadóó bik'ijį' há nihoot'áanii ałtso bíighah azlį́'ígíí hoł bééhózingo , Diyin God bizaad bee ak'e'ashchínígíí bohodoolnííł biniyé ázhdííniid , Dibáá' sélį́į́' .
43:19:029:0	Nít'éé' ákwe'é ch'il na'atł'o'ii bitoo' dók'ǫ́zhígíí ła' siką́ą́ lá , áko tó náyiits'ǫsígíí éí yéédeiz'ą́ągo ch'il hísap wolyéhígíí bee hazée'jį' dah yída'diiłtsih .
43:19:003:1	Jesus booshk'iizh baa o'oolzhiizh
43:19:030:0	Áko Jesus ch'il na'atł'o'ii bitoo' dók'ǫ́zhígíí dzizlįhgo ázhdííniid , K'ad lá ałtso bíighah azlį́į' ni , áádóó yaa ádziidzaago hwii' sizíinii ninázhdiní'ą́ .
43:19:031:0	Hasht'ehodi'nééh bijį́įgo bąą , háá'áyį́į́h jį́į́ góne' ats'íís doo ła' t'áá tsin ałnáoszid yąąh dah hidíłtį́į da doo biniyé Jew dine'é éí tsin ałnáoszid yąąh dah hidíjé'ígíí yijáád deidiyootihgo nahgóó ádeidoolííł biniyé Páílat nídayooskan ( háálá éí háá'áyį́į́h jį́ aleehígíí ayóogo dílzinii át'é ) .
43:19:032:0	Áko siláo yíkaigo t'áá hoł bił o'oolkaalii átséhígíí bijáád dayiizti' , ła'ígíí ałdó' ,
43:19:033:0	nidi Jesus baa jíkai , nít'éé' t'áá íídą́ą́' daaztsą́ą́ lágo hoł béédahoozin , áko t'áadoo bijáád dadziizti' da .
43:19:034:0	Nidi siláo ła' tsiidétáán hooshk'iizh góne' yaa ayííłgeed , t'áá áko áádę́ę́' dił tó bił háána' .
43:19:035:0	Áko éí binááł baa o'oolzhiizhii yiyiiłtsánígíí yaa hoolne' , áko yaa hoolne'ígíí éí t'áá aaníí , índa t'áá aaníígóó halne'go bił bééhózin . Nihí ałdó' deidoohdląął biniyé yaa halne' .
43:19:036:0	Bits'in doo ła' k'í'dooltǫǫł da , níigo Diyin God bizaad bee ak'e'ashchínígíí bohodoolnííł biniyé díí t'áá ałtso ákódzaa .
43:19:004:1	Jesus yóó'áho'diilyaa
43:19:037:0	Índa náánáłahgo ałdó' Diyin God bizaad bee ak'e'ashchíinii ánáádí'ní , Baa ada'jishiizhígíí dazhníł'į́į doo .
43:19:038:0	Kódzaadóó bik'ijį' Arimathíya hoolyéédę́ę́' Jóseph éí Jew dine'é béédzíldzidgo t'áá nant'inee Jesus yídahooł'aahii jílį́ . Éí , Jesus bits'íís nahgóó adeeshtééł , jiníigo Páílat bíjííkeed , áko Páílat ha'di'ní'ą́ . Ákwii jiníyáago Jesus bits'íís dashdiiłtį́ .
43:19:039:0	Nít'éé' Nikodíímas ałdó' ákwii níyá , éí átséédą́ą́' tł'ée'go Jesus baazhníyáhígíí éí spáis wolyéii łikání halchinii mir áádóó álooz wolyéhígíí ałtaanásdziidgo neeznádiindi daats'í dah adiidlohgo jiníyį́ .
43:19:040:0	Éí nizhdilt'éego Jesus bits'íís dashdiiłtį́įgo , Jew dine'é yóó'áda'ał'ínígi át'éego łikání halchinii spáis wolyéii bąąh ájiilaa áádóó na'at'ą́hí łigaii dits'idígíí bił dzizdis .
43:19:041:0	Áko tsin ałnáoszid bikáa'jį' hoł o'oolkaalígi t'áá éí nahós'a'gi tsin bił dah náháltso , áko ákwe'é ániidígo tséní'ootséelgo ts'ídá t'ah doo áajį' diné ła' yóó'álnéeh da .
43:19:042:0	Áko Jew dine'é bihasht'ehodi'nééh bijínígíí áádóó tséní'ootséél t'áá áyídígo ałdó' biniinaa ákóne' Jesus yóó'ájiilaa .
