43:10:001:1	Dibé bighan binahjį' hane' bee ak'idi'dootį́įłii
43:10:018:0	Éí diné doo ła' shighaidoolyéeł da , nidi t'áá shíniik'eh ninádinish'aah . Bee óhólnííh shee hólǫ́ǫgo ninádinish'aah , áádóó bee óhólnííh shee hólǫ́ǫgo náádideeshdlééł ; díí bi'deeshłíiłgo shiTaa' bibik'eh ó'oo'níiłii át'é .
43:10:019:0	Áko éí saad bee hadzoodzí'ígíí biniinaa Jew dine'é ałghanááda'dit'áahgo ałts'ákah .
43:10:020:0	Áko lą'í yilt'éego ádadííniid , Níłch'i bi'iiníziinii hayi'di hólǫ́ǫgo , diigis jílį́į́ lá ; ha'át'íísh biniyé dahwíísółts'ą́ą́' ?
43:10:003:1	Jew dine'é éí Jesus bił nidazdiilniił dayó'ní
43:10:021:0	Ła' ádaaní , Díí saadígíí doo níłch'i bi'iiníziinii bii' hólóonii ła' bizaad át'ée da . Da' níłch'i bi'iiníziiniísh doo oo'íinii oo'į́įgo íidoolííł ?
43:10:022:0	Íídą́ą́' Jerúsalemdi , kin bii' sohodizin éí Diyin God bá ats'át'ánígíí bee bééhániihgo biniit'aa hodílzingo áłah ná'ádleehígíí baa nááhoolzhiizh , áko íídą́ą́' hai ,
43:10:023:0	nít'éé' kin bii' sohodizin bich'éédą́ą'gi , Sálaman bichaha'oh góne' Jesus nijighá .
43:10:024:0	Áádóó Jew dine'é haa áłah silį́į'go ádahodííniid , Haa nízáágóoshą' náás nihiníí'ah doo ? Christ nílį́į́ ládą́ą́' , t'áá bééhózínígo bee nihił hólne' .
43:10:025:0	Áko Jesus ábidííniid , Nihił hweeshne' lą́ą , nidi t'áadoo deisoohdląąd da . ShiTaa' bízhi' bee naanish baa naasháhígíí , éí bee Christ nishłį́įgo nihił béédahózin ,
43:10:026:0	nidi doo dashoohdlą́ą da , háálá [ t'áá ánihidííniidígi át'éego] doo shí shidibé danohłį́į da .
43:10:027:0	Jó , shidibé shiinéé' deidiits'a' , áádóó béédahasingo shikéé' nidaakai ,
43:10:028:0	índa iiná doo ninít'i'ii baa hidish'aah , áko ts'ídá doo ádadoodįįł da , doo nidi ła'da shílák'eedóó haidiyoołhą́łí da .
43:10:029:0	ShiTaa' t'áá ałtso biláahgo ayóó ájít'éii , éí dibé shaazhnínilígíí doo ła' shiTaa' bílák'eedóó haidiyoołhą́ąłgo yíneel'ání da .
43:10:030:0	Shí índa shiTaa' t'ááłá'í niidlį́ .
43:10:031:0	Ákohgo Jew dine'é hoł nidazdoołniił biniyé tsé nínáádayiisdláá' .
43:10:032:0	Nít'éé' Jesus ánáábidoo'niid , ShiTaa' bits'ą́ą́dę́ę́' naanish yá'ádaat'éehii lą'í nihinááł baa niséyá , áko háidíígíishą' biniinaa shił nidaznołne' ?
43:10:033:0	Jew dine'é ánáádahodoo'niid , Yá'át'éehii baa nanináhígíí biniinaa doo nił nidazniilne' da , nidi Diyin God doo díínísingóó baa yáníłti'ígíí biniinaa , háálá t'áá diné nílį́įgo Diyin God í'díl'į́ .
43:10:034:0	Jesus ánáábidoo'niid , Diyin danohłį́ , dííniid , da' doósh nihibee haz'áanii bii' bee ak'e'ashchį́į da ?
43:10:035:0	Diyin God bizaad baa deet'ánígíí , Diyin danohłį́ , yidííniidgo , jó , Diyin God bizaad bee ak'e'ashchínígíí doo łahgo ádooníił da .
43:10:036:0	Áko Diyin God biYe' nishłį́ , dishnínígíí bąą ha'át'éegoshą' , Diyin God baa'ihgo baa yáníłti' , dashidohní ? Jó , aTaa' ats'áshiníłtį́įgo nahasdzáán bikáa'jį' shiníł'a' .
43:10:037:0	ShiTaa' binaanish doo baa naasháágóogo t'áadoo dashiinohdlání ,
43:10:038:0	nidi éí baa naasháago azhą́ shí doo dashiinohdlą́ą da nidi , naanish baa naasháhígíí éí deinohdlą́ , áko aTaa' shiyi'di hólǫ́ , shí ałdó' biyi'di honishłónígíí nihił béédahodoozįįłgo deidoohdląął .
43:10:039:0	Éí bąą dahwiidiiltsoł ch'ééh náádaniidzį́į́' nidi , bits'ą́ą́' dah náázdiidzá .
43:10:040:0	Áádóó Jórdan tsé'naagóó anáádzoodzá , John tó yee asį́įhgo hahoolzhiizh yę́ęjį' , ákwii nijigháá nít'éé' .
43:10:041:0	T'óó ahayóí haa haaskaigo ádaaní , John éí Diyin God bibee adziilii bee bééhózinii doo ła' yaa naayáa da , nidi John díí diné yee yaa hoolne'ígíí t'áá ałtso t'áá aaníí lá .
43:10:042:0	Áko ákwii t'óó ahayóí dahoosdląądgo haa dadzoozlíí' .
