43:4:001:1	Jesus áádóó asdzání Samériyagi kééhat'íinii
43:4:017:0	Áko asdzání hanáánáádzíi'go áhodííniid , Shahastiin ádin . Jesus áháłní , Shahastiin ádin , dinínígíí t'áá aaníí ádííníniid ,
43:4:018:0	háálá ashdla' nahastiin nít'éé' , nidi k'ad bił nani'aashígíí doo nahastiin át'ée da , áko t'áá aaníígóó háínídzíí' .
43:4:019:0	Asdzání ánááhodi'ní , Kwá'ásiní , k'ad lą́ą shił bééhoozin ni , Diyin God yá halne'ii nílį́į́ lá .
43:4:020:0	Danihizhé'é yę́ę díí dził bighą́ą'di nidahałáá nít'éé' , áko nihí éí Jerúsalemgi t'éiyá diné nidahałáago bá haz'ą́ dadohní .
43:4:021:0	Jesus ánááhodoo'niid , Asdzání , shiinídlą́ , díí dził bighą́ą'gi dooda , Jerúsalemgi ałdó' doo aTaa' bich'į' nidahohłáa da dooleełgo bich'į' hoolzhish .
43:4:022:0	Nihí t'áadoo béédahonohsinii bich'į' nidahohłá , nidi nihí éí béédahoniilzinígíí bich'į' nidahwiidlá , háálá yisdá'iildééh éí Jew dine'é bitahdóó hazlį́į́' .
43:4:023:0	Áko bich'į' hoolzhish , áádóó k'ad nidi baa hoolzhiizh , t'áá aaníígóó nidahałáii éí níłch'i ii' sizíinii yee áádóó t'áá aaníinii yee aTaa' yich'į' nidahałáa dooleeł , háálá ákót'éego aTaa' bich'į' nidahałáa dooleełígíí haintá .
43:4:024:0	Diyin God éí Níłch'i jílį́ , áko hach'į' nidahałáii éí ts'ídá níłch'i ii' sizíinii yee áádóó t'áá aaníinii yee hach'į' nidahałáa dooleeł .
43:4:025:0	Nít'éé' asdzání ánááhodoo'niid , Mesáíyah , Christ joolyéhígíí lá jígháahgo shił bééhózin ni , áko jiníyáago t'áá ałtsoní bee nihił hozhdoolnih .
43:4:026:0	Áko Jesus ánááhodoo'niid , Shí nich'į' yáshti'ígíí éí ásht'į́ .
43:4:027:0	Ts'ídá ákohgo hódahooł'aahii haa nákaigo asdzání bich'į' yájíłti'ígíí bik'ee t'óó bił adahóóyóí , nidi , Ha'át'íísh bínabídíłkid ? t'áadoo hodííniidí da , áádóó , Ha'át'íísh biniyé bich'į' yáníłti ? t'áadoo hodííniidí da .
43:4:028:0	Áko asdzání bitóshjeeh yázhí t'áá ákǫ́ǫ́ si'ą́ągo kin haal'áágóó anídzoodzá , áko diné t'áá ałtso ábizhdííniid ,
43:4:029:0	Tį' , diné léi' áát'įįdii ałtso yee shił náhoolne'ígíí deidoołtsééł . Éí daats'í Christ át'į́ ?
43:4:002:1	Dá'ák'ehgóó da'diigaii
43:4:030:0	Áko kin haal'áádóó ch'íjiizhjée'go Jesus baazhníjéé' .
43:4:031:0	T'ahdii bich'į' jookahgo Jesus hódahooł'aahii nídahookąąhgo ádahodííniid , Na'nitiní , íyą́ .
43:4:032:0	Nidi ábizhdííniid , Ch'iyáán doo nihił béédahózinii shee hólǫ́ǫgo éí yishą́ .
43:4:033:0	Áko hódahooł'aahii áda'ahidoo'niid , Da' ła'daásh ha'níłtsood ?
43:4:034:0	Jesus áhodííniid , Shiníł'a'ii yee íinízinii binaashnishgo ła'yishłéhígíí , éí shich'iyą' át'é .
43:4:035:0	Adoogishjį' dį́į́' nídeezid hadziih , da' doósh dadohníi da ? Jó , nidi shí ánihidishní , Dadohhaałgo dáda'ak'ehgóó dadóh'į́į́' , háálá da'diigaii , áko k'ad agizhjį' ahoolzhiizh .
43:4:036:0	Ayizhii éí bich'į' na'iilyé , áádóó aneest'ą' iiná doo ninít'i'ii biniyé áłah ííł'į́ , áko k'éé'dídléhígíí índa ayizhii éí t'áá áłah t'áá íiyisí bił hózhǫ́ǫ dooleeł .
43:4:037:0	Háálá kwe'é bee ha'oodzí'ígíí t'áá aaníí át'é , Ła' k'éézh'dídlééh , ła' éí ajiyish .
43:4:038:0	T'áadoo bindashoołnish daígíí dadoohhish biniyé ákǫ́ǫ́ anihiyíł'a' , áko ła' yindaashnishii nihí éí bee ákidasoohdla' .
43:4:039:0	Áko éí kin haal'áádóó Samériya dine'é t'óó ahayóí éí asdzání bahane'ígíí binahjį' Jesus dayoosdląąd , Áát'įįdii ts'ídá t'áá ałtso yee shił náhoolne' , níigo .
43:4:040:0	Áko Samériya dine'é haa haaskaigo , T'áá kwe'é nihitah naniná , daaníigo nídahooskan , áko t'áá ákwe'é naaki hwiiską́ .
43:4:041:0	Índa t'óó ahayóí náádahoosdląąd , háálá t'áá hó hazaad deidiizts'ą́ą́' .
43:4:003:1	Naat'áanii biye' náábi'diilzá
43:4:042:0	Áko asdzání ádeidííniid , K'ad ni ádínínígíí doo t'áá éí t'éiyá binahjį' da'iiniidlą́ą da , háálá t'áá bí nihił nahasne'go t'áá nihí dasidiits'ą́ą'go t'áá aaníí [ Christ nilíinii , ] nihokáá' dine'é Yisdáyiiníiłii át'į́į́ lágo nihił béédahoozin .
43:4:043:0	Ákwe'é naaki hwiiską́ągo índa Gálilii bich'į'go dashdiiyá .
43:4:044:0	Háálá Jesus t'áá bí ádííniid , Diyin God yá halne'ii t'áá bí bikéyahgi diné doo bił jílį́į da .
43:4:045:0	Áko Gáliliigi jiníyáago , Gálilii dine'é bił dahóózhǫǫdgo bił k'é da'ahizhdoo'niid , Jerúsalemgi hodílzingo áłah ná'ádleehígi ájíít'įįdígíí t'áá ałtso dayiiłtsą́ éí bąą . Jó , éí ałdó' hodílzingo áłah ná'ádleehígóó nidaaskai .
43:4:046:0	Ákódzaago Gálilii biyi' , Kéína hoolyéedi , tó wáin ájiilaa yę́ęgi náádzídzá . Nít'éé' Kapérniyamgi naat'áanii ła' biye' daatsaah lá .
43:4:047:0	Éí Judíyadóó Gáliliijį' Jesus níyáhígíí jíínii' , áko baazhníyáago nídzooskango ájíní , Kapérniyam góyaa díínáałgo shiye' náábididííłááł , háálá doo baa dzoos'níi' da .
43:4:048:0	Jesus áhodííniid , Bee éédahózinii áádóó bik'ee t'óó ił adahayóigo ádahooníiłii doo daołtsą́ą́góó doo da'iidoohdląął da .
43:4:049:0	Áko naat'áanii ánááhodoo'niid , Kwá'ásiní , shiye' t'ah doo daatsaahdą́ą́' ákóyaa díínááł .
43:4:050:0	Jesus ánááhodoo'niid , Nílááh , nídídááh ; niye' náádiidzá . Áko Jesus saad yee hach'į' haadzí'ígíí dzoosdląądgo anídzoodzá .
43:4:051:0	Ákóyaa níjoodááł , nít'éé' há nidaal'a'í hadááh yíkaigo hoł dahoolne'go ádaaní , Niye' náádiidzá .
43:4:052:0	Ákohgo na'ízhdééłkidgo ázhdííniid , Díkwíigi oolkiłgoshą' t'ah nít'éé' yá'át'ééh nídzísdlį́į́' ? Áko ádahodííniid , Adą́ą́dą́ą́' yaa'adeez'ą́ągo hatah honeezgaii yę́ę hats'áldoh .
43:4:053:0	Áko ts'ídá ákwii oo'áałgo Jesus , Niye' náádiidzá , hodííniidí góne' yá'át'ééh nídzísdlį́'ígíí hazhé'é yénáálnii' , áko hó áádóó haghandóó t'áá ałtso da'oosdląąd .
43:4:054:0	Judíyadóó Gáliliijį' Jesus jiníyáago , díidí naaki góne' habee adziilii bee bééhózinii baa nijiyáhígíí át'é .
