43:12:001:1	Jesus éí Béthaniidi ak'ah bee ats'áltį́
43:12:028:0	ShiTaa' , nízhi' ayóó át'éego ánílééh . Nít'éé' yá'ąąshdę́ę́' iinéé' diists'ą́ą'go ání , Ayóó át'éii lá áshłaa ni , áádóó ayóó át'éii ánáádeeshdlííł .
43:12:029:0	Ákwii diné lą'í naazínígíí da'diizts'ą́ą'go ádadííniid , Adees'ni' . Ła' ánáádadi'ní , Diyingo naal'a'í bich'į' haadzíí' .
43:12:030:0	Nít'éé' Jesus ánááhodoo'niid , Éí nihí t'éiyá nihá bee ha'oodzíí' , shí éí doo shá ha'oodzíi' da .
43:12:031:0	K'ad díí nahasdzáán baa náhát'į́ , k'ad nahasdzáán binanit'a'í ch'íhidoolghą́ą́ł ;
43:12:032:0	shí , dah shidi'diilt'e'go , diné t'áá ałtso át'ááh deesh'nił .
43:12:033:0	Haa yit'éego dazdootsaałígíí bee bééhózin doo biniyé bee hadzoodzíí' .
43:12:034:0	Áko diné yíl'áhígíí hach'į' hadaasdzíi'go ádadííniid , Bee haz'áanii biyi'dóó Christ hool'áágóó hólǫ́ǫ dooleeł , níigo dasidiits'ą́ą́' . Áko ha'át'éegoshą' Diné Silį́į'ii dah bidi'doolt'eeł diní ? Háishą' éí Diné Silį́į'ii át'į́ ?
43:12:035:0	Jesus áhodííniid , T'óó kónígháníjį' adinídíín nihił hólǫ́ . Adinídíín t'ah nihee hólónídą́ą́' nidaahkai , doodago éí chahałheeł nihik'iidooldoh ; chahałheełgóó naagháhígíí yigááłgóó doo bił bééhózin da .
43:12:006:1	Jew dine'é doo da'oodlą́ą da
43:12:036:0	Adinídíín t'ah nihee hólǫ́ǫ́dą́ą́' , éí adinídínígíí deinohdlą́ągo baa dadzíínóhłí , áko adinídíín ba'áłchíní dadoohłeeł . Jesus kódííniidgo , dah diiyáago hats'ąą nídeest'į́į́' .
43:12:037:0	Azhą́ Diyin God bibee adziilii bee béédahózinii t'óó ahayóidi binááł baa nijiyáa nidi , t'áadoo dahoosdląąd da ;
43:12:038:0	Diyin God yá halne'ii , Aizéíyah kóníigo saad yee haadzíi'ii bohodoolnííł biniyé ákódzaa ; Bóhólníihii nílíinii , baa nidahwiilne'ígíishą' háí dayoosdląąd ? Háishą' Bóhólníihii bibee adziilii bich'į' yit'íní ályaa ?
43:12:039:0	Éí biniinaa da'iizhdoodląąłgo doo bídazhneel'ą́ą da . Háálá Aizéíyah ánáádoo'niid ,
43:12:040:0	Hó doo da'oo'į́į́góó ájiilaa áádóó bijéí dajííłtł'is , doodago éí bináá' yee da'iidoołtsééłáádóó bijéí yee ak'ida'di'dootį́į́ł , áko shich'į' ninádookahgo náádabidideeshłááł .
43:12:041:0	Aizéíyah díí yee haadzíí' , háálá hats'ádi'nídínígíí yiyiiłtsą́ągo haa yáłti' .
43:12:042:0	Azhą́ naat'áanii danilíinii nidi t'óó ahayóí dahoosdląąd , nidi Férisii danilíinii yéédaaldzidgo biniinaa dahoosdląądgo haa dadzoozlí'ígíí doo t'áá yit'íní yee yádaałti' da , háálá Jew dine'é áłah nádleehii bitahdóó bits'ánihidi'doo'nił danízin .
43:12:007:1	Jesus bizaad aa nídóot'įįł
43:12:043:0	Diyin God baa haniihígíí bilááh át'éego diné baa dahaniihjígo bił ayóó ádahoot'é .
43:12:044:0	Nít'éé' Jesus yéego haadzíi'go ání , T'áá háiida shoodlą́ągo shaa dzólíhígíí éí doo shí shoodlą́ągo shaa dzólíi da , nidi shiníł'a'ii éí yoodlą́ągo yaa dzólí .
43:12:045:0	Áko shoo'ínígíí éí shiníł'a'ii yoo'į́ .
43:12:046:0	Shí adinídíín nishłį́įgo nahasdzáán bikáa'jį' níyá , áko shoodlą́ągo shaa dzólíhígíí doo chahałheeł yii' naagháa da doo .
43:12:047:0	Diné ła'da shizaad yidiits'a'go doo yoodlą́ą́góó , éí doo baa nídéesht'įįł da , háálá nihokáá' dine'é doo baa nídéesht'įįł biniyé níyáa da , nidi yisdádeeshnił biniyé níyá .
43:12:048:0	Doo shinízinígíí índa shizaad doo yinízinii éí haa nídóot'įįłii hólǫ́ǫgo há nihodoo'ááł ; saad bee haasdzí'ígíí t'áá éí niiníłką́ądi haa nídóot'įįłgo há nihodoo'ááł .
43:12:049:0	Háálá doo t'áá shíniik'eh hahásdzíi' da , nidi aTaa' shiníł'a'ii éí bibik'eh ó'oo'níiłii bee hahideesdzihígíí índa bee yáshti' dooígíí sheidiní'ą́ .
43:12:050:0	Áko yee has'áanii éí iiná doo ninít'i'ii át'éego shił bééhózin . Éí bąą bee yáshti'ígíí , aTaa' t'áá áshidííniidígi át'éego bee yáshti' .
