A certain	Egia
To eat any old place	Edozein leku zahar jateko
To eat off one's relatives	Senideengandik jateko
To be a heavy meat-eater	Haragi astuneko berogailua izateko
To eat meat off bones	Hezur-haragia jateko
To eat with a fork	Sardexka batekin jateko
To eat with a spoon	Koilara batekin jateko
To fix him something to eat	Jateko zerbait konpontzeko
To get a bite to eat	Jateko hozka egiteko
To make him eat	Jateko
To be in eclipse	Eklipsean egoteko
Edge	Edge
To the edge of the canyon	Kanoiaren ertzean
On the edge	Ertzean
To go running over the edge one after another	Ertzaren gainean korrika egiteko, bata bestearen atzetik
To crawl over the edge	Ertzaren gainean ibiltzeko
To crawl one after another over the edge	Ertzaren gainean bata bestearen atzetik ibiltzeko
To set it on edge	Ertzean jartzeko
To make it effervesce	Horretarako effervesce
To make an effort	Ahalegina egiteko
To put forth a super-human effort to attain it	Ahalegin gizatiarra egitea hori lortzeko
To require effort	Esfortzua eskatzeko
Chicken egg	Oilasko-arrautza
boiled egg	arrautza egosia
Hardboiled egg	Arrautza egosi gogorra
Soft-boiled egg	Arrautza leun egosia
Powdered eggs	Arrautza hautsak
Fried egg	Arrautza frijitua
Eight times	Zortzi aldiz
Eight of us	Gutako zortzi
Eight of you	Zuetako zortzi
Eight of clubs	Klubetako zortzi
Eight of hearts	Zortzi bihotz
Eight of spades	Zortzi lagun
Eight of diamonds	Zortzi diamante
Eighteen times	Hemezortzi aldiz
Eighty times	Laurogei aldiz
Eighty one	Laurogeita bat
To ejaculate	Eiakulatzeko
Elbow area	Ukondoaren eremua
Elbow joint	Ukondoaren artikulazioa
On the elbow	Ukondoan
Elbow	Ukondoaren ukondoa
Our elders	Gure zaharrak
To take part in an election	Hautaketa batean parte hartzea
To put in electrical wiring	Kableatu elektrikoan jartzeko
Elevated place	Leku altua
Eleven times	Hamaika aldiz
From elsewhere	Bestetik
To be embarrassed about it	Lotsatzeko
To be embarrassing	Haurdun egoteko
To arise	Jaikitzeko
To employ it	Erabiltzeko
To empty it on the floor	Zoruan husteko
To empty it into it	Bertan husteko
To enclose it in it	Bertan sartzeko
Ends of the Earth	Lurraren helburuak
To be near the end	Amaieratik hurbil egoteko
To come to the end of one's days	Bateko egunen amaierara iristeko
To come to the end of one's rope	Baten sokaren amaierara iristeko
To come to an end	Amaierara iristeko
To end	Amaitzeko
To be endorsed	Endosatua izateko
Our enemies	Gure etsaiak
The application of ashes on the Scalp Shooter in Enemy Way	Errautsen aplikazioa Enemy Wayko Scalp Shooter-en
To enjoy it	Gozatzeko
Enough for oneself	Nahikoa norberarentzat
To be enroute with him	Harekin bidean egoteko
To be enroute back with him	Harengana itzultzeko
To enter	Sartzeko
To enter one	Batean sartzeko
To enter it	Bertan sartzeko
To entertain oneself	Entretenitzeko
The entire world	Mundu osoa
To remove its entrails	Erraiak ezabatzeko
To start among them	Elkarrekin hasteko
To be subject to epidemics	Izurriteen mende egotea
To be wiped out by an epidemic	Epidemia batek suntsitzea
To get equipped	Ekipatua lortzeko
They are equivalent to each other	Baliokideak dira
To be eroding	Higatzen egoteko
To start to erode	Higatzen hasteko
To erode its surface	Azalera higatzea
To be an errand boy	Haur errand bat izateko
To take it up	Gauzatzeko
To take an escalator up	Eskailera bat hartzeko
To take it down	Behera eramateko
To take an escalator down	Eskailera bat behera hartzeko
To be escaping	Ihes egiten egoteko
To escape away	Urrutira ihes egiteko
To escape inside	Barrura ihes egiteko
To escape	Ihes egiteko
To escape with it	Harekin ihes egiteko
To have a narrow escape	Ihes estua izateko
To run inside to escape	Barrura korrika egiteko, ihes egiteko
To escape with them	Haiekin ihes egiteko
To hold him in low esteem	Bajan mantentzeko, zenbatetsi egiten du
Self-esteem	Autoestimua
To start off evacuating them in a series of planes	Hegazkin batzuetan ebakuatzen hasteko
To get even with him	Berarekin ere lortzeko
Even though	Hala ere
Even though	Hala ere
To be overtaken by evening	Gauez gainditzeko
To become early evening	Goiz arratsaldera iristeko
To become evening	Gauera iristeko
Toward evening	Gauean
Evening Twilight Man	Twilight gaua, gizonezkoa
Evening Twilight Woman	Gaua Twilight Emakumea
'Adą́ą́dą́ą́' 'índa	Hau da:
Hardly ever	Ia inoiz ez
Every noon	Eguerdian behin
Every year	Urtero
Every month	Hilero
Every time it rains	Euria egiten duen bakoitzean
Every Saturday	Larunbatero
Every once in awhile	Aldi bakoitzean
Every other day	Egunero
Every third day	Hirugarren egunean behin
Every two years	Bi urtean behin
Every three years	Hiru urtean behin
Every	Bakoitza
Every day	Egunero
Every morning	Goizero
Every night	Gauero
Every summer	Udan
Every winter	Neguan
Every few	Gutxika
Every few miles	Kilometro gutxitik behin
Every few feet	Oin gutxitik behin
Every few days	Egun gutxitan
Every few years	Urte gutxiren buruan
Every few months	Hilabete gutxiren buruan
Every last bit	Azken bit bakoitza
Every last one of them	Horietako bakoitza
Every last one of us	Gutako bakoitza
Every last one of you	Zuetako azkena
Evil man	Gizon txarra
Evil men	Gizon txarrak
Evil wishes	Desio txarrak
To be an evil omen	Omen txarra izatea
To be evil	Txarra izatea
To bode evil	Gaizkia menderatzeko
To wish him evil	Gaizki desiratzea
Ash blowing procedure in Evil Way chants	Evil Way kantuetan errautsak puzteko prozedura
Mixture of bark and herbs used to blacken the patient in the Evil way Ceremonies	Azal- eta belar-nahasketa, Evil way zeremonietan pazientea belzteko erabiliak
Brushing procedure in Evil Way Chants	Evil Way Chants-en arrabotatzeko prozedura
Cull ewe	Ipurdia
Old barren ewe	ewe esteril zaharra
To make an examination	Azterketa egitea
To examine it for him	Aztertu harentzat
To examine his genitals	Genitalak aztertzeko
To be examined	Aztertzekoa
Without exception	Salbuespenik gabe
In excess of ten	Hamar baino gehiago
In exchange for oneself	Norberaren kontura
To become sexually excited	Sexualki kitzikatua izateko
To be sexually excited	Sexualki kitzikatua izateko
To exert pressure or effort on it	Presioa edo ahalegina egin
To be exhausted	Agortzeko
without becoming exhausted	agortu gabe
Exhibits	Erakusketak
To be fading into non-existence	Existentziarik ezari aurre egiteko
To start to come into existence	Existentziara iristen hasteko
To exit	Irteteko
There are exits	Irteerak daude
To expand	Handitzeko
To be expanding	Handitzen joateko
To expand by intervals	Tarteka hedatzeko
To start to expand	Handitzen hasteko
To expand it	Zabaltzeko
To expect him	Itxaroteko
To be expected	Espero izatekoa
To be expecting	Zain egoteko
To not expect to live	Bizi arte ez itxaroteko
To be expectant	Prest egoteko
To be expelled	Kanporatua izatea
Extremely expensive	Oso garestia
The experts	Adituak
To be an expert	Aditua izatea
To give an explanation of it	Horren azalpena emateko
To explode it	Ustiatzeko
To explore it	Aztertzeko
To explore it	Aztertzeko
To extend	Handitzeko
To extend	Handitzeko
It extends	Zabaldu egiten da
To extend	Handitzeko
To extend across	Honen bidez zabaltzeko:
To extend around it	Inguruan zabaltzeko
To extend along	Luzapen hau
To extend away	Urrutira zabaltzeko
To extend away into the distance	Distantziara zabaltzeko
To extend away	Urrutira zabaltzeko
To extend away	Urrutira zabaltzeko
To extend from it	Bertatik zabaltzeko
To extend to	Honi zabaltzeko:
To extend straight up	Ondestea zabaltzeko
To extend crosswise	Crosswisea zabaltzeko
To extend slanting downward	Inklinazioa beherantz luzatzeko
To extend slanting upward	Inklinazioa gorantz luzatzeko
To start to extend	Handitzen hasteko
They extend out horizon- tally	Horizontalki zabaltzen dira
They extend together	Elkarrekin zabaltzen dira
To extend it in a line	Lerro batean zabaltzeko
To extend it straight up	Zuzen zabaltzeko
To extend one's arm	Besoa luzatzeko
To extend one's hand and arm	Eskua eta besoa luzatzeko
To be in the process of becoming extinct	Iraungitzeko prozesuan egotea
To extract them	Ateratzeko
To have it extracted	Ateratzeko
To have them extracted	Ateratzeko
To extract it	Ateratzeko
To extract things from him	Harengandik gauzak ateratzeko
Its extremity	Gorputz-adarra
Cross-eyed	Cross-eyed
Bleary-eyed	Bleary-eyed
One eyed	One eied
Owl-eyed	Arakatu
Bug-eyed	Bug-eyed
Narrow-eyed	Begi estuak
Albino	Albinoa
Beady-eyed	Beady-eyed
Area surrounding the eye	Begiaren inguruko eremua
Between the eyes	Begien artean
A fold or wrinkle under the eye	Tolestura edo zimur bat begiaren azpian
Eye doctor	Doktorea begietan
In front of one's eyes	Baten begien aurrean
One-eyed	Uno-eyed
One's own eye	Norberaren begia
Out of the corner of one's eye	Baten begiaren ertzetik kanpo
Over one's eyes	Baten begien gainean
Pupil of the eye	Begi-ninia
The corner of the eye	Begiaren ertza
The liquid contained in the eyeball	Begi-globoan dagoen likidoa
The matter from under the eye fold of a deer	Orein baten begiaren tolesturaren azpiko materia
The outside corner of the eye	Begiaren kanpoko izkina
To get into one's eyes	Begietan sartzeko
To have a black eye	Begi beltza izatea
To keep an eye on it	Begi bati eusteko
Under the eyelid	Betazalaren azpian
White of  the eye	Begiaren zuria
On the ridge of the eyebrow	Bekain-gailurrean
Across the ridge of the eyebrow	Bekainetik
False eyelash	Fitxa faltsuak
Under the eyelid	Betazalaren azpian
Face soap	Aurpegiko xaboia
Face up	Ahoz gora
In his face	Aurpegian
On one's face	Baten aurpegian
Facing the wind	Haizearen aurrean
To make a facsimile of it	Neskaren faksimilea egiteko
Is that a fact!	Horixe!
To bring out facts	Gertaerak ateratzeko
To fail at it	Bertan huts egiteko
To fail	Huts egiteko
To strike and fail to guess correctly	Kolpatzeko eta behar bezala ez asmatzeko
To try and fail at it	Bertan huts egiten saiatzeko
To fail him on it	Bertan huts egiteko
To faint because of it	Zorabioa kentzeko
To fake illness	Gaixotasun faltsuari
To fake misery in order to get sympathy or a hand-out	Gezurrezko miserian sinpatia edo irteera lortzeko
To fake poverty in order to escape giving anything away	Pobrezia faltsuari ihes egiteko, edozer urrun emanez
To fake sleep	Lo faltsua egiteko
To fake tears	Malko faltsuetara
To fall	Erortzeko
To fall	Erortzeko
To fall	Erortzeko
To fall back on it	Berriz erortzeko
To fall down on him	Haren gainera erortzeko
To fall from it	Bertatik erortzeko
To fall head over heels	Burua orpoen gainean erortzeko
To fall headlong with him	Berarekin headlong erortzeko
To fall heavily	Bortizki erortzeko
To fall into a hole or burrow	Zulo edo gordeleku batera erortzeko
To fall off	Itzaltzeko
To fall on him	Haren gainera erortzeko
To fall on him	Haren gainera erortzeko
To fall on one's head	Baten buruan erortzeko
To fall on one's hands	Eskuetara erortzeko
To fall on top of each other	Bata bestearen gainean erortzeko
To fall out	Kanpora erortzeko
This fall	Udazken honetan
This fall	Udazken honetan
Last fall	Joan den udazkena
Among the families of the community	Komunitateko familien artean
Family group	Familia taldea
Family members	Familiako kideak
Family use area	Familia erabilerako eremua
One family unit	Familia unitate bat
To be wiped out by famine	Goseak suntsitzeko
To be famous	Famatua izateko
To be relatively far	Nahiko urruti egotea
At a far away location	Urruneko leku batean
To a far away place	Leku urrun batera
To a far away location (e.g. I can't see very far	Urruneko kokapen batera (e.g. Ezin dut oso urruti ikusi
How far down is it	Zenbateraino da
How far up is it	Noraino dago?
As far as the place where	Non
From far and near	Urrutitik eta gertutik
Not far	Ez oso urrun
Not far away	Ez oso urrun
On the far side	Urrutiko aldean
To blow a long silent fart	Fart luze isila putz egiteko
To let silent farts	Fart-ak isilik uzteko
To let one fart after another	Utzi bata bestearen atzetik desegiten
To be unable to fart	Fart egiteko gai ez izateko
To go along farting	Farting-ean zehar joateko
Farther forward	Aurrerago, aurrera
A little farther on	Pixka bat aurrerago
On the farthest side	Alderik urrunenean
In that fashion	Horrela
In this fashion	Horrela
As fast as possible	Ahalik eta azkarren
To be as fast as he is	Bera bezain azkarra izateko
To be fast	Azkarra izateko
To be traveling fast	Azkar bidaiatzeko
To go fast	Azkar joateko
Fast	Azkarra
To fasten it to the end of it	Amaierara heltzeko
To fasten it with a zipper	Kremailera batekin lotzeko
To fasten them together	Elkarrekin lotzeko
To fasten it onto it	Hari lotzeko
To be fastened with a zipper	Kremailera batekin lotzeko
Large sheet of fatty tissue surrounding the stomach	Urdaila inguratzen duen gantz-ehunaren orri handia
To start to get fat	Koipea lortzen hasteko
Each other's clan father	Bestearen klaneko aita
To become fatigued doing it	Nekatzeko
To favor it	Laguntzeko
To be not in favor of it	Ez egotea haren alde
To have no fear	Beldurrik ez izatea
To be feasible	Egingarri izateko
Downy feathers	Downy lumak
Quill	Kill Quill
White eagle feathers	Arrano zurizko lumak
To get fed up	Noiz arte elikatzeko
To be well fed	Ondo elikatzeko
To be a Federal Employee	Enplegatu federala izatea
To feed him	Elikatzeko
To feed him	Elikatzeko
To feed him	Elikatzeko
To feed it	Elikatzeko
To feed it	Elikatzeko
To feed it to them	Haiek elikatzeko
To feel around	Inguruan sentitzeko
To feel around for it	Horretarako, inguruan sentitzeko
To feel around with one's hands	Eskuekin inguruan sentitzeko
To feel around in one's pocket	Baten poltsikoan inguruan sentitzeko
To feel around for it	Horretarako, inguruan sentitzeko
To feel around for it	Horretarako, inguruan sentitzeko
To feel around for it	Horretarako, inguruan sentitzeko
To feel around	Inguruan sentitzeko
To feel sick	Gaixo sentitzeko
To feel him	Sentitzeko
To feel it move	Mugitzen dela sentitzeko
To feel like crying about it	Horregatik negarrez sentitzeko
To feel like laughing about it	Haren gainean barre egiteko
To feel sad	Triste sentitzeko
To find it by feeling around with the hand	Eskuarekin inguruan sentituz aurkitzeko
To have no feeling	Sentimendurik ez izatea
To start to feel around for it	Inguruan esertzen hasteko
At his feet	Oinetan
Facing each other's feet	Bestearen oinen parean
Feet to head	Oinak buruan
Head to feet and feet to head	Burua oinetan eta oinak buruan
To get back on one's feet	Oinetara itzultzeko
To put him on his feet	Oinetan jartzeko
To put him back on his feet	Oinetan bueltan jartzeko
To fell it	Erortzeko
To fell them one after another	Bata bestearen atzetik erortzeko
Its female	Emea
Female goat	Ahuntz-ar emea
Female sheep	Ardi emeak, ardiak
Female horse	Emakumezkoen zaldia
Front of the femur	Femurraren aurrean
Fence posts	Fene-zutoinak
To build a fence	Hesi bat eraikitzeko
To build a fence around it	Inguruan hesi bat eraikitzeko
To build a circular fence	Hesi zirkularra eraikitzeko
To build a circular masonry fence	Harlangaitz zirkularreko hesia eraikitzeko
To build a fenced enclosure	Esparru itxi bat eraikitzeko
To be building a fence	Hesi bat eraikitzeko
To surround it with a picket fence	Pikete batekin inguratzeko
Feral burro	Asto ferala
To fetch it	Ekartzeko
Game fetish	Fetix-jokoa
Horse fetish	Zaldien fetitxea
Sheep fetish	Ardien fetitxea
Scarlet fever	Eskarlataren sukarra
To get a fever	Sukarra lortzeko
To have a fever	Sukarra izatea
To have a fever	Sukarra izatea
To be wiped out by fever	Sukarrak garbitzeko
To become feverish	Sukarra izateko
A few of you	Zuetako batzuk
Every few	Gutxika
Every few miles	Kilometro gutxitik behin
Every few feet	Oin gutxitik behin
Every few days	Egun gutxitan
Every few years	Urte gutxiren buruan
Every few months	Hilabete gutxiren buruan
In few places	Leku gutxitan
To be relatively few	Nahiko gutxi izateko
Fields	Eremuak
Fifteen times	Hamabost aldiz
Fifteen cents	Hamabost zentabo
Fifty times	Berrogeita hamar aldiz
Indian fig	India
To be fighting for it	Hori lortzeko borrokan egoteko
To fight with each other	Elkarrekin borrokatzeko
To fight with him in a boxing match	Boxeo-partida batean berarekin borrokatzeko
To fight with one another	Elkarren aurka borrokatzea
To fight with them	Haiekin borrokatzea
To start to fight with him	Harekin borrokatzen hasteko
To keep fighting for life	Bizitzaren alde borrokatzen jarraitzeko
To fight a duel with guns	Armekin duelu baten aurka borrokatzeko
To have a fight with them	Haiekin borrokatzea
To filch it from him	Harengandik filmatzeko
To file	Artxibatzeko
To file a complaint against him	Bere aurka kexa aurkeztea
To file it	Artxibatzeko
To file it to a point	Puntu batean artxibatzeko
To file it smooth	Leun artxibatzeko
To file them apart	Bereizita artxibatzeko
To start: to file it	Hasteko: aurkezteko
To start to file it in half	Erdira aurkezten hasteko
Finger nail file	Atzamar-azazkalen lima
Flat file	Artxibo laua
Rat-tail file	Rat-tail fitxa
Steel file	Altzairuzko artxiboa
Three cornered file	Hiru fitxategi inguratu
To fill with water	Urez betetzeko
To fill it	Betetzeko
To fill it	Betetzeko
To find it	Aurkitzeko
To find him out	Kanpoan aurkitzeko
To find out about it	Horri buruz jakiteko
To find things out	Gauzak jakiteko
To pay a fine	Isuna ordaintzeko
To pay a fine of	Honen isuna ordaintzeko:
Along the whorls of the fingers	Hatzetako baleetan zehar
Finger tip	Hatz punta
Whorls of the fingers	Hatzen whorl-ak
From mid palm crease to fingertips	Palmaren erdiko tolestetik fingertipetara
Index finger	Hatz erakuslea
Little finger	Hatz txikia hatz txikiarekin
Middle finger	Hatz erdia
Second finger	Bigarren hatza
Space between the fingers	Hatzen arteko tartea
Third finger	Hirugarren hatza
To stick one's finger into it	Hatza bertan itsasteko
To stick one's finger through it	Behatza haren bidez itsasteko
Area under the protruding portion of fingernail	Azazkalaren zati nabarmenaren azpiko eremua
Fingernail marks	Fingernailen markak
To be fingerprinted	Hatz-markak izateko
To finish eating	Bazkaltzen amaitzeko
To finish it (a song	Amaitzeko (abesti bat
To finish it	Amaitzeko
To finish talking	Hitz egiten amaitzeko
To finish weaving it	Ehuntzen amaitzeko
Before the Fire	Suaren aurretik
Fire jumping	Sua saltoka
Fire procession	Su-prozesioa
In front of the fire	Suaren aurrean
To be cut off by fire	Suak ebakitzeko
To be destroyed by fire	Suak suntsitzeko
To be moving along	Mugitzen egoteko
To be sweeping the mountain side	Mendiaren aldea garbitzeko
To be sweeping the prairie	Belardia garbitzeko
To be on fire	Sutan egoteko
To be set on fire	Sutan jartzeko
To be trapped by fire	Suak harrapatzeko
To build a fire	Sua egiteko
To build a fire under it	Azpian sua egiteko
To catch fire	Sua hartzeko
To make a fire	Sua egiteko
To make fire with a fire drill	Su-zulagailu batekin sua egiteko
To start a fire	Sutea hasteko
To fire on it	Pizteko
To fire a shot	Tiroa botatzeko
To fire a shot in the air	Airean tiro bat egiteko
To fire him	Sua pizteko
To fire it	Pizteko
Shaft of the fire drill	Su-zulagailuaren ardatza
Whirl stick for the firedrill	Suebakirako bastoi birakaria
Tip of the fire drill	Su-zulagailuaren punta
To carry a firebrand	Su-marka bat eramateko
At the fireside	Bide-zoruan
To be the first one in a series	Serie bateko lehena izatea
First aid	Lehen laguntzak
First Angry One	Lehen Angry One
First Boy	Lehen umea
First Girl	Lehen neska
First Man	Lehen gizona
First Scolder	Lehen scolder-a
First Woman	Lehen emakumea
Big fish	Big fish
To fish for information	Informazioa arrantzatzeko
Epileptic fit	Doikuntza epileptikoa
Convulsive fit	Konbultsio-doikuntza
To have a fit	Doikuntza bat izateko
It fits him	Merezi du
Five times	Bost aldiz
Five spot	Bost puntu
Five of clubs	Bost klub
Five of diamonds	Bost diamante
Five of spades	Bost ezpata
Five of hearts	Bihotzetako bost
To fix a flat	Pisu bat finkatzeko
To fix him something to eat	Jateko zerbait konpontzeko
To fix one's gaze on it	Begirada bertan finkatzeko
To fizzle out on one	A fizzle batean
To go along flagellating him	Luzetara joatea, berak flagelatuta
Flammable liquid	Likido sukoia
Flank side	Alboko saihetsa
To perform a flanking movement around it	Haren inguruan saihets-mugimendua egiteko
To flap it	Askatzeko
To flap its wings	Hegoak soldatzeko
To flash	Flash-erako
To cause a flash of light	Argi-flasha sortzeko
To flash a signal to him	Flash-erako seinale bat
To flash red	Flash gorrirako
To flash white	Flash zurirako
To flash with a blue or green light	Flash-erako, argi urdin edo berde batekin
A flat area extends along	Eremu lau bat
To fix a flat	Pisu bat finkatzeko
To have a flat tire	Pneumatiko laua izateko
Flat rock	Arroka laua
To land on a flat rock	Arroka lau batean lurreratzeko
On the flat	Etxebizitzan
To be flattened by flood water	Uholde-urak zapaltzeko
To flatter people	Jendea adulatzeko
To make one flatulent	Flatulent bat egiteko
To flee up (as up a mountain	Ihes egitea (mendi bat goian bezala
To flee	Ihes egiteko
To flee	Ihes egiteko
To flee away	Urrutira ihes egiteko
To flee away	Urrutira ihes egiteko
To flee into it	Harengana ihes egiteko
To flee into the water	Uretara ihes egiteko
To flee into town	Hirira ihes egiteko
To be fleeing	Ihes egiteko
To be fleeing from him or them	Harengandik edo haiengandik ihesi egotea
To be fleeing from it	Harengandik ihesi egoteko
Into the flesh	Haragian
To break them apart by flexing them back and forth	Hausteko, aparte flexing egin, joan eta etorri
Flexible	Malgua
To make it flexible	Malgua izateko
To flick it off	Itzaltzeko itzalita
To flick it up into the air	Airean pizteko
To flick its tongue at him	Mihia orrazteko
To flick oneself	Hostotzeko
To go flicking a whip among them	Beren artean zilar bat botatzera joan
To be in flight	Hegaldian egoteko
To begin a flight to get it	Hori lortzeko hegaldia hasteko
To take flight	Hegaldia hartzeko
To take flight	Hegaldia hartzeko
To take or make a plane flight to	Hegazkin bat hartu edo egiteko
Dark agate flints	Agata iluneko flintak
To be flint-like	Flint-bezalakoa izateko
Flint	Flinta
Flint Way medicine pouch	Flint Way medikuntza-poltsa
Flintstone	Flintstone
To flip over and over	Behin eta berriz iraultzeko
To float around here and there	Hemen eta han flotatzeko
To float around in a circle	Zirkulu baten inguruan flotatzeko
To float away and disappear	Flotatu eta desagertzeko
To float away and disappear in it	Flotatu eta bertan desagertzeko
To float away and disappear	Flotatu eta desagertzeko
To float away in it and disappear	Urruti flotatzeko eta desagertzeko
To float away and disappear	Flotatu eta desagertzeko
To float away from it	Uretatik urrun flotatzeko
To float back up	Berriro flotatzeko
To float inside	Barruan flotatzeko
To float off in it	Flotatzeko
To float out	Kanporantz flotatzeko
To float up and join him	Flotatzeko eta harekin lotzeko
To come floating up with it	Harekin flotatzen etortzeko
To come floating up one after another	Bata bestearen atzetik flotatzen etortzeko
To make it float around in a circle	Horretarako, flotatu zirkulu baten inguruan
To make it float away from it	Horretarako, flotatu harengandik urrun
To set out floating	Flotatzaileak ezartzeko
To set out	Kanporantz ezartzeko
To be wiped out by flood	Uholdeek suntsitzeko
To be knocked down by a flood	Uholde batek botatzeko
From the floor	Zorutik
Floor cover of a sweathouse	Sweathouse baten estalki-solairua
To give me the floor	Pisua emateko
Flour sifter	Irin-sifterra
To flow along in a trickle	Trikimailu batean jariatzea
To flow away from one another	Elkarrengandik urruntzeko
To flow away in a trickle	Trikimailu batean urrutira joateko
To flow around	Inguruan isurtzeko
To flow around it	Haren inguruan ibiltzeko
To flow around it in a trickle	Bere inguruan trikimailu batean isurtzeko
To flow down	Behera joateko
To flow in a circle	Zirkulu batean isurtzeko
To flow in a trickle around in a circle	Zirkulu baten inguruan zurrusta batean isurtzeko
To flow in opposite directions from one another	Kontrako norabideetan ibiltzeko
To flow into it	Bertan isurtzeko
To flow through it	Bertatik ibiltzeko
To make it flow along	Horretarako,
To make it flow around in a circle	Zirkulu baten inguruan ibiltzeko
To make it flow around it	Bere ingurura isurtzeko
To make it flow up out	Kanpora ateratzeko
Flu epidemic	Gripe-epidemia
To be fluffy	Harro egoteko
Amniotic fluid	Likido amniotikoa
To flunk out of school	Eskolatik kanpo follatzeko
To be a flurry of sparks	Txinparta-sorta bat izateko
To flush it off	Itzalita garbitzeko
Sound made by a flute	Flauta batek egindako soinua
To play a flute	Flauta bat jolasteko
To flutter its wings (butterfly	Hegoak astintzeko (tximeleta)
To flutter its wings	Hegoak astintzeko
Bloody flux	Odol-fluxua
Biting fly	Euli-morderra
Big fly	Big flya
Blue fly	Blue fly
Blue buttocked fly	Euli-urdina, buttocked
Furry fly	Furry hegan
Fuzzy fly	Fuzzy hegaldia
Gray fly	Euli grisa
Little fly	Euli gutxi
Slender fly	Slender aireratu
Spotted-buttock fly	Spotted-buttock hegan egin
Striped-buttock fly	Striped-buttock hegala
Striped faced fly	Euli marraduna
Yellow fly	Euli hori horia
Black fly	Euli beltz beltza
Housefly	Housefly
To bat flies for him	A bate beretzat egin du hegan
To be flying along: 'eesht'ah	Hegan egiteko: 'eesht'ah
To be flying it along: yisht'ah	Luzetara hegan egiteko: yisht'ah
To be flying along in it	Hegan egiteko
To be flying along after it: háát'ah (a bird	Haren ondoren hegan egiteko: hat'ah
To be flying along in it after it	Haren atzetik hegan egiteko
To be flying it back	Berriro hegan egiteko
To be flying motionless in it	Hegaldian geldirik egoteko
To be flying motionless in the air	Airean geldirik hegan egiteko
To come flying up out	Kanporantz hegan egiteko
To fly across in it	Bertatik hegan egiteko
To fly after it in it	Haren atzetik hegan egiteko
To fly it around and around in a circle	Zirkulu batean inguruan eta inguruan hegan egiteko
To fly around and around in a circle in it	Zirkulu batean inguruan eta inguruan hegan egiteko
To fly it around in a circle	Zirkulu baten inguruan hegan egiteko
To fly around in it	Inguruan hegan egiteko
To fly him around it	Inguruan hegan egiteko
To fly it around it	Inguruan hegan egiteko
To fly around it in it	Haren inguruan hegan egiteko
To fly him around it in it	Inguruan hegan egiteko
To fly it away and disappear with it	Urrutira hegan egiteko eta harekin desagertzeko
To fly away and disappear in it	Hegan egiteko eta bertan desagertzeko
To fly him away and disappear with him	Hegan egin eta berarekin desagertu
To fly away after it in it	Handik urrutira hegan egiteko
To fly him away from it	Harengandik urrun hegan egiteko
To fly away from it in it	Harengandik urrun hegan egiteko
To fly him away from it in it	Harengandik urrun hegan egiteko
To fly back and forth after it	Haren ondoren joan-etorrian hegan egiteko
To fly him back and forth	Joan-etorrian hegan egiteko
To fly it back and forth	Joan-etorrian hegan egiteko
To fly back and forth in it	Bertara joateko eta itzultzeko
To fly him back and forth in it	Harengana joateko eta itzultzeko
To fly him past it	Iragana hegan egiteko
To fly it by it	Bertatik hegan egiteko
To fly by it in it	Bertatik hegan egiteko
To fly him by it in it	Harengandik hegan egiteko
To fly into a rage at me	Nire aurkako amorru batean hegan egiteko
To fly into it	Bertan hegan egiteko
To fly into the fire	Sutan hegan egiteko
To fly into the fire  one after another	Sutan hegan egiteko, bata bestearen atzetik
To fly it about	Gainean hegan egiteko
To fly him around in it	Inguruan hegan egiteko
To fly it around in a circle	Zirkulu baten inguruan hegan egiteko
To fly it across	Bertatik hegan egiteko
To fly him across in it	Bertatik hegan egiteko
To fly it away from it	Harengandik urrun hegan egiteko
To fly it in a circle	Zirkulu batean hegan egiteko
To fly it into it	Bertan hegan egiteko
To fly it out	Kanporantz hegan egiteko
To fly him out in it	Kanporantz hegan egiteko
To fly him to	Harengana hegan egiteko
To fly it to	Berriro hegan egiteko
To fly him to in it	Bertan hegan egiteko
To fly him to	Harengana hegan egiteko
To fly off and leave him	Hegan egiteko eta uzteko
To fly out	Kanporantz hegan egiteko
To fly him out	Kanporantz hegan egiteko
To fly out one after another	Bata bestearen atzetik hegan egiteko
To fly out	Kanporantz hegan egiteko
To fly out in it	Kanporantz hegan egiteko
To fly out one after another	Bata bestearen atzetik hegan egiteko
To fly over it in it	Haren gainean hegan egiteko
To fly them apart	Haiek aparte hegan egiteko
To fly them away one after another	Bata bestearen atzetik urruntzeko
To fly them out one after another	Bata bestearen atzetik ateratzeko
To fly them out one after another in them	Banan-banan ateratzeko
To arrive in it	Harengana iristeko
To fly to	Berriro hegan egiteko
To fly across	Honen bidez hegan egiteko:
To fly to a place	Leku batera hegan egiteko
To fly to safety	Segurtasunera hegan egiteko
To fly to safety	Segurtasunera hegan egiteko
To keep right on flying	Hegan egiten eskuinera mantentzeko
To keep right on flying	Hegan egiten eskuinera mantentzeko
To keep right on flying it	Eskuinera hegan egiteko
To pass it up in it	Bertan pasatzeko
To pass over it flying in it	Haren gainean hegan egiteko
To pass it up flying	Hegan egiteko
To start flying after it in it	Haren atzetik hegan hasteko
To start to fly after it	Haren ondoren hegan hasteko
To start to fly along	Hegan hasteko
To start to fly it along	Hegan hasteko
To swat flies	Swat euliei
To foam at the mouth	A aparra ahoan
To make foam	Aparra egiteko
To fold it	Tolesteko
To fold one's arms	Besoak tolesteko
To be folded	Tolesteko
To follow its trail	Bidexka jarraitzeko
To follow its trail around it	Zure inguruko bideari jarraitzeko
To follow its trail out	Kanporako bideari jarraitzeko
