I've bought a car	kotxe bat erosi dut
last minute additions to the proposal	proposamenari azken orduan egindako eransketak
additional information	informazio osagarria
to address your letter to the director	zure gutuna zuzendariari bidali
he addressed me in English	ingelesez hitz egin zidan
to address a conference	hitzaldia bota
to address the second theme	bigarren gaiari ekin
he became adept at teaching	irakaskuntzan aditu bihurtu da
your answer was not adequate	zure erantzuna ez zen nahikoa izan
tables suitable for children; child-friendly tables	umeentzako mahai egokiak
mud adhered to the boots	lokatza botetan itsatsi
adhered to the rules	arauei atxikirik
a house adjacent to the river	ibaiaren ondoko etxea
adjoining beds	elkarren ondoko oheak
the adjoining wall	aldameneko horma
who will adjudicate this year?	nork epaituko du aurten?
to adjust the machine	makina doitu
to adjust the dress	soinekoa apaindu
to adjust to a new situation	egoera berri batera moldatu
an adjustable chair	jarleku erregulagarria; jarleku doigarria
a period of emotional adjustment	emozioak beren onera ekartzeko denboraldia
to administer a school	ikastola kudeatu
to administer a medicine	botika eman
an administrative job	lan administratibo
an admirable work	lan miresgarria
I admire my brother	nire anaia miresten dut
she admitted that it was a mistake	hutsegitea izan zela onartu du
to admit the truth	egia aitortu
she admitted that it was a mistake	hutsegitea izan zela onartu du
they have adopted him	semetzat hartu dute
to adopt a different attitude	beste jarrera bat hartu
adopted daughter	alabatzakoa
adopted son	semetzakoa
adoptive mother	amatzakoa
adoptive father	aitatzakoa
she adores him	izugarri maite du
her hair was adorned with flowers	ilea lorez apaindua zuen
we adorned the windows with flowers	leihoak lorez apaindu genituen
that boat is adrift	ontzi hori jitoan dago
adult life	pertsona helduen bizimodua
let me know in advance	aldez aurretik jakinarazi iezadazu
let me know in advance	aldez aurretik jakinarazi iezadazu
to advance the cause of human rights	giza eskubideak sustatu
to advance the date for the dinner	afariko eguna aurreratu
the troops are advancing from the south	armada hegoaldetik doa aurrera
an advanced student	ikasle aurreratua
they took advantage of me	nitaz aprobetxatu ziren
they took advantage of me	nitaz aprobetxatu ziren
an advantageous agreement	akordio abantailatsua
an adventurous mountaineer	mendigoizale abenturazalea
she likes adventurous trips	bidaia arriskutsuak gustatzen zaizkio
adverse change	aurkako aldaketa
to advertise in the newspaper	egunkarian iragarkia jarri
to advise on the weather	eguraldiari buruz aholkatu
I advise you to go early	goiz joatea gomendatzen dizuet
the man is his adviser, so to speak	gizon hau da, nolabait esan, haren aholkularia
they advocated the right to have a house	etxebizitza izateko eskubidearen alde mintzatu ziren
aerial attacks	aireko erasoak
the storm affected the harvest	ekaitzak uztari eragin dio
an affected smile	irribarre itxuratia
an affectionate look	begirada eztitsua
to affix a label	etiketa finkatu
he is afflicted with tuberculosis	tuberkulosiak joa dago
I can't afford a new car	ez zait iristen auto berria erosteko
I'm afraid so	baietz uste dut
I'm afraid it's late	ez dakit ez ote den berandu
to start afresh	berriro hasi
after dinner	afalondoan
after all my efforts	egin ditudanak egin eta gero
it's five after nine	bederatziak eta bost dira
after you!	zure atzetik!
after two days	bi egun geroago
they only invited me as an afterthought	bigarren aldiz pentsatu eta gero gonbidatu ninduten
"he tidied up afterwards" —; "so he should!"	—;gero dena garbitu zuen —;bai behar ere!
what follows immediately afterwards	segidan datorrena
he earns half as much again as I do	nire soldataren erdia gehiago irabazten du
come back again	etorri berriz ere
he earns half as much again as I do	nire soldataren erdia gehiago irabazten du
against her will	gogoz kontra, nahiezik
to lean against the wall	hormaren kontra jarri
my parents are aging	nire gurasoak zahartzen ari dira
the sun ages the skin	eguzkiak azala zahartzen du
to aggravate a problem	arazo bat larriagotu
his questions really aggravated me	benetan haserretu ninduten haren galderek
an aggressive act	ekintza agresiboa
aggressive marketing tactics	marketin-taktika lehiatsuak
to feel aggrieved	minduta sentitu
he looked at me aghast	ikaratuta begiratu ninduen
agile acrobats	akrobata biziak
three months ago	duela hiru hilabete
a long time ago	aspaldi
are we all agreed on this point?	ados gaude denok puntu honetan?
can we agree on a date?	egun bat ados dezakegu?
he agreed (that) I could go early	goiz joaten utzi zidan
he agreed that I could stay at home	etxean gelditu nintekeela ados zegoen
she agreed to answer questions	galderak egiten utzi zigun
we agreed to meet on Tuesday	asteartean elkartzea erabaki genuen
she agreed to my proposal	nire proposamena onartu zuen
to agree with them about politics	haiekin politikan ados egon
to agree with the deal	akordioarekin ados egon
I agree with you	ados nago zurekin
the figures do not agree	zenbakiak ez datoz bat
a cease-fire was agreed	su-etena hitzartu zuten
are we all agreed on this point?	ados gaude denok puntu honetan?
can we agree on a date?	egun bat ados dezakegu?
he agreed (that) I could go early	goiz joaten utzi zidan
he agreed that I could stay at home	etxean gelditu nintekeela ados zegoen
she agreed to answer questions	galderak egiten utzi zigun
we agreed to meet on Tuesday	asteartean elkartzea erabaki genuen
she agreed to my proposal	nire proposamena onartu zuen
to agree with them about politics	haiekin politikan ados egon
to agree with the deal	akordioarekin ados egon
at the agreed time	erabakitako orduan
the car ahead is not moving	aurreko autoa geldi dago
to go ahead	aurrerantz joan
to plan ahead	aurretik prestatu
there were three people ahead of us	gure aurretik hiru pertsona zeuden
to be ahead of sb	norbaiten aurretik joan
you'll get there ahead of us	gu baino arinago iritsiko zara hara
in aid of charity	karitatearen alde
in aid of charity	karitatearen alde
easy ways to aid Africa	Afrika laguntzeko bide errazak
Aids test	hiesaren proba
to look after an ailing person	pertsona gaixotia zaindu
new measures are aimed at preventing crime	neurri berriek krimena saihestea dute helburu
he aimed his gun at the target	pistola jomugarantz destatu zuen
they aim to be there by night	gauerako han egotea dute helburu
new measures are aimed at preventing crime	neurri berriek krimena saihestea dute helburu
to clean and air the bedrooms	logelak garbitu eta aireztatu
to air the news	berriak hedatu
airborne viruses	aireak daramatzan birusak
two women were airlifted during the floods	bi emakume airez eraman zituzten uholdeetan
an airtight box	kutxa hermetikoa
an airy room	gela haizatua
I left the door ajar	atea erdi irekita utzi dut
sth akin to vertigo	bertigoaren antzeko zerbait
sth akin to vertigo	bertigoaren antzeko zerbait
to alarm people	jendea aztoratu
an alarming rise	igoera kezkagarria
"are you allowed to come?" —; "alas, no"	—;etor zaitezke? —;tamalez, ez
he tried, albeit without success	saiatu zen, arrakastarik izan ez bazuen ere
alcoholic drinks	edari alkoholdunak
the dog was alert to the slightest movement	txakurra edozein mugimenduri erne zegoen
she has an alert mind	buru bizkorra du
on alert	alerta-egoeran
the police alerted us to the possibility of snow	poliziak elur arriskuaz ohartarazi gintuen
to alert the emergency services	larrialdi-zerbitzuak alertatu
the police alerted us to the possibility of snow	poliziak elur arriskuaz ohartarazi gintuen
alien beings	Lurretik kanpoko izakiak
an alien environment	ingurune arrotza
her dress caught alight	soinekoak su hartu zion
I've just alighted from the bus	oraintxe bertan jaitsi naiz autobusetik
a butterfly alighted next to me	tximeleta pausatu zitzaidan ondoan
I've just alighted from the bus	oraintxe bertan jaitsi naiz autobusetik
I can't align the shelf with the top of the cupboard	apala ezin dut lerrokatu armairu gainarekin
to align with the Arab countries	arabiar herrialdeekin bat egin
my sister and I look very alike	nire ahizpa eta ni oso antzekoak gara
we treat everybody alike	denak antzera hartzen ditugu
they found them alive after the storm	bizirik aurkitu dituzte ekaitzaren ostean
all but impossible	ia ezinezkoa
all in all, her health is improved	oro har, bere osasuna hobea da
that's all right	ondo dago
all right, I'll tell you the truth	ederki, egia esango dizut
"I'm sorry!" —; "that's all right!"	—;sentitzen dut!—;ez da ezer!
a hundred guests in all	ehun gonbidatu, orotara
it's not all that good	ez da hain ona
all days are the same	egun guztiak berdinak dira
all the shops are closed	denda guztiak itxita daude
she's been crying all night long	gau osoan negarrez jardun du
finish all the drink	buka ezazu edari guztia
I have all that I want	nahi dudan guztia dut
I like some of them, but not all	horietako batzuk gogoko ditut, baina ez denak
they have searched all the house	etxe guztia miatu dute
I've invited all of my friends	lagun guztiak gonbidatu ditut
he is all upset	zeharo nahigabetuta dago
all but impossible	ia ezinezkoa
all in all, her health is improved	oro har, bere osasuna hobea da
that's all right	ondo dago
all right, I'll tell you the truth	ederki, egia esango dizut
"I'm sorry!" —; "that's all right!"	—;sentitzen dut!—;ez da ezer!
a hundred guests in all	ehun gonbidatu, orotara
it's not all that good	ez da hain ona
to allay doubts	dudak argitu
to alleviate suffering	sufrimendua arindu
allied troops	tropa aliatuak
to allocate funds for education	hezkuntzarako funtsak gorde
to allocate rations for a week	astebeterako anoa eman
to allocate funds for education	hezkuntzarako funtsak gorde
all these factors must be allowed for	alderdi hauek guztiak gogoan izan behar dira
he's not allowed to go out	ez diote uzten kalera joaten
smoking is not allowed	erretzea debekatuta dago
we allowed 20 euros a day for food	janaritarako eguneko 20 euro gorde genituen
we have to allow for the possibility that the plane might be delayed	kontuan hartu behar dugu hegazkinak atzerapena izan dezakeela
to allow visitors	bisitak onartu
all these factors must be allowed for	alderdi hauek guztiak gogoan izan behar dira
an all-time record	egundoko marka
Almighty God, have mercy on us	Jainko ahalguztiduna, erruki gutaz
almost certainly	ia segurutik
the kite remained aloft for hours	kometa gure gainean ibili zen orduetan
to hold the glass aloft	basoa airean eduki
to live alone	bakarrik bizi
I don't feel alone	ez naiz bakarrik sentitzen
the flight alone costs 1,000 euros	hegaldiak soilik 1.000 euro balio du
she knew all along, and didn't tell us	bazekien denbora guztian, eta ez zigun esan
he was ill along with the majority of the students	gaixotu egin zen ikasle gehienekin batera
they hung pictures along the corridor	koadroak jarri zituzten korridorean zehar
she knew all along, and didn't tell us	bazekien denbora guztian, eta ez zigun esan
he was ill along with the majority of the students	gaixotu egin zen ikasle gehienekin batera
alongside each other	elkarren alboan
I went to university alongside my brother	unibertsitatera joan nintzen nire anaiarekin batera
he was a very aloof person	oso pertsona hotza zen
he read it aloud	ozenki irakurri zuen
in alphabetical order	alfabetikoki
I also like swimming	igeri egitea ere gustatzen zait
you've altered a lot, I didn't recognize you	asko itxuraldatu zara, ez zaitut ezagutu
I took the dress back to the shop to have it altered	soinekoa dendara itzuli nuen, aldaketak egiteko
to work on alternate Saturdays	txandakako larunbatetan lan egin
to alternate leisure with work	aisia eta lana txandakatu
an alternative solution	beste irtenbide bat
you can come with us, alternatively, you can stay here	gurekin etor zaitezke, edo, bestela, hemen gelditu
although it's winter, this week has been warm	negua izan arren, aste epela izan dugu
he's mean although he's rich	aberatsa baina zekena da
to be an altogether different situation	guztiz egoera ezberdina izan
that'll be 60 euros altogether, please	60 euro dira guztira, mesedez
the landscape was beautiful and the weather excellent. We had a nice walk altogether.	paisaia oso polita zen eta eguraldia bikaina. Ibilaldi atsegina egin genuen, oro har.
he didn't amass any money	ez zuen dirurik egin
it never ceases to amaze me	beti harritu izan nau
my one ambition is to win the lottery	nire nahirik handiena loteria irabaztea da
I ambled along day and night	gau eta egun noraezean ibili nintzen
they were ambushed by soldiers	soldaduek zelata ipini zieten
an amenable child	ume otzana
to amend the constitution	konstituzioari zuzenketak egin
American tourists	turista amerikarrak
an amiable doctor	osagile atsegina
an amicable friendship	lagunarteko adiskidetasuna
the clown was among the children	pailazoa umeen artean zegoen
what he did amounted to extortion	bilera tamalgarria izan zen
her savings don't amount to much	horren aurrezkiak ez dira handiak
what he did amounted to extortion	bilera tamalgarria izan zen
her savings don't amount to much	horren aurrezkiak ez dira handiak
an ample space	nahikoa leku
ample opportunities	aukera zabalak
an ample bedroom	logela zabala
the comedian amused the audience	komikoak entzuleak dibertiarazi zituen
to amuse myself	neure burua entretenitu
there was an amused look on her face	dibertitu begirada zuen
he was amused	alai zegoen
an amusing story	ipuin barregarria
an analogue clock	ordulari analogikoa
an analytical approach	ikuspuntu analitikoa
she anchors the news on TV	berriak aurkezten ditu telebistan
the chairs are anchored to the table	aulkiak mahaiari lotuta daude
the ship anchored at dawn	itsasontziak goizaldean ainguratu zuen
ancient civilization	antzinako zibilizazioa
ancient trees	zuhaitz zaharrak
wine and water	ardoa eta ura
one and a half	bat eta erdi
up and down	gora eta behera
we've decided not to work, and?	lanik ez egitea erabaki dugu, eta?
something should be done, and quickly	zerbait egin behar da, eta azkar gainera
the story angered her	istorioak sumindu egin zuen
I'm really angry with you	oso haserretuta nago zurekin
he has an angular face	aurpegiera hezurtsua du
he's a real animal!	benetako astakiloa da!
the animal kingdom	animalia-erreinua
animated chat	berriketa alaia
animated cartoons	marrazki bizidunak
the Israelis have annexed a lot of territories	israeldarrek lurralde asko beretu dituzte
to annihilate a city by bombs	herria bonbaka suntsitu
to announce the names of the winners	irabazleen izenak esan
he did it to annoy me	ni amorratzearren egin zuen
annual meeting	urteko bilera
to annul a marriage	ezkontza baliogabetu
an anonymous person	pertsona anonimoa
he eats one sweet after another	goxoki bat bestearen atzetik jaten du
we know one another	ezagutzen dugu elkar
I want another one	beste bat nahi dut
wait another two minutes	beste bi minutu egon zaitez
he eats one sweet after another	goxoki bat bestearen atzetik jaten du
we know one another	ezagutzen dugu elkar
I can't answer you back, because everybody is talking	ezin dizut erantzun, denak berbetan baitaude
who answers for this?	nor da honen erantzule?
she didn't answer	ez zuen erantzun
I can't answer you back, because everybody is talking	ezin dizut erantzun, denak berbetan baitaude
who answers for this?	nor da honen erantzule?
you must be answerable for your decisions	zure erabakien erantzule izan behar duzu
I've no wish to antagonize him	ez daukat horri aurka egiteko gogorik
antenatal classes	jaio aurreko ikastaroak
we don't anticipate any problems	ez dugu arazorik aurreikusten
we eagerly anticipate a favourable decision	gure aldeko erabakia irrikaz espero dugu
I've bought more food in anticipation of the strike	janari gehiago erosi dut, greba egiten bada ere
I've bought more food in anticipation of the strike	janari gehiago erosi dut, greba egiten bada ere
antique jewellery	antzinako bitxiak
have you taken any money?	dirurik hartu duzu?
are there any biscuits?	gailetarik badago?
you should not drink any wine	ardorik ez zenuke edan behar
I don't eat any vegetables	barazkirik ez dut jaten
she asked if we had any questions	galderarik bagenuen galdetu zigun
take any book you like	gustuko duzun edozein liburu hartu
"I want some water; do you have any?"	—;ura nahi dut; badaukazu?
"I've a lot of sweets" —; "do you have any?"	—;gozoki asko ditut —;zuk baduzu?
"I want some milk" —; "there isn't any left"	—;esne pixka bat nahi dut —;ez da ezer ere geratzen
"could you give me the clips?" —; "I haven't got any"	—;klipak emango dizkidazu? —;ez daukat bat bera ere
"who do you want to invite to the Summer Ball?" —; "anyone can come with me"	—;nor gonbidatu nahi duzu udako dantzaldira? —;edonor etor daiteke nirekin
"which car would you choose for yourself?" —; "I'd take any but the big ones"	—;zein auto aukeratuko zenuke zuretzat? —;edozein aukeratuko nuke handiak ezik
are you feeling any better?	hobeto sentitzen zara?
I'm not speaking to him any more	ez diot berriz hitz egingo
I don't know anyone	inor ere ez dut ezagutzen
anyone can come in	edonor sar daiteke
did you see anyone?	baten bat ikusi duzu?
did anyone come?	ez da inor etorri?
don't say anything	ez esan ezer ere
do you want anything?	zerbait nahi duzu?
I would eat anything	edozer jango nuke
I didn't find it anywhere	inon ez dut aurkitu
I didn't go anywhere	ez naiz inora joan
have you seen my shirt anywhere?	nire alkandora inon ikusi duzu?
we're living apart	bereiz bizi gara
apart from that	horretaz gain
I apologized to him for my late arrival	barkamena eskatu nion berandu heltzeagatik
have you apologized to your friend?	lagunari barkamena eskatu diozu?
why should I apologize?	zergatik eskatu behar dut barkamena?
I apologized to him for my late arrival	barkamena eskatu nion berandu heltzeagatik
have you apologized to your friend?	lagunari barkamena eskatu diozu?
please, accept my apologies	barka, arren
they sent us a letter of apology	barkamena eskatuz gutuna bidali ziguten
the Twelve Apostles	hamabi apostoluak
in appalling conditions	baldintza beldurgarritan
his anger was apparent	bere haserrea bistakoa zen
his tranquility was only apparent	bere lasaitasuna itxurazkoa baizik ez zen
I thought you were gone, but apparently you're still at work	joana zinela uste nuen, baina, dirudienez, lanean jarraitzen duzu
to appeal for clothes	arropak eskatu
to appeal to common sense	zentzuz jokatzeko eskatu
the organizers appealed to the crowd for calm	jendetzari lasai egoteko eskatu zioten antolatzaileek
the organizers appealed to the crowd for calm	jendetzari lasai egoteko eskatu zioten antolatzaileek
an appealing idea	ideia erakargarria
to appear before the magistrate	epailearen aurrean aurkeztu
it appears to be a mistake	akatsa dela dirudi
my book will appear next week	nire liburua datorren astean argitaratuko da
to appear on TV	telebistan atera
to appear before the magistrate	epailearen aurrean aurkeztu
the application of the invention in everyday work	asmakizunaren aplikazioa eguneroko lanean
applied linguistics	hizkuntzalaritza aplikatua
to apply the new techniques	teknika berriak erabili
to apply cream	krema eman
she applied herself to passing the exam	azterketa pasatzeko gogor ahalegindu zen
to apply for a job	lanposturako aurkeztu
to appoint sb as heir	norbait oinordeko izendatu
they apportioned the money among the poor	dirua txiroen artean banatu zuten
to appreciate good wine	ardo ona estimatu
I didn't really appreciate the danger of the situation	egoeraren arriskua ez nuen benetan hauteman
I'd appreciate your help	zure laguntza eskertuko nuke
property values appreciate yearly	jabetzaren balioa handitu egiten da urtero
appreciative remarks	esker oneko oharrak
don't be apprehensive, I'm here	ez izan beldurtia, hemen nago
to approach the town	herrira hurbildu
to approach the problem	arazoari heldu
all the money has been appropriated for investigation	diru guztia ikerketarako egokitu dute
the boss wouldn't approve of the plan	nagusia ez dago planarekin ados
the Senate approved the bill	senatuak lege-proiektua ontzat eman zuen
an approximate cost	gutxi gorabeherako kostua
apropos (of) what you were just saying...	esan berri duzunarekin lotuta...
an apt comment	aipamen egokia
aquatic sports	uretako kirolak
Arab countries	arabiar herrialdeak
an arbitrary choice	hautazko aukera
to arch the back	bizkarra okertu
an ardent admirer	jarraitzaile sutsua
arduous work	lan zaila
she argued for the right to express herself	bere burua adierazteko eskubidearen alde mintzatu zen
they've argued that the news report must be wrong	erreportajeak gaizki egon behar duela argudiatu dute
I'm always arguing with you about money	beti diruari buruz eztabaidatzen nabil zurekin
she argued for the right to express herself	bere burua adierazteko eskubidearen alde mintzatu zen
they've argued that the news report must be wrong	erreportajeak gaizki egon behar duela argudiatu dute
a new problem has now arisen	arazo berri bat sortu da orain
arithmetic mean	batezbesteko aritmetikoa
arms dealer	arma-trafikatzailea
to arm for war	gerrarako armatu
armed with all the necessary information, you can now start your journey	beharrezko informazio guztia duzula, ekiozu orain bidaiari
armed with all the necessary information, you can now start your journey	beharrezko informazio guztia duzula, ekiozu orain bidaiari
to hear laughter all around	inguruan barreak entzun
around five o'clock	bostak aldera
is he around?	hor nonbait dabil?
around 100 people	100 lagun inguru
we've travelled around France	Frantziatik zehar bidaiatu dugu
around the sun	eguzkiaren inguruan
somewhere around here	hemen gertuan
John's strange behaviour aroused our suspicions of him	Johnen jokaera arraroak susmoa eragin zigun
I've arranged the books on the shelf	liburuak apalean jarri ditut
the party was arranged by my friends	festa nire lagunek antolatu zuten
he arranged a new symphony for the piano	sinfonia berri bat moldatu zuen pianorako
nobody was arrested after the robbery	inor ez zuten atxilotu lapurretaren ostean
I arrived home yesterday	atzo heldu nintzen etxera
the baby arrived early	umea goiz jaio zen
she articulated her thoughts clearly	argi adierazi zituen bere pentsamenduak
to articulate the sounds properly	hotsak ondo ebaki
artificial light	argi artifiziala
the artless sincerity	zintzotasun apala
as if it were true	egia bailitzan
happy as they were, there was something missing	pozik bazeuden ere, zerbait falta zitzaien
she drank her tea as she watched the news	berriak entzuten zituen bitartean, tea edaten ari zen
as you know ...	dakizuen moduan ...
as you are here I'm going for a walk	hemen zaudenez, ibiltzeranoa
I am talking to you as a friend	lagun gisa ari natzaizu berbetan
I don't earn as much as you	ez dut zuk adina irabazten
I'm as tall as you	zu bezain handia naiz
as if it were true	egia bailitzan
to go/come up the stairs	eskailerak igo
the plane ascended into the clouds	hegazkina lainoetaraino igo zen
rock music is once again in the ascendant	rock musika gorantz ari da berriz ere
rock music is once again in the ascendant	rock musika gorantz ari da berriz ere
the detective ascertained the motive for the murder immediately	detektibeak berehala aurkitu zuen hilketaren arrazoia
he ascribed his victory to the bad weather	eguraldi txarrari egotzi zion irabazi izana
he ascribed his victory to the bad weather	eguraldi txarrari egotzi zion irabazi izana
I'm ashamed to do it	lotsatu egiten naiz hori egiten
Asian music	asiar musika
to move the chair aside	jarlekua erditik kendu
he took him aside and talked about business	aparte eraman zuen eta negozioez hitz egin zuten
to pull the curtain aside	gortina alde batera eraman
we set aside the money to buy a new house	aparte utzi dugu etxea erosteko dirua
to move the chair aside	jarlekua erditik kendu
he took him aside and talked about business	aparte eraman zuen eta negozioez hitz egin zuten
I asked her for advice	aholkua eskatu nion
she asked him to prepare the breakfast	gosaria prestatzeko eskatu zion
she was asking after her father	aitaz galdezka etorri zen
he's great to work with, I couldn't ask for a better helper	mutil horrekin gustura egiten da lan, ezingo nuke laguntzaile hoberik eskatu
you should ask her out sometime	noizbait elkarrekin ateratzea eskatu behar zenioke
she is asking about the weather	eguraldiari buruz galdetzen ari da
to ask sth	zerbait galdetu
to ask for food	janaria galdegin
to ask a favor	mesede bat eskatu
they asked us to dinner	afaltzera gonbidatu gaituzte
I asked her for advice	aholkua eskatu nion
she asked him to prepare the breakfast	gosaria prestatzeko eskatu zion
she was asking after her father	aitaz galdezka etorri zen
he's great to work with, I couldn't ask for a better helper	mutil horrekin gustura egiten da lan, ezingo nuke laguntzaile hoberik eskatu
you should ask her out sometime	noizbait elkarrekin ateratzea eskatu behar zenioke
the picture on the wall is askew	hormako koadroa oker dago
our room has a northern aspect	gure gela iparraldera begira dago
you are casting aspersions on my character	nire zintzotasuna dudan jartzen duzu
you are casting aspersions on my character	nire zintzotasuna dudan jartzen duzu
he was asphyxiated by the smoke	keak ito egin zuen
she is aspiring to be a doctor	medikua izan gura du
she is aspiring to be a doctor	medikua izan gura du
to assassinate the king	erregea erail
he attempted to assault a woman	emakume bat bortxatzen saiatu zen
they assembled yesterday after lunch	atzo bazkalostean bildu ziren
they assembled all the students	ikasle guztiak elkartu zituzten
it's easy to assemble all the parts	erraza da zati guztiak muntatzea
everybody assented to the terms of the proposal	denek eman zioten baiezkoa proposamenari
everybody assented to the terms of the proposal	denek eman zioten baiezkoa proposamenari
he asserted his innocence	bere errugabetasuna baieztatu zuen
to assert your independence	zure askatasuna errespetarazi
try to be more assertive	saia zaitez tinkoagoa izaten
to assess the flood damage	uholdearen kalteak neurtu
to assess the work of the student	ikaslearen lana ebaluatu
they assigned her to go abroad	kanpora joateko hautatu zuten
she was assigned to the new office	bulego berrian eman zioten lanpostua
to assign a task	zeregin bat egokitu
they assigned her to go abroad	kanpora joateko hautatu zuten
she was assigned to the new office	bulego berrian eman zioten lanpostua
immigrants don't assimilate into a new culture immediately	etorkinek ez dute berehala beste kultura bat bere egiten
students assimilate this subject well	ikasleek ondo bereganatzen dute gai hau
