 A certain	 léi 
To keen it away from him	 bits'ąą kwííníssin
Away from each other	 'ałgha-
Awful place	 hodooda 
It's awfully heavy	 doo shóníłdáás  
It's awfully wide	 doo shóníłtéél  
It's awfully far	 doo shónízáád  
It will be awhile	 'át'ahádóó
Awkwardly	 t'óó 'áhodiilgisgo
Cobbler's awl	 ké bee 'ál'íní  
Steel awl	 béésh tsah  
Awl grass	 tł'ohtsahii  
Awl-like	 'aditsah
To put up an awning	 dah 'ashishbaał
The earth's axis	 nahasdzáán t'ááłáhági bá haz'ą́ągo yinááyisígíí
Newborn baby	 'awééchí'í 
"The ""baby of the family"	""" lók'eeshchąą'í  "
To be going to have a baby	 'i'niistsąąh  
To have a baby	 'ashchí
To be a bachelor	 bizháhá naashá
Back muscle	 'anághahí  
Bilateral area of the mid-back	 'anághahági  
The small of the back	 'atł'aakáá'  
On the back side of the lower leg	 'ach'ozhgi  
Back of a room or hogan interior	 wóniid  
Farther back	 t'ah t'ą́'ádi
To be on the way back from a raid	 nááshbah  
To go back with him )	 bił náníshkááh  
To go back to him	 béédiishdááh  
To back it up	 t'ą́ą́' kónáshdlééh
To get bad	 hachxǫǫh  
To be bad	 nahonitł'a  
To be not bad at it	 doo hodinishkan da  
To start to go bad	 bi'niichxǫǫh  
To go bad	 yichxǫǫh  
Too bad	 dooládó' yówéé' 'át'ée da!
Drawstring bag	 'azis dáńdiit'ishí  
Feed bag	 łį́į́' yii' 'a'aałí  
Mountain soil bag	 dziłleezh bizis  
Wool bag	 'aghaa' bizis  
Paper bag	 naaltsoos 'azis
To get bald	 bét'ood
To bale it	 yishjįzh
To balk on him	 bich'į' mą' 'ádíshchí
To have the ball	 'adish'aah  
To bat a fly ball	 'iishkał  
Ball of the foot	 'akéniid
Ball bearing retaining ring	 béésh máazoo bii' naanáájahígíí
To go by hot air balloon	 bił ni'íldóóh  
To start off with him by balloon	 bił dah 'adiishdóóh
To band together with them	 bił 'ahiih yii'nééh
To bandage it	 bik'í'dísdis
Bank of a stream	 tábąąh 
Along the bank	 tábąąhgóó  
Bank	 béeso bá hooghan
To bank it	 naanásht'ááh
To learn barbering	 ná'álzhééh bíhoosh'aah
Barely anything	 t'áá 'ayáhágo
Inner layer of bark	 'atá'ahí  
To bark at it	 neił'in 
To start barking at one another	 ńda'ahidiil'įįd
Wooden barrel	 tsin tóshjeeh  
Barrel	 bee'eldǫǫh bizooł
In the barroom	 da'jidlání góne' 
To barter with them	 bił 'ahaa na'iishniih 
To barter it	 nahashniih
Along the base of the cliff	 tsétsį́į́góó 
Toward the base of the cliff	 tsétsį́įjigo 
From the base of the cliff	 tsétsį́į́dę́ę́' 
Base of the mountain	 dziłtsį́į́
To be bashful about it	 baa yá nísin 
To become bashful	 'ádíkásísti'
On the basis of	 binahjį'
Coiled basket	 ts'aa' bii' ha'noots'ee' 
Basket made of jet	 bááshzhinii ts'aa'
To shoot at the basket	 'ii' 'ashne'
To bat him a fly	 jool bich'į' yáá'iishkaał 
To bat it up into the air	 yáábíjiishhaał 
To bat: a foul ball	 jooł yiisht'ish 
To be cooking for oneself	 'átsą́ 'í'dísh'į́
To start to take a bath	 ńdiishbeeh
To bathe one's genital area	 'ádaa táá'ásgis
To be a batter	 'adishhał
Automobile battery	 chidí bijéí 
Battery cable	 chidí bijéí bidiit'i'ígíí
Dark bay	 łį́į́' dinilzhinii 
Light bay	 łį́į́' dinilchí'í 
Bayeta yarn	 na'ak'ąąłchíí' hahaasdǫ́zígíí
It will be	 dooleeł  
To be like this	 kónísht'é  
To be a meeting	 'áłah 'aleeh  
To be against it	 bits'ą́ą́jí nishłį́  
To be crazy	 diigis nishłį́  
To be determined to	 shíni' nlį́ 
To be grouchy	 k'eh nishłį́  
To be	 'áásht'eeł  
To be	 honishłǫ́  
To be	 niilt'é 
To be lefthanded	 nishtł'a  
To be over	 bíighah 'aleeh  
To be hungry	 dichin nishłį́  
To be set on	 shíni' nilį́  
To be sleepy	 bił nisin  
To be sorry about it	 t'óó bik'édí nishłį́  
To be thirsty	 dibáá' nishłį́  
To start to come into being	 hahaleeh
Along the beach	 tábąąhgóó
Round bead	 yoo' dijoolí 
Bead Chant whistle	 'atsázooł
Crane beak	 dééłdaa'
To direct a beam	 'i'dishdlaad
Bean sprouts	 dínéesą́
Polar bear	 shash łigaii 
Black bear	 shash łizhinii  
Grizzly bear	 shashtsoh 
Bear cub	 shash yáázh 
To bear a series of offspring	 ni'iishchííh 
To bear a child	 yishchí 
To start to bear young	 'i'niishchííh
Thin or sparse beard	 dághá neeshch'ozh
To beat a hole in it	 bigházhníshhaał  
To beat each other	 'ahííníilghaał  
To beat each other up	 'ahiyiidzą́  
To beat him	 bik'ehdishdleeh  
To be beaten	 bik'ehodidleeh  
To be beating him at it	 baa honéeshnééł  
To beat him	 'iissą́  
To be beaten	 bi'diidzą́  
To beat it	 'ásaa' yishhaał 
To beat it	 'ásaa' yishdon  
To beat	 yishtązh  
To beat	 náníshne'  
To be at it	 hanissé  
To beat it in two	 'aháníshne'  
To beat its wings	 t'áidiłta'  
To beckon him outdoors	 tł'óó'góó kóshłééh
To become of him	 háájídashą' silį́į́'  
To become	 ndahaleeh  
To become blind	 doo 'eesh'į́į da yishłeeh  
To become breathless	 yisdah yishłeeh  
To become deaf	 doo 'adiists'a' da yishłeeh  
To become like him	 bił 'aheeshnééh  
To become thirsty	 dibáá' yishłeeh  
To become hungry	 dichin yishłeeh 
To become winter	 náhááh  
To start to become	 hodileeh 
It will become	 dooleeł  
Becoming	 'asdlį́į́'
In bed	 tsásk'eh bikáá' 
Across the bed	 tsásk'eh gónaa
Bedroom slippers	 ké yilzhólí wóne'é bee na'adáhígíí
Gray bee	 tsís'náłbáí 
Striped bee	 tsís'ná noodǫ́zígíí 
"To ""put the bee on him"""	 bí'dííníshkeed
Beef stew	 béégashii bitsį' shibézhígíí 
Boiled beef	 béégashii bitsį' shibézhígíí  
Jerked beef	 béégashii bitsį' 'ałk'ídaniilgizhígíí  
Roast beef	 béégashii bitsį' sit'éhígíí
Beer can	 bizhéé' hólóní bizis
Gray beetle	 chéłchaa'łibáhígíí  
Yellow beetle	 chéłchaa' łitsooígíí  
Striped beetle	 chéłchaa' noodǫ́zígíí  
Red beetle	 chéłchaa' łichí'ígíí  
Wavy-horned beetle	 chéłchaa'bidee' doolk'oolígíí  
Dung beetle	 mą́'iichaan  
Leaf beetle	 tádídíín yiyání  
Snout beetle	 łe'esoołii  
Beeweed bug	 waa' bich'osh
BeforeChrist	 Doodaatsaahii t'ah bítséedi  
Before many years	 t'áadoo lą'í náháhí  
Before many days	 t'áadoo lą'í yiłkaahí  
Before sun up	 t'áádoo ha'a'aahí  
Before sundown	 t'áadoo 'e'e'aahí  
Before I knew it	 t'áadoo baa 'áhoniizį'í  
Before it's too late	 t'ahádą́ą́'  
Before the fire	 kǫ'jį'  
To be before them	 bidááhdę́ę́' siłtsooz  
To beg him	 náoshkąąh 
To be a beggar	 'adííníshkeed
To begin	 hahat'ééh 
To begin	 béésh bąąh dah naaz'ání 'áłah silį́į'go hahaghááh  
To begin	 bik'ihodighááh  
To begin it	 náhodiishłaah  
To begin	 'ana hodinidleeh 
To begin	 ni' hidi'nááh  
To begin its existence	 hahaleeh  
To begin	 ch'éshį́į́h  
To be about to begin	 'i'niishįįh  
To begin	 'i'niihááh  
To begin a story	 'aho'niishnííh 
On behalf of him	 bá 
Behind	 'ane'  
From behind	 'akéédę́ę́' 
Back behind	 'ane'jígo  
Back behind	 náyóne'édi  
Behind	 'akéshdę́ę́'  
Disappearing behind it	 biyaaghah  
To place them one behind the other	 'ałt'anihishnííł
Belched gas	 'aza'
Small tinkling bell	 yoo' yichaaí 
Large bell	 yootsoh
One's own belly	 'átsą́  
Underside of the belly	 'ach'oshtł'ááh  
Area between the belly and the crotch	 'achxoshta'  
Belly button	 'ats'éé'  
To cut its belly open	 bitsą́'níshgéésh  
To have a bellyache	 sitsą́hodiniih 
To give him a bellyache	 bitsą́ hodiłniih
Braided woolen belt	 'aghaasis  
Loosely woven Hopi belt	 sis nanil'eełí  
Woven sash belt	 sisłichí'í  
Silver belt with large conchas	 béésh łigaii sisntsaaígíí  
Silver belt with small conchas	 bééshłigaii sis yázhí  
Belt loop	 sis bigháńt'i'í  
To have it belted around one's waist	 'ákásíazaaz
To bend down with him	 bił yaa 'ánééh  
To bendover backwards	 t'ą́ą́' yiistas  
To bend over	 naaniiyeed  
To bend it down	 yaa yiistáás 
To bend it backwards	 t'ą́ą́' niyíyíísh  
To bend one's arm at the elbow	 'ahandinishnííh  
To be bending against it	 yishjoł  
To become bent by age	 są́ yaa shiiłtáás  
To break it apart by bending it back and forth	 'ałts'áshheed
Beneath as a support	 'áyah  
Beneath it supporting it	 bíyah 
For one's own benefit	 'ádá
To become bent	 są́ yaa shiiłtáás
To give it wide berth	 bik'ee'ąą 'ahénéiit'aash 
To give it a wide berth	 bik'ee'ąą 'ahénéiikááh
To beseech him	 náoshkąąh
To be better than him	 bee 'anistis  
Things are looking better	 t'áá hasih
Between them	 bita'  
From between them	 bita'dóó  
Between the legs	 'ajáágiizh
Beyond all else	 'agháadi  
Beyond each other	 'ahíłlááh  
Around the biceps	 'adoh gónaa 
On the biceps	 'adohgi
To be this big	 kónístso 
To be as big as he is	 t'áá beenístso  
Busty. big-busted	 be'tsohí
Cranebill	 dééłdaa'  
Cranebill scratcher	 déełdaa' bee 'ádích'idí  
Legislative bill	 naaltsoos bee 'ádá nahodiit'aahí  
Bill collector	 'ąąh hadaaz'á yiniiyé ndaakaii  
Billboard	 'ó'oolkąąh bee dah na'aztą́  
Highway billboard	 'atiingóó 'ó'oolkąąh bee dah na'aztą́
Folding billfold	 béeso bizis 'ahą́ą́h ńdaniilyéhígíí 
Zipper billfold	 béeso bizis bił ńdídǫ́sígíí
To billow up into the air	 yáájiisííh  
To bind him	 dah hashtł'ó  
To bind them together	 'ahéhéshtł'ó
To look with a telescope or binocular	 bee 'adéest'į́į́' bee dínísh'į́į́'
Bird life	 yót'áahdi ndaaldeehii  
Baby bird	 chąąłtązhii  
Bird nest	 tsídii bit'oh  
Red bird	 'ayááshiłchíí'  
Small dark-colored bird	 'ayáásh diłhił  
Small speckled bird	 'ayááshiłkizh  
Small yellow bird	 'ayááshiłtsoii  
To give birth	 'ashchí  
To start to give birth	 'i'niishchííh  
To start to give birth to it	 bi'niishchííh
Two bits	 náákiyáál  
Four bits	 dį́į́yáál  
Six bits	 hastą́ą́yáál 
Twelve bits	 naakits'áadah yáál  
Drill bit	 bee 'agháda'a'nilí  
Steel drill bit	 béésh bee bigháda'a'anilí  
To bite into each other and hang on	 'ahidineestsah 
To bite off a piece for him	 bá'díshháásh 
To bite off piece after piece	 bihidishháásh 
To bite oneself	 'ádiishghash 
To get a bite to eat	 'e'eshneeh 
To take a bite of it	 bidishháásh- 
A black area stretches away	 'ahozdííłhéél  
A black line stretches away	 'adííłhéél  
A black line stretches away into the distance	 'azdííłhéél  
There is a black spot	 dah łizhin  
There is a black streak	 diníłhéél  
There is a streak of black	 da'íjin  
They form black streaks into the distance	 'adahodeesxéél  
It comes into view as a black speck in the distance	 dah yiijį́į́h 
There is a strip of black running across	 na'íjin  
A black slope runs upward	 haashjin
To have a black and blue mark	 bikáa'gi dah dootł'izh 
To get a black and blue mark	 yiiltłish
To perform a blackening rite	 'anisht'eesh 
To blacken oneself with charcoal	 'ádísht'eesh
To be to blame	 t'áá shíhí 'iissííh 
I'm not to blame	 doo 'ásht'į́į da
Saddle blanket	 'ak'idahi'niłi 
Curtain blanket used in the moccasin game	 'ách'ą́ą́h ńdílbałí
To blast out a road	 ha'ashdon
Little blazing star	 'íiłtł'į́hiits'óóz
To get bleached out	 yiishgááh
To bleed to death	 dił bąąh haageeh 
To bleed to death internally	 dił biiłhé 
To bless him	 yissį́į́h 
To be blessed	 bi'dilzį́į́h
To be going blind	 bináá' 'áádįįł  
To be blind	 bináá' 'ádin 
To blink	 dish'niih  
To blink both eyes at one	 bidish'niih  
To lie blinking in astonishment	 shináá' yita'go sétį́
To form a blister	 tó'diisóół 
Into the blizzard	 chííldáahjį'  
A short and sudden blizzard or snow squall	 'ayéhé néidíníyódí  
To come up	 chííl bił haayóół  
To be destroyed by a blizzard	 yas 'ábíłdįįh
Toy blocks	 tsin dadik'ánígíí
To block it	 bidádinishtł'in  
To be blocked by a rock slide	 bidáhodiniyę́ę́sh  
To be blocked	 bich'ą́ą́h ni'íldééh  
To find one's way blocked while swimming	 biniiłt'a'ashkǫ́ǫ́h  
To find one's way blocked by fire	 bidáhodik'ą́ą́h  
You blockhead	 doo 'áhályání! Doo 'aháshjaa'í!
Blood clot	 dił diyilii  
Mouth blood	 'azahdił  
Noseblood	 né'édił  
Blood circulation	 dił 'ats'íístaazlíní  
Blood fumes	 diłziil  
Blood pressure	 dił na'ałkidgi  
High blood pressure	 wódahgo dił na'ałkid  
Low blood pressure	 wóyahgo dił na'ałkid 
Normal blood pressure	 t'áá 'ákogo dił na'ałkid  
Blood typing	 dił 'aheełt'éii bééhoozįįh  
To give him a blood transfusion	 dił biih yissííd  
Blood vapor	 diłziil  
Blood vessels of the heart	 'ajéíts'oos  
To cough up blood	 dił shiyi'dę́ę́' hahidiskees  
To have blood in the urine	 dił béshłíísh  
To pass blood	 bił béshchį' 
To bloom	 deitsóóh 
To blow	 níyol  
To blow a whistle	 'adishłóól  
To blow around	 naayol  
To blow around it	 bináyóół  
To blow around and around in an eddy	 'ahééhéyóół  
To blow away	 bił yóó' 'iiyóół  
To blow down	 bił n'diiyóół  
To blow down one after another	 bił hadah 'ahiyóół  
To blow dust	 łeezh bił níyol  
To blow in his ear	 bijaayi' 'e'essooł  
To blow in his eye	 binák'ee 'assoł  
To blow into it	 bii' 'assooł 
To blow into it	 bił biih yiyóół  
To blow into the water	 bił taah yiyóół  
To blow on oneself	 'ádiiszoł  
To blow oneself up	 'ádiishtááh  
To blow it inside	 bił yah 'iighaas  
To blow it over	 naa'abídzíssxooł  
To blow it up into the air	 yáábídziissooł 
To blow out of one's hand	 bílák'ee haayóół  
To blow up	 diildǫǫh  
To blow up a dust storm	 łeezh bił haayóół  
To blow up out	 haayóół  
To blow up out	 bił haayóół  
To blow off of him	 bik'eeyóół  
To blow snow	 chííl bił níyol  
To be blowing	 'assoł  
To be blowing along	 yiyoł  
To be blowing past it	 bíighahgóó yiyoł  
To go blowing along in the wind	 bił yiyoł  
To be blowing around it	 binááyoł  
To be blown around it	 bił bináyóół  
To start to blow on it	 bi'niissóól  
To be a blue strip across	 na'ítł'izh  
Horizon Blue Man	 Nahodeetł'iizh Hastiin 
