47:11:001:1	Paul ts'ą' Tr'ihił'e' Adaa'įį Nąįį
47:11:015:0	Aiizhit geh'an vitsyaa nąįį gaa Christ vitr'ihił'e' giinlii adagaa'įį jyaa digihee'yaa geenjit ąįį goovaagogwantrii kwaa t'igiinchy'aa. Nan ndaagwąą'ąį' ji' deegee'ya' geenjit łyaa ch'andaa khaiinjich'igiheeghit t'iginchy'aa. 
47:11:016:0	Jii chan hee gwik'it t'ineehihjyaa, nałkhii shohnyąą ji' gaa nihk'it shoodǫǫhk'įį, dinjii nahkhii ginkhii oodǫǫhk'įį gwik'it gwintsal idech'ihih'yaa ąįį shoodǫǫhk'įį. 
47:11:017:0	K'eegwaadhat ideech'irii'in gitr'ii'ee gaashandaii gaa shįį ąįį nałkhii k'it t'ishi'yaa. 
47:11:018:0	Ch'izhii dinjii lęįį nąįį deegee'ya' geenjit eedeech'igii'in geh'an shant'ee chan gwik'it t'ihihjyaa. 
47:11:019:0	Nakhwan ąįį shigwizhi' gwanlii nohthan gwiizhit dinjii nahkhii ginkhii nąįį oodǫǫhk'įį! 
47:11:020:0	Gootsyaa chan ǫhłįį, nakhwagant'an ts'ą' deenakhwagoo'ya' giindhan datthak gwik'it t'anakhwagah'in, nakhwats'an datthak chan teegwagwąhjii, ts'ą' nakhwandaa giinzii giindhan googaa nihk'it goodoohk'įį. 
47:11:021:0	Diikhwan ąįį jyaa digwehee'yaa geenjit diit'aii kwaa gweheenjyaa geenjit oozhii tr'iinlii.Gaa jidii geenjit ideech'igi'in ąįį diikhwan ji' gaa dinjii nahkhii ginkhii k'it ideech'irehee'yaa t'oonchy'aa. 
47:11:022:0	Hebrews tr'iinlii ginyąą lee łyaa t'iginyąą? Shant'ee Hebrew ihłii t'oonchy'aa. Israel gwich'in tr'iinlii ginyąą lee łyaa t'iginyąą? Shant'ee Israel gwich'in ihłii t'oonchy'aa. Abraham ts'an deedhaa tr'iinlii ginyąą lee łyaa t'iginyąą? Shant'ee Abraham ts'an deedhaa ihłii t'oonchy'aa. 
47:11:023:0	Christ vik'it tr'eedaa ginyąą, gaa shįį ąįį goovandaa Christ veenjit gwitr'it t'agwał'in, gwinlęįį chan zheh gwaazhrąįį iidi', gwinlęįį chan sharahtrii, gwinlęįį chan khaiinjii shęhdaa tr'igwiriin'ąįį, jii haa goovandaa Christ vitsyaa ihłii t'oonchy'aa. 
47:11:024:0	Ch'ihłoanli' (Five) gwitee gwąąnchy'aa chan Jews nąįį tik-daatin vanchoh nak'ah kwaa (39 lashes), viitrii haa shagahtrii t'oonchy'aa. 
47:11:025:0	Roman nąįį k'aii luhts'ik haa tik gwagwaanchy'aa ndaanihłik shigiłtrii. Shęhdaa tr'agwagwahee'aa geenjit ch'izhii dinjii nąįį kii haa ch'ihłok chan shagoinkit, tr'ihchoo chan tik gwagwaanchy'aa khaiinjii shaachinlit ts'ą' ch'ihłok drin, ts'ą' tǫǫ haa chųų choh kat neeteeshahahchik goodlit t'oonchy'aa. 
47:11:026:0	Gwinlęįį cheeshandak gaa zhit gwa'an niighit k'eeshozhii. Dinjii shats'an ch'igiheen'įį gwik'eegogwandaii ts'ą' han gwideetaa nihihshyaa gaa chųų lęįį ndak t'iizhik shaa nankat gwa'an chųų teehilkhaii. Shalak Jews akwat Gentiles nąįį gaa tsint'ishigeheelyaa gwik'eegwagwandaii. Gwinlęįį chan zhit nangwinjir gwa'an akwat kwaiik'it gwachoo gwizhit ts'ą' gwiizhit chųų choh kat gwa'an gaa datthak khaiinjii niidhat. Chųų choh kat gwint'aii ahtr'aii haa gwiizųų gwał'ya'. Dinjii gwik'injiighit kwaa gaa gwik'injiighit nyąą nąįį gaa tsint'ishigeheelyaa gwik'eegwagwandaii. 
47:11:027:0	Gwintł'oo tr'agwał'in geh'an shakat gwa'an gwiłts'ik ts'ą' gweedhaa datthak ch'ishandak gwiizhit gwinzii chan dhiichįį kwaa. Gwinlęįį chan chųų doiihłii ts'ą' shizhit gwiłts'ik shih ehdan t'iichy'a', ts'ą' gwinlęįį gwihihchy'aa gwishi'įį kwaa ts'ą' gwinlęįį chan gwach'aa niindhaa shi'įį kwaa geh'an chan ihdluu. 
47:11:028:0	Jyaa dihchy'aa googaa drin gwitee gwąąnchy'aa zhit gwa'an tr'igiinkhii zheh datthak, gooveenoiizhii ts'ą' shit'injigaahchy'aa geh'an gooveenjit tr'igwihdii. 
47:11:029:0	Nakhwatee ch'ihłee vat'aii kwaa dąį' shant'ee shat'aii kwaa gohtsii t'oonchy'aa. Nakhwatee ch'ihłee tr'agwaanduu tr'agwah'in dąį' shidrii zhit łyaa gitr'iih'ee, gwiizhit shik'įį gwanlii. 
47:11:030:0	Zhit gwa'an geech'ishi'yaa ji', deegwahtł'oo shat'aii kwaa ąįį geech'ishi'in ts'ąįį gweheezyaa. 
47:11:031:0	K'eegwaadhat Jesus Viti' Vit'eegwijyąhchy'aa ndaagwąą'ąį' kwaa gwats'ą' datthak tr'ihił'ee ąįį łi'didlii haa gihkhii shaandaii t'oonchy'aa. 
47:11:032:0	Shįį, Damascus kwaiik'it gwachoo dhiidii dąį', King Aretas zhat nahkat gwats'ą' k'eedeegwaadhat nilii t'ee kwaiik'it Damascus gwizhit gwats'ą' k'eedeegwaadhat nilii ąįį kwaiik'it nihdeegweedii gwadąįį gwa'an dinjii sheenjit gwak'ąąhtii nąįį iłdlii, zheegwaazhrąįį nashagahahchyaa geenjit. 
47:11:033:0	Gaa ąįį kwaiik'it gwikhyųų gwa'an vinjyaa'yaa dha'aii ąįį k'iizhak tł'oo tyah zhit cheeshagahchįį gwik'iighai' goołeech'ahol'įį t'oonchy'aa.
