47:8:001:1	Paul, Corinth Gwich'in Nąįį Ch'eeshroonchy'aa haa Laraa Gwats'an Ohtsii Goovahnyąą
47:8:011:0	It'ee jii jidii eetr'agoh'in ąįį ęhdaa tr'ahohdal gwats'ą' datthak tr'agoh'in. Nijin nakhwadrii datthak haa veetr'agwał'ya' nohthan dąį', deegwahtsii t'akhwa'yaa gwagwahtsii gwik'it veetr'agoh'in. 
47:8:012:0	Łyaa nakhwadrii datthak haa deegwahtsii gwantł'oonjii nohthan ąįį googwahtsii gwantł'oonjii. Vit'eegwijyąhchy'aa deegwahtsii gwantł'eehoondal googwahtsii zhrįh haa gwantł'oonjii nakhoonyaa t'oonchy'aa. 
47:8:013-014:0	Jidii ni'įį datthak haa gwantł'eehaandal t'ihnyąą kwaa. Juu vak'aiich'ii gwanlii ąįį gwits'iheenjyaa geenjit yalak gwantł'eehaandal ts'ą' nijin nakhwan t'ee gwat'oohchy'aa ji' nakhwats'igeheenjyaa, jyąhts'ą' gwik'iighai' juu nąįį datthak gwit'eehahchy'aa hee'yaa geenjit. 
47:8:002:1	Titus ts'ą' Dijyaa Nąįį haa
47:8:015:0	Dęhtły'aa Choh zhit jyaa digwinyąą,“Juu manna łųhchy'aa lęįį teegwigwįłjik nąįįmanna łųhchy'aa goovaa tr'ooniindhat kwaa,ts'ą' juu jidii tsal zhrįh teegwįłjik nąįįdeegwahtsii t'ee gahahchy'aa ąįį googwahtsii goots'an nilii.” 
47:8:016:0	Deegwahtł'oo nakhwats'agoonyą' gwiindhan gwik'it Titus chan nakhwats'oonyą' niindhan t'oonchy'aa. Vit'eegwijyąhchy'aa, Titus gwats'oonyą' niindhan ąhtsii geenjit mahsį' nihthan. 
47:8:017:0	Nakhwanineeheedyaa ji' geenjit tr'oahkat akhai' aahą' nyąą, adan ąįį łyaa nakhwanineeshoozhi' niindhan. 
47:8:018:0	Ch'izhii diichaa gwik'injiighit tr'igiinkhii zheh datthak giihił'ee ts'ą' gwinzii Gwandak Nizįį eegwaandak giiyahnyąą, ąįį Titus haa k'eeheedik t'oonchy'aa. 
47:8:019:0	Jerusalem gwats'ą' laraa tr'ihilii dąį' dzaa gwa'an tr'igiinkhii zheh nąįį diinaa k'eeheedik geenjit gwitee tr'igiiyąąhchįį t'inchy'aa. Gwats'aroonyą' gwiindhan gwigweheechy'aa geenjit Vit'eegwijyąhchy'aa deerahoh'ee gwiindhan. 
47:8:020:0	Ch'aran'įį diirahaanjyaa gwits'į' khaihłok k'eereheedal. Jii laraa lęįį dinjii nąįį gwantł'eiinlii nats'ahts'ą' neerahaazhit gaageheendaii geenjit. 
47:8:021:0	K'eegwaadhat vandee ts'ą' gwinzii t'igwii'in ąįį gwik'it dinjii nąįį andee ts'ą' gwinzii t'agǫǫ'ya' gwiindhan. 
47:8:022:0	Diichaa gwik'injiighit ch'ihłee khit jyaa dini'in varahnyąą ts'ą' gwik'it t'ii'in chan goovaa heekhaa t'oonchy'aa. Łyaa shoo haa gwik'it t'asho'ya' nindhan. 
47:8:023:0	Titus t'ee shijyaa nilii ts'ą' nakhwats'ihnyąą ąįį shits'inyąą t'inchy'aa. Jii ch'izhii gwik'injiighit zhit nąįį yaaneehiidal nąįį tr'igiinkhii zheh geetr'agwagwah'in haa Christ deegihił'ee t'iginchy'aa. 
47:8:024:0	Ch'eet'igwiniindhan gooveenjit khwa'įį ts'ą' nakhwashootr'ahłįį ąįį zhyaa t'igwinyąą kwaa goots'ą' gwagoohkįį.
