1:31:001:1	Jéíkab éí Léíban yits'ą́ą́' anííchą́ą́'
1:31:043:0	Áko Léíban ánááhodoo'niid, Díí atsi'kéhígíí éí shitsi'ké, díí áłchíní éí sha'áłchíní, díí łį́'ígíí shilį́į́', índa yíní'ínígíí t'áá ałtso shí. Nidi k'ad díí shitsi'ké índa ba'áłchíní nidayiishchínígíida daashdeeshłííł? 
1:31:044:0	Éí bąą shí áádóó ni k'ad nił aha'di'deesht'ááł, áko éí bee nihita'gi ééhózin doo. 
1:31:045:0	Áko Jéíkab tsé ła' néidii' ą́ągo yeidíníishin. 
1:31:046:0	Áádóó Jéíkab bik'isóó áyidííniid, Tsé áłah ádaahłééh, áko tsé nídayiizláa'go ałk'i yáádayiitsih, áko tsé ałk'i yanáa'áago yíighahgi da'ííyą́ą́'. 
1:31:047:0	Áko Léíban éí Jíígar-sahadútha hoolyée doo, dííniid, nidi Jéíkab éí Galíid hoolyée doo, dííniid. 
1:31:048:0	Áádóó Léíban ání, Díí tsé ałk'i yanáa'áhígíí díí jį́ nihita'gi bee ééhózin doo. Éí biniinaa Galíid hoosye'. 
1:31:049:0	Índa Mízpah ałdó' hoosye', háálá ájíní, Ał'ąą neit'aashgo Bóhólníihii hanihisíid doo. 
1:31:050:0	Shitsi' haada yinilaago áádóó asdzání ła' ne'asdzą́ą́ ánáádeindlaago, azhą́ diné doo ła' nihinaagóó naagháa da nidi, Diyin God nihita'gi hólǫ́ǫgo ániit'éegi bił bééhózin; éí béénílniih. 
1:31:051:0	Áko Léíban éí Jéíkab áyidííniid, Jó'akon, díí nihita'gi tsé ałk'i yanáa'áhígíí áádóó díí tsé íí'áhígíí shí éí ásht'į́. 
1:31:052:0	Díí tsé ałk'i yanáa'áhígíí áádóó tsé íí'áhígíí ałdó' bee ééhózin doo, doo haada áhi'diilníił da biniyé tsé ałk'i yanáa'áhígíí doo bitis nich'į' nideesháał da, índa ni ałdó' díí tsé ałk'i yanáa'áhígíí índa díí tsé íí'áhígíí doo bitis shich'į' nidíínáał da. 
1:31:053:0	Éíbraham yę́ę biDiyin God índa Néíhor yę́ę biDiyin God éí hazhé'é yę́ę biDiyin God lá nihá yeinít'į́į doo. Áko Jéíkab bizhé'é Áízak biDiyin God yidósinígíí bee ádee hazdoodzíí', 
1:31:054:0	áko Jéíkab dziłghą́ą'di náá'dziisnii'go hak'isóó hágo dabizhdííniidgo bił da'jííyą́ą́', índa t'áá dziłghą́ą'di dahwiiską́. 
1:31:055:0	Áko abínígo Léíban nihizh'nínáago hatsóóké áádóó hatsi'ké dadzizts'ǫsgo bik'ijiijisdli', áádóó índa Léíban haghangóó anídzoodzá.
