1:49:001:1	Jéíkab biye'ké náásgóó ádaat'ée dooígíí yee yił hoolne'
1:49:024:0	Ákondi be'ałtį́į́' t'ah bidziil,Índa Jéíkab biDiyin God Ayóó'át'éii bidziilii bíla' yee bidziilgo ályaa,Kodóó na'niłkaadii, Ízrel bá tséhígíí át'é. 
1:49:025:0	Nizhé'é biDiyin God éí lá níká análwo' doo ni,Índa Aláahgo Ayóó'ábóodziilii éí nik'ijidlíi doo;Aghánáhóó'áádę́ę́' bee ak'ihojidlíii,Tónteel biyi'dę́ę́' bee ak'ihojidlíii,Alt'o'dóó bee ak'ihojidlíii,Iishch'id bii'dóó bee ak'ihojidlíii yee nik'ijidlíi doo. 
1:49:026:0	Nizhé'é bee bik'ihojisdli'ii éí dashizhé'é yę́ę bee bik'idahojisdli'ii biláahdi hool'áágóó daadziłígíí nidanees'ą́ąjį' bee bik'ihojisdli';Éí t'áá át'é Jóseph bitsii'káa'jį' dooleeł,Áádóó bik'isóó yits'ąą t'áá sahdii naagháhígíí bitsii't'áajį' dooleeł. 
1:49:027:0	Bénjamin éí mą'iitsoh alghałii nahalin doo;Abínígo yił hidideełígíí yildeeł doo,Áádóó niyiisnánígíí e'e'áahgo ałtai'niih doo. 
1:49:002:1	Jéíkab daaztsą́ áádóó łeeh bi'dooltį́
1:49:028:0	Díí t'áá ádzíłtso Ízrel dine'é naakits'áadahgo dajílį́; díí lą́ą hazhé'é hach'į' yee hahaasdzíi'go hak'idadzisdli' ni'; t'ááłá'í jinítínígo bee ak'idahwiizhdoodliiłii yee hak'ijisdli'. 
1:49:029:0	Áko t'áadoo naaki nilíní hach'į' yee haadzíi'go áhodííniid, Shidine'é yę́ę ahikááhgóó deeshłeeł; Het dine'é Íífran bikéyahdi; tséníhoodzání góne' dashizhé'é yę́ę yóó'ádaalyaa yę́ęgi yóó'ádashidoohłííł. 
1:49:030:0	Kéínan kéyahgi, Mámre hoolyéii bich'į'gi, éí Makpííla kéyah bii'di tséníhoodzání góne', éí Éíbraham ákwii yóó'áda'alne' doo biniyé Het dine'é Íífran éí kéyah tséníhoodzání t'áá bił yaa nayiisnii'. 
1:49:031:0	Ákwe'é Éíbraham áádóó be'asdzą́ą́ Sarah ałdó' yóó' ábi'diilyaa; Áízak áádóó be'asdzą́ą́ Rebékah ałdó' ákwe'é yóó'ábi'diilyaa, índa shí ałdó' ákwe'é Líyah yóó'íishłaa. 
1:49:032:0	Éí dá'ák'ehdóó tséníhoodzánígíí Het dine'é baa nahaaznii'. 
1:49:033:0	Nít'éé' Jéíkab haye'ké t'áadoo naaki nilíní bił dahojoolne'go, hatsásk'eh bikáa'jį' anízdool'eezgo, haníłch'i hayi'dę́ę́' haalwod, áko hodine'é ahikááhgóó dzizlį́į́'.
