1:45:001:1	Jóseph bik'isóó yich'į' ádééhoosįįd
1:45:012:0	Áádóó shoo, t'áá nihí índa shitsilí Bénjamin ałdó' bił dashinół'į́; t'áá shí nihich'į' hahasdziih. 
1:45:013:0	Áko Ííjip kéyahgi bee shaa ha'niihígíí índa daołtsánígíí t'áá ałtso bee shizhé'é bił dahodoołnih, áádóó tsį́įłgo áádę́ę́' bił nídoohkah. 
1:45:014:0	Ákohgo hatsilí Bénjamin bizééjízhchidgo jíícha; Bénjamin ałdó' yícha. 
1:45:015:0	Índa hánaaíké t'áá ałtso dadzizts'ǫs, áádóó bizéédajizhchidgo bił dajíícha. Áádóó bik'ijį' hak'isóó bił ahił dahojoolne'. 
1:45:016:0	Áádóó Jóseph bik'isóó yíkai; ha'níigo Féro bighandi baa hóóne'go Féro índa bá nidaal'a'í yaa bił dahózhǫ́. 
1:45:017:0	Áko Féro éí Jóseph áyidííniid, Nik'isóó ábididííniił, kódadoohnííł; nihilį́į́' hééł bił bik'i nida'ohtł'o'go Kéínan kéyahgóó dah nídoohkááh. 
1:45:018:0	Áko nihizhé'é índa nihada'áłchíní áádę́ę́' bił shaa doohnééł; Ííjip kéyahgi ts'ídá aláahdi át'éii nihaa dideesh'ááł, áádóó kéyahgi nidant'ą'ii agháago yá'ádaat'éehii daohsą́ą doo. 
1:45:019:0	Díí bee bich'į' hanáádíídzih; éí díí bida'ohłééh; niha'áłchíní índa nihida'asdzą́ą́ biniyé Ííjip kéyahdóó tsinaabąąs ch'ídahidoołbąs, áádóó nihizhé'é áádę́ę́' bił doohnééł. 
1:45:020:0	Áko ałdó' nihiyéél t'áadoo nihida'diił'áhí, háálá Ííjip kéyahgi yá'ádaat'éehii t'áá ałtso nihá dahólǫ́. 
1:45:021:0	Áko Ízrel biye'ké ákódaadzaa; Féro ádííniidígi át'éego Jóseph tsinaabąąs haa yiiznil, áádóó hast'e' bikiin níjookah dooleełígíí há hasht'éyiilaa. 
1:45:022:0	Índa t'áá ádzíłtso éé' da'ílíinii ałnáádajiyoo'niłgo biih nídajikah dooleełii hataiznii', nidi Bénjamin éí béésh łigaii táadi neeznádiin bíighahgo índa éé' ashdladi ał'ąą bii' doodáałgo yeinínil. 
1:45:023:0	Áádóó hazhé'é éí Ííjip kéyahdóó yá'ádaat'éehii télii neeznáá bił bik'i nida'astł'ǫ́ǫgo áádóó télii dabi'ádígíí neeznáago, neest'áanii áádóó ch'iyáán índa bist'e'go áádę́ę́' yikiin doogáałii bił bik'i nida'astł'ǫ́ǫgo, díí yich'į' áyiilaa. 
1:45:024:0	Ákohgo índa, Nááhkahgóó t'áadoo ahináádoohjahí, bizhdííniidgo hak' isóó béézh'níłnii'. Áádóó dah nídiikai. 
1:45:025:0	Áko Ííjip kéyahdóó nihééjíkaigo Kéínan kéyahdi hazhé'é Jéíkab baa níjíkai. 
1:45:026:0	Áko bił dahojoolne'go ádajiní, Jóseph t'ah hináá lá. Ííjip kéyah t'áá át'éé nít'éé' yinant'á. Áko doo joodlą́ą́góó t'óó hoł yée'go bik'ee k'asdą́ą́' háni' ásdįįd. 
1:45:027:0	Áko Jóseph éí saad yee hach'į' hahaasdzí'ígíí t'áá át'é bee bił dahojoolne', áádóó tsinaabąąs éí hoł nídoobąs biniyé Jóseph hach'į' áyiilaii dziiłtsą́ągo hazhé'é Jéíkab bii' hááhwiisdoh. 
1:45:028:0	Áko Ízrel ádííniid, K'ad lą́ą, shiye' Jóseph hináá lá; t'ah doo daastsaahdą́ą́' bich'į' deesháałgo néídeestsééł.
