1:36:001:1	Íísa bits'ą́ą́dóó adideezhchíinii
1:36:015:0	Díí Íísa biye'ké naat'áanii danilį́: Íísa bá alą́ąjį' yizhchínígíí Élifaz biye'ké éí naat'áanii Tííman áádóó Ómar áádóó Zíífai áádóó Kíínez 
1:36:016:0	áádóó Kórah áádóó Géítam índa Ámalek daolyé. Díí t'áá ałtso naat'áanii danilį́įgo Íídam kéyahdi Élifaz ba'áłchíní náás da'ahideeshchíinii danilį́; díí t'áá ałtso Éídah binálíké ádaat'į́. 
1:36:017:0	Índa díí Íísa biye' Rúwel biye'ké naat'áanii danilį́: naat'áanii Néíhath áádóó Zíírah áádóó Shámmah índa Mízzah; éí Íídam kéyahdi Rúwel ba'áłchíní náás da'ahideeshchíinii danilį́; éí Íísa be'asdzą́ą́ Báshiimath binálíké ádaat'į́. 
1:36:018:0	Díí Íísa be'asdzą́ą́ Ahólibéíma biyáázhké; naat'áanii Jíí'ash áádóó Jéíyalam índa Kórah daolyé; éí t'áá ałtso naat'áanii danilį́; díí éí Éínah bich'é'é Ahólibéíma Íísa be'asdzą́ą́ bits'ą́ą́dóó naat'áanii ch'éheeskaígíí ádaat'į́. 
1:36:002:1	Síyer bits'ą́ą́dóó adideezhchíinii
1:36:019:0	Díidí Íísa, t'áá éí Íídam wolyéego biye' ádaat'į́; t'áá éí naat'áanii danilį́. 
1:36:020:0	Díí Síyer wolyéii Hor dine'é nilíinii biye'ké éí kéyahdi kéédahat'íinii danilį́: Lótan áádóó Shóbal áádóó Zíbiyan áádóó Éínah 
1:36:021:0	áádóó Dáíshon áádóó Íízar índa Dáíshan ádaat'į́; díí éí Síyer ba'á łchíní Íídam kéyahdi Hor dine'é binanit'a'í danilį́. 
1:36:022:0	Lótan ba'áłchíní éí Hórai índa Híímam wolyé áádóó Lótan bilah éí Tímna wolyé. 
1:36:023:0	Díí Shóbal ba'áłchíní: Álvan áádóó Mánahath áádóó Ííbal áádóó Shíífai índa Ónam daolyé. 
1:36:024:0	Díí éí Zíbiyan biye'ké: Éíyah índa Éínah wolyé; díí Éínah halgaidi bizhé'é Zíbiyan bitélii neiniłkaadgo tó sidoh háálį́įgo yik'íníyáhígíí át'į́. 
1:36:025:0	Díí éí Éínah ba'áłchíní: biye' Dáíshon wolyé índa bitsi' Ahólibéíma wolyé. 
1:36:026:0	Díí Dáíshon biye'ké ádaat'į́: éí Hémdan áádóó Éshban áádóó Íthran índa Kííran daolyé. 
1:36:027:0	Díí Íízer ba'áłchíní ádaat'į́: éí Bílhan áádóó Zéíyavan índa Éíkan daolyé. 
1:36:028:0	Índa Dáíshan ba'áłchíní éí Uz índa Éíran wolyé. 
1:36:029:0	Díí Hor dine'é binanit'a'í danilį́: Lótan áádóó Shóbal áádóó Zíbiyan áádóó Éínah 
1:36:003:1	Íídamdóó aláahgo naat'áanii danilíinii
1:36:030:0	áádóó Dáíshon áádóó Íízer índa Dáíshan daolyé; díí Síyer kéyahdi Hor dine'é bits'ą́ą́dóó naat'áanii danilį́. 
1:36:031:0	T'ah doo Ízrel dine'é binanit'a'í haleehdą́ą́' Íídam kéyahdi díí aláahgo naat'áanii danilį́į́ nít'éé'. 
1:36:032:0	Bíyor biye' Bííla éí Íídam kéyahgi naat'áanii nilį́į́ nít'éé'; bikin haal'áhígíí éí Dínhabah hoolyéé nít'éé'. 
1:36:033:0	Áádóó Bííla daaztsą́ągo bitsásk'ehgi Bázra kin haal'áádę́ę́' Zíírah biye' Jóbab aláahgo naat'áanii náánídlį́į́ nít'éé'. 
1:36:034:0	Áádóó Jóbab daaztsą́ągo bitsásk'ehgi Hósham éí Tííman dine'é bikéyahdóó naagháago aláahgo naat'áanii náánídlį́į́ nít'éé'. 
1:36:035:0	Áádóó Hósham daaztsą́ągo bitsásk'ehgi Bíídad biye' Héídad wolyéii Mó'ab halgaigi Mídiyan dine'é yik'eh deesdlį́į́' yę́ę aláahgo naat'áanii náánídlį́į́ nít'éé'; éí bikin haal'áago Éívith hoolyéé nít'éé'. 
1:36:036:0	Héídad daaztsą́ągo bitsásk'ehgi Mazrííkah hoolyéédóó Sámlah aláahgo naat'áanii náánídlį́į́ nít'éé'. 
1:36:037:0	Sámlah daaztsą́ągo bitsásk'ehgi Saul éí Riihóbath tooh bibąąhdóó naagháago aláahgo naat'áanii náánídlį́į́ nít'éé'. 
1:36:038:0	Saul daaztsą́ągo bitsásk'ehgi Ákbor biye' Béíyal-héínan aláahgo naat'áanii náánásdlį́į́'. 
1:36:039:0	Ákbor biye' Béíyal-héínan daaztsą́ągo bitsásk'ehgi Héídad aláahgo naat'áanii náánásdlį́į́'; bikin haal'áhígíí éí Péíyu hoolyéé nít'éé' áádóó be'asdzą́ą́ éí Mézeihab bitsi' Méítred bich'é'é Mehétabel wolyéé nít'éé'. 
1:36:040:0	Áko díí Íísa bits'ą́ą́dóó naat'áanii danilį́įgo bada'áłchíní áádóó bił dah nahaz'ą́ índa dabízhi' bik'ehgo ch'éheeskai; éí Tímna áádóó Álvah áádóó Jíítheth 
1:36:041:0	áádóó Ahólibéíma áádóó Íílah áádóó Pínon 
1:36:042:0	áádóó Kíínez áádóó Tííman áádóó Míbzar 
1:36:043:0	áádóó Mágdiyel índa Áíram daolyé; díí t'áá ałtso naat'áanii danilį́į́ nít'éé'; Íídam kéyahdi, t'áá bí bikéyahdi kéédahat'į́į́ nít'éé'; díí Íísa éí Íídam dine'é yizhé'é nilį́.
