1:26:001:1	Áízak éí Gíírargi áádóó Bíyer-shííbagi naagháá nít'éé'
1:26:024:0	T'áá éí bitł'éé' Bóhólníihii haa honíle'go ádííniid, Nizhé'é Éíbraham biDiyin God ásht'į́; t'áadoo nił yé'í; nił honishłǫ́, áádóó nik'ijishdlíi doo, índa Éíbraham shinaal'a'í yę́ę biniit'aa na'áłchíní náás da'ahílchíihgo ádeeshłííł. 
1:26:002:1	Áízak éí Abímelek yił aha'deet'ą́
1:26:025:0	Áko ákwe'é bikáá' náá'iiniihí ájiilaago Bóhólníihii bízhi' józhíigo sozdoolzin, áádóó ákwe'é honíbaal nizhnínil. Ákwe'é Áízak há nidaal'a'í tó hanáádayiis'nil. 
1:26:026:0	Gíírar kin shijaa'dę́ę́' Abímelek bik'is Ahózath índa bisiláo binanit'a'í Fáíkal wolyéii yił haa yíkaigo 
1:26:027:0	Áízak ázhdííniid, Ha'át'íishą' biniyé shaa noohkai? Shą́ą́' dashijiinohłáa ni', áádóó yóó'adashinoołchą́ą' ni'. 
1:26:028:0	Áko ádahodííniid, T'áá aaníí Bóhólníihii nił hólǫ́ǫgo hadandeel'į́į́', áko ádadii'niid, Ni áádóó nihí bíni'dii nihita'gi saad bee ahádahwiidiil'aał, índa bee ahadadi'diit'ááł, 
1:26:029:0	áko t'áadoo nidadeelchidígi át'éego doo haada nihidi'doolníił da, áádóó nihí yá'át'éehgi ádaniil'į́, áádóó k'é daniidzingo yóó'adanisiil'a', áko k'ad Bóhólníihii bik'ijidlíhígíí sínílį́į́'. 
1:26:030:0	Áko bá ádadzíísįįdgo da'ííyą́ą́' áádóó da'oodlą́ą́'. 
1:26:031:0	Áádóó t'ah abínígo nízhdiijée'go ałch'į' ádee hadahizdeesdzíí', áko Áízak hwéé'níłnii'go bits'ą́ą́dóó hoł dahózhǫ́ǫgo dah nízhdiikai. 
1:26:032:0	Ákódzaago t'áá éí bijį́ Áízak bá nidaal'a'í yíkaigo tó hadayiiznilígíí yee hoł dahoolne'go ádahodííniid, Tó bik'ida'siigeed. 
1:26:033:0	Áko ákwe'é Shííba yee hóozhi'; éí bąą kin haal'áhígíí díí jį́į́góó Bíyer-shííba hoolyé.  
1:26:034:0	Íísa dízdiin binááhaigo Het dine'é Biyérai wolyéii bitsi' Júdith hwe'asdzą́ą́ ájiilaa; Het dine'é Íílan wolyéii bitsi' Báshiimath ałdó' hwe'asdzą́ą́ ájiilaa. 
1:26:035:0	Áko díidí Áízak índa Rebékah t'áá íiyisí doo bił yá'át'ééhgóó bíni' yii'a'.
