1:29:001:1	Jéíkab éí Réíchel áádóó Líyah bik'é Léíban yá naashnish
1:29:011:0	Áádóó Jéíkab éí Réíchel yizts'ǫsgo yícha. 
1:29:012:0	Kójíníigo Réíchel bił hojoolne', Nizhé'é éí shidá'í át'é; Rebékah biyáázh nishłį́, áko áádóó Réíchel dashdiilwodgo hazhé'é bił hojoolne'. 
1:29:013:0	Ákódzaago Léíban hadeezhí biyáázh Jéíkab níyá ha'níigo jidiizts'ą́ą'go ákǫ́ǫ́ bidááh jílwod, áádóó bizééjízhchidgo jizts'ǫs, índa haghangóó bił níjít'áázh, áko díidí t'áá ałtso bee Léíban bił nahojisne', 
1:29:014:0	áko Léíban áhodííniid, T'áá aaníí shits'in áádóó shits'íís nílį́į́ lá! Áko t'áá ákwe'é ba'ałk'ee dzizdáago ła' nídeezid. 
1:29:015:0	Áádóó Léíban éí Jéíkab áyidííniid, Da' t'óósh shidá'í nílínígíí bąą t'áá níík'eh shá nanilnish doo? Shił hólne', díkwíishą' bik'é nanilnish doo? 
1:29:016:0	Áko Léíban éí bitsi' naaki, alą́ąjį' nilínígíí Líyah wolyé, akéédę́'ígíí éí Réíchel wolyé. 
1:29:017:0	Líyah éí ha'át'e' ádin joolnáá', nidi Réíchel éí t'áá íiyisí ayóó ánóolnin áádóó baadzólní. 
1:29:018:0	Áko Jéíkab éí Réíchel ayóó'áyó'níigo ání, Nitsi' Réíchel, akéédę́ę́' naagháhígíí, tsosts'id nááhaijį' bideená ná naashnish doo. 
1:29:019:0	Áádóó Léíban ání, Nigo éí t'áá ákónéehee naa nishteeh doo; diné náánáła'go éí dooda, áko t'áá kǫ́ǫ́ naniná. 
1:29:020:0	Áko Jéíkab éí Réíchel bik'é nijilnishgo tsosts'id nááhai, áko ayóó'ájó'níigo bąą t'áá díkwíí yee' yiską́ hoł nahalin. 
1:29:021:0	Áko Jéíkab éí Léíban áyidííniid, She'asdzą́ą́ dooleełígíí shaa níłteeh, háálá k'ad beiníłką́, áko bił ahaa deesht'ash. 
1:29:022:0	Léíban éí diné ákwe'é kéédahat'ínígíí áłah áyiilaago áda'íísįįd. 
1:29:023:0	Ákódzaago hiłiijį́į'go bitsi' Líyah yił haa ní'áázh, áádóó bił yah ajííyá. 
1:29:024:0	Léíban éí asdzání há naal'a'í Zílpah wolyéii éí hatsi' Líyah yá naal'a' doo biniyé baazhníłtį́. 
1:29:025:0	Ákódzaago abínígo jó'akon, Líyah át'į́į́ lá, áko Léíban ábizhdííniid, Díishą' haa shííníł'įįd? Shą́ą́', Réíchel bik'é ná naash'a' ni'. Ha'át'éegoshą' shi'díínílo'? 
1:29:026:0	Áko Léíban ádííniid, Nihikéyahgi doo ákódaat'į́į da; akéédę́ę́' naagháii doo átsé diné baa yílteeh da; alą́ąjį' yizhchíinii éí átsé ádeił'į́. 
1:29:027:0	Díí bił síníkéego t'ááłáhídi damóo adooleeł, áádóó índa ła'ígíí naa náádadiiltééł; éí bik'é shá nanilnishgo tsosts'id nínáádoohah. 
1:29:028:0	Áko Jéíkab ákódzaago éí bee hach'į' ha'oodzí'ígíí bíighah adzisłį́į'go índa bitsi' Réíchel ałdó' haa néiníłtį́. 
1:29:029:0	Áádóó Léíban éí asdzání há naal'a'í Bílhah wolyéii éí hatsi' Réíchel yá naal'a' doo biniyé baazhníłtį́. 
1:29:002:1	Jéíkab éí áłchíní bá nidahaazhchíinii
1:29:030:0	Jéíkab éí Réíchel yił yah anáánáádzá, áko Líyah biláahgo Réíchel ayóó'ájó'ní, áádóó bik'é nijilnishgo tsosts'id nínáánááhai. 
1:29:031:0	Bóhólníihii éí Líyah bijijoodláago bił bééhózin, áko jooltsą́ągo áhoolaa, nidi Réíchel éí doo ałchíi da. 
1:29:032:0	Líyah izh'niiltsąądgo ashkii jishchį́; éí ashkii Rúben bee jíízhi'go ázhdííniid, T'áá aaníí shich'į' nahwiiłnáanii Bóhólníihii shá yaa ákoniizį́į́'; k'ad shahastiin ayóó'áshó'níi doo. 
1:29:033:0	Áádóó anáázh'niiltsąądgo ashkii náájíshchį́, áko ánáázhdí'ní, Shiji'joodláhígíí éí Bóhólníihii shá yidiizts'ą́ą́'; éí biniinaa díí ashkii shaa néiníłtį́, áko éí ashkii Símiyan bee jíízhi'. 
1:29:034:0	Náá'ákóne' anáázh'niiltsąądgo ashkii náájíshchį́, áko ázhdííniid, K'ad lá índa shahastiin bił hinish'náa doo ni, háálá táadi haye' há shéłchį́, áko díí bąą ashkii Líívai bee jíízhi'. 
1:29:035:0	Náábíkéé' góne' anáázh'niiltsąądgo ashkii náájíshchį́, áko ánáázhdoo'niid, K'ad Bóhólníihii baa hashniih doo; díí biniinaa ashkii Júdah bee jíízhi', áádóó t'áadoo náá'jíshchį́į da.
