1:34:001:1	Dáínah t'óó baa yáhásinígi ábiilaaígíí k'éébi'diilyaa
1:34:020:0	Áko Héímor índa haye' Shííkem bił hakin haal'áhígíí ch'é'étiingi nizhní'áázh, áko hakin haal'áádóó diné bił baa nídadzist'įįdgo ájíní, 
1:34:021:0	Díí diné yá'ádaat'ééh; éí bąą bíni' kéyah yiyi' kéédahat'į́ índa yiyi'gi nida'iiłniih; jó'akon, kéyah t'áá bilááh neel'ą́; nihíni' dabitsi'ké nihaa dayiiníiłgo niheda'asdzą́ą́ dadooleeł, índa nihí ałdó' nihitsi'ké baa dahii'níił doo. 
1:34:022:0	Díí kódeiidzaago t'éiyá nihił kéédahat'į́įgo t'ááłá'í dine'é dadiidleeł; diné daniidlínígíí t'éiyá bí ádaat'ínígi át'éego nihąąh nídahidínóolgish. 
1:34:023:0	Dabibéégashii áádóó deit'ínígíí índa dabilį́į́' t'áá ałtso, da' éísh doo danihí da doo? Haa'íshą' ákódadii'nííł, áko nihił kéédahat'į́į doo. 
1:34:024:0	Áko Héímor índa biye' Shííkem yił bikin haal'áhígíí bich'é'étiingi ałná'ádaat'ínígíí t'áá ałtso dabidiits'a'go diné t'áá ałtso bąąh nídahineeshgizh; kin haal'áhígíí bich'é'tiingi ałná'ádaat'ínígíí t'áá ałtso ákódabi'diilyaa. 
1:34:025:0	Ákódzaadóó táá' yiską́ągo t'ah haa da'neezgaigo Símiyan índa Líívai, Jéíkab biye'ké Dáínah bínaaí, t'áá ał'ąą bidiltłish dah yidiijaa'go t'áá nant'inee kin haal'áhídi ní'áazhgo diné danilínígíí ałtso neistseed. 
1:34:026:0	Héímor índa biye' Shííkem diltłish yee yiyííghą́ą́', áko Shííkem bighandóó Dáínah yił ch'ínákai. 
1:34:027:0	Áko Jéíkab biye'ké éí diné nideistseedígíí yaa yíkaigo kin haal'áhígi diné binaalye'é deisná, háálá dabideezhí t'óó baa yáhásingo áál'įįd. 
1:34:028:0	Áko dabidibé áádóó dabibéégashii áádóó dabitélii índa kin haal'áhígíí biyi' hólóonii áádóó halgaigi dahólóonii ałtso áłah ádayiilaa, 
1:34:029:0	índa bibéeso t'áá ałtso áádóó bada'áłchíní t'áá ałtso áádóó bida'asdzą́ą́da nidaal'a' biniyé dah deidii'eezh, índa kin biyi' hólóonii t'áá ałtso áłah ádayiilaa. 
1:34:030:0	Áko Jéíkab éí Símiyan índa Líívai áyidííniid, Shik'ijį' hoołchįįdgo kéyah yii' kéédahat'ínígíí Kéínan dine'é índa Píírez dine'é t'áá íiyisí dashidzoosłáá'; t'áá dókóniilt'éhí, áko bí t'éiyá nihich'į' áłah áhi'doolníiłgo nidanihidoołtsił, áko shí áádóó sha'áłchíní bił ádiidįįł. 
1:34:031:0	Nidi ádííniid, Da' nihideezhí kin yąąh sizíní nahalingo ájiilaaígíísh yá'át'ééh?
