44:13:001:1	Barnabas and Saul Are Commissioned
44:13:027:0	The people in Jerusalem and their leaders did not recognize Jesus as the one the prophets had spoken about . Instead , they condemned him , and in doing this they fulfilled the prophets ' words that are read every Sabbath .
44:13:028:0	They found no legal reason to execute him , but they asked Pilate to have him killed anyway .
44:13:029:0	“ When they had done all that the prophecies said about him , they took him down from the cross and placed him in a tomb .
44:13:030:0	But God raised him from the dead !
44:13:031:0	And over a period of many days he appeared to those who had gone with him from Galilee to Jerusalem . They are now his witnesses to the people of Israel .
44:13:032:0	“ And now we are here to bring you this Good News . The promise was made to our ancestors ,
44:13:033:0	and God has now fulfilled it for us , their descendants , by raising Jesus . This is what the second psalm says about Jesus : ‘ You are my Son.Today I have become your Father . '
44:13:034:0	For God had promised to raise him from the dead , not leaving him to rot in the grave . He said , ‘ I will give you the sacred blessings I promised to David . '
44:13:035:0	Another psalm explains it more fully : ‘ You will not allow your Holy One to rot in the grave . '
44:13:036:0	This is not a reference to David , for after David had done the will of God in his own generation , he died and was buried with his ancestors , and his body decayed .
44:13:037:0	No , it was a reference to someone else—someone whom God raised and whose body did not decay .
44:13:038:0	“ Brothers , listen ! We are here to proclaim that through this man Jesus there is forgiveness for your sins .
44:13:039:0	Everyone who believes in him is made right in God 's sight—something the law of Moses could never do .
44:13:040:0	Be careful ! Do n't let the prophets ' words apply to you . For they said ,
44:13:041:0	‘ Look , you mockers , be amazed and die ! For I am doing something in your own day , something you would n't believeeven if someone told you about it . ' ”
44:13:042:0	As Paul and Barnabas left the synagogue that day , the people begged them to speak about these things again the next week .
44:13:004:1	Paul Turns to the Gentiles
44:13:043:0	Many Jews and devout converts to Judaism followed Paul and Barnabas , and the two men urged them to continue to rely on the grace of God .
44:13:044:0	The following week almost the entire city turned out to hear them preach the word of the Lord .
44:13:045:0	But when some of the Jews saw the crowds , they were jealous ; so they slandered Paul and argued against whatever he said .
44:13:046:0	Then Paul and Barnabas spoke out boldly and declared , “ It was necessary that we first preach the word of God to you Jews . But since you have rejected it and judged yourselves unworthy of eternal life , we will offer it to the Gentiles .
44:13:047:0	For the Lord gave us this command when he said , ‘ I have made you a light to the Gentiles , to bring salvation to the farthest corners of the earth . ' ”
44:13:048:0	When the Gentiles heard this , they were very glad and thanked the Lord for his message ; and all who were chosen for eternal life became believers .
44:13:049:0	So the Lord 's message spread throughout that region .
44:13:050:0	Then the Jews stirred up the influential religious women and the leaders of the city , and they incited a mob against Paul and Barnabas and ran them out of town .
44:13:051:0	So they shook the dust from their feet as a sign of rejection and went to the town of Iconium .
44:13:052:0	And the believers were filled with joy and with the Holy Spirit .
