6:18:001:1	Sháílohdi kéyah ałts'ádaasdzo
6:18:010:0	áádóó Jáshowa éí yáá'iilt'e' ádajiilaago Ízrel dine'é bá Sháílohgi Bóhólníihii binááł baa nijiiyá; ákwii Jáshowa éí Ízrel dine'é kéyah baa dahideest'ánígíí bik'ehgo bá ałts'ádadzizo. 
6:18:011:0	Áádóó yáá'iilt'e' bik'ehgo Bénjamin dine'é ahii' háá'ahiyoolchíiłii bik' ehgo bikéyah bééhoozin; nít'éé' Júdah dine'é bikéyah áádóó Jóseph dine'é bikéyah bita' gónaa kéyah haadzooígíí bíí' daazlį́į́'. 
6:18:012:0	Náhookǫsjígo bihoodzooígíí Jórdan toohdóó hodeesdzo; éí hoodzooígíí Jériko kin haal'áii bíighah góde náhookǫsjí hodeesdzo áádóó dziłgo nahaz'ání góde e'e'aahjigo hodeesdzo áádóó Beth-éíven honoojíijį' hodeesdzo, 
6:18:013:0	áádóó shádi'áahjigo Luz kin haal'áii bich'į'go t'áá éí Luz kin haal'áhígíí bíighahgóó hodeesdzo; éí kin haal'áhígíí Béthel ałdó' hoolyé, áádóó Átarath-éídar kin haal'áá góyaa éí Beth-hóran kin shijaa' wóyahdiígíí shádi'ááhjígo dziłígíí bíighahgóó hodeesdzo. 
6:18:014:0	Áádóó náánáłahjigo nááhodeesdzo, éí e'e'aahjígoígíí shádi'ááhjígo Beth-hóran kin shijaa' binaashii shádi'ááhjí dził si'ánídóó naanáhásdzo áádóó Kírjath-béíyal kin haal'áajį' nihoodzo; éí Kírjath-jíyarim ałdó' hoolyéego kin haal'áhígíí Júdah dine'é daabí. Díí e'e'aahjígo hodeesdzo. 
6:18:015:0	Áádóó shádi'áahjigoígíí éí Kírjath-jíyarim bíighahdóó hanááhoodzo, éí e'e'aahdóó Neftówah tó hadaazlį́įjį' hodeesdzo, 
6:18:016:0	áádóó éí hoodzooígíí yé'iitsoh biyíldzis náhookǫsjígo nineel'ánídi Hínam biye' biyíldzisígíí binaashii dziłígíí bitsį́įjį' hoodzo, áádóó Hínam biyíldzis góyaa índa Jííbas dine'é bikéyah bíighahgóó shádi'ááhjí áádóó Enrógel tó háálíní góyaa hodeesdzo. 
6:18:017:0	Áko náhookǫsjigo Enshíímesh tó háálį́į́góó nááhodeesdzo, éí áádóó Geláílath haz'ánígóó Adámim báhátis áádóó Rúben biye' Bóhan bitsé si'ání góyaa hodeesdzo, 
6:18:018:0	áádóó Beth-áraba kin shijaa' bíighahgóó náhookǫsjí Áraba dzígai góyaa hodeesdzo, 
6:18:019:0	áko Beth-hágla haz'ání bíighahgóó náhookǫsjí ch'ínááhoodzo áádóó Tónteel Dók'ǫ́ǫzhii náhookǫsjí táłts'á hiníyínígi nihoodzo; éí shádi'ááhjígo Jórdan tooh nílínígíí nineel'ą́; díí éí shádi'ááhjígo hodeesdzo. 
6:18:020:0	Ha'a'aahjígo hoodzooígíí éí Jórdan tooh bee hodeesdzo. Díí Bénjamin dine'é ahii' háá'ahiyoolchíiłii bik'ehgo kéyah bíí' dadooleełii bináhásdzo. 
6:18:021:0	Bénjamin dine'é ahii' háá'ahiyoolchíiłii bik'ehgo dabikin hadaas'áhígíí éí kódahoolyé: Jériko, Beth-hágla, Kííziz yíldzisii, 
6:18:022:0	Beth-áraba, Zemaréíyim, Béthel, 
6:18:023:0	Éívim, Péírah, Áfrah, 
6:18:024:0	Kíífar-ha'ámonai, Áfnai índa Géíba; bikin dah naazhjaa'ígíí t'áá bił naakits'áadahgo kin hadaas'áhígíí Bénjamin dine'é bíí' daazlį́į́'. 
6:18:025:0	Áádóó Gíbiyan, Réímah, Biyérath, 
6:18:026:0	Mízpeh, Kiifáírah, Mózah, 
6:18:027:0	Rííkem, Érpaiyel, Táralah, 
6:18:028:0	Zíílah, Íílef, Jííbas, t'áá éí Jerúsalem hoolyé, Gíbiyath índa Kírjath; kin dah naazhjaa'ígíí t'áá bił dį́į́'ts'áadahgo kin hadaas'áhígíí Bénjamin dine'é bíí' daazlį́į́'. Díí kéyah t'áá át'é Bénjamin dine'é ahii' háá'ahiyoolchíiłii bik'ehgo bíí' daazlį́į́'.
