6:4:001:1	Tsé naakits'áadahgo Jórdan toohdę́ę́' nídii'nil
6:4:012:0	Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí Ízrel dine'é yilą́ąjį' anaa' yiniyé hasht'e'ádadiilyaago tsé'naa niikai; Mózes hach'į' yee haadzíi'ii bik'eh ída'jiilaa. 
6:4:013:0	Diné dízdiindi míilgo anaa' yiniyé hasht'e'ádadólzinígíí ha'naa nidahaaznáago Bóhólníihii binááł Jériko honíteeljigo adahaazbaa'. 
6:4:014:0	Éí bijį́į́dą́ą́' Ízrel dine'é t'áá ałtso dabinááł Bóhólníihii éí Jáshowa ayóó át'éii nilį́įgo áyiilaa, áádóó Jáshowa deidísin nít'éé'; Mózes deidísin yę́ęgi át'éego Jáshowa abíyííłką́ąjį' bił danilį́į́ nít'éé'. 
6:4:015:0	Áádóó Bóhólníihii éí Jáshowa áyidííniidgo ání, 
6:4:016:0	Nááda'iiłniihii bich'į' handziihgo éí tsits'aa' dílzinii éí neeznáago bik'eh ó'oo'níiłii bee bééhániihii bii' sinilii deí'aahgo Jórdan tooh nílį́į́ nít'éé' yę́ędę́ę́' tsíts'ádookah. 
6:4:017:0	Éí bąą Jáshowa éí nááda'iiłniihii bich'į' hadzoodzíi'go ájíní, Jórdan tooh nílį́į́ nít'éé' yę́ędóó wóshdę́ę́' tsíts'ánóhkááh. 
6:4:018:0	Áádóó nááda'iiłniihii éí Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii deí'aahígíí Jórdan tooh nílį́į́ nít'éé' yę́ędę́ę́' haaskaigo nááda'iiłniihii éí hóółtseijį' niikaigo Jórdan tooh t'ą́ąjį' anídahaazgo'go t'áá átséédą́ą́' nílį́į́ nít'éé' yę́ęgi át'éego náádląąd. 
6:4:019:0	Átsé nídízídígíí binih, neeznáá jį́į́ góne' Jórdan tooh ha'naa ninínáago Jériko bihoodzo ha'a'aahjígo Gílgal hoolyéegi niníná. 
6:4:020:0	Áko tsé naakits'áadahgo Jórdan tooh nílį́į́ nít'éé' yę́ędóó hadajiizhjaa'ígíí Gílgalgi Jáshowa ałk'i yiztł'in. 
6:4:021:0	Áko Ízrel dine'é ábizhdííniid, Náás hodeeshzhiizhgóó nihada'áłchíní bizhé'é nideídíłkidgo ádadidooniił, Díí tséshą', ha'át'íí biniyé át'é? 
6:4:022:0	Ákohgo díí nihada'áłchíní bee bił dahołne'go bił béédahodoozįįł, Ízrel dine'é bá díí Jórdan tooh ha'naa nihoníłtseiigo tsé'naa niníná. 
6:4:023:0	Háálá Bóhólníihii nihiDiyin God éí Jórdan tooh nihilą́ąjį' nihá nihoníłtseiigo ha'naa ałtso ninooná; Bóhólníihii nihiDiyin God éí Tónteel Łichíí' siyínígíí nihá ha'naa niiníłtseiigo ha'naa ałtso ninii'nánígi áhoodzaa. 
6:4:024:0	Ákohgo nihokáá' dine'é t'áá át'é bił béédahodoozįįł: Bóhólníihii bigaan ayóó ábóodziilii nilį́, áádóó Bóhólníihii nihiDiyin God dadíínóhsingo ahool'áa doo.
