24:50:001:1	A Message about Babylon
24:50:036:0	The sword will strike her wise counselors , and they will become fools.The sword will strike her mightiest warriors , and panic will seize them .
24:50:037:0	The sword will strike her horses and chariotsand her allies from other lands , and they will all become like women.The sword will strike her treasures , and they all will be plundered .
24:50:038:0	A drought will strike her water supply , causing it to dry up.And why ? Because the whole land is filled with idols , and the people are madly in love with them .
24:50:039:0	“ Soon Babylon will be inhabited by desert animals and hyenas.It will be a home for owls.Never again will people live there ; it will lie desolate forever .
24:50:040:0	I will destroy it as I destroyed Sodom and Gomorrahand their neighboring towns , ” says the Lord. “ No one will live there ; no one will inhabit it .
24:50:041:0	“ Look ! A great army is coming from the north.A great nation and many kingsare rising against you from far-off lands .
24:50:042:0	They are armed with bows and spears.They are cruel and show no mercy.As they ride forward on horses , they sound like a roaring sea.They are coming in battle formation , planning to destroy you , Babylon .
24:50:043:0	The king of Babylon has heard reports about the enemy , and he is weak with fright.Pangs of anguish have gripped him , like those of a woman in labor .
24:50:044:0	“ I will come like a lion from the thickets of the Jordan , leaping on the sheep in the pasture.I will chase Babylon from its land , and I will appoint the leader of my choice.For who is like me , and who can challenge me ? What ruler can oppose my will ? ”
24:50:045:0	Listen to the Lord 's plans against Babylonand the land of the Babylonians.Even the little children will be dragged off like sheep , and their homes will be destroyed .
24:50:046:0	The earth will shake with the shout , “ Babylon has been taken ! ” and its cry of despair will be heard around the world .
