51:3:001:1	Vit'eegwijyąhchy'aa Shoohahtsyaa Gwizhrįh Geenjit Gwitr'it T'akhwa'in
51:3:015:0	Christ nihłeenjit tsinehdan khwa'įį nakhwiłtsąįį, deekhwa'in datthak tsinehdan haa t'akhwa'in. Vit'eegwijyąhchy'aa gwitee tr'anakhweiinlii tsinehdan zhit ch'ihłak hohłyaa geenjit. Ąįįts'ą' Vit'eegwijyąhchy'aa khit mahsį' vohnyąą. 
51:3:016:0	Deekhwa'in ts'ą' nats'ąą ninjich'ǫhthat ąįį gwinzii t'akhwa'yaa geenjit gweedhaa datthak Christ Vagwandak Nizįį ininjich'ohthat. Gwizhįh haa Christ Vagwandak Nizįį nihłeedoontan ts'ą' deegwinyąą gwik'eegǫhthat nihłohnyąą, ts'ą' Vit'eegwijyąhchy'aa vich'ilik nihłehts'ą' ǫhłįį, vaa t'aih nihts'an hohtsyaa geenjit. Nakhwadrii zhit gwats'an Vit'eegwijyąhchy'aa nakhweenjit dee'ya' datthak geenjit mahsį' dohnyąą haa ch'ohłii. 
51:3:002:1	Gwandaii K'eejit Tr'ii'įį Zhit Deegwehee'yaa Goo'aii
51:3:017:0	Jidii t'akhwa'in ts'ą' jidii dohnyąą datthak K'eegwaadhat Jesus voozhri' zhit t'akhwa'in, ąįįts'ą' Christ nakhweenjit dee'ya' datthak geenjit Vit'eegwijyąhchy'aa Gwiti' khit mahsį' vohnyąą. 
51:3:018:0	Ch'a'at nąįį gweedhaa datthak nakhwakai' deenakhwahnyąą datthak gook'eegwahohthat gwizhrįh goo'aii. K'eegwaadhat Jesus vaa khaihłak ǫhłįį geh'an jyaa dakhwa'yaa goo'aii. 
51:3:019:0	Ch'akai' nąįį chan nakhwa'at eet'ohthan gwizhrįh goo'aii ts'ą' ch'eeshroonchy'aa haa gook'eehohtyaa goo'aii. 
51:3:020:0	Tr'iinin nąįį nakhwayehghan deenakhwagahnyąą datthak gook'eegohthat, jyaa dakhwa'in dąį' Vit'eegwijyąhchy'aa shoo ohtsii t'oonchy'aa. 
51:3:021:0	Ch'iti' nąįį, nakhwagii nąįį khit shruk (scolding) haa goots'ą' gohkhyaa shrǫ', jyaa dakhwa'in ji' gwinzii t'igii'in akhagagooheenjyaa t'iginchy'aa. 
51:3:022:0	Slaves nąįį, jii nankat juu nakhwats'ą' k'eedeegwaadhat nąįį deenakhwagahnyąą datthak gook'eegohthat. Gwinzii t'akhwa'in nakhwagahąąnjyaa geenjit nijin aakin nakhwagaa'įį dąį' nakwaa gaa K'eegwaadhat khadhoh'ee geh'an khit łi'didlii haa gooveenjit gwitr'it t'agoh'in. 
51:3:023:0	Deekhwa'in datthak nakhwadrii zhit datthak haa gwitr'it t'agoh'in, dinjii nąįį eenjit tr'agoh'in ąįį nakwaa gaa K'eegwaadhat veenjit gwitr'it t'agoh'in k'it t'akhwa'in. 
51:3:024:0	K'eegwaadhat jidii zheekat nakhweenjit gwii'įį ąįį nakhwats'an hahtsyaa vaakhwandaii geh'an jyaa dakhwa'in, Christ nakhwats'ą' K'eegwaadhat veenjit gwitr'it t'agoh'in t'akhwa'in gaanoondaii. 
51:3:025:0	Juu gwiizųų t'ii'in t'ee Vit'eegwijyąhchy'aa yagwahąąhshii t'inchy'aa Vit'eegwijyąhchy'aa dinjii nąįį datthak nihk'it t'ah'in t'inchy'aa.
