4:14:001:1	Ízrel dine'é éí Bóhólníihii yich'į' nidaalteeh
4:14:029:0	Díí honoojítahgi danihits'íís dadínóonééł; jó, danihi'déélta'ígíí t'áá ánółtso naadiindóó yówehgo nihéédááhaii shich'į' saad dahonohłǫ́ǫ́ nít'e'ígíí nanihídoodįįł. 
4:14:030:0	T'áá aaníí doo ła' kéyah biih doohkah da. Díí kéyah bii' kéédahoht'į́į doo, dishníigo bee ádee haasdzíí' nít'éé'; t'áá hazhó'ó Jiifáneh biye' Kéíleb áádóó Nan biye' Jáshowa t'éiyá yah adoo'ash. 
4:14:031:0	Nidi nihada'áłchíní t'éiyá, éí azadoohkah dabidohníí nít'é'ígíí, éí ákóne' yah adeesh'ish; éí kéyah doo danoozį́į'ii yéédahodoosįįł. 
4:14:032:0	Nidi nihí t'éiyá t'áá kǫ́ǫ́ honoojíigi nihits'íís dadínóonééł. 
4:14:033:0	Áádóó nihada'áłchíní t'éiyá honoojíigi naanáá'néełgo dízdiin nídoohah áádóó doo nihada'ahóodlíí át'éégóó biniinaa honoojíigi danihits'íís dadííyahjį' ti'dahwiidoohnih. 
4:14:034:0	Kéyah hadaasíidgo dízdiin yiskánígíí bik'ehgo ła'a jínígíí ła' nááhai bik'eh ní'ą́ągo dízdiin nááhaijį' doo ákwii ádaot'įįdígíí biniinaa nihidahodiit'i'go nídeínóhkáah doo; jó, shí nihá bee nihoní'áanii k'íníti'go nihił béédahodoozįįł. 
4:14:003:1	Naalchí'í neeznált'éego doo yá'ádaashóonii neezná
4:14:035:0	Shí Bóhólníihii nishłíinii haasdzíí', T'áá aaníí, díí doo yá'áshónígi ádaat'ínígíí t'áá ałtso ahíikaigo shik'ijį' danilíinii kóhodeeshłííł; díí honoojíigi ázhdoodįįł; dazhdínóonééł. 
4:14:036:0	Áko Mózes éí kéyah hadoolził biniyé ákǫ́ǫ́ diné ajiis'a' nít'é'ígíí áádę́ę́' nákaigo doo yá'át'ééhgóó kéyah yaa dahoolne'ígíí biniinaa t'áá dah oonééł nít'éé' hach'į' saad dahasłį́į́'; 
4:14:037:0	éí diné t'áá hó doo yá'át'ééhgóó kéyah baa ch'ídahodziiz'ánígíí Bóhólníihii binááł naałniih bik'ee dazneezná. 
4:14:004:1	Hórmahgi Ízrel dine'é bik'eh hodeesdlį́į́'
4:14:038:0	Nidi díí kéyah hadayíísidígíí bitahdóó Nan biye' Jáshowa índa Jiifáneh biye' Kéíleb t'éí t'áá hiná. 
4:14:039:0	Áko Mózes éí Ízrel dine'é t'áá ałtso díí ha'iisdzí'ígíí bee bił hojoolne', áko ayóó át'éego chaał hahóół'á. 
4:14:040:0	Áádóó t'ah abínídą́ą́' nídiijée'go dziłghą́ą́' góde haaskaigo ádaaní, Jó, kǫ́ǫ́ neiikai; Bóhólníihii nihaa hodiní'ání góde hadiikah daniidzin, háálá ádił da'siilziih. 
4:14:041:0	Ákohgo Mózes ání, K'ad ha'át'éegoshą' Bóhólníihii bibik'eh ó'oo'níiłii ts'ídá dahohtííh? Ákondi yá'át'éehgo doo nihá áhodooníił da. 
4:14:042:0	T'ááká ákǫ́ǫ́ hasohkááh lágo, háálá Bóhólníihii doo nihitah hólǫ́ǫ da, ákondi ak'eh dahonoł'į́įgo nihi'ana'í binááł doo ánihidi'dooldįįł da. 
4:14:043:0	Háálá Ámalek dine'é áádóó Kéínan dine'é nihidáahdi nidaakai áádóó diltłish yee nihił nidazdiyoołhał; jó, Bóhólníihii bits'ą́ąjį' noojé'ígíí biniinaa Bóhólníihii doo nihił hólǫ́ǫ da. 
4:14:044:0	Nidi t'áá ákóde hadiikahí daniizį́į'go wók'ą́ąjį' haaskai; ákondi dah oonéłídóó Bóhólníihii bitsits'aa' dílzinii bee aha'deet'áanii bii' sinilii t'áadoo dah deidii'ą́ą da áádóó Mózes ałdó' t'áadoo ch'íníyáa da. 
4:14:045:0	Nít'éé' Ámalek dine'é áádóó Kéínan dine'é éí wók'ą́ądi kéédahat'ínígíí Ízrel dine'é yich'į' hadáájée'go nideistseed, índa t'áá níléí Hórmahjį' t'ą́ą́' anídeineeskaad.
