4:11:001:1	Bóhólníihii éí atsį' yee há nihoní'ą́
4:11:024:0	Áádóó Mózes éí Ízrel dine'é yich'į' ch'íníyáago Bóhólníihii bizaad yee hach'į' hahaasdzí'ígíí bee bił nahodzisne', áádóó tsosts'idiingo hastóí aląąjį' naazíinii ahíjiinilgo níbaal bii' hodílzinii binaagóó ahéénízį́įgo ájiilaa. 
4:11:025:0	Áko Bóhólníihii éí k'os yee hadahóóle'go hach'į' haadzíí', áádóó níłch'i hoł hólónígíí éí tsosts'idiingo hastóí aląąjį' naazíinii ła' yeidiní'ą́, áko éí níłch'i bik'i dahoole'go Diyin God yá dahoolne', áádóó t'áadoo ákónáádaadzaa da. 
4:11:026:0	Nít'éé' diné naakigo t'áá níbaal haal'áhídi naa'aash lá; éí Éldad áádóó Míídad wolyé; éí ałdó' níłch'i bik'i hoole'go diné nídii'nilgo bízhi' ádaalyaaígíí yitah nilį́, nidi níbaal bii' hodílzinii si'áníjį' t'áadoo deezh'áazh da, áádóó t'áá níbaal sinilídi Diyin God yá nahasne'. 
4:11:027:0	Áko dinééh léi' Mózes yaa yílwodgo yił hoolne'go ání, Éldad áádóó Míídad níbaal haal'áhídi Diyin God yá halne'. 
4:11:028:0	Áádóó Nan biye' Jáshowa éí t'áá ániid naagháádę́ę́' Mózes yá naal'a'í nilį́įgo haadzíi'go ání, Shinanit'a'í Mózes, díí t'áadoo ádóhníní, bidiní. 
4:11:029:0	Nidi Mózes áháłní, Shíísh shiniinaa iiníłch'į́į́d? Bóhólníihii bidine'é t'áá át'é Diyin God yá dahalne' dooleełígíí áádóó Bóhólníihii biNíłch'i bik'i dahwiidooleełígíí laanaa nisin. 
4:11:003:1	Bóhólníihii éí déłdánii yiníłnii'
4:11:030:0	Áádóó Mózes índa hastóí aląąjį' naazíinii bił níbaal haal'áhígóó níjíkai. 
4:11:031:0	Áko Bóhólníihii bits'ą́ą́dę́ę́' deeyolgo tónteeldę́ę'go déłdánii yiníłnii'go éí ła'a jį́ oodááł ánízahjį' łahjí níbaal haal'á bíighahjį' áádóó łahjí níbaal hanáánál'á bíighahjį' nahineezdee'; dah oonééł t'áá át'é binaagóó táadi ké silá íídéetą́ą'go ałk'i yáádaa'á. 
4:11:032:0	Áádóó shá bíighah áádóó tł'éé' bíighah índa náábiiskání ałdó' diné adahideezį́įgo déłdánii nídayiizláá', áko áłch'į́į́dí nídayiizlá'ígíí éí ásaa' neeznáá bee ookááł bíighahgo nídayiizláá', áko éí t'áá át'é níbaal dabinaagóó ádá shą́ą́' nideiznil. 
4:11:033:0	Áko atsį' t'óó ázadadzist'ánígo Bóhólníihii hach'į' báhóóchįįd, áko Bóhólníihii éí t'óó báhádzidgo naałniihii yiníłnii'go yee nahastseed. 
4:11:034:0	Ákwii Kíbrath-hatéí'avah hoolyée doo, jidííniid, háálá ákwii diné ach'ą́ bida'niighą́ą́' yę́ę yóó'ádajiilaa. 
4:11:035:0	Áádóó Kíbrath-hatéí'avahdóó Hazíírathjį' Ízrel dine'é nááná'náago Hazíírathgi niníná.
