4:15:001:1	Náádahaniihii bá bee nahaz'áanii
4:15:025:0	Áádóó náá'iiłniihii éí á bee k'ééhodǫǫłii Ízrel dine'é t'áá dah yinééł nít'éé' yá nááyiiłniih doo, áko ádił nida'iisí'ígíí bá yóó'adidoot'ááł, háálá t'áadoo yaa ákodaníziní ádił nida'iisíí', áádóó nááhániihii nidayii'éeshgo Bóhólníihii bich'į' didlidgo nááhániihii át'éego náádayiiłniih doo índa ádił ni'iidzííhjí nááhániihii át'éego Bóhólníihii binááł náádayiiłniih doo; jó, t'áadoo yaa ákodaníziní ádił da'asiih. 
4:15:026:0	Ízrel dine'é t'áá dah yinééł nít'éé' índa dé'éyóní hatahgi t'óó átsééd kéédahat'ínígíí ádił nida'iisí'ígíí bá yóó'anídidoot'ááł, háálá t'áadoo yaa ákodaníziní ádił nida'iisíí'. 
4:15:027:0	Diné t'áá háiida t'áadoo yaa ákoníziní ádił asiihgo éí tł'ízítsa'ii ła' binááhaaí ádił ni'iidzííhjí nááhániihii át'éego néidiyoołnih. 
4:15:028:0	Áko náá'iiłniihii éí á bee k'ééhodoodǫǫłii doo t'áá ákójínééhgóó ádił adzisiihii há néidiyoołnihgo doo t'áá ákójínééhgóó ádił adzisiihígíí Bóhólníihii binááł há bee k'ééhoodǫǫłii há nááhidoonihgo ádił adzisiihígíí há yóó'anídidoot'ááł. 
4:15:029:0	Áádóó bee haz'áanii t'ááłá'ígíí éí doo t'áá ákójínééhgóó ádił adzisiihii há nihee hólǫ́; éí Ízrel dine'é bitahdóó yizhchíinii, doodaii' bitahgi dé'éyóní t'óó átsééd kéédahat'ínígíí nidi bá át'é. 
4:15:030:0	Nidi diné ła' t'áá bizááká ádił ni'iilzíihgo éí kéyahgi ho'dizhchį́įgo, doodaii' dé'éyóní jílį́į dago, Bóhólníihii doo jidísingóó bik'ijį' hadziidziihii éí Ízrel dine'é bits'ą́ąjį' hodi'yoolyééł. 
4:15:002:1	Háá'áyį́į́h jį́ doo yidísinii bił nidzilniih
4:15:031:0	Bóhólníihii bizaad jíí'įįdígíí áádóó bik'eh ó'oo'níiłii k'ízhníti'ígíí biniinaa ts'ídá hodi'yoolyéłí; jó, ádił ajisiihígíí t'áá hó bá ninázhdootłish. 
4:15:032:0	Ízrel dine'é éí honoojíidi joonéełgo háá'áyį́į́h jį́į́ góne' diné léi' chizh náyiiláahgo bik'ídadziskai. 
4:15:033:0	Áko chizh náyiiláahgo bik'ídadziskaígíí éí Mózes áádóó Éran índa oonéłígíí t'áá ałtso bich'į' bił nijíkai. 
4:15:034:0	Áádóó dayiiłtsood, háálá bee baa hwiidínóot'įįłii t'ah doo bee hoł dahane' da. 
4:15:035:0	Áko Bóhólníihii éí Mózes ííłní, Díí diné ts'ídá bidi'yoolyéłí; dah oonéłígíí t'áá ałtso níbaal haal'á bits'áhwiiní'ą́ądi tsé yee hoł nidazdoołniił. 
4:15:003:1	Éé' bibąąhgi bijádaanilígíí
4:15:036:0	Áádóó t'áá dah oonééł nít' éé' éí níbaal haal'á bits'áhwiiní'ą́ą́góó éí diné yił adaaskaigo tsé yee yił nidadzisne'go daaztsą́; Bóhólníihii éí Mózes áyidííniidígíí yida'iilaa. 
4:15:037:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ání, 
4:15:038:0	Ízrel dine'é bich'į' handziihgo ábidiní, Náás da'ahíínółchííhgóó danihi'éé' bibąąhdi bijánil áńdaał'įįh doo, áádóó bijánil bikáa'gi tł'óół yá nahalingo dootł'izh danít'i'go áńdaał'įįh doo, 
4:15:039:0	áádóó nihich'į' díigi át'éhígíí hazhó'ó danół'į́, áko díí béédaałniih dooígíí éí Bóhólníihii bibik'eh ó'oo'níiłii t'áá át'é bida'íínóhsin doo, áko danihijéí bik'ehgo índa daah'ínígíí bik'ehgo doo ádaahníił da doo; jó, éí ajiłda bee t'óó ádee nidaahnéé nít'éé'; shoo, díí béédaałniih. 
4:15:040:0	Shibik'eh ó'oo'níiłii t'áá át'é bida'íínóhsin, áádóó nihiDiyin God bich'į'go dadinohyin doo. 
4:15:041:0	Shí Bóhólníihii nihiDiyin God nishłį́; éí shí Ííjip kéyahdę́ę́' ch'éénihiní'eezhgo nihiDiyin God nishłį́; jó, shí Bóhólníihii nihiDiyin God nishłį́.
