9:14:001:1	Jonathan’s Victory
9:14:040:0	Then he said to all Israel , “ You shall be on one side and I and Jonathan my son will be on the other side . ” And the people said to Saul , “ Do what seems good to you . ”
9:14:041:0	Therefore , Saul said to the Lord , the God of Israel , “ Give a perfect lot . ” And Jonathan and Saul were taken , but the people escaped .
9:14:042:0	Saul said , “ Cast lots between me and Jonathan my son . ” And Jonathan was taken .
9:14:043:0	Then Saul said to Jonathan , “ Tell me what you have done . ” So Jonathan told him and said , “ I indeed tasted a little honey with the end of the staff that was in my hand . Here I am , I must die ! ”
9:14:044:0	Saul said , “ May God do this to me and more also , for you shall surely die , Jonathan . ”
9:14:045:0	But the people said to Saul , “ Must Jonathan die , who has brought about this great deliverance in Israel ? Far from it ! As the Lord lives , not one hair of his head shall fall to the ground , for he has worked with God this day . ” So the people rescued Jonathan and he did not die .
9:14:003:1	Constant Warfare
9:14:046:0	Then Saul went up from pursuing the Philistines , and the Philistines went to their own place .
9:14:047:0	Now when Saul had taken the kingdom over Israel , he fought against all his enemies on every side , against Moab , the sons of Ammon , Edom , the kings of Zobah , and the Philistines ; and wherever he turned , he inflicted punishment .
9:14:048:0	He acted valiantly and defeated the Amalekites , and delivered Israel from the hands of those who plundered them .
9:14:049:0	Now the sons of Saul were Jonathan and Ishvi and Malchi-shua ; and the names of his two daughters were these : the name of the firstborn Merab and the name of the younger Michal .
9:14:050:0	The name of Saul’s wife was Ahinoam the daughter of Ahimaaz . And the name of the captain of his army was Abner the son of Ner , Saul’s uncle .
9:14:051:0	Kish was the father of Saul , and Ner the father of Abner was the son of Abiel .
9:14:052:0	Now the war against the Philistines was severe all the days of Saul ; and when Saul saw any mighty man or any valiant man , he attached him to his staff .
