42:8:001:1	Sáanii éí Jesus yíká anájah
42:8:012:0	Álástsii' atiinjį' ahineezdee'ígíí éí Diyin God bizaad dazdiizts'ą́'ígíí ádajit'į́ ; éí doo da'iizhdoodląął da índa doo yisdáhizhdookah da biniyé níłch'i bida'iiníziinii binanit'a'í yigháahgo éí saad dahajéí biyi'dę́ę́' hááyii'nił .
42:8:013:0	Áádóó tsétahgóó ahineezdee'ígíí éí saad t'óó dazdiits'į́į́hgóó baa hoł dahózhǫ́ǫgo nídazhdiiléhígíí ádajit'į́ , nidi díidíígíí dahayi'di ehétł'óól ádaadin , áko t'óó kónígháníjį' da'joodląąh , índa hódahontaahgo bits'áńjiikááh .
42:8:014:0	Áádóó ch'il dadeeníinii bitahgóó ahineezdee'ígíí éí saad dazdiizts'ą́'ígíí ádajit'į́ , nidi dajíkááhgóó nahasdzáán bikáa'gi bee da'iináanii baa nitsáhákees áádóó at'į́ índa ił honeeni hak'eh dadeesdlį́į'go haneest'ą' t'áadoo daneest'ą́ą da .
42:8:005:1	Adiníłdíinii bił yaa az'ą́
42:8:015:0	Índa łeezh yá'át'éehjį' ahineezdee'ígíí éí saad deidiizts'ą́ą'go dabijéí t'áá aaníinii áádóó yá'ádaat'éehii yee saad dayótą' , áádóó ha'ahóní bee bineest'ą' bąąh nídahoodleeł .
42:8:016:0	Diné doo ła'da bee hool'iní yidiiłtłi'go ásaa' yił yaa nií'aah da , doo nidi tsásk'eh yiyaa ii'aah da , nidi bá ya'ii'áhígi dah yi'ááh , áko yah adahakáhígíí éí bá adinídíingo da'oo'į́į dooleeł .
42:8:017:0	Háálá baa hasti'go dah nool'į́įłii nidi bééhodoozįįłgo át'é , áko ha'át'íhída bik'é'ésti'ii hahgoda báádi'dooltsosgo bééhodoozįįł .
42:8:006:1	Jesus bimá índa bitsilíké
42:8:018:0	Éí bąą da'doohts'a'ígíí hazhó'ó da'íísółts'ą́ą́' , háálá t'áá háiida ha'át'íhída hwee hólónígíí biláahgo ła' haa náádoolyééł , áádóó ha'át'íhída hwee ádinígíí éí shee hólǫ́ jinízinígíí nidi haghadoolyééł .
42:8:019:0	Áko hamá índa hatsilíké haa yíkai , nidi diné t'óó ahayóigo biniinaa doo hach'į' nookááh át'ée da .
42:8:020:0	Áko hoł dahoolne'go ádaaní , Nimá índa nitsilíké daniidiiltsééł danízingo tł'óo'di naazį́ .
42:8:007:1	Jesus tó náádadiidáahii índa níyol hasht'eidííłt'e'
42:8:021:0	Nidi ábijiní , Diyin God bizaad deidiits'a' áádóó yik'eh dahół'íinii éí shimá índa shik'isóó danilį́ .
42:8:022:0	Łah hódahooł'aahii bił tsinaa'eeł biih jookaigo ábizhdííniid , Tį' , be'ek'id yónaanígóó nihił adoo'oł . Áko dah dazh'diił'éél ,
42:8:023:0	nidi oo'ołgo ajiiłhaazh . Nít'éé' táłkáá' ayóó át'éego deeyol , áko tsinaa'eeł k'adę́ę tó bii' hadibin , áko t'óó náhóódzííd .
42:8:024:0	Áko hach'į' niikaigo ch'éédahasidgo ádaaní , Bóhólníihii , Bóhólníihii , táłtł'ááh yiildaas ! Áko nízhdii'na'go níyol índa tó náádadiidáhígíí dzideeztehgo hasht'edíít'e' , áko hodiiyeel .
42:8:008:1	Gádara dine'é níłch'i bida'iiníziinii bii' hólónígíí hanoolkaad
42:8:025:0	Nít'éé' ábizhdííniid , Háájíshą' nihida'oodlą' daazlį́į́' ? Áko nídadzisdzíidgo t'óó hoł adahóóyóigo áda'ahizhdoo'niid , Ákoshą' díí háí át'į́įgo azhą́ níyol índa tó nidi yich'į' hahadziihgo bik'eh dahół'į́ ?
42:8:026:0	Áko Gálilii binaashiijį' Gádara dine'é bikéyahdi hoł aní'éél .
42:8:027:0	Áádóó tsinaa'eeł biyi'dę́ę́' hajííyáago kin haal'áádóó diné léi' níłch'i bida'iiníziinii biyi' hólǫ́ǫgo hadááh níyá , áko díí diné t'áá shiidą́ą'dii bi'éé' t'áágéedgo naagháá lá , hooghan doo yii' kééhat'į́į da lá , nidi tsé'áán góne' dajishcháa'go ákǫ́ǫ́ t'éí kééhat'į́į́ lá .
42:8:028:0	Éí Jesus yiyiiłtsą́ągo , hadoolghaazhgo yiyaajį' nitsidinígo' , áádóó yéego ádííniid , Haashą' shíléehgo ánít'į́ , Jesus , Diyin God Aláahgo Ayóó'át'éii biYe' nílíinii ? Nánooshkąąh , atíshóólééh lágo .
42:8:029:0	Jó , níłch'i nichxǫ́'íii t'áá íídą́ą́' ábizhdííniid , Diné bii'dę́ę́' haninááh . Háálá t'áá ahą́ą́h bik'i néilwo' lá , áko baa áháyą́ągo béésh da'ahólzha'í bee béé'átł'óóh áádóó akétsíín niná'niłí bąąh niná'nił , nidi béésh da'ahólzha'ígíí niyiiníísh áádóó honoojíígóó níłch'i bi'iiníziinii anábiniyo' lá .
42:8:030:0	Nít'éé' Jesus nabídíłkidgo ábíłní , Haashą' yinílyé ? Áko ádííniid , Lą'í , háálá níłch'i bida'iiníziinii t'óó ahayóí hwii' hazlį́į́' lá .
42:8:031:0	Áko nídahooskango , T'ááká a'áán doo nihoodzą́ą́ góne' oohjeeh nihidóóne' lágo .
42:8:032:0	Nít'éé' ákwe'é dził binániigi bisóodi da'ałchozhgo lą'í naakai , áko níłch'i bida'iiníziinii nídahookąąhgo ádaaní , Bisóodi biih diijahgo bee niha'di'ní'aah . Áko bazh'di'ní'ą́ ,
42:8:033:0	áko níłch'i bida'iiníziinii diné yii'dę́ę́' hahaazhjée'go bisóodi yiih heezhjéé' , áko éí bisóodi bidah ch'ééjée'go be'ek'id yiih heezhjéé' , áko tó bííghą́ą́' .
42:8:034:0	Nít'éé' bisóodi baa ádahojilyánígíí áhoodzaaígíí dajiiłtsą́ągo dashdiijée'go kin haal'áagi índa binaagóó baa dahojoolne' .
42:8:035:0	Áko díí áhóót'įįdígíí nihił béédahodoozįįł danízingo Jesus yaa haazhjée'go diné biyi'dę́ę́' níłch'i bida'iiníziinii hahaazhjé'ígíí bi'éé' hólǫ́ǫgo índa bintsíkees yá'át'éehgo Jesus yíighahgi sidáago bik'íjíkai , áko t'áá ádzíłtso béédadzisdzííd .
42:8:036:0	Áádóó dabíínáłígíí éí níłch'i bida'iiníziinii bii' hólǫ́ǫ́ nít'éé' yę́ę hadaałt'é násdlį́'ígíí yee ahił dahoolne' .
42:8:037:0	Áko éí haz'ą́ądi áádóó binaagóó Gádara dine'é bikéyahdi diné kéédahat'íinii t'áá ałtso nídahookąąhgo ádaaní , Nílááh nówehdi naniná , háálá t'áá íiyisí nídaasdzííd , áko tsinaa'eeł biih jííyáago hoł dah ní'dii'éél .
42:8:038:0	Nidi diné biyi'dę́ę́' níłch'i bida'iiníziinii hahaazhjé'ígíí náhookąąhgo áháłní , Nił honishłǫ́ǫ doo , nidi dahodiił'a'go áháłní ,
42:8:009:1	Jéí'iras bitsi' áádóó asdzání Jesus bi'éé' yideelchidii
42:8:039:0	Nílááh , nighangóó nídídááh , áádóó ayóó ádaat'éii Diyin God ná yaa naayáhígíí baa hodíílnih . Áko dashdiiyáago kin haal'áágóó t'áá át'éé nít'éé' ayóó ádaat'éii Jesus há yaa naayáhígíí baa nahojilne'go tázhdííyá .
42:8:040:0	Áko Jesus nádzáago diné t'óó ahayóí áłah nilínígíí haa bił dahóózhǫǫd , háálá t'áá ałtso haba' naháaztą́ą́ nít'éé' .
42:8:041:0	Áko diné ła' Jéí'iras joolyéhígíí , áłah ná'ádleehgo á dah názhnídaahígíí Jesus baazhníyáago bich'į' nitsizhdinígo'go níjookąąhgo ábijiní , Shighangóó díínááł .
42:8:042:0	Háálá hatsi' t'ááłá'íígíí naakits'áadah binááhaigo bi'niitsą́ . Jesus dashdiiyáago diné t'óó ahayóí hoł dinííyił .
42:8:043:0	Áko asdzání ła' dił bigháńdiniiltałgo naakits'áadah nááhai lá éí yee hináanii ałtso bik'é azee' bąąh ályaa lá nidi , doo ła'da náábidoołááł át'ée da ,
42:8:044:0	éí asdzání hane'dę́ę́' niníyáago ha'éé' bijánil yideelchid ; t'áá áko dił bighánílínígíí ásdįįd .
42:8:045:0	Áko Jesus ájíní , Háishą' shideelchid ? Áko t'áá ałtso , Doo nidinishchid da , dadííniidgo , Peter índa hoł naakaígíí ádaaní , Bóhólníihii , jó , diné ninás'áago daniłjizh .
42:8:046:0	Nidi Jesus ájíní , Ła' shizhdeelchid , háálá bee adziilii shits'áhoníle'go baa ákoniizį́į́' .
42:8:047:0	Áko éí asdzání doo na'ádízhnóół'į́į́' át'éégóó hoł bééhoozingo , hatah hoditłidgo Jesus baazhníyá , áko biyaajį' nitsizhdinígo'go diné t'áá ałtso dabinááł biniinaa bizhdeelchidígíí , áádóó t'áá áko nááho'diilzáhígíí bee bił hojoolne' .
42:8:048:0	Áádóó asdzání ábizhdííniid , Shitsi' , ne'oodlą' bee doo ánít'éhí da násínídlį́į́' ; nił hózhǫ́ǫgo náádááł .
42:8:049:0	Áko Jesus t'ah yáłti'go , áłah ná'ádleehgo á dah názhnídaahígíí haghandę́ę́' diné ła' níyáago áháłní , Nitsi' daaztsą́ ; Na'nitiní éí t'áadoo kót'é náábidi'níní .
42:8:050:0	Nidi Jesus díidíígíí yidiizts'ą́ą'go áhodííniid , T'áadoo nił yé'í ; t'óó iinídlą́ągo shaa dzíínílí , áko náábidi'doodlááł .
42:8:051:0	Áádóó Jéí'iras bighandi jiníyáago , diné náánáła' doo bił yah azhdookahgóó bee hojiił'a' , t'áá hazhó'ó Peter áádóó James áádóó John índa at'ééd bizhé'é áádóó bimá t'éiyá .
42:8:052:0	Áko t'áá ałtso at'ééd éí yaa ák'idadiit'aahgo daacha , nidi ábizhdííniid , T'áadoo daahchaí , háálá at'ééd doo daaztsą́ą da , nidi t'óó ałhosh .
42:8:053:0	Áko daaztsą́ągo bił béédahózingo t'óó haa daadloh .
42:8:054:0	Nidi bíla' jiiłtsoodgo hadzoodzíi'go ájíní , At'ééd , nídiidááh .
42:8:055:0	Áko bii' sizíinii biih náálwodgo t'áá áko nídii'na' , áádóó ba'nołtsóód bizhdííniid .
42:8:056:0	Áko ashchíinii t'óó bił ahayóí , nidi ábizhdííniid , Áhóót'įįdígíí t'ááká diné ła' bił hoołne' lágo .
