42:19:001:1	Jesus áádóó Zakíyas
42:19:011:0	Díidíígíí deidiizts'ą́ą'go , Jerúsalemjį' t'áá áyídídę́ę́' joogáłígíí índa Diyin God bee bóhólníihgo bił haz'áanii t'áá áko yidooltsééł danízinígíí biniinaa , hane' bee ak'idi'dootį́įłii bee bił ahozh'niilne' .
42:19:012:0	Áko ázhdííniid , Diné ayóó át'éii ła' nízaadi kéyah léi'góó deesháałgo áadi bee óhólníihgo bił haz'áanii ádá shóideesht'eeł , áádóó índa nídeeshdááł niizį́į́' .
42:19:013:0	Áko t'ah doo dah diighááhgóó bá nidaal'a'í neeznált'éego hágo yidííniidgo , béeso lą'í bą́ą́h ílíinii máína yolyéhígíí neeznáá yitaiznii' , áko áyidííniid , Nánísdzáajį' díí bee naanish ádadoohłííł .
42:19:014:0	Nidi hadine'é dahojoołá , áko diné ła' biniyé nii'nilgo hakéé' dayííł'aadgo ádaaní , Díí diné nihá hoo'áał dooleełígíí doo daniidzin da .
42:19:015:0	Áko nít'éé' bee óhólníihgo bił haz'áanii baa deet'ą́ągo nádzáago nida'dziisnii'góó bíńdaniidee'ígíí bił bééhodoozįįł biniyé , Shá nidaal'a'í béeso bitaa sínii'ígíí hágo dabidohní , dííniid .
42:19:016:0	Áko áłtséhígíí bich'į' niníyáago ábíłní , Bóhólníihii , nibéeso éí neeznáá bínániidee' .
42:19:017:0	Áko áyidííniid , Yá'át'éehgo naal'a'í nílíinii , yá'át'éhígi íinidzaa ! T'įįhdígo bee na'ahoosdlí'ígíí yá'át'éehgo ninaanish silį́į́' , éí bąą neeznáago kin hadaas'á bee nóhólníih doo .
42:19:018:0	Áádóó naaki góne'ígíí ałdó' níyáago ání , Bóhólníihii , nibéeso éí ashdla' bínániidee' .
42:19:019:0	Áko áhodííniid , Ni ałdó' ashdla'go kin hadaas'á bee nóhólníih doo .
42:19:020:0	Ła'ígíí ałdó' náánádzáago ánáádoo'niid , Bóhólníihii , kǫ́ǫ́ nibéeso si'ą́ , bee ádít'oodí bił yishjashgo séł'ą́ą́ nít'éé' ;
42:19:021:0	ninásdzidgo bąą , háálá diné hashkéii nílį́ , áádóó t'áá jíík'e sha'doolyééł t'éí nínízin índa t'áadoo k'idííníláii nánígish .
42:19:022:0	Nít'éé' áháłní , T'áá ni nizaadígíí bee naa nídéesht'įįł , bąąhági ááníiłgo naal'a'í nílíinii ! Jó , diné hashkéii nishłį́ , t'áá jíík'e sha'doolyééł t'éí nisin , índa t'áadoo k'idííláii náshgishgo nił bééhózin lá .
42:19:023:0	Ákoshą' ha'át'éego shibéeso doo béeso bá hooghan góne' nííní'ą́ą da , áko nánísdzáago ínáóltą'í bił shaa náninídee' doo nít'éé' ?
42:19:024:0	Áko ákǫ́ǫ́ naazínígíí áyidííniid , Béeso ba'ít'ánígíí bits'ą́ą́' nídooh'aahgo neeznáá máína neijaahígíí baa noh'aah .
42:19:025:0	( Nít'éé' ádahodííniid , Bóhólníihii , éíyee' máína neeznáá bee hólǫ́ ! )
42:19:026:0	Ánihidishní , T'ááłá'í jinítínígo ha'át'íhída hwee hólónígíí , biláahgo ła' haa náádoolyééł , nidi ha'át'íhída hwee ádinígíí , éí t'įįhdígo hwee hólónígíí nidi haghadoolyééł .
42:19:003:1	Jesus ak'eh deesdlį́į'ii k'ehgo Jerúsalem góne' ííyá
42:19:027:0	Nidi díí dashijoołáhígíí , bá hweesh'áał dooleełgo doo deinízin daígíí , kwe'é nidahoh'éeshgo shinááł nidaałtseed .
42:19:028:0	Ákót'éego Jesus haadzíi'go , Jerúsalem góde alą́ąjį' dah diiyá .
42:19:029:0	Dził Álivz hoolyéegi , Béthfajii áádóó Béthanii bich'į' t'áá áyídídę́ę́' joogáałgo , hódahooł'aahii naakigo dashdiił'a' ,
42:19:030:0	kójíníigo , Nihílááh , náyónaanídi nihidááhjí kin sinilíjį' doh'aash , ákwii t'áá noo'áázhgóó télii yázhí t'ah doo adiyeehígíí dahaastł'ǫ́ǫgo bik'ídooh'ash , éí k'e'dooh'ałgo nídoohłóós .
42:19:031:0	Ła'da nanihídééłkidgo , Ha'át'íishą' biniyé k'e'oh'ad ? nihiłníigo , Jó , Bóhólníihii choidooł'įįł , bididoohniił .
42:19:032:0	Áko bi'dool'aadígíí íí'áazhgo t'áá ábizhdííniidígi át'éego yik'íní'áázh .
42:19:033:0	Nít'éé' télii yázhí k'e'ji'adgo bee bídahólníhígíí ádahałní , Ha'át'íí biniyé télii yázhí k'e'oh'ad ?
42:19:034:0	Áko ájíní , Jó , Bóhólníihii choidooł'įįł .
42:19:035:0	Áko Jesus baazhnílóozgo , habeeldléí éí télii yázhí bikáa'jį' adadziiznilgo Jesus yik'i dah neezdá .
42:19:036:0	Áádóó booyéełgo dabibeeldléí atiingóó yá dayíłkaad .
42:19:037:0	Áko Dził Álivz adah góyaa k'adę́ę dashdiigháahgo , t'óó ahayóí bikéé' nidaakaígíí éí ádahooníiłii ayóó ádaat'éii t'áá ałtso dayiiłtsánígíí bąą bił dahózhǫ́ǫgo dadilwoshgo Diyin God yaa dahaniihgo yaa nídiikai ,
42:19:038:0	áko ádaaní , Aláahgo Naat'áanii , Bóhólníihii bízhi' bee bi'dójíigo yigáłígíí bik'ihojidlíi doo ! Yá'ąąshdi hózhǫ́ǫ doo , índa aghánáhóó'áadi ni'deezlíid doo !
42:19:039:0	Áko diné yíl'áhígíí bitahdę́ę́' Férisii danilíinii ła' ádahodííniid , Na'nitiní , nikéé' nidaakaígíí t'áadoo ádadohníní , bidiní .
42:19:004:1	Jesus éí Jerúsalem yaa yícha
42:19:040:0	Áko haadzíi'go ání , Ánihidishní , Azhą́ díí dadiiłheel nidi , tsé nidi hadadidoolwosh .
42:19:041:0	Kin haal'áhígíí t'áá áyídídę́ę́' yich'į' yigáałgo yiyiiłtsą́ągo yaa yícha ,
42:19:042:0	kóníigo , Dooládó' ts'ídá t'áá díí jį́ bee ach'į' hózhóonii nił bééhózin le' laanaa nósh'níi da ! Nidi k'ad éí nits'ąą nídees'į́į́' .
42:19:043:0	Háálá bich'į' hoolzhish , éí nida'ana'í łeezh ninídeidootsih índa ninídoot'ihgo doo ch'óoya' át'éégóó ándoolííł ,
42:19:005:1	Kin bii' sohodizin nidayiiłchxǫǫhii ch'íneelkaad
42:19:044:0	áádóó niyi'di kéédahat'ínígíí t'áá bił ni'jį' andi'yoolghą́ą́ł , índa tsé t'ááłá'í nidi doo ałk'i dah si'ą́ą́góó ádeidoolíłígíí éí bił neidoołkááł , háálá Diyin God naa níyáhígíí t'áadoo baa ákoninizį́į' da .
42:19:045:0	Áádóó kin bii' sohodizin bił haz'ą́ą́ góne' yah ajííyáago nida'iiłniihígíí ch'ízhneełkaadgo baa nízdiidzá ,
42:19:046:0	kójíníigo , Jó , bee ak'e'ashchį́ , Shikin éí kin bii' sohodizin át'é . Nidi aghada'ii'níiłii be'a'áán ádaahłaa lá .
42:19:047:0	Áádóó t'áá ákwíí jį́ kin bii' sohodizin bił haz'ą́ą́ góne' Jesus nazh'nitin nít'éé' . Nidi aláahgo nááda'iiłniihii áádóó bee haz'áanii yínda'niłtinii índa diné alááh dahideezínígíí dahodiyiilyééł ch'ééh daniizį́į́' ,
42:19:048:0	nidi ákódadooníiłgi doo bá ashja da'aléeh da , háálá diné t'áá ałtso t'áá íiyisí dahwíists'ą́ą́' .
