42:24:001:1	Jesus daaztsą́ą́dę́ę́' náádiidzá
42:24:014:0	joo'ashgo díí ádahóót'įįdígíí t'áá ałtso bee ahił hojilne' .
42:24:015:0	Ákohgo t'ahdii ahił hojilne'go áádóó baa níjít'į́įgo , nít'éé' Jesus t'áá bí hwíighahgi yiizį' , áádóó bił nihijíkai .
42:24:016:0	Nidi azhą́ jiníł'į́į nidi , doo bééhodzísin da áho'diilyaa .
42:24:017:0	Áko Jesus áhodííniid , Ha'át'íishą' bee ahił hołne'go woh'ash , áádóó yínííł nohłį́ ?
42:24:018:0	Áko ła' , Klíyapas joolyéhígíí , hach'į' haadzíi'go áháłní , Da' t'áásh ni t'éiyá Jerúsalemgi łahdę́ę́' naagháii nílį́ , áko díí yoołkáłígíí biyi' ákwe'é ádahóót'įįdígíísh doo nił bééhózin da ?
42:24:019:0	Áko áhodííniid , Haash dahóót'įįd ? Áádóó ábizhdííniid , Jó , Názarethdóó Jesus ábi'dool'įįdígíí éí Diyin God yá halne'ii nilį́įgo Diyin God índa diné t'áá ałtso binááł ayóó ádaat'éii áyoolíiłgo áádóó bizaad ayóó át'éego na'iiłnáago baa nitsáhákees nít'éé' .
42:24:020:0	Aláahgo nááda'iiłniihii índa nihinanit'a'í danilíinii hodi'yoolyéełjį' ninádahodeez'ą́ , áádóó tsin ałnáoszid bikáa'jį' hoł ada'askaal .
42:24:021:0	Nidi nihí Ízrel dine'é ch'éiidoo'niłgo bee nihił chodahoo'į́į́ nít'éé' . Nidi doo t'áá éí t'éiyá ádahóót'įįd da , jó , k'ad táá' yiskánídą́ą́' díí ádahóót'įįd .
42:24:022:0	Áádóó t'ah nááyówehígo asdzání ła' t'áá nihí bił neiikaígíí t'áá íiyisí abínídą́ą́' tséní'ootséélgóó naaskai léi' , t'óó nihił adahóółyóí ,
42:24:023:0	háálá hats'íís ch'ééh hádeidéé'į́į'go , t'óó kódaaníigo nákai , Diyingo naal'a'í nihił ádzaago , Éí jiiná , níigo nihił hoolne' , dadííniid .
42:24:024:0	Áko t'áá nihił naakaígíí ła' tséní'ootséélgóó jiní'áázh , nít'éé' asdzání ádaadííniidii t'áá aaníí ákót'éé lá , nidi bí éí doo jiiłtsą́ą da .
42:24:025:0	Nít'éé' Jesus áhodííniid , Diné doo hóyáanii , áádóó Diyin God yá dahalne'ii yee hadahaasdzíi'ii t'áá ałtso bijéí yee tąądee yoodląąhii nohłíinii !
42:24:026:0	Da' doósh t'áá ákónéehee Christ díí áłtsé yik'ee ti'hwiidoonih da , áádóó índa yee ayóó át'éii yiih doogáał da ?
42:24:027:0	Áádóó Mózes índa Diyin God yá dahalne'ii binaaltsoos t'áá ałtso t'áá dadeezt'i'dóó , éí t'áá hó áhodi'doolníiłgi Diyin God bizaad bee ak'eda'ashchínígíí t'áá ałtso hazhó'ó yee hoł hoolne' .
42:24:028:0	Áko kin sinilgo jideeskaíjį' áyídí hadziih . Nít'éé' t'áá náás joogáał doogo áhozhdeeshchį́ ,
42:24:029:0	nidi náhojooskango áhojiní , Niha'ałk'ee niidoołkááł , háálá hííłch'į' áádóó k'adę́ę e'e'aah . Áko ba'ałk'ee hwiidoołkááł biniyé bił yah ajííyá .
42:24:030:0	Áko bił adazh'niiyą́ą'go , bááh nízhdii'ą́ągo bik'i sozdoolzin , áádóó nijiizti'go baazhnínil .
42:24:031:0	Nít'éé' t'áá ájíłah baa ákozniizį́į'go bééhodzoosįįd , nidi t'áá áko hoł ch'aa násdlį́į́' .
42:24:032:0	Áko áhizhdi'ní , Atiindę́ę́' bił yiikahgo nihich'į' yáłti'go áádóó Diyin God bizaad bee ak'eda'ashchínígíí nihił ííshją́ą́ ííléehgo , nihiyi'di dooládó'ósh nihijéí dook'ą́ą́ł nahalin da nít'éé' ?
42:24:033:0	Áko t'áá ákwii oolkiłgo dashdii'áazhgo Jerúsalemgóó t'ą́ą́' níjít'áázh , nít'éé' ła'ts'áadahígíí índa ła' yił naakaígíí t'ááłáhígi áłah nilį́įgo bik'ízhní'áázh ,
42:24:034:0	áko ádahałní , Bóhólníihii t'áá aaníí náádiidzáá lá , áádóó Sáíman yich'į' yit'íní í'diilyaa lá !
42:24:003:1	Jesus éí ła'ts'áadahígíí yich'į' yit'íní í'diilyaa
42:24:035:0	Áko atiingóó áhóót'įįdígíí , índa bááh niyiitíihgo bééhodzoosįįdígíí ałdó' bee bił hojoolne' .
42:24:036:0	Áko díí t'ahdii baa yájíłti'go , nít'éé' Jesus t'áá bí haníi'gi yiizį' [ áádóó áháłní , Nihich'į' hózhǫ́ǫ le'] .
42:24:037:0	Nidi ha'át'íí shį́į́ bich'į́įdii át'į́ danízingo hak'ee tsídadoolyizgo bił yéé' dahazlį́į́' .
42:24:038:0	Áádóó ábizhdííniid , Ha'át'íishą' bik'ee nihił daayéé' ? Áádóó ha'át'éegoshą' danihijéí biyi'di nihił naaki dahazlį́į́' ?
42:24:039:0	Shíla' áádóó shikee' danół'į́ , áko t'áá shí ásht'į́ ; shídadołnih , áko nihił béédahodoozįįł , háálá níłch'i éí bitsį' índa bits'in doo hólǫ́ǫ da , nidi shí éí dashinół'į́įgo shits'íís hólǫ́ .
42:24:040:0	[ Áádóó kózhdííniidgo hála' índa hakee' há deinééł'į́į́' . ]
42:24:041:0	Áko doo jóodlą́ą́' át'éii yaa bił dahózhǫ́ǫgo t'ahdii yik'ee t'óó bił adahayóigo ábizhdííniid , Da' kwe'éésh t'áadoo le'é doodį́įłii ła' nihee hólǫ́ ?
42:24:042:0	Łóó' bitsį' sit'éego [ áádóó tsés'ná bitł'izh yił] hada'astsood ,
42:24:043:0	áko nízhdiinilgo binááł jííyą́ą́' .
42:24:044:0	Áko ábizhdííniid , Díí saadígíí éí t'ah nihił naashkai yę́ędą́ą́' bee nihich'į' haasdzíí' , éí bee haz'áanii Mózes baa deet'áanii áádóó Diyin God yá dahalne'ii índa sin biyi' shí shaa dahalne'go yee ak'eda'ashchínígíí bidahodoolníłígíí át'é .
42:24:045:0	Áko Diyin God bizaad bee ak'eda'ashchíinii yá'át'éehgo bik'idazhdi'dootį́įłgo hoł ííshją́ą́ áyiilaa ,
42:24:046:0	áádóó ábizhdííniid , Jó , bee ak'e'ashchį́ , éí Christ ti'hwiidoonih áádóó tágí jį́ aleeh góne' daaztsą́ą́dę́ę́' náádidoodááł ,
42:24:047:0	áko házhi' bee na'nitingo łahgo át'éego tsínáhodiikeesgo bąąhági át'éii bits'á'iildééh índa á yóó'ahidit'aahii ał'ąą dine'é t'áá ałtso bee bił dahane' dooleełgo Jerúsalemdóó hadoot'ih .
42:24:048:0	Díí ádahóót'įįdígíí nihí oo'íinii danohłį́ .
42:24:004:1	Jesus yá'ąąshgóó dah nídiidzá
42:24:049:0	Áádóó jó'akon , shiTaa' yee nihoní'áanii nihich'į' bidadeesh'aał , nidi aghánáhóó'áádę́ę́' bee adziilii bee hanihi'diilyaajį' Jerúsalem kin haal'áhígi biba' nahísóotą́ą doo .
42:24:050:0	Áko Béthanii bich'į'go ch'íhoní'eezh , nít'éé' yadidiilnii'go há sodoolzin .
42:24:051:0	Áko hak'ijisdli'go dego hats'ą́ą́' dah bidi'diiltį́ , [ áádóó yá'ąąsh biyi' góde anáhóóle'] .
42:24:052:0	Áko [ bich'į' nidahodzisáago] ayóó át'éego hoł dahózhǫ́ǫgo Jerúsalemgóó níjíkai ,
42:24:053:0	áádóó kin bii' sohodizin bił haz'ą́ą́ góne' t'áá áłahjį' Diyin God baa dahojiniihgo nidzíiztą́ .
