42:23:001:1	Jesus éí Páílat bidááhdę́ę́' niho'deedlóóz
42:23:041:0	Ni áádóó shí t'éí t'áá ánihidi'doolnííł góne' nihá nihoot'ą́ , háálá íidzaaígíí biniinaa t'áá ánihi'dólne' góne' ánihi'dil'į́ , nidi díí diné éí doo bąąhági ádzaa da .
42:23:042:0	Áádóó Jesus áyidííniid , Bóhólníihii , bee nóhólníihii biih yíníyáago shéénílniih doo .
42:23:005:1	Jesus dadziztsą́
42:23:043:0	Áko ábizhdííniid , T'áá aaníígóó ándishní , Díí jį́ Kéyah Hózhǫ́ǫdi shił honílǫ́ǫ doo .
42:23:044:0	Nít'éé' ałní'ní'ą́ągo daats'í , áádóó táadi ahéé'ílkidjį' t'áá át'éé nít'éé' chahóółhéelgo
42:23:045:0	jį́honaa'éí yiijį́į́' , áádóó kin bii' sohodizin biyi' góne' ach'ą́ą́h naníbaalii ałch'áádláád .
42:23:046:0	Áko Jesus yéego hazhdoolghaazhgo ájíní , ShiTaa' , shii' sizíinii nílák'edish'aah ! jidííniidgo hajííyol .
42:23:047:0	Áádóó siláo binanit'a'í áhóót'įįdígíí yiyiiłtsą́ągo , Diyin God yaa haznihgo ání , T'áá aaníí díí diné ts'ídá t'áá ákogi át'éii nilį́į́ nít'éé' lá !
42:23:048:0	Áko diné áłah daazlį́į'ii , áhóót'įįdígíí dayiiłtsą́ągo , biyid nídeineests'ingo anáhaaskai .
42:23:006:1	Jesus yóó'áho'diilyaa
42:23:049:0	Áádóó hwéédahósinígíí t'áá ałtso índa Gáliliidę́ę́' asdzání hakéé' yíkaígíí t'áá nízaadę́ę́' naazį́įgo díí áhóót'įįdígíí dayiiłtsą́ .
42:23:050:0	Áko diné ła' Jóseph yolyéego Jew dine'é yá naazíinii ła' nilį́ , éí diné yá'át'éehii áádóó t'áá ákogi át'éii nilį́ ,
42:23:051:0	éí yindahaz'ą́ągo yaa naaskaígíí doo atah yee lą́ asłį́į' da . Éí Arimathíya hoolyéego Jew dine'é bikin haal'áádę́ę́' naaghá , áádóó éí Diyin God bee bóhólníihgo bił haz'áanii nayólí .
42:23:052:0	Díí dinéhígíí Páílat yaa níyáago Jesus bits'íís yíyííkeed .
42:23:053:0	Áko na'iidiiłtį́įgo áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yił yizdisgo tséní'ootséél góne' niiníłtį́ , ákwe'é ts'ídá t'ah doo diné ła' niilteeh da nít'éé' .
42:23:054:0	Éí bijį́ hasht'ehodi'nééh yolyéego oo'ááł , áádóó háá'áyį́į́h jį́ k'adę́ę baa hoolzhíísh .
42:23:055:0	Áko Gáliliidę́ę́' asdzání hoł yíkaígíí akéé' yíkaigo tséní'ootséél deinééł'į́į́' , áádóó hats'íís niiltínígíí ts'ídá át'éegi bił béédahoozin ,
42:23:056:0	áko t'ą́ą́' nákaigo łikání halchinii spáis wolyéii índa tłah łikání halchinii hasht'edayiilaa . Áádóó bee haz'áanii bik'ehgo háá'áyį́į́h jį́į́ góne' háádaasyį́į́' .
