42:3:001:1	John Tó Yee Asį́įhii nahalne'
42:3:011:0	Áko bich'į' hadzoodzíi'go ábijiní , T'áá háiida bi'éétsoh naaki bee hólónígíí , éí bee ádinígíí ła' baazhdoołtsos , áádóó t'áá háiida ch'iyáán bee hólónígíí ałdó' t'áá ákózhdoonííł .
42:3:012:0	Tax nahalyéhígíí yiniyé naazdáii ałdó' tó bee dabidi'doolzį́į́ł yiniyé deíkáahgo ádahodííniid , Na'nitiní , nihíshą' haa dadii'nííł ?
42:3:013:0	Áko ábizhdííniid , Nihaa deet'ánígíí t'áadoo biláahgo dayínóhkeedí .
42:3:014:0	Siláo ałdó' ádahałní , Nihíshą' ałdó' haa dadii'nííł ? Áádóó ábizhdííniid , T'ááká diné ła'da t'áá nihizááká bighada'oołyééł lágo , doo nidi t'áá ádzaagóó bik'i dahodidooh'áał da , nidi nihich'į' nida'iilyéhígíí nihił dabíighah doo .
42:3:015:0	Áko diné nida'oozlíí' , áádóó t'áá ałtso dabijéí biyi'di , John daats'í Christ át'į́ , danízingo yaa nitsídaakees ,
42:3:016:0	nít'éé' John éí diné t'áá ałtso ííłní , Shí t'éí tó bee danihisį́į́h , nidi ła' shiláahgo át'éii yigááł , éí bikétł'óól k'e'deesh'ał nidi doo bą́ą́h nishłį́į da ; éí Níłch'i Diyinii índa kǫ' yee danihisį́įh dooleeł .
42:3:017:0	Éí ásaa' bee ąąh oolch'íhígíí dah joo'ááł , áko háá'jíłch'ihgi hozhdidooshǫǫłgo hatł'oh naadą́ą́' nooh níjílchíihgi yah ahizhdooyééł , nidi azhool t'éí kǫ' doo nitséesii bee adizhdoołk'ą́ą́ł .
42:3:018:0	Áko John lą'ídi bee nida'nitinii ał'ąą ádaat'éego yíneedlį́įgo hane' yá'át'éehii yee diné yił halne' .
42:3:019:0	Nidi John éí Hérad naat'áaniishchíín nilíinii , bitsilí be'asdzą́ą́ Heródiyas yolyéhígíí yiniinaa , índa bąąhági ádzaaígíí t'áá ałtso yiniinaa yich'ahóóshkeed ,
42:3:002:1	Jesus éí tó bee bi'doolzį́į́'
42:3:020:0	áko Hérad éí díí t'áá ałtso t'áá biláahjį' bąąhági ánáánádzaago John yah ayííłt'e' .
42:3:021:0	Ákódzaago diné t'áá ałtso tó bee dabi'doolzį́į́' áádóó Jesus ałdó' tó bee bi'doolzį́į'go sodilzingo yádiłhił ąą ádzaa ,
42:3:003:1	Jesus Christ dabizází
42:3:022:0	áádóó Níłch'i Diyinii hasbídí ánoolinígi át'éego hak'ijį' hadahóóle' , áádóó yádiłhił biyi'dę́ę́' iinéé' diists'ą́ą'go ání , ShiYe' ayóó'óósh'níinii nílį́ ; t'áá íiyisí naa shił hózhǫ́ .
42:3:023:0	Jesus t'óó nídí'níitą́ą́' yę́ędą́ą́' tádiin daats'í binááhai , éí Jóseph biye' ( bi'dó'níigo ) , Jóseph éí Híílai biye' ,
42:3:024:0	Híílai éí Máthat biye' , Máthat éí Líívai biye' , Líívai éí Mélkai biye' , Mélkai éí Jána biye' , Jána éí Jóseph biye' ,
42:3:025:0	Jóseph éí Matatháíyas biye' , Matatháíyas éí Éímas biye' , Éímas éí Néíham biye' , Néíham éí Éslai biye' , Éslai éí Néígeiyai biye' ,
42:3:026:0	Néígeiyai éí Méíyath biye' , Méíyath éí Matatháíyas biye' , Matatháíyas éí Sémeiyai biye' , Sémeiyai éí Jóseph biye' , Jóseph éí Júdah biye' ,
42:3:027:0	Júdah éí Joána biye' , Joána éí Ríísa biye' , Ríísa éí Zerábabel biye' , Zerábabel éí Sheáltiyel biye' , Sheáltiyel éí Níírai biye' ,
42:3:028:0	Níírai éí Mélkai biye' , Mélkai éí Ádai biye' , Ádai éí Kósam biye' , Kósam éí Elmódam biye' , Elmódam éí Er biye' ,
42:3:029:0	Er éí Jáshowa biye' , Jáshowa éí Eliyíízer biye' , Eliyíízer éí Jórim biye' , Jórim éí Máthat biye' , Máthat éí Líívai biye' ,
42:3:030:0	Líívai éí Símiyan biye' , Símiyan éí Júdah biye' , Júdah éí Jóseph biye' , Jóseph éí Jónan biye' , Jónan éí Iiláíyakim biye' ,
42:3:031:0	Iiláíyakim éí Mííliya biye' , Mííliya éí Míínan biye' , Míínan éí Mátatha biye' , Mátatha éí Néíthan biye' , Néíthan éí David biye' ,
42:3:032:0	David éí Jésii biye' , Jésii éí Óbed biye' , Óbed éí Bó'az biye' , Bó'az éí Sálman biye' , Sálman éí Náshan biye' ,
42:3:033:0	Náshan éí Amínadab biye' , Amínadab éí Ram biye' , Ram éí Hézran biye' , Hézran éí Píírez biye' , Píírez éí Júdah biye' ,
42:3:034:0	Júdah éí Jéíkab biye' , Jéíkab éí Áízak biye' , Áízak éí Éíbraham biye' , Éíbraham éí Tíírah biye' , Tíírah éí Néíhor biye' ,
42:3:035:0	Néíhor éí Síírug biye' , Síírug éí Ríyo biye' , Ríyo éí Pííleg biye' , Pííleg éí Ííber biye' , Ííber éí Séílah biye' ,
42:3:036:0	Séílah éí Kéínan biye' , Kéínan éí Arfáksad biye' , Arfáksad éí Shem biye' , Shem éí Nóah biye' , Nóah éí Léímek biye' ,
42:3:037:0	Léímek éí Miithúzelah biye' , Miithúzelah éí Íínak biye' , Íínak éí Jéíred biye' , Jéíred éí Mahéílalííyel biye' , Mahéílalííyel éí Kéínan biye' ,
42:3:038:0	Kéínan éí Íínas biye' , Íínas éí Seth biye' , Seth éí Ádam biye' , Ádam éí Diyin God biye' .
