42:17:001:1	Bąąhági áhát'į́ biniinaa nihwiileehii
42:17:020:0	Nít'éé' Férisii danilíinii nidahódééłkidgo ádadííniid , Hahgoshą' Diyin God bee bóhólníihgo bił haz'áanii baa hodoolzhish ? Áko hadzoodzíi'go ábizhdííniid , Diyin God bee bóhólníihgo bił haz'áanii yit'į́įgo doo hodooleeł da ;
42:17:021:0	doo nidi kódadidoohniił da , Jó , kǫ́ǫdí ! éí doodaléi' , Jó , níláhgóó ! háálá jó'akon , Diyin God bee bóhólníihgo bił haz'áanii nihiyi'di hólǫ́ .
42:17:022:0	Áádóó hódahooł'aahii ábizhdííniid , T'áá ła'a jínígoda Diné Silį́į'ii dzoołtsééł laanaa danohsingo yoołkáał dooleełii baa hodoolzhish , nidi doo deiidoołtséeł da .
42:17:023:0	Áádóó ádanihididooniił , Jó , níláhgóó ! éí doodago , Jó , kǫ́ǫdí ! danihiłníigo t'ááká ákǫ́ǫ́ dah doohjeeh yíila' , t'ááká bikéé' dadohkááh lágo .
42:17:024:0	Háálá t'áá atsiniltł'ish aheta'go yá ha'naa aheta'ígi át'éego Diné Silį́į'ii beidoołkááł .
42:17:025:0	Nidi k'ad átsé lą'ígóó ti'hwiizhdoonih áádóó díí oochíłígíí doo dahodínóozįįł da .
42:17:026:0	T'áá Nóah bíyoołkááł yę́ędą́ą́' áhoot'éé nít'é'ígi át'éego , t'áá ákót'éego ałdó' Diné Silį́į'ii náádááł beiníłką́ągo ákóhoot'ée doo .
42:17:027:0	Nóah tsinaa'eeł yiih híyáajį' , diné da'ayą́ áádóó da'adlą́ índa nida'ayeh áádóó ahaa daha'nííł nít'éé' , ákondi tó yíląądgo ałtso ábísdįįd .
42:17:028:0	T'áá Lat bíyoołkááł yę́ędą́ą́' áhoot'éé nít'é'ígi át'éego , da'jiyą́ áádóó da'jidlą́ , ahaa nida'jiilniih , haa nida'iiniih , k'éédazh'didlééh áádóó kin ádajile' ,
42:17:029:0	nidi Lat éí Sádam kin haal'áádóó ch'íníyá bijį́įdi yádiłhił biyi'dę́ę́' kǫ' índa tsékǫ' łitsoígíí nááłtą́ągo diné ałtso íísdįįd ;
42:17:030:0	ts'ídá ákót'éego Diné Silį́į'ii yit'íní ályaa bijį́įdi áhodoonííł .
42:17:031:0	Éí bijį́įdi , t'áá háiida hakin bighą́ą'di nijigháhígíí wóne'dę́ę́' hanaalye'é ch'ízhdoojih biniyé doo yahanízhdoolwoł da , áádóó t'áá ákót'éego t'áá háiida dá'ák'ehgi nijigháhígíí doo t'ą́ą́' nízhdoolwoł da .
42:17:032:0	Lat be'asdzą́ą́ béédaałniih .
42:17:033:0	T'áá háiida jiinánígíí ádá shójoost'e'ígíí éí yóó'azhdootłish , nidi t'áá háiida jiinánígíí yóó'azhdíí'ą́ągo éí jiinánígíí doodzih .
42:17:034:0	Ánihidishní , T'áá éí bitł'éé' diné ła' tsásk'eh yikáá' shitéezh doo ; ła' nídidooltééł , ła'ígíí éí t'áá ákǫ́ǫ dooleeł .
42:17:035:0	Asdzání nidilt'éego t'ááłáhígóó ak'áa dooleeł ; ła' nídidooltééł , ła'ígíí éí t'áá ákǫ́ǫ dooleeł .
42:17:036:0	[ Áko dá'ák'ehgi diné naaki naa'aash doo ; ła' nídidooltééł , ła'ígíí éí t'áá ákǫ́ǫ doo . ]
42:17:037:0	Áádóó ádahodííniid , Bóhólníihii , díishą' háadi ákóhodoonííł ? Áádóó ábizhdííniid , T'áá ha'át'íhída daaztsą́ągo sitį́įgi , ákwe'é jeeshóó' áłah nilį́į doo .
