42:13:001:1	Bąąhági át'éii bee ádaa ákohwiindzingo bits'á'iildééhjí , doodaii' í'dooldįįłjí
42:13:015:0	Áko Bóhólníihii hach'į' hanáánáádzíi'go áhodííniid , Nihí t'óó ádahodoł'íinii ! Da' t'ááłá'í nootínígoósh doo háá'áyį́į́h jį́į́ góne' nihibéégashii , doodaii' nihitélii bighandóó k'ééda'oh'a'go , áádóó taah nídaahdlóos da ?
42:13:016:0	Da' ákoósh díí asdzání , Éíbraham bitsi' nilį́įgo , Séítan t'áá yaa biztįhgo tseebííts'áadah nááhai nít'é'ígíí , háá'áyį́į́h jį́į́ góne' doo k'éédooldǫǫł da ?
42:13:004:1	Mástad bílástsii' binahjį hane' bee ak'idi'dootį́įłii
42:13:017:0	Áko díidíígíí bee hadzoodzíi'go , hak'i dahodii'aahii t'áá ałtso ádaa yádaniidzį́į́' , áádóó ayóó ádaat'éii ájoolíłígíí biniinaa diné áłah silį́'ígíí t'áá ałtso baa bił dahóózhǫǫd .
42:13:018:0	Éí bąą ázhdííniid , Diyin God bee bóhólníihgo bił haz'áaniishą' ha'át'íí nahalin ? Ha'át'íishą' bił ahąąh nideeshniłgo binahjį' hodeeshnih ?
42:13:005:1	Bááh bee niilyółí binahjį' hane' bee ak'idi'dootį́įłii
42:13:019:0	Jó , díí nahalin : Diné ła' mástad bílástsii' néidii'ą́ągo bidá'ák'ehgi k'iidíílá , áádóó dínéesą́ągo tsin silį́į́' , áko tsídii nidahat'ahgo tsin bits'áoz'a' bąąhgóó bit'oh ádayiił'įįh .
42:13:020:0	Áádóó ánáázhdoo'niid , Diyin God bee bóhólníihgo bił haz'áaniishą' ha'át'íí bił ahąąh nideeshniłgo binahjį' hodeeshnih ?
42:13:006:1	Áhoołts'óózígo yah ahóót'i'
42:13:021:0	Jó éí , asdzání ła' bááh bee niilyółí néidii'ą́ągo ak'áán táadi haaką́ągo yił tayooznii'go niilyółígíí nahalin .
42:13:022:0	Áko dah náázdiidzá áádóó kin hadaas'áágóó índa kin naazhjaa'góó nazh'nitingo Jerúsalemgóó joogááł .
42:13:023:0	Áko diné ła' áhodííniid , Bóhólníihii da' yisdáhaaskaígíísh t'áá díkwíí dooleeł ? Áádóó ábizhdííniid ,
42:13:024:0	Áhoołts'óózígo yah ahóót'i' góne' yah adahidoohkahgi yéego hádaaht'į́ , háálá ánihidishní , T'óó ahayóí ákóne' yah adahidookahgi ch'ééh ádeił'į́į doo , nidi doo yídaneel'ą́ą da doo .
42:13:025:0	Kin bee bóhólníihii nídidoo'nahgo dádi'doołkał , áko nihí t'áá tł'óo'di nidasoozį́įgo , dáádílkał nídanołts'ingo ádadohníi doo , Bóhólníihii , [ Bóhólníihii , ] nihá ąą ánílééh . Áko ánihididooniił , Nidaahkaidę́ę́' doo shił bééhózin da .
42:13:026:0	Áko índa ádadidoohniił , Ninááł da'iidą́ą́' áádóó da'iidlą́ą́' , áádóó nihikintahgi na'nítin nít'éé' .
42:13:027:0	Nidi ázhdidooniił , Ánihidishní , Nidaahkaidę́ę́' doo shił bééhózin da . Bąąhági át'éii baa deínóhkáahii t'áá ánółtso , shits'ánóhkááh !
42:13:028:0	Éíbraham áádóó Áízak áádóó Jéíkab índa Diyin God yá dahalne'ii t'áá ałtso Diyin God bee bóhólníihgo bił haz'ą́ągi deidoołtsééł , nidi nihí t'éiyá yówehjį' anihi'diistł'íid dooleeł , áadi daahchxa doo , índa nihiwoo' ahídadołk'ash dooleeł .
42:13:029:0	Ha'a'aahdę́ę́' áádóó e'e'aahdę́ę́' áádóó náhookǫsdę́ę́' índa shádi'ááhdę́ę́' diné áłah dooleeł , áádóó Diyin God bee bóhólníihgo bił haz'ą́ądi bikáá' adání yich'į' dah dadínóobįįł .
42:13:007:1	Jesus éí Jerúsalem yąąh bíni'
42:13:030:0	Áádóó jó'akon , ła' da'akéédę́'ígíí da'alą́ąjį' dooleeł , índa ła' da'alą́ąjį'ígíí da'akéédę́ę' dooleeł .
42:13:031:0	Ts'ídá ákohgo Férisii danilíinii ła' yíkaigo ádahodííniid , Nílááh , kodóó háájída dínááh , háálá Hérad hodiyeesxééł nó'ní .
42:13:032:0	Nít'éé' Jesus kóhodííniid , Éí mą'ii bina'adlo'í ni' kóbidohní , Jó'akon , díí jį́ índa yiską́ągo níłch'i bida'iiníziinii ayi'dę́ę́' hadahinishkaad áádóó hadaałt'é áńda'ashdle' doo , índa táá' yiską́ągo shinaanish ádįįh .
42:13:033:0	Ákondi díí jį́ áádóó yiską́ągo índa náábiiskání shá honít'i'góó yisháał doo ; doo yee' Diyin God yá halne'ii ła' Jerúsalemdóó tł'óo'di daotsa' át'ée da .
42:13:034:0	Jerúsalem , Jerúsalem nílíinii , Diyin God yá dahalne'ii naniłtseedii , áádóó nich'į' nídabi'dil'aahígíí bił nidziyíłne'ii ! T'áá naa'ahóóhai bit'a' biyaa góne' biyázhí anéí'niłígi át'éego haadashą' néelą́ą'di na'áłchíní áłah ánéishdlaa doo nít'éé' , nidi éí doo danohsin da !
42:13:035:0	Jó'akon , nihighan yóó'adíí'ą́ . Áko ánihidishní , Kodóó doo náádashiidoołtséeł da , Bóhólníihii bízhi' bee bi'dójíigo yigáłígíí bik'ihojidlíi doo ! dadooniidgo índa .
