42:9:001:1	Jesus bídahooł'aahii naakits'áadahígíí dayííł'aad
42:9:022:0	kójíníigo , Diné Silį́į'ii éí ts'ídá lą'ígóó ti'hwiidoonih , áko diné yá aląąjį' naazíinii áádóó aláahgo nááda'iiłniihii índa bee haz'áanii yínda'niłtinii doo dahodínóozįįł da , áko hodi'yoolyééł , áádóó tágí jį́ aleeh góne' nááhodi'doodlááł .
42:9:023:0	Áko t'áá ałtso ábizhdííniid , Diné t'áá háiida shikéé' dashdiigháhígíí éí ádeizhdiyoo'nah , áádóó t'áá ákwíí jį́ t'áá hó hatsin ałnáoszid jootį́įł doo , áádóó shikéé' joogáał doo .
42:9:024:0	Háálá t'áá háiida jiinánígíí bąąh hą́ą́sniizį́į'go éí yóó'azhdootłish , nidi t'áá háiida shí shiniinaa jiinánígíí ninázhdiní'ą́ągo éí jiináa dooleeł .
42:9:025:0	Háálá diné ła'da nahasdzáán t'áá si'ą́ą́ nít'éé' hóó' dooleeł biniyé hwii' sizíinii yóó'azhdíí'ą́ągo , doodaii' t'áá ákójínéehgo jiinánígíí yóó'azhdíí'ą́ągo , haa néelą́ą́' há bínéidoodił ?
42:9:026:0	Háálá t'áá háiida shí índa shizaad baa yázniizį́'ígíí , éí Diné Silį́į'ii t'áá bí bee bits'ádi'nílíidii áádóó biTaa' índa diyingo nidaal'a'í bee bits'ádi'nílíidii yił níyáago hó ałdó' haa yádínóozįįł .
42:9:006:1	Łahgo ázhnoolningo áho'diilyaa
42:9:027:0	Nidi t'áá aaníígóó ánihidishní , Kǫ́ǫ́ naazínígíí ła' Diyin God bee bóhólníihgo bił haz'áanii t'áadoo dayiiłtséhí aniné ts'ídá doo deidoolįh da .
42:9:028:0	Díí ádahodoo'niidóó bik'ijį' tseebíí daats'í neiłka' góne' Jesus éí Peter áádóó John índa James yił dah diikaigo sozdidoolzįįł biniyé dził bighą́ą'jį' hadziskai .
42:9:029:0	Áko sozdilzingo , hanii'jį' łahgo ánoolningo ályaa , áádóó ha'éé' łigaigo bits'ádi'nílííd silį́į́' .
42:9:030:0	Áádóó jó'akon , diné nidilt'éego , Mózes índa Iiláíjah éí Jesus yił ałch'į' yádaalti'go ,
42:9:031:0	éí ałdó' t'áadoo bahat'aadí bits'ádi'nílíidgo bił nidzizį́ . Áko Jerúsalemgi Jesus dazdootsaałgo bee nihoot'áanii łazh'doolíłígíí yaa yádááłti' .
42:9:032:0	Peter índa yił naakaígíí t'áá íiyisí bił daniizį́į́' , nidi t'áá dadéez'į́į'go hats'ádi'nílídígíí áádóó diné naaki hoł sizínígíí dayiiłtsą́ .
42:9:033:0	Ákódzaago diné éí Jesus yits'ą́ą́' dah dii'áazhgo Peter éí Jesus áyidííniid , Bóhólníihii , dooládó' yá'át'éeh da kwe'é neiikaígíí ; haa'íshą' chaha'oh táa'go ádadiilnííł , ła' ni ná , ła' Mózes bá , ła' éí Iiláíjah bá , nidi bee hadzoodzí'ígíí doo hoł bééhózingóó ázhdííniid .
42:9:034:0	Díí t'ah baa yájíłti'go , k'os hoł łeeshoogizhgo nídadzisdzííd .
42:9:035:0	Nít'éé' k'os biyi'dę́ę́' iinéé' diists'ą́ą'go ání , Díí shiYe' ayóó'óósh'níinii át'é , dayísółts'ą́ą́' .
42:9:007:1	Jesus éí ashkii níłch'i nichǫ́'íii bii' hólóonii hadaałt'é ánáyiidlaa
42:9:036:0	Iinéé' dazdiizts'ą́ą́'dóó bik'ijį' Jesus t'áá sáhígo dajiiłtsą́ . Áko díí doo baa dahojilne' dago , éí yoołkáłígíí biyi' dajiiłtsánígíí diné t'áadoo ła' bee bił dahojoolne' da .
42:9:037:0	Ákódzaago biiskání dziłghą́ą́'dę́ę́' hadáájookaigo , diné t'óó ahayóí hadááh nánízą́ .
42:9:038:0	Áádóó jó'akon , diné yíl'áhígíí ła' hadoolghaazhgo ání , Na'nitiní , nánooshkąąh , shiye' nilíinii t'áá éí t'éiyá she'awé'ígíí shá dínííł'įįł ;
42:9:039:0	jó , níłch'i bi'iiníziinii bik'i néilwo' , áko t'áadoo hooyání háádílwosh , áádóó éí naa'anábiilghą́ąhgo bizhéé' hahagháahgo ánábiil'įįh , índa doo bits'áoya' át'éégóó atíbíł'į́ .
42:9:040:0	Áko nídahooł'aahii , Éí bii'dę́ę́' hadanołchééh , bidishníigo néisiskan , nidi ch'ééh ádayííł'įįd .
42:9:041:0	Áko Jesus haadzíi'go ádííniid , Doo da'oodláanii índa bízhą́ da'ílį́įgo ahoolchíiłii danohłíinii , haash nízáagi nihił honishłǫ́ǫgo nihich'į' ha'ííníshníi dooleeł ? Níláhdę́ę́' niye' shaa nílóós .
42:9:042:0	Áko éí ashkii t'ah hach'į' yigáałgo , níłch'i bi'iiníziinii bik'iilwodgo naa'anáábiyííłhango ditsxizgo anáábiidlaa . Nidi Jesus éí níłch'i nichxǫ́'ígíí yideezteh , áádóó ashkii hadaałt'é ánáyiidlaago bizhé'é yaa néiníłtį́ .
42:9:008:1	Jesus bidi'yoolyéłígíí yaa nááhálne'
42:9:043:0	Áko t'áá ádzíłtso Diyin God bibee adziil ayóó át'éii bąą t'óó hoł adahayóí . Nidi t'ah nidi t'áá ádzíłtso t'áá ałtsoní yaa naayáhígíí bąą t'óó hoł adahayóigo , Jesus bídahooł'aahii áyidííniid ,
42:9:044:0	Díí saadígíí nihijeeh dahidódlaad , háálá Diné Silį́į'ii éí diné bílák'eejį' ninábidi'doot'ááł .
42:9:009:1	Háishą' aláahdi ayóó át'éii nilį́ ?
42:9:045:0	Nidi bee hadzoodzí'ígíí t'áadoo yik'ida'diitą́ą da . Doo bił béédahózin da doo biniyé bił ch'aa'óolzin nít'éé' , áko yee haadzí'ígíí t'óó bíndabídízhdóołkiłgi nidi bits'ąą dajíítiid .
42:9:046:0	Áko nít'éé' , Háí lá aláahdi át'éé lá , dajiníigo ałghadazh'dit'ááh .
42:9:047:0	Nidi Jesus éí dahajéí biyi'di baa nitsídadzikeesígíí bił bééhoozingo , áłchíní yázhí ła' nízhdiiłtį́įgo hwíighahgi bijiisį' ,
42:9:010:1	Doo nihits'ą́ą́jí jílínígíí éí nihich'ijí jílį́
42:9:048:0	áko ábizhdííniid , T'áá háiida díí áłchíní yázhí shízhi' bee bich'į' k'éznídzinígíí éí shich'į' k'éznídzin , áádóó t'áá háiida shich'į' k'éznídzinígíí , éí shiníł'a'ii bich'į' k'éznídzin , háálá nihitahgóó t'áá háiida t'áá a'ohgo ájít'éhígíí , éí ayóó át'éii jílį́ .
42:9:049:0	John haadzíi'go ádííniid , Bóhólníihii , diné ła' nízhi' bee níłch'i bi'iiníziinii hainiiłkaadgo dahwiiltsą́ , áko , T'áadoo ánít'íní , dahodii'niid , háálá doo hoł nikéé' neiikai da .
42:9:011:1	Samériya bikin sinilgi Jesus doo deiniizį́į' da
42:9:050:0	Nidi Jesus áhodííniid , T'áadoo ánít'íní , t'áadoo dabidohníní , háálá doo nihits'ą́ą́jí jílínígíí éí nihich'ijí jílį́ .
42:9:051:0	Áko yá'ąąsh góde Jesus ahodi'dooltéełjį' hodideeshzhiizhgo , Jerúsalemgóó dah dideeshááł jinízingo t'áá íiyisí háni' áhojiilaa .
42:9:052:0	Áádóó nidaal'a'í álą́ąjį' ayííł'a' , áko dashdiikaigo Samériya dine'é bikin sinil léi'gi jíkai , bá hasht'edahozhdoolííł biniyé ,
42:9:053:0	nidi t'áadoo bahat'aadí Jerúsalemgóó joogáałgo biniinaa doo dahoniizį́į' da .
42:9:054:0	Áko hóhooł'aahii James áádóó John díí yiyiiłtsą́ągo ádííniid , Bóhólníihii , Iiláíjah ádzaaígi át'éego yádiłhił biyi'dę́ę́' kǫ' dayídíikiłgo díí diné íidoołdįįłgoósh nił t'áá áko ?
42:9:055:0	Nidi nídzízyizgo dzideezteh . [ Áádóó ázhdííniid , Ádanoht'éii doo nihił béédahózin da ,
42:9:012:1	Jesus yikéé' dayíkáah dadooleeł nít'ée'ii
42:9:056:0	háálá Diné Silį́į'ii doo diné íidoołdįįł yiniyé níyáa da , nidi yisdéídiyoonił yiniyé níyá . ] Áko náánáła' kin sinilígóó dashdiikai .
42:9:057:0	Áádóó t'áá jookahgo diné léi' ła' áhodííniid , T'áá nanináágóó nikéé' naasháa dooleeł .
42:9:058:0	Áko Jesus áháłní , Mą'ii dootł'izhí be'a'áán dahólǫ́ , áádóó tsídii wódahgo nidaat'a'ígíí bit'oh dahólǫ́ , nidi Diné Silį́į'ii éí t'áadoo nizhnót'áałgi da .
42:9:059:0	Áádóó náánáła' ábizhdííniid , Shikéé' yínááł . Nidi áhodííniid , Bóhólníihii , átsé shizhé'é łeeh deeshtééłgóó nídeeshdáałgo bee sha'di'ní'aah .
42:9:060:0	Nidi Jesus ábidííniid , Bíni' daneeznáanii t'áá bí łeeh da'ahii'nííł , nidi ni , dah diináahgo Diyin God bee bóhólníihgo bił haz'áanii t'áá níłtéél nít'éé' baa nahólne' .
42:9:061:0	Náánáła' ałdó' ání , Bóhólníihii , nikéé' naasháa dooleeł , nidi áłtsé shighandiígíí bílák'ee dadideeshnihgo bee sha'di'ní'aah .
42:9:062:0	Nidi Jesus áhodííniid , Diné ła' bee nihwiildlaadí jiiłtsoodgo t'ą́ąjį' nízdéest'į́į'go hojoołdlałígíí éí Diyin God bee bóhólníihgo bił haz'áanii biyi' chojoo'į́į dooleełígíí doo bą́ą́h jílį́į da .
