42:20:001:1	Jesus háí bee óhólnííh beidiní'ánígíí bínabídéékid
42:20:011:0	Áko náánáła' naalte' anáájííł'a' , nít'éé' éí ałdó' nínáádeineesxaal áádóó t'óó baa yáhásinígi ádayííł'įįdgo , ch'il na'atł'o'ii t'áágééd anínáádeis'a' .
42:20:012:0	T'áá áko táá' góne'ígíí anáájííł'a' ; éí ałdó' atídayííł'įįdgo ch'ídayiisxan .
42:20:013:0	Áko ch'il na'atł'o'ii bee bóhólníihii ání , Haa lá deeshnííł lá ? Shiye' ayóó'óósh'níinii lá hach'į' deesh'aał ni ; éí índa hoł danilį́į doo sha'shin .
42:20:014:0	Nidi ch'il na'atł'o'ii yaa ádahalyánígíí éí dayiiłtsą́ągo áda'ahidoo'niid , Díí ch'il na'atł'o'ii bíí' dooleełígíí át'į́į́ lá ; haa'íshą' dadiyiilyéełgo bíí' dooleełii nihíí' dadooleeł .
42:20:015:0	Áko ch'il na'atł'o'ii bitahdóó ch'ídahwiisxango dahwiisxį́ . Áko lá ch'il na'atł'o'ii bee bóhólníihii haa hodoolííł lá ?
42:20:016:0	Éí lá doogááł ni , áádóó ch'il na'atł'o'ii yaa ádahalyánígíí neidoołtsił , áko éí ch'il na'atł'o'ii éí náánáła' yaa ádahalyą́ą dooleełii yaa néidoosįįł . Áko éidíígíí deidiizts'ą́ą'go ádaaní , T'ah nít'éé' lá t'áadoo ákót'įįh da łeh !
42:20:017:0	Nidi hak'i níghalgo áháłní , Áko díí kót'éego bee ak'e'ashchínígíishą' ha'át'íí ááhyiłní ? Kin ádeił'íní tsé doo deiniizį́'ígíít'áá éí tsé bee naaná'ástł'inii silį́į́' .
42:20:003:1	Síízar bich'į' tax nahalyéhígíí bína'ídíkid
42:20:018:0	T'áá háiida éí tséhígíí bik'ijį' ajíígo'ígíí nihizhdooltǫǫł , nidi t'áá háiida hak'ijį' naalts'idígíí ch'íhodoołk'ááł .
42:20:019:0	T'áá ákwii oolkiłígíí biyi' bee haz'áanii yínda'niłtinii índa aláahgo nááda'iiłniihii hodi'dooltsoł ch'ééh daniizį́į́' , nidi diné yéédaaldzid , háálá éí hane' bee ak'idi'dootį́įłii binahjį' bí baa níjít'į́įgo bee hadzoodzíi'go yaa ákodaniizį́į́' .
42:20:020:0	Áko t'áá hadahasíidgo naalchi'í adeis'a' , áko éí diné t'áadoo át'éhígóó nidaakaii ádahodil'į́įgo hazaad yee hak'i dahodidoo'ááł biniyé haa nahaakai , éí binahjį' naat'áanii yaa dahodidoo'áałgo éí hwee ádíhólníih dooleeł danízingo ádaat'į .
42:20:021:0	Áko naalchi'í kódaaníigo Jesus nideídééłkid , Na'nitiní , nihił béédahózingo t'áá ákogi át'éego yáníłti' áádóó na'nítin , índa diné doo ła' a'ohgo baa nitsíníkees da , nidi t'áá aaníígóó Diyin God k'ehgo honít'i' bína'níłtin .
42:20:022:0	Síízar bich'į' tax nahalyéegoósh bee haz'ą́ , dooda daats'í ?
42:20:023:0	Nidi bíkada'jiiłhilígíí bił bééhózingo áháłní , [ Ha'át'íísh biniyé nashídanohtaah ? ]
42:20:024:0	Béeso denériyas yolyéhígíí ła' nihá nísh'į́ . Háísh bitsiits'iin bik'i si'ą́ índa háísh bízhi' bikáá' ? Áko ádadííniid , Síízar lą́ą .
42:20:025:0	Áko áhodííniid , Jó , éí bąą Síízar bíhígíí Síízar baa nídahoh'nííł , áádóó Diyin God bíhígíí Diyin God baa nídahoh'nííł .
42:20:004:1	Aninéédę́ę́' náádi'doojahgi na'ídíkid
42:20:026:0	Áko bee hadzoodzí'ígíí binahjį' diné binááł yee hákada'iiłhilígíí doo yídanéés'ąąd da , nidi bich'į' hadzoodzí'ígíí bąą t'óó bił adahayóigo t'áadoo ha'át'íhída náádadoo'niid da .
42:20:027:0	Sádjusii danilíinii ła' haa yíkai , éí aninéédę́ę́' doo náá'di'yiijeeh da daaní ,
42:20:028:0	áádóó kódaaníigo nidahódééłkid , Na'nitiní , Mózes yę́ę kót'éego nihá ak'e'ashchį́ , diné ła'da bił hajíí'áázh be'asdzą́ą́ hólǫ́ǫgo ba'áłchíní t'áadoo haleehí daaztsą́ągo , hak'is be'asdzą́ą́ nít'é'ígíí hwe'asdzą́ą dooleeł , áko hak'is yę́ę bá áłchíní hwee hodooleeł , níí nít'éé' .
42:20:029:0	Áko nít'éé' ashiiké t'áá ła' háájé'ígíí tsosts'id yilt'éé lá ; alą́ąjį'ígíí be'asdzą́ą́ hazlį́į́' , nít'éé' t'áadoo ba'áłchíní haleehí daaztsą́ ;
42:20:030:0	hakéédę́'ígíí éí hwe'asdzą́ą́ nít'é'ígíí néidiiłtį́įgo t'áadoo ba'áłchíní haleehí danáánáztsą́ .
42:20:031:0	Áádóó náá'ákéédę́'ígíí t'áá ákónáánádzaa , t'áá ákót'éego tsosts'id jilt'éé nít'éé' yę́ę t'áá ádzíłtso t'áadoo ha'áłchíní dahazlį́'í ádajídin .
42:20:032:0	Áádóó bik'ijį' asdzání ałdó' daaztsą́ .
42:20:033:0	Áko aninéédę́ę́' náádi'yiijeeh bijį́įdishą' , éí háí be'asdzą́ą́ jílį́į doo ? Háálá t'áá tsosts'id yilt'éego be'asdzą́ą́ dzizlį́į́' .
42:20:034:0	Áko Jesus áhodííniid , Díí k'ad da'ahílchíhígíí ba'áłchíní nida'ayeh índa ahaa daha'nííł ,
42:20:035:0	nidi aninéédę́ę́' náádi'yiijée'go atah dadooleełgo yą́ą́h da'nilíinii éí doo nááda'doogeh da , doo nidi ahaa dabi'dii'níił da doo ,
42:20:036:0	háálá doo náádínóo'néeł da , jó , diyingo nidaal'a'í bił ahidajíłt'é , índa náádi'yiijeeh ba'áłchíní dajílį́įgo Diyin God ba'áłchíní dajílį́ .
42:20:037:0	Jó , Mózes nidi dówózhii biyi'dę́ę́' bich'į' ha'oodzí'ígíí baa hane' binahjį' da'neeznáádę́ę́' náádi'yiijeehígíí ííshją́ą́ áyiilaa , háálá ádííniid , Bóhólníihii éí Éíbraham biDiyin God áádóó Áízak biDiyin God índa Jéíkab biDiyin God nilį́ .
42:20:038:0	Áko daneeznáanii éí doo biDiyin God jílį́į da , nidi dahináanii biDiyin God jílį́ , háálá hanáałgo t'áá ałtso dahiná .
42:20:039:0	Áko bee haz'áanii yínda'niłtinii ła' hadaasdzíi'go ádaaní , Na'nitiní , yá'át'éehgo bee hahínídzíí' .
42:20:005:1	David biye' bína'ídíkid
42:20:040:0	Háálá t'ááłáhígo nináádahódídóołkiłgi nidi hach'į' dáátiid .
42:20:041:0	Nidi áhodííniid , Ha'át'éegoshą' , Christ éí David biye' nilį́ , daaní ?
42:20:042:0	Jó , David t'áá hó Sin binaaltsoosígíí biyi' ájíní , Bóhólníihii éí shiBóhólníihii áyidííniid , Shinish'náájí dah sínídá .
42:20:043:0	Nida'ana'í bik'i dííníl'eezgo ániishłaajį' .
42:20:006:1	Jesus éí bee haz'áanii yínda'niłtinii yideezteh
42:20:044:0	Áko David éí shiBóhólníihii hałní , ákoshą' haa yit'éego biye' jílį́ ?
42:20:045:0	Áko diné t'áá ałtso da'íists'ą́ą'go bídahooł'aahii áyidííniid ,
42:20:046:0	Bee haz'áanii yínda'niłtinii bits'ąą ádaa ádahołyą́ , éí bi'éé' danineezgo nidaakaigo bił yá'ádaat'ééh , áádóó nida'iiniihgóó k'é dabidi'níigo bił ayóó ádaat'é , áádóó kin bii' áłah nída'adleehí dabiyi'góó índa áda'azįįdgóó aląąjį' naazíinii bá nidahaz'ą́ą́góó bił ayóó ádahoot'é ,
42:20:047:0	índa asdzání bąąh ádahasdįįdii dabighan yaa nidahodikai índa t'óó ádaat'į́įgo nízaadgóó sodadilzin . Éí t'ah aláhídi át'éego bik'e'ashch'íi'go bá nidahodoot'ááł .
