37:2:001:1	Ayóó ánóolningo kin bii' sohodizin ániidíii
37:2:015:0	Áko k'ad ánihidishní , Díí jį́į́dóó náásgóó baa nitsídaohkees : t'ah doo Bóhólníihii bikin bii' sohodizingi tsé ła' ałk'i dah yit'aah yę́ędą́ą́' ;
37:2:016:0	íídą́ą́' ła'da tł' oh naadą́ą́' naadiindi yikááł bíighahgo yanáa'á jinízingo biniyé jiníyáá nít'éé' t'áá neeznání yikááł lá ; ła'da ch'il na'atł'o'ii yiljizhgi ashdladiindi yikááł bíighahgo jinízingo biniyé jiníyáá nít'éé' t'áá naadiiní yikááł lá .
37:2:017:0	Nihí índa k'idadooláii dibáá' áádóó dláád índa níló bee atínihiishłaa , nidi t'áadoo shich'į' ninánoohkai da , ní Bóhólníihii .
37:2:018:0	Díí jį́į́dóó índa náásgóó díí baa ntsídaohkees : náhást'éí nídízííd binih naadiin dį́į́'góó yoołkáałgo Bóhólníihii bikin bii' sohodizin bitł'ááh nástł'inii áłtsé ahéédasootł'inii éí hazhó'ó baa nitsídaohkees .
37:2:003:1	Bóhólníihii éí Zerábabel yeidiní'áanii
37:2:019:0	Da' nooh nída'achííh góne'ésh tł'oh naadą́ą́' t'ahdii daanoo' ? T'áá aaníí ch'il na'atł'o'ii áádóó fig sikaadii áádóó pámgrenit sikaadii índa áliv sikaadii t'ahdii doo bineest'ą' dahaleeh da ; ákondi díí jį́į́dóó náásgóó nihik'ijishdlíi doo .
37:2:020:0	T'áá éí yiziłígíí naadiin dį́į́' yoołkááł góne' Hágeiyai éí Bóhólníihii kóníigo néidiizts'ą́ą́' ,
37:2:021:0	Júdah dine'é binanit'a'í Zerábabel bich'į' handziihgo ábidiní , Yádiłhił índa nahasdzáán deeshhał ;
37:2:022:0	bee ídahólníihii bił nahaz'ą́ą́góó bee bídahólníihii bik'eh dideeshdleeł , áádóó ał'ąą dine'é bił nidahaz'ą́ą́góó bee dabidziilii ádadeeshdįįł , áádóó tsindaabąąs bijáád naakiígíí áádóó yii' dah naazdáii bik'eh dadideeshdleeł índa łį́į́' áádóó yee nidaabaahii t'áá bił naa'ahidínóodah ; t'ááłá'í jinítínígo hak'is éí diltłish yee nidahodoołtsił .
37:2:023:0	T'áá ałtsoní bee Bóhólníihii ání , Éí bijį́įdi Shiyáltiyel biye' shinaal'a'í Zerábabel nándideeshtééł , ní Bóhólníihii , áádóó yoostsah bee na'nt'áhígíí nahalingo ándeeshłííł , háálá ni nándiiłtį́ , ní t'áá ałtsoní bee Bóhólníihii .
