44:28:001:1	Nijin Malta Njuu Izhik T'iginchy'aa Dąį'
44:28:014:0	Izhik dinjii lat nąįį Jesus k'injigiighit nąįį agwarąh'ąįį. “Drin k'ideetit ch'ihłak diihaa gohch'įį.” diigahnyąą. Ąįįts'ą' gwik'it t'igwiizhik. Ąįįtł'ęę izhik gwats'an Rome kwaiik'it gwachoh gwats'ą' nahkat tąįį gwinjik tr'ahaajil. 
44:28:003:1	Nijin Paul, Rome Kwaiik'it Gwachoo T'inchy'aa Dąį'
44:28:015:0	Diichaa Jesus k'injigiighit zhit lat nąįį zhat Rome kwaiik'it gwachoh gwizhit t'inchy'aa nąįį gwi'ęę goots'ą' tr'eedaa, gwinyąą gwigwiitth'ak. Ąįį tąįį gwinjik gwi'ęę Appius Forum kwaiik'it ts'ą' Tr'igwich'įį Zheh Tik kwaiik'it haa gwats'ą' diidagahaajil. Nijin Paul gavąąh'in dąį', łyaa shoo nilįį. ts'ą' gooveenjit Vit'eegwijyąhchy'aa, mahsį' ahnyąą. 
44:28:016:0	Nijin Rome kwaiik'it gwachoh k'eeriidal dąį', Paul niveet'ah'in ch'ihłak yak'ąąhtii ąįį ch'iitsii tły'ah haa vigin oohohchaa, haa dizheh gwich'įį giits'an gwah'įį. 
44:28:017:0	Drin tik ąįį kwaiik'it gwizhit dhidii Ąįįtł'ęę, Jews k'eedeegwaadhat nilįį nąįį datthak, “Shaa łagoojyaa.” nyąą, goots'ą' giheehkhyaa eenjit. “Shalak nąįį, k'eegwiichy'aa ch'ihłak gwiizųų haa gwich'in nąįį ts'ą' t'ishi'ya' kwaa. Ąįįts'ą' diitsii nąįį ky'aa gwįįhdaii, ąįį chan łee gwaałnaii kwaa. Googaa Jerusalem gwizhit sharoonjik, ąįįts'ą' Rome k'eedeegwaadhat nąįį (Emporer) intł'eesharąhchįį. 
44:28:018:0	Rome k'eedeegwaadhat nąįį shagoahkat gąą jidii eenjit nihihthaa gogogwąh'ąįį kwaa. Ąįį geh'an ‘vineeroonjii,’ shagoonyąą. 
44:28:019:0	Gąą Jews nilįį nąįį shineeriinjii, geet'igiindhan kwaa. Ąįį geh'an “Rome k'eedeegwaadhat choh shoohahkat.” jiinyą'. Gąą k'eegwiichy'aa gwiizųų haa shik'it t'inchy'aa nąįį eenjit giihkhe' kwaa. 
44:28:020:0	Ąįį geenakhwaagwahaaldak ts'ą' nakhwaa gihihkhyaa eenjit, juk drin nakhwan keegiihkhe'. Ąįį juu nakhwan Israel gwich'in niyuul'in chy'ah, ąįį juk yik'injiighit. Ąįį geh'an jii ch'iitsii tły'ah juk shakat dhidlii.” jyaa Jews k'eedeegwaadhat nąįį ahnyąą. 
44:28:021:0	“Jews Judea nahkat gwizhit t'inchy'aa nąįį ts'an dęhtły'aa ch'ihłak gąą neenjit diits'ą' ch'adaraantł'oo kwaa. Ąįį gąą Jews nąįį zhat gwats'an dząą nineedal nąįį tee gwats'an ch'ihłee gąą neegwagwaandak kwaa. 
44:28:022:0	Gąą izhik gwa'an datthak dinjii Jesus k'injigiighit nąįį eenjit shoo ginlii kwaa. Nan t'ee Jesus k'injigiighit nąįį tee zhat inlii, ąįį gaagwiindaii. Jii deeyiindhan geenjit narootth'ak gwiindhan.” Jews k'eedeegwaadhat nilįį nąįį yahnyąą. 
44:28:023:0	Ąįįtł'ęę ‘chan nijin drin łineerąhaadaa,’ ginyąą izhik gideegwigwiiłkįį. Ąįį drin zhit nineegwiidhat dąį', nijin Paul t'inchy'aa, izhik dinjii lęįį nąįį łineeljil. Izhik nats'ahts'ą' Vit'eegwijyąhchy'aa Veegwinii'ee eenjit drin datthak gavaa ginkhe'. Moses va-law chan juu Vit'eegwijyąhchy'aa Eenjit Ginkhii nilįį nąįį gwadąąntł'oo gwats'an łyaa gwinzii Jesus eenjit gavaa gwaandak. Łyaa Christ nilįį, giik'injiheedaa ji' eenjit, jii t'ee Jews nąįį niyuul'in chy'aa nilįį t'inchy'aa. 
44:28:024:0	Goolat nąįį deenyąą giik'injindhat, gąą goolat nąįį giik'injindhat kwaa. 
44:28:025:0	Ąįį juu yik'injindhat kwaa nąįį neegahoojil, khan zhat gihłeegahoojil ts'ą' ch'ats'ą' t'inihłagaanyąą. Paul jii jyaa nyąą geenjit jii ginjik kwaii, “Ch'anky'aa Shroodiinyąą k'iighai' Isaiah diitsii nąįį haa gwaandak. Ąįį gwinzii t'iinyą'. 
44:28:026:0	Vit'eegwijyąhchy'aa Isaiah jyąhts'ą' gwidiintł'oo ahnyąą, gwik'it gwadąąntł'oo.‘Jii dinjii nąįį ts'ą' hinkhaiiąįįts'ą' jyąhts'ą' gavaa gwandak.Khit ch'oodǫǫhk'įį,gąą deegwinyąą t'igwinyąą gaakhwandaii kwaa.Khit gǫǫh'in, gąą nihk'it nakhwaa gweech'in kwaa. 
44:28:027:0	Jii dinjii nąįį gooki' dach'at geh'an.Ch'igiitth'ak kwaa ts'ą' dagandee gehdeegahtin haa goovaagweech'in kwaa.Ąįį akwaa ji' goovaagweheechy'aa ts'ą' ch'igiheetth'ak,ts'ą' deegwinyąą t'igwinyąą gaageheendaii.Ąįį ji' Vit'eegwijyąhchy'aa shits'eekhwadaa ts'ą' nakhwadiveegwinzii neegwahałtsyaa gavahnyąą.’” 
44:28:028:0	“Juk gwats'an Israel gwich'in nilįį kwaa nąįį ts'ą', ts'ąįį Vit'eegwijyąhchy'aa viginjik eegwarahaandak, gootr'agwaanduu gwats'an neegeheezhii ji', eenjit. Łyaa shagwahaaky'aa gwizhrįh gaashandaii. Izhik łyaa gaakhwandaii nakhwaihnyąą.” Paul Jews nąįį ahnyąą. 
44:28:029:0	(Nijin jyaa diinyą' tł'ęę, Jews nąįį gihłeehoojil, gwintł'oo ch'ats'ą' t'inihłagaanyąą haa.) 
44:28:030:0	Neegwiidhat neekwąįį (2 years) gąhkhyuk zheh veerigwił'ąįį izhit gwich'įį. Juu yąąh'in datthak yeenjit łyaa shoo nilįį. 
44:28:031:0	Vit'eegwijyąhchy'aa Veegwinii'ee eenjit khit dinjii gǫąąhtan. Ąįįts'ą' K'eegwaadhat Jesus Christ chan eech'ǫąąhtan. Naajat kwaa haa nats'ąą goiihkhyaa niindhan gwik'it ginkhii. Dinjii ch'ihłak gąą jyąhts'ą' giheehkhyaa kwaa yahahtsyaa kwaa.
