44:2:001:1	Ch'anky'aa Shroodiinyąą Gook'aa Nidiindhat Dąį'
44:2:030:0	David łyaa Vit'eegwijyąhchy'aa Eenjit Ginkhii inli'. Vit'eegwijyąhchy'aa deehishi'yaa nyąą gwik'it t'ihee'yaa nyąą t'inyąą yits'ą' neech'idiin'ąįį, vizhyaaneedijii nąįį ch'ihłee nats'ąą king inli' gwik'it king heelyaa eenjit David haagwandak. 
44:2:031:0	Yeendaa ji' Vit'eegwijyąhchy'aa deehee'yaa David ts'ą' gwigweelkįį, ąįįts'ą' Christ neegwiindaii ąįį chan geeginkhe',‘Vizhin ts'ą' Vatthąį' haa tth'ank'it gwizhitan giheelyaa geenjit gwats'ą't'ahąhkhyaa kwaa.’David jii t'iinyą'. 
44:2:032:0	Jii t'ee Jesus nilįį. Niindhat tł'ęę Vit'eegwijyąhchy'aa gwandaii neeyiłtsąįį. Datthak tr'agwah'ya' ąįį eenjit łi'didlii haa nakhwaa gwaraandak t'igwinyąą. 
44:2:033:0	Vit'eegwijyąhchy'aa nijin t'inchy'aa gwats'ą' neeyuunjik. Juk izhit k'eedeegwaadhat ts'ą' yakat doodii ąįį zheekat nijin gihil'ee izhit Vit'eegwijyąhchy'aa vishriits'ąįį dhidii ąįįts'ą' Gwiti' deehee'yaa nyąą ąįį gwik'it t'iizhit ts'ą' Ch'anky'aa Shroodiinyąą diik'aa t'iheelyaa geenjit yats'an iłtsąįį, ąįįt'ee juk drin gǫǫh'in ts'ą' goohtth'ak t'oonchy'aa. 
44:2:034-035:0	David yeedak zheekat ndak hahkhaii kwaa gaa jii jyaa nyąą,“Vit'eegwijyąhchy'aa ts'ą' ąįį Shik'eegwaadhatjyaa dahnyąą.‘Dząą dakhii shishriits'ąįįdhindii, juu nats'ą' gwił'ąįį ts'ą' nitr'ii'ee nąįį nakwai' t'eh nagooveheelyaagwats'ą' datthak zhat dhindii k'eedeegwaadhat nahałtsyaa geenjit.’ 
44:2:036:0	“Israel gwich'in nąįį datthak, Jesus, jii adan nilįį. Cross kat gadhohtsak t'inchy'aa. Vit'eegwijyąhchy'aa, K'eegwaadhat heelyaa yiłtsąįį ts'ą' dinjii nąįį neehahshii geenjit yigweełkįį t'inchy'aa. Ąįį gaahahkhwandaii gwizhrįh.” Peter goovahnyąą. 
44:2:037:0	Jii datthak gwigwiitth'ak dąį', gwintł'oo tr'igwigwidii, “Shalak nąįį, juk nats'ahts'ą' deehishi'yaa?” jyaa Peter ąįįts'ą' gah Tr'ihił'e' nąįį jyaa dagahnyąą. 
44:2:038:0	“Nakhwateegwagwąąnchy'aa ts'ą' nakhwatr'agwaanduu gwats'an K'eegwaadhat ts'ą' łihts'eedǫǫ'ee. Ąįįts'ą' tr'agwaanduu t'akhwa'in gwinzii t'igwii'in yųhkhya' shrǫ'! Ąįį tr'agwaanduu t'inchy'aa. Ąįįtł'ęę nakhwateegwagwaanchy'aa ts'ą' Jesus Christ voozhri' zhit chųų nakhwats'an tr'ahtsii. Ąįįtł'ęę Vit'eegwijyąhchy'aa nakhwatr'agwaanduu nakhweenjit oo'an gweheelyaa. Ąįįts'ą' Ch'anky'aa Shroodiinyąą nakhwats'an hahtsyaa nakhwaa t'iheechy'aa eenjit. 
44:2:039:0	Nakhwan, ts'ą' nakhwagii nąįį haa nihky'aa ninghit gwich'in nąįį datthak gooteegwagwaanchy'aa ts'ą' K'eegwaadhat Nakhwavit'eegwijyąhchy'aa yigwiiłkįį nąįį, Ch'anky'aa Shroodiinyąą goots'an hahtsyaa, gavaa t'iheechy'aa eenjit. Jii gwehkįį ‘deehishi'yaa,’ jiinyą' gwik'it t'ihee'yaa eenjit.” jii chan Peter jyaa dagavahnyąą. 
44:2:040:0	Ąįįts'ą' łyaa ninghyuk Peter gwintł'oo goots'ą' ginkhii, “Juk gweendaa dinjii tr'agwaanduu tr'agwah'in nąįį khaiinjich'iheedhat gwats'ą' gweedhaa t'oonchy'aa ąįį gwats'an tr'ineekhwadaa geetr'agoh'in neehohshii geenjit.” gavahnyąą. 
44:2:041:0	Lęįį nąįį jidii geenjit goots'ą' ginkhe' gwik'injigiinjik. Ąįįts'ą' datthak chųų goots'an tr'iłtsąįį. Ąįį drin zhit dinjii 3,000 aanchy'aa nąįį K'eegwaadhat Jesus k'injigiighit gaadlit ts'ą' juu gwik'injiighit nąįį teegiinjil. 
44:2:003:1	Gwik'injiighit Nąįį Nats'ąą Googwandaii
44:2:042:0	Ąįįtł'ęę Tr'ihił'e' nąįį khit geegoogąąhtan, ąįįts'ą' datthak gavaa łineegaadal ts'ą' goovaashroonchy'aa gwizhit neech'aga'aa haa ninjigwadhat gahtsii zhit K'eegwaadhat ineegaandaii. Ąįįts'ą' datthak gavaa khagigidiinjii. 
44:2:043:0	Tr'ihił'e' nąįį zhit gwinlęįį gwigwee'in ts'ą' nindal gwaahchy'aa t'igii'in. Dinjii nąįį gwagwaah'in haa jii datthak giveenjit geegaroolii kwaa t'igwii'in, ąįįts'ą' gihilghaa ts'ą' gwigwihił'ee. 
44:2:044:0	Gąą juu gwik'injiighit nąįį datthak lak nizįį nihłagaa'įį ts'ą' nihłaa t'iginchy'aa. Nihłak'aiich'ii datthak nihłaa t'agąhchy'aa googwahtsii. 
44:2:045:0	Daganan' ąįįts'ą' digik'eiich'i' kwaii datthak gwintł'eegilii. Ąįį t'įį larąą goonjii khaihłan nigiinlii, ąįį ts'an juu gii'įį kwaa ts'iginyąą. 
44:2:046:0	Drin gwiteegwagwaanchy'aa Kharigidiinjii Zheh gwizhit łineegaadal. Ąįįts'ą' an-nihłik zheh gwizhit nihłaa ch'aga'aa. Ąįįts'ą' goodrii zhit gavaa łi'haa shroonchy'aa ts'ą' nihłaa datthak ts'ą' khazhak t'igiinchy'aa. 
44:2:047:0	Khit ts'ą' Vit'eegwijyąhchy'aa ts'ą' khagigidiinjii. Ąįįts'ą' deegiihiił'ee. Jerusalem gwizhit dinjii nąįį datthak gwinzii giveegigiinkhii. Drin gwiteegwagwaanchy'aa dinjii nąįį Vit'eegwijyąhchy'aa gootr'agwaanduu ts'an neegoorahshii nąįį chan gootijyaa. Ąįįts'ą' drin gwiteegwagwaanchy'aa lęįį gilii.
