44:19:001:1	Nijin Paul Ephesus Kwaiik'it gwizhit T'inchy'aa Dąį'
44:19:031:0	Ąįįts'ą' chan gah vijyaa lat nąįį, Asia nahkat k'eedeegwaadhat nąįį ginlįį, ąįį nąįį giits'ą' nideech'idiin'ąįį. “Nijin łineegaadal deek'it izhik gwats'ą' hǫǫnzhi' shrǫ'!” giiyahnyąą. 
44:19:032:0	Izhik zhat dąį' dinjii datthak łyaa gwintł'oo gook'įį gwanlii khaiinjii nihłigiighan, ąįį gwiizhik gazhral. Goolat nąįį ch'ihłak eenjit gazhral ąįįts'ą' goolat nąįį chan ch'adanh geenjit gazhral, goolat nąįį jaghaii geh'an zhat datthak nihłaa łigiiljil, t'igii'in gaagiindaii kwaa. 
44:19:033:0	Jews nąįį dinjii Alexander oozhii, dinjii gwanlii nąįį ęhdaa nagąąhchįį Paul deenyąą ąįį Jews nąįį t'inyąą kwaa goovaagwagwahaandak geenjit. Ąįįtł'ęę Alexander danli' haa zhee dahdaii, deegwagwahahtsai' kwaa geenjit ts'ą' goots'ą' gahaakhee, jyaa dagoohaanjyaa geenjit. 
44:19:034:0	Gaa nijin dinjii datthak Alexander, Jews nilįį giky'aanjik dąį', datthak łyaa khaihłok gwintł'oo gazhral, “Diivit'eegwijyąhchy'aa Artemis, Ephesus gwizhit jiintsii nilįį t'inchy'aa!” ginyąą. Hours neekwąįį gąhkhyuk jyaa t'iginyąą ts'ą' gazhral. 
44:19:035:0	Gohch'it dinjii kwaiik'it gwachoh gwizhit nach'adantł'oo nilįį, dinjii nąįį deegwahtsai' kwaa gwiłtsąįį. Ąįįtł'ęę goots'ą' gahaakhe', “Ephesus gwich'in nąįį! Diikhwan Ephesus gwich'in nąįį łyaa diivit'eegwijyąhchy'aa Artemis vakharigidiinjii zheh łyaa gwinzii gwik'eerąąhtii. Ąįįts'ą' kii vik'it teeyiltsį' zheekat gwats'an naanaii, ąįį kwaii gwinzii k'eerąąhtii. Nihky'aa dinjii datthak łyaa gaandaii. 
44:19:036:0	Dinjii ch'ihłak łyaa, łi'deegwidlii kwaa heenjyaa goo'aii kwaa. Jii geh'an, deegoohtsai' kwaa. Łyaa gwiizųų geenjit ninjich'ahohthat ji', gwik'it t'akhwa'ya' shrǫ'! 
44:19:037:0	Jii dinjii nąįį diivit'eegwijyąhchy'aa vakharigidiinjii zheh gwats'an ch'agan'įį kwaa. Ąįįts'ą' chan gwiizųų diivit'eegwijyąhchy'aa eegiginkhii kwaa. Ąįį googaa nihk'it dząą gwats'ą' nagavohłii. 
44:19:038:0	Nijin Demetrius ąįį gah dinjii yaa gwitr'it t'agwah'in nąįį dinjii ts'ą' goorohkhyaa giindhan ji', Ch'aroahkat Zheh gwats'ą' gihee'al ts'ą' dinjii nąįį haa gwagwahaandak. Izhit t'ee juu t'iizhik gweheenjyaa. 
44:19:039:0	Gah geeghaih ts'ą' k'eegwiichy'aa geegihohkhyaa gookhwa'įį ji', nijin dinjii łanaadal ąįį ch'agoohaahkat geenjit ąįį gwizhit t'akhwa'yaa gwizhrįh goo'aii. 
44:19:040:0	Jii juk drin deegwiizhit geh'an duulee Rome k'eedeegwaadhat nąįį diikhwan goots'ą' ninjich'atsarahthat giheenjyaa t'oonchy'aa. Jii jyaa digwii'in gwit'eegwaahchy'aa kwaa, ts'ą' duuyeh jaghaii datthak t'igwii'in gwinzii goovaagwaraandak t'oonchy'aa.” 
44:19:041:0	Jyaa diinyą' tł'ęę, “Datthak nakhwazheh gwits'ee khwajyaa!” gavahnyąą. Ąįįts'ą' gwik'it t'igiizhik.
